,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
COROICO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,3,2,0,0,5
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,1,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,68,69,8,11,156
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,2,0,0,2
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,4,2,0,0,6
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,5,3,0,0,8
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,2,0,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,5,3,9
HUACARETA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
HUARINA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,0,0,1,3
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,5,3,0,1,9
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,8,7,0,1,16
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,81,76,8,17,182
LAJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,1,0,0,2
LORETO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,1,1,0,3
MECAPACA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,0,0,0,2
MINEROS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,20,3,2,3,28
OKINAWA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,1,0,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,14,17,0,20,51
PAILON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,3,5,0,0,8
PALCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,2,5,6,15
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,1,0,0,2
PAZÑA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,3,3,4,2,12
PUCARANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,1,1,3
PUERTO ACOSTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,2,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,3,0,0,5
PUNATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,4,2,2,1,9
QUIME,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,1,0,1
REYES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,3,4,2,0,9
ROBORE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,0,0,0,2
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,3,5,4,12
SABAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,8,5,3,9,25
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,3,2,0,0,5
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,4,0,0,1,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,1,1,3
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,1,1,2
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,1,6,5,14
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,1,0,1,3
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,6,3,1,1,11
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,2,2,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,153,160,6,4,323
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,4,0,0,6
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,2,0,0,3
SUCRE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,16,26,0,0,42
TACACOMA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
TAPACARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,0,2,2
TARIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,6,8,2,3,19
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,1,0,1,3
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,2,2,5
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
TOCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,2,0,0,3
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,10,4,0,0,14
TUPIZA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,2,0,0,2
UNCIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,3,1,0,0,4
VIACHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,7,0,0,7
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,1,0,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,0,1,0,3
VILLAZON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,1,0,2
VINTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,7,3,2,1,13
WARNES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,15,12,0,0,27
YACUIBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,9,2,3,16
YAPACANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,2,0,2,4
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,3,6,0,0,9
AIQUILE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,0,2,2
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,1,0,0,2
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,2,1,2,1,6
ARANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,2,2,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,0,2,2
BATALLAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,2,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,1,0,1
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,2,0,0,2
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,2,0,3
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,1,0,2
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,2,8,12,22
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,1,2
CLIZA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,2,0,0,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,1,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,29,23,2,0,54
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,2,0,0,2
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,2,0,0,2
COLOMI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,1,1,2
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,2,0,0,1,3
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,2,3,5
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,2,0,0,0,2
COROICO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,1,1,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,4,2,1,1,8
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,3,1,4
CULPINA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,52,45,18,25,140
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,4,2,0,0,6
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,0,1
ESCOMA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,2,0,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,0,1,1
EXALTACION,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,1,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,1,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,2,1,2,0,5
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,0,1,1
HUACHACALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,5,1,0,0,6
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,0,1,1
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,1,0,1
ICHOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,0,1,1
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,5,6,0,0,11
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,2,5,1,0,8
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,5,8,0,4,17
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,49,38,7,9,103
LAJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,1,0,2
LORETO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,4,6,10
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,1,2
MAPIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,3,0,4
MONTERO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,2,9,4,2,17
OKINAWA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,1,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,11,12,6,2,31
PAILON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,2,5,29,30,66
PALCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,2,3,6
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
POCONA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,0,1,1
PORCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
PORONGO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,2,0,0,2
PORVENIR,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,1,0,1
POSTRER VALLE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,7,4,2,3,16
PUCARANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,1,2
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,1,0,0,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,2,1,1,1,5
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,4,2,2,3,11
PUNATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,1,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,6,4,9,7,26
RAQAYPAMPA(ETA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,1,0,1
REYES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,2,3,0,0,5
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,5,1,3,0,9
ROBORE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,1,2,5,9
SABAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,10,4,4,7,25
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,0,1,1
SAIPINA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,0,1
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,1,1,3
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,14,12,2,1,29
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,1,0,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,1,0,1,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,2,0,2,4
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,0,7,6,13
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,2,6,8,16
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,0,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,3,0,3,1,7
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,2,0,0,0,2
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,1,1,0,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,0,3,0,0,3
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,2,2,1,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,136,133,27,29,325
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-02-01,1,0,0,0,1
