,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES
VINTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,1,0,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,1,2,0,0,3
YACO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,2,0,0,2
YACUIBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,1,0,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,2,0,0,1,3
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,1,0,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,1,2,0,0,3
BAURES,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,3,5,0,0,8
CABEZAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,0,2,2,4
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,1,1,0,0,2
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,0,3,0,3
COROICO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,1,0,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,10,7,2,3,22
HUARINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,1,2,0,0,3
MAPIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,1,0,1,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,0,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,1,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,3,0,1,1,5
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,8,0,3,3,14
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,1,0,0,0,1
POCONA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,1,0,0,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,1,0,0,1
PORONGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,2,2,0,0,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,2,0,0,0,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,1,0,0,1
ROBORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,1,0,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,0,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,0,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,1,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,0,0,1,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,1,1,2,4
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,0,2,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,1,1,2,1,5
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,7,10,3,3,23
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,6,4,0,0,10
TARIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,0,2,0,2
TIAHUANACU,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,0,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,1,1,0,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,1,1,0,0,2
VINTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,1,0,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-02-01,1,0,0,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,2,0,0,0,2
ATOCHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,2,3,0,0,5
CABEZAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,0,1,1,2
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,0,4,0,4
COPACABANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,1,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,1,0,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,2,2,4,4,12
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,1,0,1,0,2
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,0,1,0,1
ICHOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,1,0,0,0,1
LAJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,1,0,0,0,1
MIZQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,1,2,0,0,3
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,1,0,0,1
PORCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,0,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,1,2,0,0,3
ROBORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,1,0,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,1,0,0,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,1,0,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,7,5,0,1,13
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,0,0,2,2
SENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,1,1,0,0,2
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,7,3,0,0,10
TARATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,1,0,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,1,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,1,0,0,0,1
YACUIBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-03-01,0,1,0,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,0,5,4,9
BAURES,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,3,0,0,4
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,2,0,0,0,2
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,0,2,0,2
COPACABANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,1,0,0,1
CURVA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,6,5,7,5,23
EL TORNO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,1,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,1,0,0,2
LORETO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,0,1,0,2
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,0,1,0,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,1,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,3,3,0,0,6
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,0,1,6,7
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,0,0,0,1
PUNA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,2,1,1,0,4
ROBORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,0,4,3,8
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,0,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,0,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,1,0,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,1,0,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,1,0,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,1,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,0,4,3,8
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,15,17,6,9,47
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,4,8,0,0,12
TARIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,1,1,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,0,0,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,0,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,0,1,1,3
UNCIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,0,0,1,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,0,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,0,4,1,5
YACUIBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,0,1,0,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-04-01,1,0,0,0,1
ATOCHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,1,0,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,2,0,0,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,2,0,0,0,2
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,2,1,0,0,3
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,1,1,0,0,2
COROICO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,0,1,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,1,1,0,2
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,6,4,4,2,16
EL CHORO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,3,0,3
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,1,1,0,0,2
HUACARETA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,1,0,0,0,1
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,1,0,2,2,5
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,6,1,0,0,7
LORETO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,2,2,0,0,4
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,2,0,4,1,7
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,1,0,1,2
POROMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,1,0,0,1
PORONGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,0,2,2
PRESTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,1,0,1,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,2,0,0,1,3
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,1,0,1
SACACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,4,2,0,0,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,1,1,1,3
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,23,17,8,7,55
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,3,1,4
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,1,0,0,1
SENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,2,0,2,4
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,1,3,0,0,4
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,1,2,0,0,3
UYUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,1,0,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,2,1,0,0,3
VINTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,0,0,2,0,2
WARNES,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-05-01,1,0,0,2,3
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,0,1,0,0,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,2,1,0,0,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,0,0,0,3,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,5,4,3,4,16
EL TORNO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,1,0,0,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,0,0,1,0,1
HUACARETA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,0,0,0,1,1
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,0,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,1,2,0,0,3
LAJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,1,0,0,0,1
LICOMA PAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,1,0,0,0,1
LLICA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,1,0,0,0,1
MECAPACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,1,0,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,1,0,1,1,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,0,0,2,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,2,1,0,0,3
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,0,1,0,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-06-01,0,0,1,0,1
