,group,variable,month,DPT 4TA DOSIS CANTIDAD,DPT 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,2,0,2,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,7,175,7,175,182
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,7,0,7,0,7
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,4,0,4,4
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,3,9,3,9,12
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,4,0,4,4
SORACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,9,32,9,32,41
TARABUCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,130,133,130,133,263
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,75,266,75,266,341
TARVITA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,11,88,11,88,99
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,18,0,18,18
TOLEDO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,10,0,10,10
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,2,15,2,15,17
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,2,12,2,12,14
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,3,0,3,0,3
UNCIA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,8,0,8,8
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,5,3,5,3,8
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,11,11,11,11,22
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,32,166,32,166,198
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,36,30,36,30,66
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,6,82,6,82,88
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,5,0,5,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,11,23,11,23,34
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,1,32,1,32,33
YOTALA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,5,0,5,5
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,7,1,7,1,8
ALALAY,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,4,0,4,4
ARBIETO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,14,0,14,14
BAURES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,31,163,31,163,194
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,1,0,1,1
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,10,0,10,10
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,2,2,2,2,4
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,5,0,5,0,5
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,4,0,4,4
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,6,0,6,6
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,1,42,1,42,43
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,3,5,3,5,8
CHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,2,7,2,7,9
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,3,26,3,26,29
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,23,38,23,38,61
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,3,3,3,3,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,55,11,55,11,66
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,2,0,2,0,2
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,1,15,1,15,16
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,1,17,1,17,18
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,10,0,10,10
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,5,0,5,5
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,10,68,10,68,78
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,15,15,15,15,30
CUEVO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,7,9,7,9,16
CULPINA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,14,14,14,14,28
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,7,0,7,0,7
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,18,0,18,18
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,3,7,3,7,10
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,31,8,31,8,39
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,45,197,45,197,242
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,79,67,79,67,146
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,26,53,26,53,79
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,1,0,1,0,1
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,1,105,1,105,106
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,6,0,6,6
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,12,29,12,29,41
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,13,13,13,13,26
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,18,0,18,0,18
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,6,8,6,8,14
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,1,3,1,3,4
LAJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,10,0,10,10
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,10,29,10,29,39
LORETO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,2,3,2,3,5
MACHARETI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,1,16,1,16,17
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,14,0,14,14
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,8,6,8,6,14
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,1,0,1,0,1
MORO MORO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,2,0,2,2
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,3,1,3,1,4
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,2,12,2,12,14
PORCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,5,0,5,5
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,7,0,7,7
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,3,0,3,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,43,14,43,14,57
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,43,0,43,43
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,10,0,10,0,10
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,7,39,7,39,46
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,3,0,3,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,4,0,4,4
REYES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,5,12,5,12,17
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,5,11,5,11,16
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,4,63,4,63,67
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,46,136,46,136,182
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,64,326,64,326,390
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,2,3,2,3,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,30,0,30,30
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,65,42,65,42,107
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,10,0,10,10
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,44,23,44,23,67
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,4,17,4,17,21
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,6,0,6,6
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,20,0,20,20
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,15,0,15,15
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,22,0,22,22
SORACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,52,56,52,56,108
TARABUCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,2,12,2,12,14
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,185,308,185,308,493
TARVITA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,19,43,19,43,62
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,2,8,2,8,10
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,8,0,8,8
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,42,582,42,582,624
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,18,0,18,0,18
VACAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,1,1,1,1,2
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,17,0,17,0,17
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,12,0,12,12
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,22,33,22,33,55
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,65,104,65,104,169
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,13,10,13,10,23
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,4,87,4,87,91
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,2,1,2,1,3
YOTALA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,4,5,4,5,9
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-06-01,0,16,0,16,16
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,2,0,2,2
ALALAY,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,13,0,13,13
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,1,1,1,1,2
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,5,0,5,5
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,2,45,2,45,47
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,1,14,1,14,15
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,93,0,93,93
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,4,2,4,2,6
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,19,2,19,2,21
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,159,16,159,16,175
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,17,0,17,0,17
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,3,23,3,23,26
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,3,7,3,7,10
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,66,10,66,10,76
CUEVO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,9,0,9,0,9
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,80,104,80,104,184
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,13,29,13,29,42
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,8,8,8,8,16
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,58,37,58,37,95
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,2,1,2,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,1,1,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,24,21,24,21,45
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,5,0,5,5
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,1,0,1,0,1
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,3,0,3,3
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,34,10,34,10,44
