,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,9,0,9,9
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,3,9,3,9,12
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,2,0,2,2
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,3,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,4,47,4,47,51
PADCAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,5,0,5,5
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,2,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,4,0,4,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,2,25,2,25,27
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,1,1,1,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,1,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,0,1,0,1
PUNA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,4,1,4,1,5
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,20,0,20,20
SAIPINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,1,1,1,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,1,0,1,1
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,2,1,2,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,1,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,6,1,6,7
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,33,9,33,9,42
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,0,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,2,0,2,2
SICAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,5,1,5,6
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,10,20,10,20,30
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,7,0,7,7
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,3,0,3,3
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,2,1,2,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,4,0,4,0,4
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,3,0,3,3
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,6,0,6,0,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,10,15,10,15,25
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,5,1,5,1,6
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,1,2,1,2,3
CORIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,3,0,3,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,20,5,20,5,25
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,5,0,5,0,5
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,6,0,6,6
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,28,82,28,82,110
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,10,6,10,6,16
LAJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,4,0,4,4
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,3,7,3,7,10
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,1,0,1,0,1
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,2,0,2,0,2
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,4,0,4,4
PORCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,1,6,1,6,7
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,3,0,3,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,1,36,1,36,37
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,1,3,1,3,4
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,1,13,1,13,14
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,2,3,2,3,5
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,2,2,2,2,4
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,3,0,3,0,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,16,48,16,48,64
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,2,7,2,7,9
TARATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,3,0,3,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,12,5,12,5,17
TOLATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,2,31,2,31,33
UNCIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,1,2,1,2,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,3,8,3,8,11
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,1,2,1,2,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-06-01,0,1,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,1,1,1,1,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,2,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,8,12,8,12,20
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,8,1,8,1,9
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,0,1,0,1,1
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,0,3,0,3,3
CORIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,0,4,0,4,4
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,0,7,0,7,7
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,2,1,2,1,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,51,10,51,10,61
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,1,1,1,1,2
ICLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,0,3,0,3,3
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,9,19,9,19,28
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,1,1,1,1,2
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,5,0,5,0,5
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,0,7,0,7,7
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,5,0,5,0,5
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,1,1,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,5,0,5,0,5
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,1,21,1,21,22
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,0,4,0,4,4
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,1,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,65,26,65,26,91
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,2,2,2,2,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,10,7,10,7,17
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,3,2,3,2,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,2,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,27,51,27,51,78
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,0,1,0,1,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,0,3,0,3,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,2,4,2,4,6
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,0,1,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-07-01,2,0,2,0,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,0,2,0,2,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,0,14,0,14,14
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,1,0,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,4,4,4,4,8
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,11,3,11,3,14
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,10,0,10,0,10
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,1,2,1,2,3
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,0,3,0,3,3
COMARAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,4,2,4,2,6
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,27,12,27,12,39
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,0,3,0,3,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,3,1,3,1,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-08-01,18,17,18,17,35
