,group,variable,month,DPT 3RA DOSIS CANTIDAD,DPT 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,3,0,3,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,10,0,10,10
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,5,9,5,9,14
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,2,0,2,2
MAPIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,2,0,2,0,2
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,5,44,5,44,49
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,2,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,4,0,4,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,2,25,2,25,27
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,1,1,1,1,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,1,1,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,1,0,1,0,1
PUNA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,4,1,4,1,5
QUIME,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,18,0,18,18
SAIPINA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,1,1,1,1,2
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,1,2,1,2,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,1,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,1,6,1,6,7
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,43,5,43,5,48
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,1,0,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,3,0,3,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,1,5,1,5,6
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,10,20,10,20,30
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,2,4,2,4,6
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,3,0,3,3
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,3,2,3,2,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,3,0,3,3
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,3,0,3,3
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,4,0,4,0,4
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,3,0,3,3
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,6,0,6,0,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,2,0,2,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,12,20,12,20,32
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,5,1,5,1,6
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,5,2,5,2,7
CORIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,3,0,3,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,25,5,25,5,30
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,5,0,5,0,5
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,2,4,2,4,6
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,17,76,17,76,93
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,17,93,17,93,110
LAJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,4,0,4,4
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,3,7,3,7,10
MAPIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,2,0,2,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,1,0,1,0,1
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
OCURI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,2,0,2,0,2
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
PORCO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,1,8,1,8,9
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,3,0,3,0,3
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,1,36,1,36,37
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,1,3,1,3,4
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,1,13,1,13,14
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,2,3,2,3,5
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,2,2,2,2,4
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,3,0,3,0,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,16,47,16,47,63
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,3,7,3,7,10
TARATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
TARVITA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,4,0,4,4
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,12,5,12,5,17
TOLATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,2,31,2,31,33
UNCIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,1,2,1,2,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,3,8,3,8,11
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,2,3,2,3,5
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,1,2,1,2,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-06-01,0,1,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,1,0,1,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,7,0,7,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,1,1,1,2
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,0,1,0,1
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,2,0,2,2
CAMARGO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,3,4,3,4,7
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,2,0,2,0,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,9,12,9,12,21
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,8,0,8,0,8
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,1,0,1,1
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,3,0,3,3
CORIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,4,0,4,4
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,2,1,2,1,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,67,10,67,10,77
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,0,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,9,19,9,19,28
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,1,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,2,0,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,2,1,2,1,3
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,7,0,7,0,7
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,3,0,3,0,3
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,1,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,5,0,5,0,5
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,6,1,6,7
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,15,1,15,16
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,4,0,4,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,1,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,2,0,2,0,2
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,79,26,79,26,105
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,2,2,2,2,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,13,7,13,7,20
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,2,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,2,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,27,51,27,51,78
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,1,1,1,2
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,0,3,0,3,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,3,1,3,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,2,3,2,3,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,2,1,2,1,3
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-07-01,2,0,2,0,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,2,0,2,2
ARQUE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,5,2,5,2,7
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,65,0,65,65
CAJUATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,4,3,4,3,7
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,10,3,10,3,13
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,10,0,10,0,10
