,group,variable,month,DPT 2DA DOSIS CANTIDAD,DPT 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,2,3,2,3,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,2,0,2,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,0,8,0,8,8
VITICHI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,0,1,0,1,1
YACO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,0,8,0,8,8
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,1,0,1,1
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,2,0,2,0,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,2,0,2,2
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,1,0,1,1
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,4,0,4,4
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,5,0,5,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,9,1,9,1,10
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,5,0,5,0,5
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,2,2,2,2,4
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,7,0,7,0,7
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,1,3,1,3,4
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,4,9,4,9,13
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,2,0,2,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,3,9,3,9,12
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,2,2,2,2,4
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,4,0,4,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,2,1,2,1,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,12,2,12,2,14
MAIRANA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,1,0,1,0,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,3,0,3,0,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,58,5,58,5,63
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,2,5,2,5,7
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,2,3,2,3,5
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,34,3,34,3,37
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,1,1,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,1,5,1,5,6
QUIME,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,3,0,3,3
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,2,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,4,0,4,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,2,0,2,2
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,10,8,10,8,18
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,1,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,13,0,13,13
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,4,0,4,4
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,1,0,1,0,1
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,1,0,1,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,20,0,20,0,20
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,5,0,5,0,5
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,2,0,2,2
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,1,0,1,1
VITICHI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-05-01,0,2,0,2,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,1,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,2,0,2,0,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,2,1,2,1,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,21,1,21,22
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,12,1,12,13
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,8,13,8,13,21
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,0,1,0,1
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,12,1,12,13
CORIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,0,1,0,1
CULPINA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,14,8,14,8,22
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,6,1,6,7
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,2,0,2,2
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,14,0,14,0,14
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,10,0,10,0,10
LAJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,3,0,3,3
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,2,4,2,4,6
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,4,0,4,4
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,7,0,7,0,7
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,2,0,2,2
OCURI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,3,0,3,0,3
PADILLA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,1,0,1,1
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,4,0,4,4
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,2,1,2,3
PORCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,3,4,3,4,7
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,31,0,31,31
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,1,1,1,2
PUNA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,4,0,4,0,4
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,5,1,5,6
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,6,0,6,6
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,4,6,4,6,10
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,0,1,0,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,33,20,33,20,53
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,2,0,2,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,2,2,2,2,4
SORACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,4,1,4,1,5
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,1,0,1,1
TARVITA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,8,1,8,9
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,6,0,6,6
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,1,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,3,0,3,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,3,0,3,3
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,27,0,27,0,27
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,1,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,3,3,3,3,6
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-06-01,1,4,1,4,5
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,1,3,1,3,4
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,0,6,0,6,6
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,4,0,4,0,4
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,0,7,0,7,7
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,5,0,5,0,5
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,0,4,0,4,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,5,6,5,6,11
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,2,2,2,2,4
COLLANA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,3,0,3,0,3
CORIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,10,0,10,0,10
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,29,3,29,3,32
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,7,3,7,3,10
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,3,0,3,0,3
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,4,0,4,0,4
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,2,0,2,0,2
POOPO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,1,0,1,0,1
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,1,1,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,3,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,1,15,1,15,16
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,1,12,1,12,13
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,2,0,2,0,2
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,16,0,16,0,16
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,6,0,6,0,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,30,22,30,22,52
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,1,1,1,1,2
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,17,22,17,22,39
TACACOMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,1,0,1,0,1
