,group,variable,month,ANTI AMARÍLICA CANTIDAD,ANTI AMARÍLICA CANTIDAD,TOTALES,TOTALES,TOTALES
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,2,0,2,0,2
ROBORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,4,0,4,0,4
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,13,0,13,13
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,1,0,1,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,6,0,6,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,108,57,108,57,165
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
SORACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,3,0,3,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,6,0,6,0,6
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,11,0,11,0,11
TARVITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,3,8,3,8,11
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,2,0,2,0,2
TOLATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,1,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,9,0,9,0,9
TUPIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,2,1,2,3
URUBICHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,2,0,2,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,2,5,2,5,7
VILLAZON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,4,0,4,0,4
WARNES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,2,0,2,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,5,0,5,0,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,7,0,7,0,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,7,11,7,11,18
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,2,3,2,3,5
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,4,0,4,0,4
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,4,0,4,4
CHIMORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,2,0,2,0,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,6,1,6,7
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,62,35,62,35,97
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,4,0,4,4
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,2,0,2,2
COPACABANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,3,1,3,1,4
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,6,2,6,2,8
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,11,0,11,0,11
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,3,1,3,1,4
ESCOMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,0,1,0,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
GUAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,3,0,3,3
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,6,0,6,6
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,6,0,6,0,6
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,4,0,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,11,6,11,6,17
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,15,0,15,0,15
LURIBAY,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,5,0,5,5
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,3,0,3,3
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,3,0,3,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,7,0,7,0,7
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,6,1,6,1,7
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,2,0,2,0,2
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,0,1,0,1
POROMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,7,0,7,0,7
PUCARANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,0,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,3,1,3,1,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,3,1,3,1,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,2,6,2,6,8
SACACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,12,6,12,6,18
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,4,0,4,0,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,98,16,98,16,114
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,4,4,4,4,8
TACACOMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,2,1,2,3
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,2,7,2,7,9
TARACO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,6,0,6,0,6
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,4,0,4,4
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,5,15,5,15,20
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,6,0,6,6
TOCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,3,0,3,0,3
TOMINA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,6,0,6,0,6
TUPIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,10,1,10,11
VIACHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,8,2,8,2,10
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,4,7,4,7,11
VILLAZON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,5,0,5,0,5
WARNES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,0,1,0,1,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-03-01,5,1,5,1,6
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,2,0,2,0,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,3,0,3,3
AYATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,0,1,0,1
BAURES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,3,0,3,0,3
BETANZOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,2,0,2,2
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,8,0,8,8
CAIROMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,3,0,3,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,5,0,5,5
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,4,2,4,2,6
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,6,0,6,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,59,7,59,7,66
COLLANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,1,1,1,2
CUEVO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,2,0,2,0,2
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,1,1,1,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,38,55,38,55,93
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,5,1,5,6
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,2,0,2,2
GUAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,2,0,2,0,2
HUARINA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,2,0,2,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,2,0,2,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,0,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,5,0,5,0,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,70,2,70,2,72
LURIBAY,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,9,0,9,9
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,2,0,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,25,0,25,0,25
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,4,1,4,5
PASORAPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,3,1,3,4
PORONGO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,2,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,13,0,13,0,13
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,0,1,0,1
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,4,0,4,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,2,2,2,2,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,1,1,1,2
SABAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,5,1,5,1,6
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,5,0,5,5
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
