,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,3,0,3,3
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,11,0,11,11
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,5,0,5,5
ARBIETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,2,0,2,0,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,2,1,2,1,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,1,22,1,22,23
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,5,12,5,12,17
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,2,0,2,0,2
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,1,1,1,1,2
CORIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,14,6,14,6,20
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,1,5,1,5,6
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,2,0,2,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,5,0,5,0,5
LAJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,3,0,3,3
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,2,4,2,4,6
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,4,0,4,4
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,3,0,3,0,3
PADILLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,1,2,1,2,3
PORCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,3,2,3,2,5
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,1,5,1,5,6
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,6,0,6,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,14,20,14,20,34
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,2,0,2,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,3,2,3,2,5
SORACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,3,1,3,1,4
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,3,0,3,3
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,4,0,4,0,4
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,0,2,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-06-01,1,1,1,1,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,3,3,3,3,6
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,2,0,2,0,2
CORIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,22,3,22,3,25
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,4,3,4,3,7
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,4,0,4,0,4
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,2,0,2,0,2
POOPO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,1,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,3,0,3,0,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,6,1,6,7
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,0,8,0,8,8
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,0,1,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,24,25,24,25,49
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,3,1,3,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,12,22,12,22,34
TACACOMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,8,1,8,9
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,0,2,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,6,0,6,0,6
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-07-01,0,1,0,1,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,6,0,6,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,1,1,1,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,4,0,4,4
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,3,1,3,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,8,4,8,4,12
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
COMANCHE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,6,0,6,6
CORIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,2,0,2,0,2
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,9,29,9,29,38
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,14,11,14,11,25
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,6,2,6,2,8
MACHARETI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,1,1,1,2
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,2,0,2,0,2
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,1,1,1,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,37,0,37,0,37
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,3,8,3,8,11
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,3,2,3,2,5
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,3,0,3,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,1,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,12,37,12,37,49
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,3,1,3,1,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,4,0,4,0,4
TACACOMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,6,0,6,6
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,1,0,1,1
TOLATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,3,0,3,0,3
UYUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,3,0,3,0,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,3,9,3,9,12
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-08-01,1,5,1,5,6
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,3,1,3,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,1,0,1,1
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,1,0,1,1
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,3,0,3,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,2,0,2,0,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,2,1,2,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,2,0,2,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,4,6,4,6,10
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,2,1,2,3
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,10,5,10,5,15
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,18,15,18,15,33
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,3,0,3,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,3,5,3,5,8
