,group,variable,month,ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,14,0,14,14
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,3,7,3,7,10
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,6,0,6,0,6
MECAPACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,13,15,13,15,28
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,10,0,10,0,10
OCURI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,17,0,17,17
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,4,0,4,4
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,10,0,10,0,10
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,1,2,1,2,3
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,1,0,1,1
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,2,0,2,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,2,0,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,8,0,8,0,8
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,5,1,5,1,6
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,1,0,1,1
TOLATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,1,2,1,2,3
TOMAVE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,5,0,5,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,1,1,1,1,2
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,3,8,3,8,11
ACACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,10,0,10,10
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,1,0,1,1
ARANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,0,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,41,0,41,41
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,7,0,7,7
BATALLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,8,1,8,9
BERMEJO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,130,132,130,132,262
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,1,0,1,1
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,4,76,4,76,80
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,16,0,16,16
CAMARGO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,19,0,19,19
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,12,0,12,12
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,2,0,2,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,1,0,1,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,40,1,40,41
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,13,0,13,13
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,3,0,3,0,3
CLIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,91,0,91,91
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,21,9,21,9,30
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,32,178,32,178,210
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,1,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,6,5,6,5,11
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,4,0,4,4
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,3,0,3,3
CUEVO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,12,1,12,13
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,10,0,10,0,10
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,2,0,2,2
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,3,0,3,3
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,7,0,7,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,1,0,1,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,4,0,4,4
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,21,1,21,22
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,0,1,0,1
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,6,0,6,6
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,2,0,2,2
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,5,0,5,0,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,4,19,4,19,23
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,17,0,17,17
LLICA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,2,0,2,0,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,36,0,36,36
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,7,5,7,5,12
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,0,1,0,1
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,7,0,7,7
OCURI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,40,0,40,40
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,2,41,2,41,43
PADCAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,9,33,9,33,42
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,14,1,14,15
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,26,19,26,19,45
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,6,0,6,6
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,4,0,4,4
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,2,0,2,2
PUNA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,10,0,10,10
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,5,20,5,20,25
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,11,34,11,34,45
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,10,0,10,10
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,5,41,5,41,46
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,2,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,7,8,7,8,15
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,5,0,5,5
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,6,0,6,6
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,4,1,4,1,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,2,58,2,58,60
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,4,0,4,4
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,23,0,23,23
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,3,40,3,40,43
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,1,0,1,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,3,0,3,0,3
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,6,0,6,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,39,115,39,115,154
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,4,0,4,4
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,10,0,10,10
SORACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,5,0,5,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,5,74,5,74,79
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,3,1,3,1,4
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,3,0,3,3
TARACO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,1,0,1,1
TARATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,24,0,24,24
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,7,37,7,37,44
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,5,31,5,31,36
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,0,1,0,1
TURCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,1,1,1,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,17,10,17,10,27
UYUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,8,0,8,8
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,22,91,22,91,113
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,5,0,5,0,5
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,2,2,2,2,4
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,1,0,1,1
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,22,0,22,0,22
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-05-01,0,5,0,5,5
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,0,25,0,25,25
ARBIETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,2,45,2,45,47
ATOCHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,0,1,0,1,1
BAURES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,21,0,21,0,21
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,0,4,0,4,4
BERMEJO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,100,90,100,90,190
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,0,7,0,7,7
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,0,1,0,1,1
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,1,0,1,0,1
CAMARGO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,0,8,0,8,8
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,3,8,3,8,11
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,0,11,0,11,11
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,0,16,0,16,16
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,1,17,1,17,18
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,1,4,1,4,5
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,0,19,0,19,19
CLIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-06-01,42,10,42,10,52
