,group,variable,month,DPT 1RA DOSIS CANTIDAD,DPT 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,3,0,3,0,3
YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,0,2,0,2,2
ALALAY,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,0,15,0,15,15
ANZALDO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,0,5,0,5,5
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,1,1,1,1,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,5,0,5,0,5
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,0,20,0,20,20
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,8,2,8,2,10
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,13,4,13,4,17
OCURI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,8,0,8,0,8
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,3,0,3,0,3
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,1,1,1,1,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,0,2,0,2,2
PUCARANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,3,0,3,0,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,0,3,0,3,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,6,0,6,0,6
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,10,0,10,0,10
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,3,0,3,0,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,0,4,0,4,4
SORACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,2,1,2,1,3
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,10,0,10,0,10
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,0,1,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,0,3,0,3,3
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,0,7,0,7,7
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,2,0,2,0,2
VITICHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,0,3,0,3,3
YACO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,0,2,0,2,2
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,1,0,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-04-01,1,0,1,0,1
ACACIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,10,0,10,10
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,2,0,2,2
ARANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,0,1,0,1
ARQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,5,5,5,5,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,7,0,7,7
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,6,18,6,18,24
BATALLAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,3,70,3,70,73
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,130,132,130,132,262
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,1,0,1,1
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,2,0,2,2
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,4,76,4,76,80
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,16,0,16,16
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,10,0,10,10
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,1,0,1,1
CAMARGO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,19,0,19,19
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,16,0,16,16
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,2,0,2,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,1,0,1,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,21,1,21,22
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,17,0,17,17
CHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,3,2,3,2,5
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,13,0,13,13
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,3,0,3,0,3
CLIZA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,53,0,53,53
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,21,9,21,9,30
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,3,3,3,3,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,15,132,15,132,147
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,2,0,2,2
COMARAPA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,6,5,6,5,11
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,4,0,4,4
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,3,0,3,3
CUEVO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,24,1,24,25
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,2,1,2,3
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,10,0,10,0,10
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,8,0,8,8
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,2,0,2,2
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,5,0,5,5
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,7,0,7,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,6,0,6,6
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,1,0,1,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,4,0,4,4
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,21,1,21,22
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,10,1,10,11
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,6,0,6,6
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,23,0,23,0,23
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,2,0,2,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,28,19,28,19,47
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,13,18,13,18,31
LLICA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,2,0,2,0,2
LORETO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,12,0,12,0,12
MAPIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,2,0,2,0,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,1,1,1,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,3,38,3,38,41
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,7,5,7,5,12
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,35,4,35,4,39
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,7,0,7,7
OCURI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,4,43,4,43,47
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,22,42,22,42,64
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,14,1,14,15
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,13,1,13,14
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,26,17,26,17,43
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,6,0,6,6
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,4,0,4,4
PUCARANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,5,2,5,2,7
PUNA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,10,0,10,10
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,8,15,8,15,23
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,11,34,11,34,45
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,10,0,10,10
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,6,104,6,104,110
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,2,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,3,7,3,7,10
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,6,0,6,6
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,7,1,7,1,8
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,1,0,1,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,2,58,2,58,60
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,23,0,23,23
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,3,124,3,124,127
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,1,0,1,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,1,0,1,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,0,1,0,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,6,0,6,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,38,25,38,25,63
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,5,0,5,5
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,4,0,4,4
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,2,0,2,0,2
SORACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,5,0,5,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,17,120,17,120,137
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,5,22,5,22,27
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,5,0,5,5
TARACO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,1,0,1,1
TARATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,10,0,10,0,10
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,9,22,9,22,31
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,24,43,24,43,67
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,6,20,6,20,26
TOLEDO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,6,1,6,7
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,2,0,2,0,2
TURCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,1,1,1,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,16,9,16,9,25
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,8,0,8,8
VILA VILA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,3,0,3,3
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,6,0,6,0,6
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,22,104,22,104,126
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,4,0,4,0,4
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,2,4,2,4,6
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,1,0,1,1
VITICHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,18,4,18,4,22
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,20,0,20,0,20
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,10,0,10,10
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-05-01,0,5,0,5,5
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,19,0,19,19
ARBIETO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,24,0,24,24
