,group,variable,month,ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
ICLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,17,30,17,30,47
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,6,20,6,20,26
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,4,2,4,2,6
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,30,10,30,10,40
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,4,1,4,1,5
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,3,5,3,5,8
LORETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,14,38,14,38,52
MAIRANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,3,0,3,3
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,2,0,2,2
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,50,193,50,193,243
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,61,0,61,61
PADCAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,14,0,14,14
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,5,7,5,7,12
POROMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,24,59,24,59,83
PORONGO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,31,0,31,31
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,25,47,25,47,72
PRESTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,123,0,123,123
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,30,0,30,0,30
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,13,50,13,50,63
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,28,0,28,28
REYES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,26,0,26,0,26
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,27,0,27,0,27
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,191,0,191,191
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,69,0,69,69
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,7,0,7,7
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,34,26,34,26,60
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,4,11,4,11,15
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,2,0,2,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,7,175,7,175,182
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,21,8,21,8,29
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,3,9,3,9,12
SORACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,8,18,8,18,26
TARABUCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,122,130,122,130,252
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,61,132,61,132,193
TARVITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,11,88,11,88,99
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,18,0,18,18
TOMINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,2,0,2,0,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,2,12,2,12,14
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,3,0,3,0,3
TUPIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,14,0,14,14
UYUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,5,3,5,3,8
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,11,11,11,11,22
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,32,142,32,142,174
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,32,24,32,24,56
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,5,63,5,63,68
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,5,0,5,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,4,30,4,30,34
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,18,0,18,18
YOTALA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,0,5,0,5,5
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-05-01,16,1,16,1,17
APOLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,2,0,2,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,8,0,8,8
BAURES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,128,0,128,128
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,5,8,5,8,13
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,10,0,10,10
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,5,0,5,0,5
CALACOTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,4,0,4,4
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,0,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,42,1,42,43
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,3,5,3,5,8
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,18,1,18,19
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,23,38,23,38,61
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,42,8,42,8,50
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,3,0,3,0,3
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,3,1,3,4
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,17,1,17,18
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,10,0,10,10
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,4,50,4,50,54
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,15,15,15,15,30
CUEVO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,7,9,7,9,16
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,17,0,17,0,17
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,18,0,18,18
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,3,7,3,7,10
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,28,8,28,8,36
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,46,197,46,197,243
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,68,56,68,56,124
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,26,53,26,53,79
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,0,1,0,1
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,105,1,105,106
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,5,0,5,5
ICLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,12,29,12,29,41
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,13,10,13,10,23
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,14,0,14,0,14
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,2,6,2,6,8
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,3,1,3,4
LAJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,10,0,10,10
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,10,29,10,29,39
LORETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,2,3,2,3,5
MACHARETI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,16,1,16,17
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,14,0,14,14
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,8,6,8,6,14
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,5,1,5,1,6
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,2,15,2,15,17
POROMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,7,0,7,7
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,3,0,3,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,43,14,43,14,57
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,43,0,43,43
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,10,0,10,0,10
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,7,39,7,39,46
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,4,0,4,4
REYES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,5,12,5,12,17
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,11,1,11,12
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,4,65,4,65,69
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,3,0,3,3
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,46,136,46,136,182
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,64,326,64,326,390
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,30,0,30,30
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,65,42,65,42,107
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,10,0,10,10
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,44,23,44,23,67
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,13,7,13,7,20
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,6,0,6,6
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,15,0,15,15
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,22,0,22,22
SORACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,40,35,40,35,75
TARABUCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,2,12,2,12,14
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,150,131,150,131,281
TARVITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,19,45,19,45,64
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,2,8,2,8,10
TOMINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,16,1,16,17
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,9,0,9,9
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,42,578,42,578,620
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,27,0,27,27
UYUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,0,1,0,1
VACAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,1,1,1,2
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,17,0,17,0,17
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,22,33,22,33,55
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,67,111,67,111,178
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,13,9,13,9,22
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,19,87,19,87,106
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,2,1,2,1,3
YOTALA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,1,1,1,1,2
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-06-01,0,16,0,16,16
