,group,variable,month,SRP DOSIS ÚNICA CANTIDAD,SRP DOSIS ÚNICA CANTIDAD,TOTALES,TOTALES,TOTALES
VILLAZON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,3,0,3,3
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,5,0,5,0,5
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,1,0,1,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,4,0,4,0,4
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,11,0,11,11
ARQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,3,0,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,2,0,2,0,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,0,1,0,1
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,2,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,4,0,4,4
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,8,0,8,0,8
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,2,0,2,0,2
CHUMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,7,0,7,7
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,2,2,2,2,4
COCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,16,55,16,55,71
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,6,1,6,1,7
COROICO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,2,1,2,3
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,12,1,12,1,13
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,2,2,2,2,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,1,0,1,1
ESCOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,1,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,1,1,1,2
GUAQUI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,4,0,4,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,1,0,1,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,3,0,3,3
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,1,0,1,1
ICHOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,1,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,2,6,2,6,8
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,4,0,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,24,0,24,0,24
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,1,0,1,1
LURIBAY,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,10,0,10,10
MECAPACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,5,0,5,5
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,2,0,2,0,2
OCURI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,2,35,2,35,37
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,7,1,7,1,8
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,2,5,2,5,7
PORONGO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,5,0,5,0,5
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,1,0,1,1
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,2,0,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,1,0,1,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,6,3,6,3,9
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,6,0,6,0,6
ROBORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,5,2,5,2,7
SACACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,0,1,0,1
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,6,0,6,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,6,0,6,0,6
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,14,0,14,14
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,8,0,8,8
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,9,0,9,9
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,62,26,62,26,88
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,14,5,14,5,19
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,1,0,1,1
TARACO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,3,11,3,11,14
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,6,1,6,1,7
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,0,2,0,2,2
TIPUANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,4,10,4,10,14
VIACHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,11,3,11,3,14
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,1,1,1,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,5,1,5,6
VILLAZON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-03-01,2,1,2,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,5,0,5,5
AZURDUY,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,2,0,2,2
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,1,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,4,0,4,0,4
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,5,0,5,5
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,1,0,1,1
CHAQUI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,1,1,1,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,2,2,2,2,4
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,28,10,28,10,38
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,5,1,5,1,6
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
CUEVO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,29,23,29,23,52
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,6,1,6,1,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,70,0,70,0,70
MACHARETI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,2,2,2,2,4
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,10,0,10,0,10
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,8,0,8,0,8
POCONA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,1,0,1,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,2,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,3,0,3,0,3
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,6,2,6,2,8
REYES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,9,1,9,10
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,3,1,3,1,4
ROBORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,2,0,2,0,2
SABAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,6,1,6,1,7
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,3,3,3,3,6
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,8,0,8,8
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,44,10,44,10,54
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,2,1,2,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,7,1,7,1,8
TACACOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,1,0,1,1
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,4,0,4,0,4
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,3,1,3,1,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,1,1,1,2
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,3,0,3,0,3
VITICHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,3,3,3,3,6
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-04-01,1,0,1,0,1
ACACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,7,0,7,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,11,7,11,7,18
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,3,1,3,4
BETANZOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,0,1,0,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,5,18,5,18,23
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,8,0,8,8
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,5,0,5,0,5
CARAPARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,3,0,3,3
CHAQUI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,4,0,4,4
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,5,0,5,5
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,2,1,2,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,2,1,2,1,3
COCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,19,69,19,69,88
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,5,0,5,0,5
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,4,0,4,0,4
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
CORO CORO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,30,1,30,31
CURVA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,42,142,42,142,184
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,6,1,6,1,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
ESCOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,8,0,8,8
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
