,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
ESCOMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,12,0,12
ESMERALDA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,0,1,1
EUCALIPTUS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,3,0,3
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
EXALTACION,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,5,0,5
FERNANDEZ ALONSO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,30,0,30
FILADELFIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,6,4,10
GENERAL SAAVEDRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,21,0,21
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,10,2,12
GUANAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,18,1,19
GUAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,1,3
GUAYARAMERIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,115,1,116
GUTIERREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,11,4,15
HUACARETA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,15,1,16
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,3,4
HUACHACALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,0,2
HUANUNI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,67,0,67
HUARACAJE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
HUARINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,6,0,6
HUATAJATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,5,0,5
HUAYLLAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,3,0,3
HUMANATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
ICHOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,1,3
ICLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,8,3,11
INCAHUASI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,15,1,16
INGAVI (HUMAITA),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,4,0,4
INQUISIVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,14,4,18
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,13,0,13
IXIAMAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,14,2,16
JESUS DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,16,0,16
LA ASUNTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,78,1,79
LA GUARDIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,194,0,194
LA PAZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1684,0,1684
LAGUNILLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,5,3,8
LAJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,10,0,10
LAS CARRERAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,4,0,4
LICOMA PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,4,0,4
LLALLAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,70,2,72
LLICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,4,0,4
LORETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,11,1,12
LURIBAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,6,0,6
MACHACAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,1,3
MACHARETI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,18,0,18
MAGDALENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,13,0,13
MAIRANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,22,0,22
MALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,3,3,6
MAPIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,38,0,38
MECAPACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,17,1,18
MINEROS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,50,0,50
MIZQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,29,0,29
MOCOMOCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,4,2,6
MOJINETE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
MOJOCOYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,9,0,9
MONTEAGUDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,30,0,30
MONTERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,278,0,278
MORO MORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
MOROCHATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,20,1,21
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
OCURI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,17,1,18
OKINAWA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,38,0,38
OMEREQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,9,0,9
ORURO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,894,0,894
PADCAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,19,1,20
PADILLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,26,4,30
PAILON,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,46,2,48
PALCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,35,2,37
PALOS BLANCOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,69,0,69
PAMPA AULLAGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,0,2
PAMPA GRANDE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,10,0,10
PAPEL PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,5,1,6
PASORAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,2,3
PATACAMAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,32,2,34
PAZÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,10,0,10
PELECHUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,10,0,10
POCOATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,14,2,16
POCONA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,13,1,14
POJO (CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,26,0,26
POOPO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,17,0,17
PORCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,29,0,29
POROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,14,2,16
PORONGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,11,0,11
PORTACHUELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,53,0,53
PORVENIR,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,16,0,16
POSTRER VALLE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,3,2,5
POTOSI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,568,5,573
PRESTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,8,5,13
PUCARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,28,2,30
PUERTO ACOSTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,7,4,11
PUERTO CARABUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,15,2,17
PUERTO GONZALO MORENO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,16,0,16
PUERTO PEREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,5,0,5
PUERTO QUIJARRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,38,0,38
PUERTO RICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,19,0,19
PUERTO SILES,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,3,0,3
PUERTO SUAREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,40,0,40
PUERTO VILLARROEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,98,0,98
PUNA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,30,0,30
PUNATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,61,0,61
QUIABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,6,0,6
QUILLACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,286,2,288
QUIME,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,9,0,9
QUIRUSILLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,0,2
RAVELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,9,3,12
REYES,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,16,2,18
RIBERALTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,281,1,282
ROBORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,28,0,28
RURRENABAQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,29,0,29
SABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,4,0,4
SACABA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,308,0,308
SACABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,7,0,7
SACACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,15,0,15
SAIPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,9,0,9
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,6,1,7
SAMAIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,13,0,13
SAN ANDRES,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,14,0,14
SAN ANDRES DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,7,2,9
SAN BENITO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,16,0,16
SAN BORJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,86,2,88
SAN BUENA VENTURA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,25,0,25
SAN CARLOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,56,0,56
SAN IGNACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,50,1,51
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,81,8,89
SAN JAVIER(BNI),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,3,0,3
SAN JAVIER(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,27,0,27
SAN JOAQUIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,11,0,11
SAN JOSE DE CHIQUITOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,42,0,42
SAN JUAN DE YAPACANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,16,0,16
SAN JULIAN,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,191,5,196
SAN LORENZO(PND),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,8,4,12
SAN LORENZO(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,24,0,24
SAN LUCAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,50,11,61
SAN MATIAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,27,0,27
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,22,1,23
SAN PABLO DE LIPEZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,2,3
SAN PEDRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,30,0,30
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,23,4,27
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,6,0,6
SAN PEDRO DE TIQUINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,7,1,8
SAN PEDRO(PND),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
SAN RAFAEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,5,0,5
SAN RAMON BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,4,0,4
SAN RAMON SCZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,12,0,12
SANTA ANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,36,0,36
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,3463,1,3464
SANTA ROSA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,20,0,20
SANTA ROSA DEL SARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,22,0,22
SANTIAGO DE CALLAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,1,3
SANTIAGO DE HUARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,12,1,13
SANTIAGO DE HUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
SANTIVAÑES,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,7,0,7
SANTUARIO DE QUILLACAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,0,2
SAPAHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,6,0,6
SENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,6,0,6
SHINAOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,114,0,114
SICA SICA (VILLA AROMA),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,26,1,27
SICAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,4,0,4
SIPE SIPE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,101,0,101
SOPACHUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,11,1,12
SORACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,5,1,6
SORATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,26,0,26
SUCRE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,631,3,634
TACACOMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,8,1,9
TACOBAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,6,1,7
TACOPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,12,0,12
TAPACARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,24,4,28
TARABUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,16,3,19
TARACO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,7,1,8
TARATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,12,0,12
TARIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,458,2,460
TARVITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,20,9,29
TEOPONTE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,7,1,8
TIAWANACU,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,21,3,24
TINGUIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,22,3,25
TIPUANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,21,0,21
TIQUIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,110,3,113
TIRAQUE (CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,14,1,15
TOCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,6,0,6
TOLATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,8,0,8
TOLEDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,5,0,5
TOMAVE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,7,2,9
TOMINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,23,0,23
