,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
LAGUNILLAS,consultas prenatales,repetidas,2013-01-01,35,1,36
LAJA,consultas prenatales,repetidas,2013-01-01,74,0,74
LAS CARRERAS,consultas prenatales,repetidas,2013-01-01,25,0,25
LICOMA PAMPA,consultas prenatales,repetidas,2013-01-01,6,1,7
LLALLAGUA,consultas prenatales,repetidas,2013-01-01,351,6,357
LLICA,consultas prenatales,repetidas,2013-01-01,22,0,22
LORETO,consultas prenatales,repetidas,2013-01-01,28,2,30
LURIBAY,consultas prenatales,repetidas,2013-01-01,20,2,22
MACHACAMARCA,consultas prenatales,repetidas,2013-01-01,28,1,29
MACHARETI,consultas prenatales,repetidas,2013-01-01,38,0,38
MAGDALENA,consultas prenatales,repetidas,2013-01-01,96,0,96
MAIRANA,consultas prenatales,repetidas,2013-01-01,101,0,101
MALLA,consultas prenatales,repetidas,2013-01-01,1,2,3
MAPIRI,consultas prenatales,repetidas,2013-01-01,105,0,105
MECAPACA,consultas prenatales,repetidas,2013-01-01,24,4,28
MINEROS,consultas prenatales,repetidas,2013-01-01,207,0,207
MIZQUE,consultas prenatales,repetidas,2013-01-01,218,9,227
MOCOMOCO,consultas prenatales,repetidas,2013-01-01,25,3,28
MOJINETE,consultas prenatales,repetidas,2013-01-01,3,0,3
MOJOCOYA,consultas prenatales,repetidas,2013-01-01,25,2,27
MONTEAGUDO,consultas prenatales,repetidas,2013-01-01,161,2,163
MONTERO,consultas prenatales,repetidas,2013-01-01,1066,0,1066
MORO MORO,consultas prenatales,repetidas,2013-01-01,8,0,8
MOROCHATA,consultas prenatales,repetidas,2013-01-01,34,22,56
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2013-01-01,23,0,23
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2013-01-01,6,3,9
OCURI,consultas prenatales,repetidas,2013-01-01,56,29,85
OKINAWA,consultas prenatales,repetidas,2013-01-01,106,0,106
OMEREQUE,consultas prenatales,repetidas,2013-01-01,42,5,47
ORURO,consultas prenatales,repetidas,2013-01-01,2737,0,2737
PADCAYA,consultas prenatales,repetidas,2013-01-01,84,3,87
PADILLA,consultas prenatales,repetidas,2013-01-01,79,7,86
PAILON,consultas prenatales,repetidas,2013-01-01,47,6,53
PALCA,consultas prenatales,repetidas,2013-01-01,46,8,54
PALOS BLANCOS,consultas prenatales,repetidas,2013-01-01,228,1,229
PAMPA AULLAGAS,consultas prenatales,repetidas,2013-01-01,11,0,11
PAMPA GRANDE,consultas prenatales,repetidas,2013-01-01,55,0,55
PAPEL PAMPA,consultas prenatales,repetidas,2013-01-01,19,16,35
PASORAPA,consultas prenatales,repetidas,2013-01-01,4,1,5
PATACAMAYA,consultas prenatales,repetidas,2013-01-01,120,4,124
PAZÑA,consultas prenatales,repetidas,2013-01-01,21,8,29
PELECHUCO,consultas prenatales,repetidas,2013-01-01,21,1,22
POCOATA,consultas prenatales,repetidas,2013-01-01,57,22,79
POCONA,consultas prenatales,repetidas,2013-01-01,38,2,40
POJO (CBBA),consultas prenatales,repetidas,2013-01-01,63,0,63
POOPO,consultas prenatales,repetidas,2013-01-01,37,1,38
PORCO,consultas prenatales,repetidas,2013-01-01,98,0,98
POROMA,consultas prenatales,repetidas,2013-01-01,63,22,85
PORONGO,consultas prenatales,repetidas,2013-01-01,35,6,41
PORTACHUELO,consultas prenatales,repetidas,2013-01-01,210,0,210
PORVENIR,consultas prenatales,repetidas,2013-01-01,31,0,31
POSTRER VALLE,consultas prenatales,repetidas,2013-01-01,5,2,7
POTOSI,consultas prenatales,repetidas,2013-01-01,1382,0,1382
PRESTO,consultas prenatales,repetidas,2013-01-01,16,18,34
PUCARA,consultas prenatales,repetidas,2013-01-01,3,4,7
PUCARANI,consultas prenatales,repetidas,2013-01-01,111,3,114
PUERTO ACOSTA,consultas prenatales,repetidas,2013-01-01,21,15,36
PUERTO CARABUCO,consultas prenatales,repetidas,2013-01-01,16,7,23
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2013-01-01,32,2,34
PUERTO PEREZ,consultas prenatales,repetidas,2013-01-01,18,5,23
PUERTO QUIJARRO,consultas prenatales,repetidas,2013-01-01,79,0,79
PUERTO RICO,consultas prenatales,repetidas,2013-01-01,53,1,54
PUERTO SILES,consultas prenatales,repetidas,2013-01-01,3,1,4
PUERTO SUAREZ,consultas prenatales,repetidas,2013-01-01,176,0,176
PUERTO VILLARROEL,consultas prenatales,repetidas,2013-01-01,587,0,587
PUNA,consultas prenatales,repetidas,2013-01-01,77,8,85
PUNATA,consultas prenatales,repetidas,2013-01-01,270,0,270
QUIABAYA,consultas prenatales,repetidas,2013-01-01,10,1,11
QUILLACOLLO,consultas prenatales,repetidas,2013-01-01,873,4,877
QUIME,consultas prenatales,repetidas,2013-01-01,55,1,56
QUIRUSILLAS,consultas prenatales,repetidas,2013-01-01,11,0,11
RAVELO,consultas prenatales,repetidas,2013-01-01,34,13,47
REYES,consultas prenatales,repetidas,2013-01-01,95,7,102
RIBERALTA,consultas prenatales,repetidas,2013-01-01,1128,16,1144
ROBORE,consultas prenatales,repetidas,2013-01-01,99,0,99
RURRENABAQUE,consultas prenatales,repetidas,2013-01-01,145,0,145
SABAYA,consultas prenatales,repetidas,2013-01-01,8,3,11
SACABA,consultas prenatales,repetidas,2013-01-01,1087,0,1087
SACABAMBA,consultas prenatales,repetidas,2013-01-01,12,0,12
SACACA,consultas prenatales,repetidas,2013-01-01,81,3,84
SAIPINA,consultas prenatales,repetidas,2013-01-01,40,0,40
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2013-01-01,26,14,40
SAMAIPATA,consultas prenatales,repetidas,2013-01-01,57,0,57
SAN AGUSTIN,consultas prenatales,repetidas,2013-01-01,4,1,5
SAN ANDRES,consultas prenatales,repetidas,2013-01-01,59,0,59
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2013-01-01,3,25,28
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2013-01-01,9,0,9
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2013-01-01,29,6,35
SAN BENITO,consultas prenatales,repetidas,2013-01-01,94,1,95
SAN BORJA,consultas prenatales,repetidas,2013-01-01,279,2,281
SAN BUENA VENTURA,consultas prenatales,repetidas,2013-01-01,99,0,99
SAN CARLOS,consultas prenatales,repetidas,2013-01-01,194,0,194
SAN IGNACIO,consultas prenatales,repetidas,2013-01-01,164,8,172
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2013-01-01,405,24,429
SAN JAVIER(BNI),consultas prenatales,repetidas,2013-01-01,7,0,7
SAN JAVIER(STC),consultas prenatales,repetidas,2013-01-01,131,0,131
SAN JOAQUIN,consultas prenatales,repetidas,2013-01-01,32,0,32
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2013-01-01,122,0,122
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2013-01-01,20,0,20
SAN JULIAN,consultas prenatales,repetidas,2013-01-01,284,7,291
SAN LORENZO(PND),consultas prenatales,repetidas,2013-01-01,7,7,14
SAN LORENZO(TJA),consultas prenatales,repetidas,2013-01-01,103,11,114
SAN LUCAS,consultas prenatales,repetidas,2013-01-01,150,58,208
SAN MATIAS,consultas prenatales,repetidas,2013-01-01,143,0,143
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2013-01-01,86,1,87
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2013-01-01,11,1,12
SAN PEDRO,consultas prenatales,repetidas,2013-01-01,108,7,115
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2013-01-01,73,14,87
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2013-01-01,17,4,21
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2013-01-01,1,0,1
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2013-01-01,11,0,11
SAN PEDRO(PND),consultas prenatales,repetidas,2013-01-01,2,2,4
SAN RAFAEL,consultas prenatales,repetidas,2013-01-01,38,0,38
SAN RAMON BENI,consultas prenatales,repetidas,2013-01-01,38,0,38
SAN RAMON SCZ,consultas prenatales,repetidas,2013-01-01,94,0,94
SANTA ANA,consultas prenatales,repetidas,2013-01-01,207,0,207
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2013-01-01,10589,0,10589
SANTA ROSA,consultas prenatales,repetidas,2013-01-01,62,1,63
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2013-01-01,101,0,101
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2013-01-01,13,10,23
SANTIAGO DE HUARI,consultas prenatales,repetidas,2013-01-01,41,1,42
SANTIAGO DE HUATA,consultas prenatales,repetidas,2013-01-01,20,5,25
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2013-01-01,18,0,18
SANTIVAÑES,consultas prenatales,repetidas,2013-01-01,31,3,34
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2013-01-01,13,2,15
SAPAHAQUI,consultas prenatales,repetidas,2013-01-01,28,7,35
SENA,consultas prenatales,repetidas,2013-01-01,17,0,17
SHINAOTA,consultas prenatales,repetidas,2013-01-01,449,0,449
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2013-01-01,73,2,75
SICAYA,consultas prenatales,repetidas,2013-01-01,14,0,14
SIPE SIPE,consultas prenatales,repetidas,2013-01-01,430,0,430
SOPACHUY,consultas prenatales,repetidas,2013-01-01,29,8,37
SORACACHI,consultas prenatales,repetidas,2013-01-01,34,2,36
SORATA,consultas prenatales,repetidas,2013-01-01,95,12,107
SUCRE,consultas prenatales,repetidas,2013-01-01,2199,5,2204
TACACHI,consultas prenatales,repetidas,2013-01-01,5,0,5
TACACOMA,consultas prenatales,repetidas,2013-01-01,45,0,45
TACOBAMBA,consultas prenatales,repetidas,2013-01-01,22,6,28
TACOPAYA,consultas prenatales,repetidas,2013-01-01,45,1,46
TAHUA,consultas prenatales,repetidas,2013-01-01,2,0,2
TAPACARI,consultas prenatales,repetidas,2013-01-01,69,20,89
TARABUCO,consultas prenatales,repetidas,2013-01-01,71,13,84
TARACO,consultas prenatales,repetidas,2013-01-01,11,2,13
TARATA,consultas prenatales,repetidas,2013-01-01,75,0,75
TARIJA,consultas prenatales,repetidas,2013-01-01,1947,0,1947
TARVITA,consultas prenatales,repetidas,2013-01-01,45,25,70
TEOPONTE,consultas prenatales,repetidas,2013-01-01,59,3,62
TIAWANACU,consultas prenatales,repetidas,2013-01-01,54,2,56
TINGUIPAYA,consultas prenatales,repetidas,2013-01-01,64,13,77
TIPUANI,consultas prenatales,repetidas,2013-01-01,66,0,66
TIQUIPAYA,consultas prenatales,repetidas,2013-01-01,469,4,473
TIRAQUE (CBBA),consultas prenatales,repetidas,2013-01-01,95,5,100
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2013-01-01,2,1,3
TOCO,consultas prenatales,repetidas,2013-01-01,32,0,32
TODOS SANTOS,consultas prenatales,repetidas,2013-01-01,1,0,1
TOLATA,consultas prenatales,repetidas,2013-01-01,28,0,28
TOLEDO,consultas prenatales,repetidas,2013-01-01,10,1,11
TOMAVE,consultas prenatales,repetidas,2013-01-01,19,20,39
TOMINA,consultas prenatales,repetidas,2013-01-01,44,1,45
TORO TORO,consultas prenatales,repetidas,2013-01-01,19,5,24
TOTORA(CBBA),consultas prenatales,repetidas,2013-01-01,164,2,166
TOTORA(ORR),consultas prenatales,repetidas,2013-01-01,15,3,18
TRIGAL,consultas prenatales,repetidas,2013-01-01,5,0,5
TRINIDAD,consultas prenatales,repetidas,2013-01-01,1115,2,1117
TUPIZA,consultas prenatales,repetidas,2013-01-01,291,13,304
TURCO,consultas prenatales,repetidas,2013-01-01,10,1,11
UMALA,consultas prenatales,repetidas,2013-01-01,4,11,15
UNCIA,consultas prenatales,repetidas,2013-01-01,149,12,161
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2013-01-01,91,3,94
URUBICHA,consultas prenatales,repetidas,2013-01-01,36,0,36
UYUNI,consultas prenatales,repetidas,2013-01-01,262,6,268
VACAS,consultas prenatales,repetidas,2013-01-01,44,3,47
VALLEGRANDE,consultas prenatales,repetidas,2013-01-01,111,0,111
VIACHA,consultas prenatales,repetidas,2013-01-01,324,3,327
VILA VILA,consultas prenatales,repetidas,2013-01-01,7,0,7
VILLA CHARCAS,consultas prenatales,repetidas,2013-01-01,57,29,86
VILLA MONTES,consultas prenatales,repetidas,2013-01-01,381,9,390
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2013-01-01,13,0,13
VILLA RIVERO,consultas prenatales,repetidas,2013-01-01,60,1,61
VILLA SERRANO,consultas prenatales,repetidas,2013-01-01,43,8,51
VILLA TUNARI,consultas prenatales,repetidas,2013-01-01,626,4,630
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2013-01-01,36,10,46
VILLAZON,consultas prenatales,repetidas,2013-01-01,335,14,349
VINTO,consultas prenatales,repetidas,2013-01-01,320,30,350
VITICHI,consultas prenatales,repetidas,2013-01-01,32,9,41
WALDO BALLIVIAN,consultas prenatales,repetidas,2013-01-01,13,0,13
WARNES,consultas prenatales,repetidas,2013-01-01,589,0,589
YACO,consultas prenatales,repetidas,2013-01-01,12,3,15
YACUIBA,consultas prenatales,repetidas,2013-01-01,674,8,682
YAMPARAEZ,consultas prenatales,repetidas,2013-01-01,27,6,33
YANACACHI,consultas prenatales,repetidas,2013-01-01,25,6,31
YAPACANI,consultas prenatales,repetidas,2013-01-01,507,2,509
YOCALLA,consultas prenatales,repetidas,2013-01-01,29,9,38
YOTALA,consultas prenatales,repetidas,2013-01-01,40,4,44
YUNCHARA,consultas prenatales,repetidas,2013-01-01,5,14,19
YUNGUYO DE LITORAL,consultas prenatales,repetidas,2013-01-01,0,1,1
ZUDAÑEZ,consultas prenatales,repetidas,2013-01-01,42,4,46
ACACIO,consultas prenatales,repetidas,2013-02-01,8,1,9
ACHACACHI,consultas prenatales,repetidas,2013-02-01,164,7,171
ACHOCALLA,consultas prenatales,repetidas,2013-02-01,39,10,49
AIQUILE,consultas prenatales,repetidas,2013-02-01,155,2,157
ALALAY,consultas prenatales,repetidas,2013-02-01,4,3,7
ALCALA,consultas prenatales,repetidas,2013-02-01,19,0,19
ALTO BENI,consultas prenatales,repetidas,2013-02-01,44,1,45
ANCORAIMES,consultas prenatales,repetidas,2013-02-01,40,4,44
ANDAMARCA,consultas prenatales,repetidas,2013-02-01,8,3,11
ANTEQUERA,consultas prenatales,repetidas,2013-02-01,16,0,16
ANZALDO,consultas prenatales,repetidas,2013-02-01,12,5,17
APOLO,consultas prenatales,repetidas,2013-02-01,94,8,102
ARAMPAMPA,consultas prenatales,repetidas,2013-02-01,6,9,15
ARANI,consultas prenatales,repetidas,2013-02-01,88,2,90
ARBIETO,consultas prenatales,repetidas,2013-02-01,56,7,63
ARQUE,consultas prenatales,repetidas,2013-02-01,50,0,50
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2013-02-01,102,4,106
ATOCHA,consultas prenatales,repetidas,2013-02-01,67,1,68
AUCAPATA,consultas prenatales,repetidas,2013-02-01,8,2,10
AYATA,consultas prenatales,repetidas,2013-02-01,17,1,18
AYO AYO,consultas prenatales,repetidas,2013-02-01,29,0,29
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2013-02-01,137,4,141
AZURDUY,consultas prenatales,repetidas,2013-02-01,26,7,33
BATALLAS,consultas prenatales,repetidas,2013-02-01,58,8,66
BAURES,consultas prenatales,repetidas,2013-02-01,36,0,36
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2013-02-01,2,2,4
BELEN DE URMIRI,consultas prenatales,repetidas,2013-02-01,0,5,5
BELLA FLOR,consultas prenatales,repetidas,2013-02-01,5,1,6
BERMEJO,consultas prenatales,repetidas,2013-02-01,273,2,275
BETANZOS,consultas prenatales,repetidas,2013-02-01,111,10,121
BOLIVAR,consultas prenatales,repetidas,2013-02-01,17,3,20
BOLPEBRA,consultas prenatales,repetidas,2013-02-01,5,2,7
BOYUIBE,consultas prenatales,repetidas,2013-02-01,17,0,17
BUENA VISTA,consultas prenatales,repetidas,2013-02-01,42,0,42
CABEZAS,consultas prenatales,repetidas,2013-02-01,183,4,187
CAIROMA,consultas prenatales,repetidas,2013-02-01,27,3,30
"CAIZA ""D""",consultas prenatales,repetidas,2013-02-01,35,1,36
CAJUATA,consultas prenatales,repetidas,2013-02-01,65,0,65
CALACOTO,consultas prenatales,repetidas,2013-02-01,6,0,6
CALAMARCA,consultas prenatales,repetidas,2013-02-01,48,5,53
CAMARGO,consultas prenatales,repetidas,2013-02-01,97,9,106
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2013-02-01,14,2,16
CAMIRI,consultas prenatales,repetidas,2013-02-01,314,2,316
CAPINOTA,consultas prenatales,repetidas,2013-02-01,166,0,166
CAQUIAVIRI,consultas prenatales,repetidas,2013-02-01,12,5,17
CARACOLLO,consultas prenatales,repetidas,2013-02-01,90,4,94
CARANAVI,consultas prenatales,repetidas,2013-02-01,313,14,327
CARAPARI,consultas prenatales,repetidas,2013-02-01,77,0,77
CARIPUYO,consultas prenatales,repetidas,2013-02-01,16,24,40
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2013-02-01,21,0,21
CATACORA,consultas prenatales,repetidas,2013-02-01,1,0,1
CHACARILLA,consultas prenatales,repetidas,2013-02-01,1,0,1
CHALLAPATA,consultas prenatales,repetidas,2013-02-01,185,29,214
CHAQUI,consultas prenatales,repetidas,2013-02-01,29,4,33
CHARAGUA,consultas prenatales,repetidas,2013-02-01,182,15,197
CHARAÑA,consultas prenatales,repetidas,2013-02-01,8,0,8
CHAYANTA,consultas prenatales,repetidas,2013-02-01,47,18,65
