,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
EXALTACION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
FERNANDEZ ALONSO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,12,0,12
FILADELFIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,2,6
GENERAL SAAVEDRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,14,0,14
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,3,7
GUANAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
GUAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,1,4
GUAYARAMERIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,52,0,52
GUTIERREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,5,8
HUACARETA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,0,1,1
HUACHACALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
HUANUNI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,14,0,14
HUARACAJE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
HUARINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,1,6
HUATAJATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,2,4
HUAYLLAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
HUMANATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,0,6
ICHOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,3,4
ICLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,0,3
INCAHUASI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
INGAVI (HUMAITA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
INQUISIVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,5,7
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,16,3,19
IXIAMAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,7,13
JESUS DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
LA ASUNTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,42,7,49
LA GUARDIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,96,0,96
LA PAZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1412,2,1414
LAGUNILLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,0,2,2
LAJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,10,1,11
LICOMA PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
LLALLAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,77,1,78
LLICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,0,3
LORETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,2,4
LURIBAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,1,7
MACHACAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,0,3
MACHARETI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
MAGDALENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
MAIRANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,8,0,8
MALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,0,1,1
MAPIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
MECAPACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,9,2,11
MINEROS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,14,0,14
MIZQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,19,0,19
MOCOMOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,1,6
MOJOCOYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,0,3
MONTEAGUDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,8,1,9
MONTERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,157,0,157
MORO MORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
MOROCHATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,9,8,17
OCURI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,7,2,9
OKINAWA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,0,6
OMEREQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
ORURO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,381,0,381
PADCAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,8,1,9
PADILLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
PAILON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,48,8,56
PALCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,9,0,9
PALOS BLANCOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,21,1,22
PAMPA GRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
PAPEL PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,3,7
PASORAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,2,3
PATACAMAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,25,0,25
PAZÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,1,3
PELECHUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,0,6
POCOATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,12,8,20
POCONA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,12,1,13
POJO (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,0,6
POOPO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,1,5
PORCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,12,0,12
POROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,1,5
PORONGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,1,4
PORTACHUELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
PORVENIR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
POSTRER VALLE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
POTOSI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,384,1,385
PRESTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,1,2
PUCARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,21,1,22
PUERTO ACOSTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,1,4
PUERTO CARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,3,5
PUERTO GONZALO MORENO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
PUERTO PEREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,0,3
PUERTO QUIJARRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,39,0,39
PUERTO RICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,1,6
PUERTO SUAREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,22,0,22
PUERTO VILLARROEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,63,0,63
PUNA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,9,0,9
PUNATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,18,0,18
QUIABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,0,5
QUILLACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,169,3,172
QUIME,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,0,3
RAVELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,0,6
REYES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,9,0,9
RIBERALTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,181,6,187
ROBORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,2,8
RURRENABAQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,12,0,12
SABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,0,1,1
SACABA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,172,0,172
SACABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,1,4
SACACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,14,0,14
SAIPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,0,6
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,3,8
SAMAIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,0,3
SAN AGUSTIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
SAN ANDRES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,10,0,10
SAN ANDRES DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,3,4
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,7,0,7
SAN BENITO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,0,6
SAN BORJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,56,4,60
SAN BUENA VENTURA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,7,0,7
SAN CARLOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,16,0,16
SAN IGNACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,21,2,23
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,44,9,53
SAN JAVIER(BNI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,0,5
SAN JAVIER(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,16,0,16
SAN JOAQUIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,0,5
SAN JOSE DE CHIQUITOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,34,0,34
SAN JUAN DE YAPACANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,7,0,7
SAN JULIAN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,47,0,47
SAN LORENZO(PND),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,4,6
SAN LORENZO(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,11,1,12
SAN LUCAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,14,2,16
SAN MATIAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,16,0,16
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,11,0,11
SAN PABLO DE LIPEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
SAN PEDRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,0,6
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,26,10,36
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,0,5
SAN PEDRO(PND),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,0,1,1
SAN RAFAEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
SAN RAMON BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,0,5
SAN RAMON SCZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,9,0,9
SANTA ANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,30,0,30
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2945,4,2949
SANTA ROSA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,8,0,8
SANTA ROSA DEL SARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,21,1,22
SANTIAGO DE CALLAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,2,3
SANTIAGO DE HUARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,3,6
SANTIAGO DE HUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,1,3
SANTIAGO DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,1,4
SANTIVAÑES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
SANTUARIO DE QUILLACAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
SAPAHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,3,6
SENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,3,4
SHINAOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,41,0,41
SICA SICA (VILLA AROMA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,18,2,20
SICAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,0,3
SIPE SIPE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,63,0,63
SOPACHUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,0,5
SORACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
SORATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,8,2,10
SUCRE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,71,0,71
TACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,3,4
TACACOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,0,5
TACOBAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,10,1,11
TACOPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,11,0,11
TAHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
TAPACARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,13,2,15
TARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
TARACO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,0,3
TARATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,10,0,10
TARIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,355,1,356
TARVITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,1,2
TEOPONTE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,7,1,8
TIAWANACU,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,12,3,15
TINGUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,13,1,14
TIPUANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,0,3
TIQUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,113,3,116
TIRAQUE (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,26,3,29
TOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
TOMAVE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,7,3,10
TOMINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
TORO TORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,4,9
TOTORA(CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,13,5,18
TRIGAL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
TRINIDAD,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,197,1,198
TUPIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,35,0,35
TURCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
UMALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,2,3
UNCIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,21,3,24
