,group,variable,month,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BETANZOS,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,2,0,0,1,1,0,0,0,0,0,0,0,0,4
CAMARGO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,2,1,0,1,0,2,0,0,0,0,0,0,6
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
CAPINOTA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CARAPARI,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
CLIZA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
COBIJA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,5,12,2,3,0,2,2,4,0,0,0,0,0,0,30
COCHABAMBA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,7,10,25,33,13,16,13,34,5,8,0,0,0,0,164
COLCAPIRHUA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4
COLLANA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4
COLQUIRI,atencion odontologica,trat. odontologico integral terminado,2022-01-01,2,0,5,7,1,2,17,30,3,6,0,0,0,0,73
COMARAPA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,1,1,5,1,0,0,3,0,0,0,0,0,0,11
COTAGAITA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,0,2,1,0,1,0,0,0,0,0,4
CUATRO CAÑADAS,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
EL ALTO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,2,0,9,4,0,1,0,0,1,0,0,0,0,0,17
EL TORNO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,13,13,13,9,10,8,20,15,9,3,0,0,0,0,113
ENTRE RIOS CBBA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,1,1,1,0,2,0,3,0,0,0,0,0,0,8
FERNANDEZ ALONSO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
HUANUNI,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,2,2,2,1,2,0,1,0,0,0,0,0,0,10
ICLA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
INCAHUASI,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
INQUISIVI,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. odontologico integral terminado,2022-01-01,34,27,36,25,7,10,7,21,2,3,0,0,0,0,172
LAJA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LAS CARRERAS,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
LLALLAGUA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MACHACAMARCA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
MIZQUE,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MOJOCOYA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MONTEAGUDO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,2,0,1,4,0,6,0,0,0,0,0,0,13
MOROCHATA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,1,0,4,1,0,0,0,0,0,0,0,6
ORURO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,3,6,11,4,3,6,6,13,0,2,0,0,0,0,54
PADILLA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4
PAZÑA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
PORCO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3
POTOSI,atencion odontologica,trat. odontologico integral terminado,2022-01-01,3,9,7,15,1,14,17,40,0,0,0,0,0,0,106
PRESTO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PUNATA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,2,0,0,0,0,0,2,0,0,0,0,5
QUILLACOLLO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,2,6,9,1,5,3,13,1,0,0,0,0,0,40
RAVELO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,0,2,4,4,1,7,0,0,0,0,18
RIBERALTA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3
SACABA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,3,3,9,16,3,2,5,5,0,2,0,0,0,0,48
SALINAS DE GARCI MENDOZA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SAN BENITO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,1,1,1,0,0,1,3,0,0,0,0,0,0,7
SAN BORJA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,3,0,0,1,2,0,0,0,0,0,0,6
SAN IGNACIO DE VELASCO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,3,4,2,1,0,1,0,0,0,0,0,0,11
SAN LORENZO(TJA),atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN LUCAS,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,0,1,1,2,0,0,0,0,0,0,4
SAN MIGUEL DE VELASCO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3
SAN PEDRO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,1,5,0,0,4,3,3,2,2,0,0,0,0,0,20
SAN PEDRO DE BUENA VISTA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,3,2,9,1,6,9,14,0,0,0,0,0,0,44
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,2,3,6,6,1,3,6,6,16,14,0,0,0,0,63
SANTIAGO DE HUARI,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
SAPAHAQUI,atencion odontologica,trat. odontologico integral terminado,2022-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
SORATA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,2,1,0,1,1,2,0,0,0,0,0,0,7
SUCRE,atencion odontologica,trat. odontologico integral terminado,2022-01-01,4,5,2,2,2,1,0,4,0,0,0,0,0,0,20
TACOBAMBA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,1,0,1,1,2,6,3,4,0,0,0,0,0,0,18
TAPACARI,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TARIJA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,9,6,1,3,1,9,3,1,0,0,0,0,33
TIQUIPAYA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,1,1,1,1,0,0,0,0,0,0,0,5
TIRAQUE (CBBA),atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,1,0,2,0,1,0,0,0,0,0,0,4
TOMINA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
TOTORA(ORR),atencion odontologica,trat. odontologico integral terminado,2022-01-01,2,5,2,20,2,2,6,13,0,0,0,0,0,0,52
TRINIDAD,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,1,2,3,0,1,2,1,0,0,0,0,0,0,10
UNCIA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4
URIONDO (A. CONCEPCION),atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
VACAS,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,1,0,0,2,0,0,1,0,0,0,0,4
VIACHA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
VILA VILA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
VILLA TUNARI,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3
VILLAZON,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,0,0,4,1,0,1,0,0,0,0,6
VINTO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,1,0,0,2,0,0,0,0,0,0,0,4
YACUIBA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,3,21,16,7,18,16,14,2,0,0,0,0,0,97
YOTALA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
ACHOCALLA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,2,0,0,5,5,0,0,0,0,0,0,12
AIQUILE,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
ALCALA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ANTEQUERA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ARBIETO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ASCENCION DE GUARAYOS,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,2,0,0,3,0,0,0,0,0,0,0,0,0,5
ATOCHA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"CAIZA ""D""",atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
CAJUATA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
CALAMARCA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
CAMARGO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,3,0,1,2,4,0,0,0,0,0,0,10
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CAMIRI,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,1,3,2,1,5,5,0,0,0,0,0,0,17
CAPINOTA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,2,1,3,0,0,0,2,0,0,0,0,0,0,8
CARACOLLO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
CHAQUI,atencion odontologica,trat. odontologico integral terminado,2022-02-01,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3
CHIMORE,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,7,5,1,1,0,2,1,5,0,0,0,0,0,0,22
COCAPATA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,11,19,32,23,5,13,25,40,11,2,0,0,0,0,181
COLCAPIRHUA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3
COLLANA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
COLOMI,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
COLQUENCHA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COLQUIRI,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,1,0,0,3,0,0,0,0,0,0,4
COMARAPA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,3,1,0,2,1,0,0,2,0,0,0,0,9
COTAGAITA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CUATRO CAÑADAS,atencion odontologica,trat. odontologico integral terminado,2022-02-01,1,1,4,6,1,3,0,1,0,1,0,0,0,0,18
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,1,1,0,0,0,1,2,0,0,0,0,0,0,5
CULPINA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,3,3,4,1,2,1,9,9,1,1,0,0,0,0,34
EL TORNO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,6,5,4,7,2,3,11,13,3,2,0,0,0,0,56
EL VILLAR,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
ENTRE RIOS CBBA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
FERNANDEZ ALONSO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,1,1,0,0,1,2,0,0,0,0,0,0,5
GUAYARAMERIN,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,1,2,1,1,0,0,0,0,0,0,0,0,5
GUTIERREZ,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
HUANUNI,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,1,0,0,1,1,0,1,0,0,0,0,0,0,4
ICLA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. odontologico integral terminado,2022-02-01,32,35,46,51,6,16,11,21,2,5,0,0,0,0,225
MACHACAMARCA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
MACHARETI,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
MONTEAGUDO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,4,1,0,1,2,5,0,0,0,0,0,0,13
ORURO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,5,6,20,25,23,23,32,44,3,0,0,0,0,0,181
PADILLA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,2,0,0,1,1,0,0,0,0,0,0,4
POCONA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
PORCO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
POROMA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POTOSI,atencion odontologica,trat. odontologico integral terminado,2022-02-01,8,1,3,8,2,4,7,41,0,1,0,0,0,0,75
PUERTO VILLARROEL,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PUNATA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
QUIABAYA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
QUILLACOLLO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,3,4,7,10,2,5,4,18,1,1,0,0,0,0,55
RAVELO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
RIBERALTA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,4,2,2,1,0,0,0,0,0,0,0,0,0,0,9
SACABA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,5,7,13,14,8,4,5,10,0,1,0,0,0,0,67
SAN BENITO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4
SAN BORJA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,1,1,2,3,1,2,2,4,0,0,0,0,0,0,16
SAN IGNACIO DE VELASCO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SAN LORENZO(TJA),atencion odontologica,trat. odontologico integral terminado,2022-02-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
SAN LUCAS,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,1,0,4,0,1,0,0,0,0,0,0,6
SAN MIGUEL DE VELASCO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SAN PABLO DE LIPEZ,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
SAN PEDRO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAN PEDRO DE QUEMES,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,35,43,9,5,1,1,1,8,22,35,0,0,0,0,160
SANTUARIO DE QUILLACAS,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
SAPAHAQUI,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
SORATA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,1,0,3,1,0,0,0,2,0,0,0,0,0,0,7
SUCRE,atencion odontologica,trat. odontologico integral terminado,2022-02-01,10,13,4,1,0,0,3,4,0,0,0,0,0,0,35
TAPACARI,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,1,1,0,0,1,5,0,0,0,0,0,0,8
TARIJA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,4,2,0,3,5,8,0,1,0,0,0,0,23
TIQUIPAYA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,1,2,0,3,1,0,0,3,0,0,0,0,0,0,10
TOMINA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TOTORA(ORR),atencion odontologica,trat. odontologico integral terminado,2022-02-01,2,8,2,7,1,1,1,2,0,0,0,0,0,0,24
TRINIDAD,atencion odontologica,trat. odontologico integral terminado,2022-02-01,2,1,1,3,3,1,2,1,1,0,0,0,0,0,15
URIONDO (A. CONCEPCION),atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,1,1,0,0,2,0,0,0,0,0,0,4
VACAS,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
VIACHA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,1,2,0,4,0,0,0,0,1,0,0,0,0,0,8
VILA VILA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
VILLA MONTES,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,2,0,5,2,3,5,7,0,0,0,0,0,0,24
VILLA SERRANO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3
VILLA TUNARI,atencion odontologica,trat. odontologico integral terminado,2022-02-01,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,1,2,0,1,0,1,0,0,0,0,0,0,5
VILLAZON,atencion odontologica,trat. odontologico integral terminado,2022-02-01,5,0,5,2,0,1,4,6,0,2,0,0,0,0,25
VINTO,atencion odontologica,trat. odontologico integral terminado,2022-02-01,0,0,0,0,0,2,1,3,0,0,0,0,0,0,6
YACUIBA,atencion odontologica,trat. odontologico integral terminado,2022-02-01,1,6,17,25,3,4,15,36,0,0,0,0,0,0,107
ACHOCALLA,atencion odontologica,trat. odontologico integral terminado,2022-03-01,11,4,2,2,0,1,6,8,1,1,0,0,0,0,36
AIQUILE,atencion odontologica,trat. odontologico integral terminado,2022-03-01,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3
ALCALA,atencion odontologica,trat. odontologico integral terminado,2022-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
ANTEQUERA,atencion odontologica,trat. odontologico integral terminado,2022-03-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
ARBIETO,atencion odontologica,trat. odontologico integral terminado,2022-03-01,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3
ATOCHA,atencion odontologica,trat. odontologico integral terminado,2022-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BETANZOS,atencion odontologica,trat. odontologico integral terminado,2022-03-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"CAIZA ""D""",atencion odontologica,trat. odontologico integral terminado,2022-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CAJUATA,atencion odontologica,trat. odontologico integral terminado,2022-03-01,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4
CALAMARCA,atencion odontologica,trat. odontologico integral terminado,2022-03-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
CAMARGO,atencion odontologica,trat. odontologico integral terminado,2022-03-01,0,0,1,1,0,2,1,5,0,0,0,0,0,0,10
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,trat. odontologico integral terminado,2022-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CAMIRI,atencion odontologica,trat. odontologico integral terminado,2022-03-01,0,0,2,5,2,4,1,12,4,0,0,0,0,0,30
CAPINOTA,atencion odontologica,trat. odontologico integral terminado,2022-03-01,0,1,0,2,1,1,0,1,0,1,0,0,0,0,7
CARACOLLO,atencion odontologica,trat. odontologico integral terminado,2022-03-01,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3
CHAQUI,atencion odontologica,trat. odontologico integral terminado,2022-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
