,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,1,0,3,5,6,8,15,11,4,5,0,0,0,0,58
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,4,3,0,0,3,6,0,0,0,0,0,0,16
COLPA BELGICA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,4,2,1,1,0,10,0,1,0,0,0,0,19
COLQUECHACA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,1,1,8,15,1,10,4,3,0,0,0,0,0,0,43
COMARAPA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,2,2,1,2,3,6,0,0,0,0,0,0,16
CORO CORO,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,6,2,2,1,4,1,1,3,0,0,0,0,20
COTAGAITA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,6,1,1,0,2,1,0,0,0,0,0,0,11
COTOCA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,10,2,6,12,4,6,5,12,5,2,0,0,0,0,64
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,1,4,5,10,6,9,3,3,0,0,0,0,41
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,1,24,18,17,69,49,113,41,28,0,0,0,0,360
LORETO,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,9,1,1,0,3,10,0,0,0,0,0,0,24
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,0,2,0,1,1,0,2,1,0,0,0,0,7
MONTERO,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,3,3,0,0,5,4,4,1,0,0,0,0,20
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,3,4,0,1,8,16,1,0,0,0,0,0,33
PORCO,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,2,0,2,2,0,1,1,1,0,0,0,0,0,0,9
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,2,0,0,1,3,10,2,0,0,0,0,0,18
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,4,4,5,6,13,8,1,0,0,0,0,0,41
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,13,0,2,0,0,3,0,0,0,0,0,0,18
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,2,0,0,1,1,1,0,0,0,0,0,0,5
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,5,4,2,0,3,6,0,0,0,0,0,0,20
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,0,0,0,0,0,1,1,3,0,0,0,0,5
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,4,0,0,0,1,1,0,0,0,0,0,0,6
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SAN RAMON BENI,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,4,4,10,5,7,12,1,0,0,0,0,0,43
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,10,11,0,5,14,30,7,3,0,0,0,0,80
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,0,2,0,0,8,3,0,0,0,0,0,0,13
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,0,0,1,0,3,4,0,0,0,0,0,0,8
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,3,4,3,6,7,9,1,0,0,0,0,0,33
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,3,2,5,14,2,12,49,50,1,2,0,0,0,0,140
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4
UNCIA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,1,2,0,3,1,1,0,2,0,0,0,0,10
URUBICHA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,2,3,0,0,0,1,0,5,1,3,0,0,0,0,15
VIACHA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,1,11,5,0,5,11,12,7,2,0,0,0,0,54
YACUIBA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3
YOCALLA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,1,8,0,0,0,0,0,0,0,0,0,0,9
ACHACACHI,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,2,0,0,1,0,1,0,0,0,0,0,0,4
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,5,8,1,2,0,16,3,2,0,0,0,0,37
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BATALLAS,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BERMEJO,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,1,0,0,1,1,1,0,0,0,0,0,4
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
CABEZAS,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,1,1,2,1,1,0,0,0,0,0,0,0,0,0,6
CAIROMA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,6,0,0,1,0,1,0,0,0,0,0,0,8
CAPINOTA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CARMEN RIVERO TORREZ,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,2,5,0,1,2,6,0,1,0,0,0,0,17
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,0,0,1,5,2,1,0,0,0,0,0,9
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,4,6,8,11,16,18,7,4,0,0,0,0,74
COLPA BELGICA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,3,4,0,2,6,6,4,0,0,0,0,0,25
COMARAPA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,0,0,0,3,2,1,0,0,0,0,0,6
CORO CORO,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,3,1,0,1,0,0,0,0,0,0,0,5
COTAGAITA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,1,1,0,0,0,3,1,3,0,0,0,0,9
COTOCA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,1,1,15,18,6,5,4,21,6,2,0,0,0,0,79
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,12,32,10,8,17,13,10,6,0,0,0,0,108
EL PUENTE(TJA),atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,1,0,4,2,2,5,2,0,0,0,0,0,16
JESUS DE MACHACA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,26,30,5,18,55,57,21,9,0,0,0,0,221
LORETO,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,1,1,2,0,4,5,0,1,0,0,0,0,14
OCURI,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,3,1,6,10,3,11,34,30,8,10,0,0,0,0,116
PORCO,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,0,0,0,0,5,0,3,0,0,0,0,8
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,1,0,1,2,3,0,0,0,0,0,0,7
PUERTO QUIJARRO,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,10,1,0,0,0,3,1,1,0,0,0,0,16
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,3,1,2,6,3,1,6,13,2,0,0,0,0,0,37
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,0,0,0,1,1,3,1,0,0,0,0,6
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,2,3,0,0,0,5,0,0,0,0,0,0,10
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,3,0,13,8,2,4,24,36,12,4,0,0,0,0,106
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,0,1,2,3,6,0,0,0,0,0,0,12
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,15,17,2,0,2,7,3,2,0,0,0,0,48
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,2,1,17,14,8,13,22,36,4,5,0,0,0,0,122
TOTORA(CBBA),atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,1,9,14,6,5,2,15,4,8,0,0,0,0,64
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,2,1,4,13,2,4,8,9,2,1,0,0,0,0,46
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,0,1,0,0,1,3,0,0,0,0,0,0,5
URUBICHA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,0,2,3,0,0,0,12,0,1,0,0,0,0,18
VIACHA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,3,1,12,15,3,7,8,11,13,0,0,0,0,0,73
WARNES,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,0,1,0,0,0,1,1,3,0,0,0,0,0,0,6
YOCALLA,atencion odontologica,cirugia bucomaxilofacial menor,2022-02-01,1,0,5,3,1,0,5,5,6,0,0,0,0,0,26
ACHACACHI,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,0,1,0,0,8,2,1,2,0,0,0,0,14
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,5,1,29,36,10,11,7,42,8,4,0,0,0,0,153
ATOCHA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,1,1,0,0,1,1,0,4,0,0,0,0,8
CABEZAS,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,7,1,2,0,6,4,0,0,0,0,0,0,20
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,1,0,0,0,0,2,1,0,0,0,0,0,4
CARACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,1,0,0,4,0,1,1,9,5,2,0,0,0,0,23
CHACARILLA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CHARAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,4,1,1,0,4,21,0,0,0,0,0,0,31
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,4,1,2,4,5,0,6,8,3,0,0,0,0,0,33
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,1,5,6,9,13,11,3,8,0,0,0,0,56
COLPA BELGICA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,4,5,0,0,1,6,0,1,0,0,0,0,17
COMARAPA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,2,9,9,0,5,6,12,3,4,0,0,0,0,50
CORO CORO,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,3,6,0,3,2,2,0,0,0,0,0,0,16
COTAGAITA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,1,2,0,1,3,2,4,2,0,0,0,0,15
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,7,6,0,2,9,8,1,0,0,0,0,0,33
EL PUENTE(STC),atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,4,8,5,2,1,6,6,0,0,0,0,0,32
EL TORNO,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,1,0,0,2,2,1,3,2,1,1,0,0,0,0,13
HUARACAJE,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,0,0,0,0,1,8,0,0,0,0,0,0,9
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,2,1,9,13,4,8,30,28,3,6,0,0,0,0,104
LAGUNILLAS,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
LLALLAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,1,2,4,1,2,5,1,8,0,3,0,0,0,0,27
LORETO,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,5,3,1,1,2,3,0,2,0,0,0,0,17
MACHACAMARCA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,1,0,14,10,11,10,19,58,4,9,0,0,0,0,136
PAILON,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,3,1,1,3,2,11,2,4,0,0,0,0,27
PUERTO QUIJARRO,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,2,4,0,0,1,9,0,2,0,0,0,0,18
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
SAMAIPATA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN BENITO,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,2,4,1,2,1,7,2,1,0,0,0,0,20
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,3,7,2,0,1,7,0,2,0,0,0,0,22
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,4,1,0,2,0,0,0,3,3,0,0,0,0,0,13
SAN JAVIER(BNI),atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,7,7,1,2,3,11,2,0,0,0,0,0,33
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,5,0,2,0,1,6,2,0,0,0,0,0,16
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,2,0,11,11,1,6,7,10,24,6,0,0,0,0,78
SAN MATIAS,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,2,1,1,1,3,4,0,0,0,0,0,0,12
SAN PEDRO,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,0,3,1,0,2,1,0,0,0,0,0,0,7
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,7,5,52,40,4,9,24,72,27,14,0,0,0,0,254
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,1,1,0,0,3,10,1,0,0,0,0,0,16
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,1,1,3,4,2,1,4,14,4,1,0,0,0,0,35
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,3,5,5,7,12,15,0,0,0,0,0,0,47
TOTORA(ORR),atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,12,8,12,5,6,30,7,6,0,0,0,0,86
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,1,4,0,1,1,2,4,3,0,0,0,0,16
URUBICHA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3
VILLA MONTES,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,3,1,1,0,2,2,0,0,0,0,0,0,9
YACUIBA,atencion odontologica,cirugia bucomaxilofacial menor,2022-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ACHACACHI,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,2,0,12,11,0,1,1,26,1,3,0,0,0,0,57
ATOCHA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,2,2,0,1,0,3,0,0,0,0,0,0,8
BERMEJO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BOLPEBRA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CARACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,1,0,2,0,1,2,0,4,0,7,0,0,0,0,17
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,0,1,0,0,4,3,1,0,0,0,0,0,9
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,2,5,0,1,9,6,1,0,0,0,0,0,24
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,0,8,9,8,13,7,4,5,0,0,0,0,54
COLPA BELGICA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,5,7,2,0,2,5,2,3,0,0,0,0,26
COMARAPA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,9,8,2,3,7,7,3,3,0,0,0,0,42
CORO CORO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,2,0,3,1,0,1,5,1,0,0,0,0,0,0,13
COTAGAITA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,1,3,0,1,1,1,4,2,0,0,0,0,13
CUEVO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,1,3,1,0,2,1,1,0,0,0,0,0,0,9
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,9,14,14,20,14,22,3,1,0,0,0,0,97
EL PUENTE(STC),atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,2,4,1,3,5,13,0,10,0,0,0,0,38
EL TORNO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,0,0,1,2,3,2,1,0,0,0,0,0,9
FILADELFIA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
GENERAL SAAVEDRA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,5,0,2,3,1,2,0,11,0,0,0,0,0,0,24
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,6,8,4,1,19,36,8,3,0,0,0,0,85
LORETO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,3,2,1,2,6,3,0,0,0,0,0,0,17
MECAPACA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MONTERO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,1,1,17,15,1,6,3,14,2,3,0,0,0,0,63
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,1,4,13,8,18,38,56,15,10,0,0,0,0,163
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,2,3,5,0,2,3,6,1,2,0,0,0,0,24
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,2,0,0,1,10,31,3,2,0,0,0,0,49
PUERTO QUIJARRO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,4,8,7,3,3,2,0,0,0,0,0,0,27
ROBORE,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,3,3,0,0,0,4,2,0,0,0,0,0,12
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4
SALINAS DE GARCI MENDOZA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,1,2,0,0,0,1,1,0,0,0,0,0,5
SAMAIPATA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
SAN BENITO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,1,6,6,8,3,9,26,1,1,0,0,0,0,61
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,1,0,0,1,0,0,0,3,7,5,0,0,0,0,17
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,1,2,0,1,2,6,7,3,0,0,0,0,22
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,0,0,0,1,1,2,1,0,0,0,0,0,5
SANTA ANA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2022-04-01,0,0,16,18,7,9,43,49,18,16,0,0,0,0,176
