,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES
ASCENCION DE GUARAYOS,atencion odontologica,consulta repetida,2022-01-01,7,0,0,0,0,0,0,10,0,0,0,0,0,0,17
ATOCHA,atencion odontologica,consulta repetida,2022-01-01,5,6,25,37,16,26,50,70,19,18,0,0,0,0,272
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta repetida,2022-01-01,1,2,8,8,3,7,4,24,1,5,0,0,0,0,63
AZURDUY,atencion odontologica,consulta repetida,2022-01-01,0,0,0,1,0,0,7,1,0,0,0,0,0,0,9
BAURES,atencion odontologica,consulta repetida,2022-01-01,0,0,4,2,3,0,2,7,0,0,0,0,0,0,18
BELEN DE ANDAMARCA,atencion odontologica,consulta repetida,2022-01-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
BELEN DE URMIRI,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BELLA FLOR,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BERMEJO,atencion odontologica,consulta repetida,2022-01-01,1,0,2,2,1,16,9,20,4,0,0,1,0,0,56
BETANZOS,atencion odontologica,consulta repetida,2022-01-01,0,0,3,6,5,16,9,23,6,1,0,0,0,0,69
BOLIVAR,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,4,0,1,0,0,0,0,0,0,5
BOYUIBE,atencion odontologica,consulta repetida,2022-01-01,0,0,1,0,0,2,0,1,0,0,0,0,0,0,4
BUENA VISTA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
CABEZAS,atencion odontologica,consulta repetida,2022-01-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3
CAIROMA,atencion odontologica,consulta repetida,2022-01-01,0,0,2,1,1,1,0,1,4,0,0,0,0,0,10
"CAIZA ""D""",atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
CALAMARCA,atencion odontologica,consulta repetida,2022-01-01,0,0,2,2,6,0,2,3,0,0,0,0,0,0,15
CAMARGO,atencion odontologica,consulta repetida,2022-01-01,0,1,3,16,4,5,5,14,2,0,0,0,0,0,50
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta repetida,2022-01-01,1,0,0,0,1,2,8,16,0,2,0,0,0,0,30
CAMIRI,atencion odontologica,consulta repetida,2022-01-01,1,0,4,7,1,23,13,36,5,2,0,0,0,0,92
CAPINOTA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,2,1,3,3,4,0,0,0,0,0,13
CARACOLLO,atencion odontologica,consulta repetida,2022-01-01,3,1,3,14,1,12,8,15,1,4,0,0,0,0,62
CARANAVI,atencion odontologica,consulta repetida,2022-01-01,0,0,0,1,0,0,0,5,0,1,0,0,0,0,7
CARAPARI,atencion odontologica,consulta repetida,2022-01-01,0,0,13,52,1,6,5,21,1,0,0,0,0,0,99
CARIPUYO,atencion odontologica,consulta repetida,2022-01-01,0,3,4,2,8,0,5,12,0,0,0,0,0,0,34
CHALLAPATA,atencion odontologica,consulta repetida,2022-01-01,0,2,1,1,1,2,6,7,3,7,0,0,0,0,30
CHAQUI,atencion odontologica,consulta repetida,2022-01-01,0,0,0,4,2,8,12,22,1,0,0,0,0,2,51
CHARAGUA,atencion odontologica,consulta repetida,2022-01-01,0,1,0,4,0,3,0,5,1,0,0,0,0,0,14
CHARAÑA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12
CHAYANTA,atencion odontologica,consulta repetida,2022-01-01,7,0,1,4,10,6,10,12,2,0,0,0,0,0,52
CHIMORE,atencion odontologica,consulta repetida,2022-01-01,0,0,2,1,2,6,7,7,0,0,0,0,0,0,25
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta repetida,2022-01-01,2,1,7,27,14,50,20,53,0,0,0,3,0,0,177
CLIZA,atencion odontologica,consulta repetida,2022-01-01,0,1,5,5,2,6,2,11,3,0,0,0,0,0,35
COBIJA,atencion odontologica,consulta repetida,2022-01-01,9,2,12,24,10,11,32,33,0,3,0,0,0,0,136
COCAPATA,atencion odontologica,consulta repetida,2022-01-01,3,0,3,5,1,1,5,8,0,0,0,0,0,0,26
COCHABAMBA,atencion odontologica,consulta repetida,2022-01-01,87,157,250,221,194,239,778,1032,260,196,0,7,0,3,3424
COIPASA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
COLCAPIRHUA,atencion odontologica,consulta repetida,2022-01-01,4,1,1,10,1,3,0,7,0,0,0,0,0,0,27
"COLCHA ""K""",atencion odontologica,consulta repetida,2022-01-01,0,0,0,1,3,1,1,4,0,0,0,0,0,0,10
COLLANA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,1,3,5,0,8,0,0,0,2,0,0,19
COLOMI,atencion odontologica,consulta repetida,2022-01-01,0,6,0,0,9,0,2,2,0,0,0,0,0,0,19
COLPA BELGICA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,2,0,2,0,8,0,0,0,0,0,0,12
COLQUECHACA,atencion odontologica,consulta repetida,2022-01-01,0,2,6,3,1,32,4,19,0,1,0,0,0,0,68
COLQUENCHA,atencion odontologica,consulta repetida,2022-01-01,0,1,0,1,0,0,2,4,0,0,0,0,0,0,8
COLQUIRI,atencion odontologica,consulta repetida,2022-01-01,1,1,9,5,14,16,9,26,0,0,0,0,0,0,81
COMARAPA,atencion odontologica,consulta repetida,2022-01-01,4,8,9,18,11,4,6,33,2,1,0,0,0,0,96
CONCEPCION,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
CORO CORO,atencion odontologica,consulta repetida,2022-01-01,0,0,2,2,0,2,6,2,0,0,0,0,0,0,14
CORQUE,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4
COTAGAITA,atencion odontologica,consulta repetida,2022-01-01,1,11,34,23,10,13,41,62,4,6,0,1,0,1,207
COTOCA,atencion odontologica,consulta repetida,2022-01-01,6,9,0,0,0,0,0,0,0,0,0,0,0,0,15
CUATRO CAÑADAS,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,0,1,2,1,0,0,0,0,4
CUEVO,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,1,5,0,0,0,0,0,0,6
CULPINA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,2,2,4,3,8,2,1,0,0,0,0,22
CURAHUARA DE CARANGAS,atencion odontologica,consulta repetida,2022-01-01,0,2,0,0,0,7,1,3,0,0,0,0,0,0,13
DESAGUADERO,atencion odontologica,consulta repetida,2022-01-01,0,0,0,3,1,0,1,1,0,0,0,0,0,0,6
EL ALTO,atencion odontologica,consulta repetida,2022-01-01,63,59,149,187,129,187,210,330,58,39,0,10,0,2,1423
EL CHORO,atencion odontologica,consulta repetida,2022-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
EL PUENTE(STC),atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,6,0,1,0,0,0,0,0,0,7
EL PUENTE(TJA),atencion odontologica,consulta repetida,2022-01-01,1,0,2,2,0,3,3,5,1,1,0,0,0,0,18
EL TORNO,atencion odontologica,consulta repetida,2022-01-01,5,8,10,4,5,12,8,11,4,6,0,3,0,4,80
EL VILLAR,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
ENTRE RIOS TRJ,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,5,0,7,0,0,0,0,0,0,12
ENTRE RIOS CBBA,atencion odontologica,consulta repetida,2022-01-01,0,5,1,1,2,1,2,4,0,0,0,0,0,0,16
ESCOMA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,2,2,0,2,1,0,1,0,0,0,0,8
ESMERALDA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4
EUCALIPTUS,atencion odontologica,consulta repetida,2022-01-01,3,0,0,2,0,8,4,11,0,0,0,0,0,0,28
FERNANDEZ ALONSO,atencion odontologica,consulta repetida,2022-01-01,0,1,1,3,3,3,9,9,0,0,0,0,0,0,29
GAIOC JATUN AYLLU YURA,atencion odontologica,consulta repetida,2022-01-01,0,0,1,1,0,0,1,4,0,0,0,0,0,0,7
GENERAL SAAVEDRA,atencion odontologica,consulta repetida,2022-01-01,0,0,3,3,0,0,3,11,0,2,0,0,0,0,22
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta repetida,2022-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
GUANAY,atencion odontologica,consulta repetida,2022-01-01,0,1,2,11,0,3,11,7,1,0,0,0,0,0,36
GUAQUI,atencion odontologica,consulta repetida,2022-01-01,0,0,0,2,0,0,1,6,0,0,0,0,0,0,9
GUAYARAMERIN,atencion odontologica,consulta repetida,2022-01-01,0,1,1,2,0,0,1,1,0,0,0,0,0,0,6
GUTIERREZ,atencion odontologica,consulta repetida,2022-01-01,0,0,0,2,3,4,3,27,2,0,0,0,0,0,41
HUACARETA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta repetida,2022-01-01,6,0,0,0,0,0,0,1,0,0,0,0,0,0,7
HUACHACALLA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,1,0,10,1,7,0,0,0,0,19
HUANUNI,atencion odontologica,consulta repetida,2022-01-01,3,4,10,30,12,10,14,24,10,3,0,6,0,0,126
HUARACAJE,atencion odontologica,consulta repetida,2022-01-01,0,0,0,7,0,1,0,3,0,0,0,0,0,0,11
HUARINA,atencion odontologica,consulta repetida,2022-01-01,1,0,5,2,2,2,1,6,3,5,0,0,0,0,27
HUATAJATA,atencion odontologica,consulta repetida,2022-01-01,0,0,1,0,1,0,0,4,1,1,0,0,0,0,8
HUAYLLAMARCA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
HUMANATA,atencion odontologica,consulta repetida,2022-01-01,3,7,22,10,12,10,4,24,8,7,0,0,0,0,107
ICHOCA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
ICLA,atencion odontologica,consulta repetida,2022-01-01,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3
INCAHUASI,atencion odontologica,consulta repetida,2022-01-01,0,0,0,1,0,0,0,6,0,0,0,0,0,0,7
INQUISIVI,atencion odontologica,consulta repetida,2022-01-01,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta repetida,2022-01-01,0,1,1,0,0,0,0,1,0,1,0,0,0,0,4
IXIAMAS,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,5,0,3,9,3,0,0,0,0,1,21
JESUS DE MACHACA,atencion odontologica,consulta repetida,2022-01-01,1,0,7,2,4,22,6,13,0,0,0,4,0,0,59
LA ASUNTA,atencion odontologica,consulta repetida,2022-01-01,1,2,2,8,3,7,4,11,1,0,0,0,0,0,39
LA GUARDIA,atencion odontologica,consulta repetida,2022-01-01,2,0,3,1,0,0,0,10,2,0,0,0,0,0,18
LA PAZ,atencion odontologica,consulta repetida,2022-01-01,142,165,342,400,246,363,746,1107,295,144,0,10,0,3,3963
LAGUNILLAS,atencion odontologica,consulta repetida,2022-01-01,0,0,1,3,0,1,2,2,1,0,0,0,0,0,10
LAJA,atencion odontologica,consulta repetida,2022-01-01,20,16,17,23,3,11,7,44,3,7,0,3,0,0,154
LAS CARRERAS,atencion odontologica,consulta repetida,2022-01-01,0,0,6,6,1,3,1,5,8,0,0,0,0,0,30
LLALLAGUA,atencion odontologica,consulta repetida,2022-01-01,1,4,3,27,10,6,8,36,1,3,0,0,0,0,99
MACHACAMARCA,atencion odontologica,consulta repetida,2022-01-01,3,0,1,5,0,12,4,8,2,0,0,0,0,0,35
MAGDALENA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,0,5,1,0,0,0,0,0,6
MAIRANA,atencion odontologica,consulta repetida,2022-01-01,0,0,1,0,2,2,0,0,0,0,0,0,0,0,5
MAPIRI,atencion odontologica,consulta repetida,2022-01-01,0,0,1,0,0,6,1,0,0,0,0,0,0,0,8
MECAPACA,atencion odontologica,consulta repetida,2022-01-01,1,0,2,0,0,2,1,2,1,0,0,0,0,0,9
MIZQUE,atencion odontologica,consulta repetida,2022-01-01,0,3,4,7,1,5,2,7,6,0,0,0,0,0,35
MOCOMOCO,atencion odontologica,consulta repetida,2022-01-01,1,3,6,6,6,6,4,17,0,0,0,0,0,0,49
MOJINETE,atencion odontologica,consulta repetida,2022-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
MOJOCOYA,atencion odontologica,consulta repetida,2022-01-01,0,1,2,0,1,2,1,11,0,0,0,0,0,0,18
MONTEAGUDO,atencion odontologica,consulta repetida,2022-01-01,0,0,2,2,1,2,1,20,0,0,0,0,0,0,28
MONTERO,atencion odontologica,consulta repetida,2022-01-01,1,3,9,18,8,11,12,37,6,1,0,0,0,0,106
MORO MORO,atencion odontologica,consulta repetida,2022-01-01,0,2,0,2,0,2,1,11,2,0,0,0,0,1,21
OCURI,atencion odontologica,consulta repetida,2022-01-01,0,2,1,2,0,6,2,8,1,0,0,4,0,1,27
OKINAWA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
OMEREQUE,atencion odontologica,consulta repetida,2022-01-01,0,3,23,8,11,37,15,10,1,0,0,0,0,12,120
ORURO,atencion odontologica,consulta repetida,2022-01-01,65,62,151,203,95,144,251,460,34,50,0,8,0,22,1545
PADCAYA,atencion odontologica,consulta repetida,2022-01-01,2,0,7,6,3,17,3,20,3,1,0,0,0,0,62
PADILLA,atencion odontologica,consulta repetida,2022-01-01,0,5,3,1,1,3,4,9,0,0,0,0,0,0,26
PALCA,atencion odontologica,consulta repetida,2022-01-01,6,0,1,2,2,4,2,5,0,1,0,0,0,0,23
PALOS BLANCOS,atencion odontologica,consulta repetida,2022-01-01,0,2,2,1,1,5,5,5,0,0,0,0,0,0,21
PAMPA GRANDE,atencion odontologica,consulta repetida,2022-01-01,0,1,1,0,0,0,0,3,0,0,0,0,0,0,5
PAPEL PAMPA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PASORAPA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,1,0,1,1,1,0,0,0,0,0,0,4
PATACAMAYA,atencion odontologica,consulta repetida,2022-01-01,0,0,1,0,8,5,2,4,0,0,0,0,0,0,20
PAZÑA,atencion odontologica,consulta repetida,2022-01-01,0,1,7,2,1,5,3,15,2,0,0,0,0,0,36
POCOATA,atencion odontologica,consulta repetida,2022-01-01,1,0,1,1,0,4,8,13,3,0,0,0,0,0,31
POCONA,atencion odontologica,consulta repetida,2022-01-01,5,3,9,6,0,12,8,17,2,0,0,0,0,0,62
POJO (CBBA),atencion odontologica,consulta repetida,2022-01-01,0,3,12,11,7,4,15,28,0,0,0,1,0,6,87
POOPO,atencion odontologica,consulta repetida,2022-01-01,1,0,2,11,5,6,6,26,3,0,0,0,0,6,66
PORCO,atencion odontologica,consulta repetida,2022-01-01,2,0,0,0,4,5,0,9,0,0,0,0,0,0,20
POROMA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,1,0,4,1,0,3,0,0,0,0,9
PORVENIR,atencion odontologica,consulta repetida,2022-01-01,0,0,0,3,2,0,2,7,0,0,0,1,0,0,15
POTOSI,atencion odontologica,consulta repetida,2022-01-01,57,52,211,260,108,174,441,819,72,32,0,28,0,0,2254
PRESTO,atencion odontologica,consulta repetida,2022-01-01,0,1,6,3,0,1,0,8,0,1,0,0,0,0,20
PUCARANI,atencion odontologica,consulta repetida,2022-01-01,1,0,1,3,1,7,0,3,0,0,0,0,0,0,16
PUERTO ACOSTA,atencion odontologica,consulta repetida,2022-01-01,0,0,6,0,2,4,6,3,0,0,0,0,0,0,21
PUERTO CARABUCO,atencion odontologica,consulta repetida,2022-01-01,0,0,0,1,1,1,0,3,0,0,0,0,0,0,6
PUERTO GONZALO MORENO,atencion odontologica,consulta repetida,2022-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PUERTO PEREZ,atencion odontologica,consulta repetida,2022-01-01,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
PUERTO QUIJARRO,atencion odontologica,consulta repetida,2022-01-01,5,2,5,5,4,0,1,7,1,1,0,0,0,0,31
PUERTO RICO,atencion odontologica,consulta repetida,2022-01-01,0,0,1,0,1,3,0,6,0,2,0,0,0,0,13
PUERTO SUAREZ,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
PUERTO VILLARROEL,atencion odontologica,consulta repetida,2022-01-01,3,0,5,12,6,13,5,17,2,5,0,0,0,1,69
PUNA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,2,2,6,5,5,0,3,0,0,0,0,23
PUNATA,atencion odontologica,consulta repetida,2022-01-01,5,0,9,6,5,10,15,26,5,4,0,0,0,0,85
QUIABAYA,atencion odontologica,consulta repetida,2022-01-01,0,0,1,0,1,0,1,1,0,0,0,0,0,0,4
QUILLACOLLO,atencion odontologica,consulta repetida,2022-01-01,2,3,11,16,5,6,15,61,8,3,0,3,0,0,133
QUIME,atencion odontologica,consulta repetida,2022-01-01,0,3,7,6,2,0,9,5,0,0,0,0,0,0,32
QUIRUSILLAS,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,2,1,4,3,2,0,0,0,0,0,12
RAVELO,atencion odontologica,consulta repetida,2022-01-01,0,0,1,1,0,6,4,6,2,4,0,3,0,0,27
REYES,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
RIBERALTA,atencion odontologica,consulta repetida,2022-01-01,14,21,37,52,41,34,58,51,25,36,0,0,0,0,369
ROBORE,atencion odontologica,consulta repetida,2022-01-01,6,1,4,6,0,0,3,9,1,1,0,0,0,0,31
RURRENABAQUE,atencion odontologica,consulta repetida,2022-01-01,0,0,11,6,6,2,1,8,5,0,0,0,0,0,39
SABAYA,atencion odontologica,consulta repetida,2022-01-01,0,0,4,0,0,3,1,4,1,0,0,0,0,0,13
SACABA,atencion odontologica,consulta repetida,2022-01-01,5,5,12,16,7,16,18,39,13,6,0,2,0,0,139
SACACA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4
SAIPINA,atencion odontologica,consulta repetida,2022-01-01,0,0,2,0,1,1,0,2,0,0,0,0,0,0,6
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta repetida,2022-01-01,1,2,4,8,9,5,5,30,1,10,0,0,0,0,75
SAN ANDRES DE MACHACA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3
SAN ANTONIO DE ESMORUCO,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
SAN ANTONIO DE LOMERIO,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN BENITO,atencion odontologica,consulta repetida,2022-01-01,3,2,8,14,19,14,3,21,3,4,0,0,0,0,91
SAN BORJA,atencion odontologica,consulta repetida,2022-01-01,1,0,20,9,3,14,19,22,7,0,0,0,0,0,95
SAN BUENA VENTURA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAN CARLOS,atencion odontologica,consulta repetida,2022-01-01,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3
SAN IGNACIO,atencion odontologica,consulta repetida,2022-01-01,0,0,0,2,6,5,5,5,0,0,0,0,0,0,23
SAN IGNACIO DE VELASCO,atencion odontologica,consulta repetida,2022-01-01,0,0,4,2,1,1,16,11,8,0,0,5,0,2,50
SAN JOAQUIN,atencion odontologica,consulta repetida,2022-01-01,0,0,6,4,8,9,4,6,0,0,0,0,0,0,37
SAN JOSE DE CHIQUITOS,atencion odontologica,consulta repetida,2022-01-01,0,0,4,4,0,0,5,17,0,0,0,0,0,0,30
SAN JUAN DE YAPACANI,atencion odontologica,consulta repetida,2022-01-01,0,0,6,5,1,8,0,5,0,0,0,0,0,0,25
SAN JULIAN,atencion odontologica,consulta repetida,2022-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
SAN LORENZO(TJA),atencion odontologica,consulta repetida,2022-01-01,3,3,3,3,1,10,10,22,2,0,0,0,0,0,57
SAN LUCAS,atencion odontologica,consulta repetida,2022-01-01,0,0,7,8,5,2,5,33,1,2,0,2,0,0,65
SAN MIGUEL DE VELASCO,atencion odontologica,consulta repetida,2022-01-01,0,0,22,11,10,13,38,69,0,0,0,0,0,0,163
SAN PABLO DE LIPEZ,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN PEDRO,atencion odontologica,consulta repetida,2022-01-01,0,0,5,6,5,9,10,16,5,2,0,0,0,0,58
SAN PEDRO DE BUENA VISTA,atencion odontologica,consulta repetida,2022-01-01,1,0,4,6,0,6,6,8,1,0,0,0,0,0,32
SAN PEDRO DE MACHA,atencion odontologica,consulta repetida,2022-01-01,2,0,5,7,5,15,12,33,2,1,0,2,0,1,85
SAN RAFAEL,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,2,5,0,0,0,0,0,0,7
SAN RAMON BENI,atencion odontologica,consulta repetida,2022-01-01,0,0,0,1,0,1,3,0,5,0,0,0,0,0,10
SANTA ANA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
SANTA CRUZ DE LA SIERRA,atencion odontologica,consulta repetida,2022-01-01,93,98,150,157,120,199,521,1054,102,81,0,24,0,2,2601
SANTA ROSA DEL SARA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,6,4,3,0,8,0,0,0,0,0,0,21
SANTIAGO DE HUARI,atencion odontologica,consulta repetida,2022-01-01,0,0,1,1,1,0,5,7,1,3,0,0,0,0,19
SANTIAGO DE HUATA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,2,0,2,1,1,2,0,0,0,0,8
SANTIVAÑES,atencion odontologica,consulta repetida,2022-01-01,0,1,1,2,3,3,10,9,3,1,0,0,0,0,33
SANTUARIO DE QUILLACAS,atencion odontologica,consulta repetida,2022-01-01,0,0,0,3,1,3,1,9,0,1,0,0,0,0,18
SAPAHAQUI,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,8,6,0,0,0,0,0,0,14
SENA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5
SHINAOTA,atencion odontologica,consulta repetida,2022-01-01,1,0,2,0,1,2,29,2,0,0,0,0,0,0,37
SICA SICA (VILLA AROMA),atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,2,0,1,2,0,0,0,1,0,0,6
SICAYA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,3,10,1,7,0,0,0,0,0,0,21
SIPE SIPE,atencion odontologica,consulta repetida,2022-01-01,2,4,5,4,4,1,2,6,0,0,0,0,0,0,28
SOPACHUY,atencion odontologica,consulta repetida,2022-01-01,4,0,2,3,2,1,4,9,0,0,0,0,0,0,25
SORACACHI,atencion odontologica,consulta repetida,2022-01-01,0,1,1,1,3,1,2,10,3,4,0,1,0,0,27
SORATA,atencion odontologica,consulta repetida,2022-01-01,9,0,3,13,2,8,4,18,0,0,0,0,0,0,57
SUCRE,atencion odontologica,consulta repetida,2022-01-01,40,61,115,199,98,95,299,523,76,37,0,13,0,0,1556
TACACHI,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3
TACACOMA,atencion odontologica,consulta repetida,2022-01-01,0,0,2,2,2,4,11,19,0,4,0,0,0,0,44
TACOPAYA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,2,3,5,4,12,3,4,0,1,0,4,38
