,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES
ARQUE,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,5,12,2,1,0,0,0,0,20
ASCENCION DE GUARAYOS,atencion odontologica,periodoncia,2022-01-01,0,0,21,16,2,13,3,27,0,1,0,0,0,0,83
ATOCHA,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,1,2,7,9,2,12,0,0,0,0,34
AYATA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,2,0,3,4,2,0,0,0,0,0,11
AYO AYO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncia,2022-01-01,0,0,1,0,3,3,3,9,1,0,0,0,0,0,20
AZURDUY,atencion odontologica,periodoncia,2022-01-01,0,0,1,1,0,0,1,6,0,0,0,0,0,0,9
BAURES,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,0,1,2,0,0,0,0,0,0,0,4
BELEN DE URMIRI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
BELLA FLOR,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
BERMEJO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,2,6,6,0,0,0,0,0,0,14
BETANZOS,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,12,1,0,0,0,0,0,14
BOLIVAR,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,2,1,0,0,0,0,0,4
BOYUIBE,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
BUENA VISTA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,1,2,1,0,0,0,0,4
CABEZAS,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,2,0,0,10,0,0,0,0,0,0,13
CAIROMA,atencion odontologica,periodoncia,2022-01-01,0,0,0,2,0,2,1,3,0,0,0,0,0,0,8
"CAIZA ""D""",atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,1,2,0,0,0,0,0,0,4
CALACOTO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CALAMARCA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,2,1,1,1,0,0,0,0,0,0,5
CAMARGO,atencion odontologica,periodoncia,2022-01-01,0,0,0,2,0,3,2,6,3,0,0,0,0,0,16
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,3,0,1,0,0,0,0,5
CAMIRI,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,1,1,4,6,3,0,0,0,0,0,16
CAPINOTA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,2,0,3,2,0,0,0,0,0,0,7
CAQUIAVIRI,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,1,0,0,2,0,0,0,0,0,0,4
CARACOLLO,atencion odontologica,periodoncia,2022-01-01,0,0,1,13,1,3,6,7,0,1,0,0,0,0,32
CARANAVI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,1,0,2,0,0,0,0,0,0,4
CARANGAS,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
CARAPARI,atencion odontologica,periodoncia,2022-01-01,0,0,1,1,2,1,3,7,1,0,0,0,0,0,16
CARIPUYO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,3,1,1,0,0,0,0,0,5
CARMEN RIVERO TORREZ,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5
CHALLAPATA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,2,3,2,26,4,4,0,0,0,0,41
CHAQUI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
CHARAGUA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,0,5,1,0,0,0,0,0,7
CHARAÑA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,2,0,1,0,0,0,0,0,0,4
CHAYANTA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,1,2,0,0,0,0,0,0,4
CHIMORE,atencion odontologica,periodoncia,2022-01-01,0,0,12,17,8,14,5,20,0,0,0,0,0,0,76
CHIPAYA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
CHOQUE COTA,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,1,1,4,6,1,3,0,0,0,0,17
CHUA COCANI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
CHUMA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,3,1,7,13,2,0,0,0,0,0,26
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
CKOCHAS,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,2,1,1,2,0,0,0,0,6
CLIZA,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,3,4,10,8,2,0,0,0,0,0,28
COBIJA,atencion odontologica,periodoncia,2022-01-01,0,0,7,7,8,9,4,42,1,4,0,0,0,0,82
COCAPATA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,periodoncia,2022-01-01,0,0,9,23,34,41,193,265,59,32,0,0,0,0,656
COIPASA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
COLCAPIRHUA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,4,20,0,1,0,0,0,0,25
"COLCHA ""K""",atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
COLLANA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
COLOMI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,1,4,4,0,0,0,0,0,0,10
COLQUECHACA,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,2,4,5,3,2,0,0,0,0,0,17
COLQUENCHA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,1,2,0,0,0,0,0,0,4
COLQUIRI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,2,3,9,2,1,0,0,0,0,17
COMARAPA,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,3,1,9,12,4,3,0,0,0,0,33
COMBAYA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
CONCEPCION,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,1,0,1,14,0,0,0,0,0,0,17
COPACABANA,atencion odontologica,periodoncia,2022-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
CORIPATA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3
CORO CORO,atencion odontologica,periodoncia,2022-01-01,0,0,3,4,0,1,3,2,0,0,0,0,0,0,13
COROICO,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4
CORQUE,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,0,0,0,0,2,2,0,0,0,0,5
COTAGAITA,atencion odontologica,periodoncia,2022-01-01,0,0,0,2,11,1,8,9,1,0,0,0,0,0,32
COTOCA,atencion odontologica,periodoncia,2022-01-01,0,0,2,8,0,8,16,18,1,0,0,0,0,0,53
CUATRO CAÑADAS,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,0,2,0,1,0,0,0,0,4
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
CUEVO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CULPINA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
CURAHUARA DE CARANGAS,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,2,2,2,1,1,0,0,0,0,9
CURVA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
EL ALTO,atencion odontologica,periodoncia,2022-01-01,0,0,25,42,46,77,103,240,48,17,0,0,0,0,598
EL CHORO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,3,1,0,1,0,0,0,0,5
EL PUENTE(STC),atencion odontologica,periodoncia,2022-01-01,0,0,0,1,5,8,2,9,1,0,0,0,0,0,26
EL PUENTE(TJA),atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
EL TORNO,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,4,9,13,36,13,16,0,0,0,0,92
ENTRE RIOS TRJ,atencion odontologica,periodoncia,2022-01-01,0,0,4,2,2,0,4,7,0,0,0,0,0,0,19
ENTRE RIOS CBBA,atencion odontologica,periodoncia,2022-01-01,0,0,3,2,3,9,15,23,2,1,0,0,0,0,58
ESCOMA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
ESMERALDA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
EUCALIPTUS,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4
FERNANDEZ ALONSO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,1,6,0,0,0,0,0,0,8
FILADELFIA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
GAIOC JATUN AYLLU YURA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
GENERAL SAAVEDRA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,2,1,6,0,0,0,0,0,0,9
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,periodoncia,2022-01-01,0,0,0,1,0,0,1,3,1,2,0,0,0,0,8
GUANAY,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
GUAQUI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
GUAYARAMERIN,atencion odontologica,periodoncia,2022-01-01,0,0,6,8,4,7,6,21,1,1,0,0,0,0,54
GUTIERREZ,atencion odontologica,periodoncia,2022-01-01,0,0,0,2,0,0,1,3,0,0,0,0,0,0,6
HUACHACALLA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
HUANUNI,atencion odontologica,periodoncia,2022-01-01,0,0,0,2,2,1,15,14,4,1,0,0,0,0,39
HUARACAJE,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,3,1,0,2,0,0,0,0,0,0,6
HUARINA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,1,3,0,2,0,0,0,0,7
HUATAJATA,atencion odontologica,periodoncia,2022-01-01,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3
HUAYLLAMARCA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
ICHOCA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,2,3,2,2,0,0,0,0,0,9
ICLA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
INCAHUASI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,1,3,0,0,0,0,0,0,5
INQUISIVI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
IRUPANA (VILLA DE LANZA),atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,3,8,0,3,0,0,0,0,14
IXIAMAS,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4
JESUS DE MACHACA,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,2,3,0,3,2,2,0,0,0,0,13
LA ASUNTA,atencion odontologica,periodoncia,2022-01-01,0,0,5,1,6,18,14,38,0,1,0,0,0,0,83
LA GUARDIA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,periodoncia,2022-01-01,0,0,37,23,81,86,324,427,97,61,0,0,0,0,1136
LAJA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,4,2,3,13,2,2,0,0,0,0,26
LAS CARRERAS,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,1,0,1,1,0,0,0,0,0,0,4
LICOMA PAMPA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
LLALLAGUA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,2,12,0,0,0,0,0,0,14
LORETO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
LURIBAY,atencion odontologica,periodoncia,2022-01-01,0,0,2,0,1,3,4,17,4,6,0,0,0,0,37
MACHACAMARCA,atencion odontologica,periodoncia,2022-01-01,0,0,0,2,1,0,0,1,0,0,0,0,0,0,4
MAGDALENA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,3,4,0,2,0,0,0,0,0,9
MAPIRI,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,1,2,2,8,1,1,0,0,0,0,16
MECAPACA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,3,2,2,0,0,0,0,0,7
MIZQUE,atencion odontologica,periodoncia,2022-01-01,0,0,1,1,0,1,1,6,0,0,0,0,0,0,10
MOCOMOCO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
MOJOCOYA,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,0,1,4,13,0,0,0,0,0,0,19
MONTEAGUDO,atencion odontologica,periodoncia,2022-01-01,0,0,2,0,2,5,1,5,0,0,0,0,0,0,15
MONTERO,atencion odontologica,periodoncia,2022-01-01,0,0,5,8,8,19,31,134,7,9,0,0,0,0,221
MORO MORO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MOROCHATA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,2,6,0,2,0,0,0,0,11
OCURI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4
OKINAWA,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,0,1,1,5,0,0,0,0,0,0,8
OMEREQUE,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
ORURO,atencion odontologica,periodoncia,2022-01-01,0,0,8,14,23,28,88,162,20,9,0,0,0,0,352
PADCAYA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
PADILLA,atencion odontologica,periodoncia,2022-01-01,0,0,1,5,0,3,2,5,0,0,0,0,0,0,16
PALCA,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,0,1,1,2,0,0,0,0,0,0,5
PALOS BLANCOS,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,2,3,7,9,0,0,0,0,0,0,22
PAMPA GRANDE,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PASORAPA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,1,1,2,1,0,0,0,0,0,6
PATACAMAYA,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,0,0,2,1,0,0,0,0,0,0,4
PAZÑA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,5,6,0,0,0,0,0,0,12
PELECHUCO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
POCOATA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,5,4,3,2,0,0,0,0,14
POCONA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,2,1,5,0,0,0,0,0,0,8
POJO (CBBA),atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,1,4,0,0,0,0,0,0,6
POOPO,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,1,2,3,4,11,13,0,0,0,0,35
PORCO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5
POROMA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
PORTACHUELO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PORVENIR,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4
POTOSI,atencion odontologica,periodoncia,2022-01-01,0,0,3,2,5,9,28,37,2,2,0,0,0,0,88
PRESTO,atencion odontologica,periodoncia,2022-01-01,0,0,7,4,0,7,4,13,0,2,0,0,0,0,37
PUCARANI,atencion odontologica,periodoncia,2022-01-01,0,0,1,2,7,6,7,3,0,2,0,0,0,0,28
PUERTO ACOSTA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,3,0,0,6,0,0,0,0,0,0,9
PUERTO CARABUCO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,2,5,0,0,0,0,0,0,8
PUERTO GONZALO MORENO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,3,1,0,6,1,0,0,0,0,0,11
PUERTO RICO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,6,1,10,0,0,0,0,0,0,17
PUERTO SUAREZ,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,0,1,0,2,0,0,0,0,0,0,4
PUERTO VILLARROEL,atencion odontologica,periodoncia,2022-01-01,0,0,2,1,4,7,9,14,2,2,0,0,0,0,41
PUNA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,1,3,10,0,2,0,0,0,0,17
PUNATA,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,1,1,8,11,4,1,0,0,0,0,27
QUILLACOLLO,atencion odontologica,periodoncia,2022-01-01,0,0,2,1,8,11,30,63,7,3,0,0,0,0,125
QUIME,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,0,0,20,4,1,0,0,0,0,0,26
QUIRUSILLAS,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,1,5,0,1,0,0,0,0,0,8
RAVELO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,0,4,0,0,0,0,0,0,5
RIBERALTA,atencion odontologica,periodoncia,2022-01-01,0,0,2,3,4,11,8,29,4,0,0,0,0,0,61
ROBORE,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
RURRENABAQUE,atencion odontologica,periodoncia,2022-01-01,0,0,3,2,3,2,3,6,1,0,0,0,0,0,20
SABAYA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4
SACABA,atencion odontologica,periodoncia,2022-01-01,0,0,3,9,17,15,42,126,17,10,0,0,0,0,239
SACABAMBA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,2,5,0,2,0,0,0,0,9
SACACA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3
SALINAS DE GARCI MENDOZA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,3,0,3,3,5,1,0,0,0,0,15
SAN AGUSTIN,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SAN ANDRES,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,0,4,0,0,0,0,0,0,5
SAN ANTONIO DE ESMORUCO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SAN BENITO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,4,7,3,3,2,1,0,0,0,0,20
SAN BORJA,atencion odontologica,periodoncia,2022-01-01,0,0,3,2,4,7,21,17,3,1,0,0,0,0,58
SAN BUENA VENTURA,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,1,1,1,2,0,0,0,0,0,0,6
SAN CARLOS,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
SAN IGNACIO,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,0,1,1,5,1,0,0,0,0,0,9
SAN IGNACIO DE VELASCO,atencion odontologica,periodoncia,2022-01-01,0,0,2,2,0,1,10,2,0,0,0,0,0,0,17
SAN JAVIER(STC),atencion odontologica,periodoncia,2022-01-01,0,0,0,4,0,1,0,8,3,2,0,0,0,0,18
SAN JOAQUIN,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,7,3,2,0,0,0,0,0,0,12
SAN JOSE DE CHIQUITOS,atencion odontologica,periodoncia,2022-01-01,0,0,0,3,0,0,2,9,0,0,0,0,0,0,14
SAN JUAN DE YAPACANI,atencion odontologica,periodoncia,2022-01-01,0,0,0,2,3,3,0,6,0,0,0,0,0,0,14
SAN JULIAN,atencion odontologica,periodoncia,2022-01-01,0,0,2,3,1,2,6,17,5,1,0,0,0,0,37
SAN LORENZO(TJA),atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,2,4,7,1,0,0,0,0,0,14
SAN LUCAS,atencion odontologica,periodoncia,2022-01-01,0,0,1,2,0,2,6,9,0,0,0,0,0,0,20
SAN MATIAS,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
SAN MIGUEL DE VELASCO,atencion odontologica,periodoncia,2022-01-01,0,0,2,2,0,2,8,13,0,0,0,0,0,0,27
SAN PABLO DE LIPEZ,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
SAN PEDRO,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,8,4,4,3,0,0,0,0,0,0,20
SAN PEDRO DE BUENA VISTA,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,1,2,0,4,1,1,0,0,0,0,10
SAN PEDRO DE MACHA,atencion odontologica,periodoncia,2022-01-01,0,0,0,1,0,2,22,27,11,12,0,0,0,0,75
SAN PEDRO DE TIQUINA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3
SAN RAFAEL,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
SANTA ANA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,3,1,1,0,0,0,0,0,0,5
SANTA CRUZ DE LA SIERRA,atencion odontologica,periodoncia,2022-01-01,0,0,62,94,129,166,558,1134,76,55,0,0,0,0,2274
SANTA ROSA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SANTA ROSA DEL SARA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,2,2,8,0,1,0,0,0,0,13
SANTIAGO DE CALLAPA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3
SANTIAGO DE HUARI,atencion odontologica,periodoncia,2022-01-01,0,0,1,0,0,0,4,0,1,2,0,0,0,0,8
SANTIAGO DE MACHACA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SANTIVAÑES,atencion odontologica,periodoncia,2022-01-01,0,0,1,2,3,2,10,18,2,4,0,0,0,0,42
SANTUARIO DE QUILLACAS,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,1,2,1,0,0,0,0,0,5
SAPAHAQUI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7
SENA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
SHINAOTA,atencion odontologica,periodoncia,2022-01-01,0,0,1,1,0,1,1,6,0,0,0,0,0,0,10
SICAYA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3
SIPE SIPE,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,2,2,8,24,1,4,0,0,0,0,41
SOPACHUY,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,2,4,0,0,0,0,0,0,6
SORACACHI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,1,2,1,0,0,0,0,0,5
