,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
ARANI,atencion odontologica,consulta nueva,2022-01-01,4,10,25,61,37,45,49,104,4,3,0,4,0,1,347
ARBIETO,atencion odontologica,consulta nueva,2022-01-01,12,27,51,69,24,18,25,74,4,7,0,2,0,3,316
ARQUE,atencion odontologica,consulta nueva,2022-01-01,7,12,33,48,22,22,35,81,18,5,0,5,0,2,290
ASCENCION DE GUARAYOS,atencion odontologica,consulta nueva,2022-01-01,86,51,171,152,19,103,22,145,5,3,0,27,0,17,801
ATOCHA,atencion odontologica,consulta nueva,2022-01-01,17,14,68,77,40,76,102,107,17,12,0,11,0,0,541
AUCAPATA,atencion odontologica,consulta nueva,2022-01-01,2,9,3,10,7,17,35,60,2,5,0,3,0,0,153
AYATA,atencion odontologica,consulta nueva,2022-01-01,23,15,37,14,26,12,60,80,13,12,0,5,0,5,302
AYO AYO,atencion odontologica,consulta nueva,2022-01-01,0,0,20,9,5,17,10,29,0,4,0,0,0,0,94
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta nueva,2022-01-01,30,26,88,105,35,87,76,188,9,26,0,3,0,11,684
AZURDUY,atencion odontologica,consulta nueva,2022-01-01,0,1,16,45,3,7,14,66,0,5,0,0,0,0,157
BATALLAS,atencion odontologica,consulta nueva,2022-01-01,0,0,3,4,4,7,4,15,1,2,0,0,0,0,40
BAURES,atencion odontologica,consulta nueva,2022-01-01,1,1,14,10,2,0,23,19,1,2,0,0,0,0,73
BELEN DE ANDAMARCA,atencion odontologica,consulta nueva,2022-01-01,5,10,1,3,2,2,4,16,0,1,0,0,0,0,44
BELEN DE URMIRI,atencion odontologica,consulta nueva,2022-01-01,3,0,3,8,1,0,2,16,7,4,0,0,0,3,47
BELLA FLOR,atencion odontologica,consulta nueva,2022-01-01,1,0,0,0,0,2,3,6,0,0,0,1,0,0,13
BERMEJO,atencion odontologica,consulta nueva,2022-01-01,5,5,29,40,11,38,61,80,15,3,0,4,0,0,291
BETANZOS,atencion odontologica,consulta nueva,2022-01-01,19,44,59,89,45,125,75,186,31,28,0,9,0,2,712
BOLIVAR,atencion odontologica,consulta nueva,2022-01-01,0,4,9,16,0,14,28,29,7,8,0,0,0,2,117
BOLPEBRA,atencion odontologica,consulta nueva,2022-01-01,0,0,2,1,1,0,2,1,0,0,0,0,0,0,7
BOYUIBE,atencion odontologica,consulta nueva,2022-01-01,2,6,12,21,4,24,14,36,4,5,0,2,0,0,130
BUENA VISTA,atencion odontologica,consulta nueva,2022-01-01,32,24,9,9,4,6,4,21,9,1,0,3,0,5,127
CABEZAS,atencion odontologica,consulta nueva,2022-01-01,38,66,54,66,11,20,27,84,10,6,0,2,0,0,384
CAIROMA,atencion odontologica,consulta nueva,2022-01-01,4,2,17,14,11,31,14,29,2,0,0,0,0,0,124
"CAIZA ""D""",atencion odontologica,consulta nueva,2022-01-01,9,10,12,14,5,12,15,34,1,5,0,2,0,1,120
CAJUATA,atencion odontologica,consulta nueva,2022-01-01,0,7,22,21,0,3,7,20,1,2,0,2,0,0,85
CALACOTO,atencion odontologica,consulta nueva,2022-01-01,0,0,0,0,0,4,4,8,1,5,0,0,0,0,22
CALAMARCA,atencion odontologica,consulta nueva,2022-01-01,9,7,39,24,80,23,27,51,3,7,0,3,0,1,274
CAMARGO,atencion odontologica,consulta nueva,2022-01-01,9,11,54,88,16,63,28,138,8,1,0,7,0,6,429
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta nueva,2022-01-01,2,0,19,23,7,6,39,57,2,4,0,0,0,0,159
CAMIRI,atencion odontologica,consulta nueva,2022-01-01,5,13,29,48,20,41,62,111,24,8,0,4,0,0,365
CAPINOTA,atencion odontologica,consulta nueva,2022-01-01,11,23,61,55,23,31,48,127,18,10,0,0,0,0,407
CAQUIAVIRI,atencion odontologica,consulta nueva,2022-01-01,10,11,45,61,47,58,39,81,10,3,0,0,0,3,368
CARACOLLO,atencion odontologica,consulta nueva,2022-01-01,25,7,93,72,51,52,97,122,8,8,0,13,0,2,550
CARANAVI,atencion odontologica,consulta nueva,2022-01-01,6,11,26,44,24,33,14,58,6,1,0,8,0,0,231
CARANGAS,atencion odontologica,consulta nueva,2022-01-01,0,0,0,7,8,1,4,10,0,4,0,0,0,0,34
CARAPARI,atencion odontologica,consulta nueva,2022-01-01,10,7,58,68,17,43,58,159,5,3,0,1,0,2,431
CARIPUYO,atencion odontologica,consulta nueva,2022-01-01,9,9,17,31,24,22,41,59,18,10,0,5,0,2,247
CARMEN RIVERO TORREZ,atencion odontologica,consulta nueva,2022-01-01,12,12,9,19,2,2,14,29,4,2,0,1,0,1,107
CHACARILLA,atencion odontologica,consulta nueva,2022-01-01,7,9,9,10,7,8,17,38,9,0,0,0,0,0,114
CHALLAPATA,atencion odontologica,consulta nueva,2022-01-01,43,39,95,90,80,64,66,177,76,58,0,52,0,3,843
CHAQUI,atencion odontologica,consulta nueva,2022-01-01,15,17,29,34,54,30,28,71,2,15,0,6,0,3,304
CHARAGUA,atencion odontologica,consulta nueva,2022-01-01,13,41,30,33,13,29,23,104,35,27,0,4,0,2,354
CHARAÑA,atencion odontologica,consulta nueva,2022-01-01,2,0,2,8,5,11,4,30,3,5,0,1,0,0,71
CHAYANTA,atencion odontologica,consulta nueva,2022-01-01,11,8,26,38,24,9,26,51,5,6,0,4,0,0,208
CHIMORE,atencion odontologica,consulta nueva,2022-01-01,19,31,115,132,69,95,68,165,5,0,0,7,0,1,707
CHIPAYA,atencion odontologica,consulta nueva,2022-01-01,6,20,19,8,1,0,1,8,0,7,0,0,0,0,70
CHOQUE COTA,atencion odontologica,consulta nueva,2022-01-01,14,8,38,3,13,4,15,36,8,11,0,0,0,0,150
CHUA COCANI,atencion odontologica,consulta nueva,2022-01-01,0,4,6,29,10,15,0,28,4,4,0,4,0,0,104
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta nueva,2022-01-01,3,2,1,3,0,0,3,4,0,0,0,0,0,0,16
CHUMA,atencion odontologica,consulta nueva,2022-01-01,26,18,49,61,41,58,114,146,29,29,0,4,0,2,577
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta nueva,2022-01-01,4,3,9,29,14,53,22,65,2,0,0,10,0,1,212
CKOCHAS,atencion odontologica,consulta nueva,2022-01-01,4,6,11,10,6,5,18,14,12,7,0,0,0,0,93
CLIZA,atencion odontologica,consulta nueva,2022-01-01,23,38,109,137,33,64,48,126,28,34,0,8,0,0,648
COBIJA,atencion odontologica,consulta nueva,2022-01-01,121,139,146,201,114,210,144,400,16,25,0,142,0,38,1696
COCAPATA,atencion odontologica,consulta nueva,2022-01-01,12,1,19,18,18,17,34,61,2,0,0,0,0,1,183
COCHABAMBA,atencion odontologica,consulta nueva,2022-01-01,355,397,1100,1275,536,833,1338,2554,513,320,0,140,0,29,9390
COIPASA,atencion odontologica,consulta nueva,2022-01-01,9,8,15,6,10,0,12,9,0,0,0,2,0,0,71
COLCAPIRHUA,atencion odontologica,consulta nueva,2022-01-01,34,27,101,120,62,73,132,347,27,23,0,10,0,8,964
"COLCHA ""K""",atencion odontologica,consulta nueva,2022-01-01,7,15,32,56,17,41,75,140,7,18,0,4,0,0,412
COLLANA,atencion odontologica,consulta nueva,2022-01-01,8,9,52,44,65,58,36,54,5,3,0,2,0,2,338
COLOMI,atencion odontologica,consulta nueva,2022-01-01,71,87,91,105,39,106,53,124,4,14,0,7,0,4,705
COLPA BELGICA,atencion odontologica,consulta nueva,2022-01-01,0,2,18,31,2,14,7,49,1,3,0,1,0,0,128
COLQUECHACA,atencion odontologica,consulta nueva,2022-01-01,16,30,44,76,17,111,48,117,8,10,0,6,0,2,485
COLQUENCHA,atencion odontologica,consulta nueva,2022-01-01,12,14,34,70,65,40,51,76,8,14,0,9,0,0,393
COLQUIRI,atencion odontologica,consulta nueva,2022-01-01,23,16,54,55,54,30,66,101,9,13,0,3,0,10,434
COMANCHE,atencion odontologica,consulta nueva,2022-01-01,0,0,7,6,5,7,4,8,0,0,0,0,0,0,37
COMARAPA,atencion odontologica,consulta nueva,2022-01-01,17,35,54,47,22,62,65,91,13,6,0,0,0,11,423
COMBAYA,atencion odontologica,consulta nueva,2022-01-01,0,0,4,4,6,5,11,10,2,3,0,0,0,0,45
CONCEPCION,atencion odontologica,consulta nueva,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COPACABANA,atencion odontologica,consulta nueva,2022-01-01,0,0,0,1,2,0,0,1,0,0,0,0,0,0,4
CORIPATA,atencion odontologica,consulta nueva,2022-01-01,8,6,25,24,7,28,11,14,3,0,0,1,0,1,128
CORO CORO,atencion odontologica,consulta nueva,2022-01-01,6,3,36,24,8,22,30,29,2,3,0,0,0,0,163
COROICO,atencion odontologica,consulta nueva,2022-01-01,7,14,50,36,43,43,54,83,11,4,0,7,0,4,356
CORQUE,atencion odontologica,consulta nueva,2022-01-01,3,8,18,37,7,15,15,41,12,20,0,2,0,0,178
COTAGAITA,atencion odontologica,consulta nueva,2022-01-01,27,39,140,108,88,75,113,268,14,32,0,12,0,13,929
COTOCA,atencion odontologica,consulta nueva,2022-01-01,78,74,95,107,37,63,78,138,31,19,0,10,0,0,730
CRUZ DE MACHACAMARCA,atencion odontologica,consulta nueva,2022-01-01,0,0,2,0,2,2,2,4,0,0,0,0,0,0,12
CUATRO CAÑADAS,atencion odontologica,consulta nueva,2022-01-01,3,3,13,20,2,5,7,20,4,5,0,1,0,0,83
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta nueva,2022-01-01,0,0,17,25,7,7,26,52,3,5,0,3,0,0,145
CUEVO,atencion odontologica,consulta nueva,2022-01-01,2,0,5,7,8,14,12,40,9,4,0,5,0,0,106
CULPINA,atencion odontologica,consulta nueva,2022-01-01,2,4,19,19,22,33,29,94,10,10,0,14,0,1,257
CURAHUARA DE CARANGAS,atencion odontologica,consulta nueva,2022-01-01,22,35,50,65,24,44,43,82,16,15,0,0,0,0,396
CURVA,atencion odontologica,consulta nueva,2022-01-01,3,6,10,8,0,4,11,26,0,3,0,4,0,0,75
DESAGUADERO,atencion odontologica,consulta nueva,2022-01-01,5,2,3,8,16,5,5,24,6,1,0,6,0,4,85
EL ALTO,atencion odontologica,consulta nueva,2022-01-01,491,488,948,1199,508,668,552,1392,138,99,0,220,0,70,6773
EL CHORO,atencion odontologica,consulta nueva,2022-01-01,14,21,22,59,11,7,34,28,19,31,0,0,0,0,246
EL PUENTE(STC),atencion odontologica,consulta nueva,2022-01-01,10,26,50,87,34,48,32,98,10,2,0,1,0,1,399
EL PUENTE(TJA),atencion odontologica,consulta nueva,2022-01-01,2,2,25,39,14,24,33,93,14,13,0,1,0,0,260
EL TORNO,atencion odontologica,consulta nueva,2022-01-01,292,391,67,124,31,61,84,218,44,44,0,81,0,33,1470
EL VILLAR,atencion odontologica,consulta nueva,2022-01-01,0,0,0,0,0,2,7,4,0,2,0,0,0,0,15
ENTRE RIOS TRJ,atencion odontologica,consulta nueva,2022-01-01,18,2,21,55,21,45,40,111,6,2,0,2,0,1,324
ENTRE RIOS CBBA,atencion odontologica,consulta nueva,2022-01-01,50,52,154,210,46,104,72,176,7,5,0,0,0,7,883
ESCOMA,atencion odontologica,consulta nueva,2022-01-01,0,1,10,13,12,7,11,26,6,11,0,1,0,1,99
ESMERALDA,atencion odontologica,consulta nueva,2022-01-01,0,0,0,10,7,3,9,7,3,6,0,0,0,0,45
EUCALIPTUS,atencion odontologica,consulta nueva,2022-01-01,9,4,4,15,17,26,25,67,8,16,0,10,0,0,201
FERNANDEZ ALONSO,atencion odontologica,consulta nueva,2022-01-01,28,15,62,78,56,27,59,132,12,9,0,8,0,0,486
FILADELFIA,atencion odontologica,consulta nueva,2022-01-01,2,5,7,7,3,6,9,37,1,5,0,9,0,2,93
GAIOC JATUN AYLLU YURA,atencion odontologica,consulta nueva,2022-01-01,1,0,4,12,4,3,7,21,1,0,0,0,0,0,53
GENERAL SAAVEDRA,atencion odontologica,consulta nueva,2022-01-01,7,12,23,36,17,14,32,59,5,3,0,1,0,0,209
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta nueva,2022-01-01,24,14,52,58,40,35,66,117,31,33,0,9,0,0,479
GUANAY,atencion odontologica,consulta nueva,2022-01-01,3,8,20,28,12,14,31,31,11,2,0,0,0,0,160
GUAQUI,atencion odontologica,consulta nueva,2022-01-01,7,7,16,30,32,23,30,59,31,42,0,7,0,1,285
GUAYARAMERIN,atencion odontologica,consulta nueva,2022-01-01,25,23,71,72,27,40,31,61,2,3,0,24,0,0,379
GUTIERREZ,atencion odontologica,consulta nueva,2022-01-01,9,7,14,21,24,20,30,88,8,1,0,0,0,0,222
HUACARETA,atencion odontologica,consulta nueva,2022-01-01,0,1,4,5,3,12,7,20,7,2,0,0,0,0,61
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta nueva,2022-01-01,5,1,3,2,1,0,5,14,0,0,0,1,0,0,32
HUACHACALLA,atencion odontologica,consulta nueva,2022-01-01,5,1,4,4,5,9,7,14,7,11,0,0,0,0,67
HUANUNI,atencion odontologica,consulta nueva,2022-01-01,40,52,160,182,75,99,116,248,32,19,0,46,0,0,1069
HUARACAJE,atencion odontologica,consulta nueva,2022-01-01,0,6,5,29,5,20,7,39,1,0,0,1,0,1,114
HUARINA,atencion odontologica,consulta nueva,2022-01-01,2,1,8,16,17,8,20,21,4,9,0,0,0,0,106
HUATAJATA,atencion odontologica,consulta nueva,2022-01-01,4,5,18,32,7,4,13,35,4,4,0,0,0,0,126
HUAYLLAMARCA,atencion odontologica,consulta nueva,2022-01-01,12,0,28,19,15,22,21,50,16,10,0,2,0,0,195
HUMANATA,atencion odontologica,consulta nueva,2022-01-01,2,5,11,7,13,4,4,23,8,7,0,0,0,0,84
ICHOCA,atencion odontologica,consulta nueva,2022-01-01,5,7,9,9,9,24,43,39,16,6,0,2,0,0,169
ICLA,atencion odontologica,consulta nueva,2022-01-01,19,11,6,12,3,15,14,37,9,10,0,7,0,0,143
INCAHUASI,atencion odontologica,consulta nueva,2022-01-01,6,6,36,14,5,22,14,48,6,13,0,0,0,0,170
INQUISIVI,atencion odontologica,consulta nueva,2022-01-01,7,7,29,28,49,21,45,43,15,16,0,4,0,7,271
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta nueva,2022-01-01,85,68,120,131,46,40,126,200,104,56,0,6,0,0,982
IXIAMAS,atencion odontologica,consulta nueva,2022-01-01,6,0,28,32,47,22,19,44,7,3,0,0,0,0,208
JESUS DE MACHACA,atencion odontologica,consulta nueva,2022-01-01,12,11,33,35,26,55,22,82,15,20,0,4,0,2,317
LA ASUNTA,atencion odontologica,consulta nueva,2022-01-01,99,66,209,215,171,149,165,373,14,13,0,121,0,17,1612
LA GUARDIA,atencion odontologica,consulta nueva,2022-01-01,51,54,11,8,6,21,18,121,55,79,0,52,0,12,488
LA PAZ,atencion odontologica,consulta nueva,2022-01-01,731,805,1587,1597,718,957,1519,2972,504,376,0,287,0,67,12120
LA RIVERA,atencion odontologica,consulta nueva,2022-01-01,0,0,1,7,1,3,8,10,2,0,0,3,0,0,35
LAGUNILLAS,atencion odontologica,consulta nueva,2022-01-01,4,2,12,35,4,20,13,54,3,0,0,0,0,4,151
LAJA,atencion odontologica,consulta nueva,2022-01-01,62,44,68,41,18,21,15,101,10,20,0,6,0,2,408
LAS CARRERAS,atencion odontologica,consulta nueva,2022-01-01,0,2,22,12,3,15,19,33,7,2,0,0,0,0,115
LICOMA PAMPA,atencion odontologica,consulta nueva,2022-01-01,3,12,0,9,4,1,1,3,4,0,0,0,0,0,37
LLALLAGUA,atencion odontologica,consulta nueva,2022-01-01,87,87,129,127,51,72,57,265,25,20,0,15,0,5,940
LORETO,atencion odontologica,consulta nueva,2022-01-01,3,1,10,8,1,1,6,16,0,0,0,2,0,0,48
LURIBAY,atencion odontologica,consulta nueva,2022-01-01,5,4,25,15,5,16,24,60,16,9,0,4,0,2,185
MACHACAMARCA,atencion odontologica,consulta nueva,2022-01-01,15,9,33,32,12,30,35,49,6,11,0,4,0,0,236
MACHARETI,atencion odontologica,consulta nueva,2022-01-01,0,1,15,9,10,2,9,36,3,0,0,0,0,0,85
MAGDALENA,atencion odontologica,consulta nueva,2022-01-01,7,3,28,14,6,20,23,33,13,7,0,3,0,0,157
MAIRANA,atencion odontologica,consulta nueva,2022-01-01,67,53,132,199,19,36,62,115,1,10,0,17,0,3,714
MALLA,atencion odontologica,consulta nueva,2022-01-01,6,6,10,9,19,12,22,10,4,4,0,2,0,0,104
MAPIRI,atencion odontologica,consulta nueva,2022-01-01,9,6,19,31,6,19,9,38,4,4,0,0,0,0,145
MECAPACA,atencion odontologica,consulta nueva,2022-01-01,11,15,43,44,29,33,63,76,12,6,0,0,0,0,332
MINEROS,atencion odontologica,consulta nueva,2022-01-01,129,125,9,11,2,0,6,11,37,36,0,7,0,3,376
MIZQUE,atencion odontologica,consulta nueva,2022-01-01,34,41,59,108,18,60,39,152,16,0,0,7,0,6,540
MOCOMOCO,atencion odontologica,consulta nueva,2022-01-01,4,12,20,27,27,28,53,48,15,11,0,2,0,0,247
MOJINETE,atencion odontologica,consulta nueva,2022-01-01,0,0,8,19,8,15,4,18,0,2,0,3,0,0,77
MOJOCOYA,atencion odontologica,consulta nueva,2022-01-01,0,5,17,41,20,37,46,87,9,10,0,0,0,0,272
MONTEAGUDO,atencion odontologica,consulta nueva,2022-01-01,12,16,88,77,45,87,68,145,8,3,0,0,0,3,552
MONTERO,atencion odontologica,consulta nueva,2022-01-01,364,367,521,636,137,297,290,945,94,90,0,256,0,19,4016
MORO MORO,atencion odontologica,consulta nueva,2022-01-01,7,10,7,12,7,6,8,38,4,4,0,0,0,3,106
MOROCHATA,atencion odontologica,consulta nueva,2022-01-01,4,6,23,26,22,80,19,61,6,9,0,0,0,1,257
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,consulta nueva,2022-01-01,6,2,0,0,0,5,4,4,0,0,0,0,0,1,22
NAZACARA DE PACAJES,atencion odontologica,consulta nueva,2022-01-01,0,0,5,0,0,1,0,0,0,0,0,0,0,0,6
OCURI,atencion odontologica,consulta nueva,2022-01-01,26,30,34,90,22,53,43,155,65,48,0,27,0,2,595
OKINAWA,atencion odontologica,consulta nueva,2022-01-01,1,0,3,6,3,10,9,22,3,1,0,0,0,0,58
OMEREQUE,atencion odontologica,consulta nueva,2022-01-01,2,1,17,8,8,10,6,18,2,3,0,0,0,3,78
ORURO,atencion odontologica,consulta nueva,2022-01-01,359,438,1066,1243,566,794,1221,2212,243,184,0,272,0,149,8747
PADCAYA,atencion odontologica,consulta nueva,2022-01-01,6,7,56,33,15,42,43,82,8,9,0,1,0,0,302
PADILLA,atencion odontologica,consulta nueva,2022-01-01,9,10,23,37,14,19,29,76,3,2,0,5,0,0,227
PAILON,atencion odontologica,consulta nueva,2022-01-01,10,10,12,7,0,7,1,22,3,5,0,6,0,3,86
PALCA,atencion odontologica,consulta nueva,2022-01-01,29,32,55,75,50,51,73,125,15,7,0,4,0,4,520
PALOS BLANCOS,atencion odontologica,consulta nueva,2022-01-01,12,19,79,90,39,33,53,92,5,3,0,4,0,9,438
PAMPA AULLAGAS,atencion odontologica,consulta nueva,2022-01-01,6,3,4,4,2,0,2,19,2,0,0,2,0,0,44
PAMPA GRANDE,atencion odontologica,consulta nueva,2022-01-01,2,1,8,6,0,1,0,17,3,1,0,2,0,1,42
PAPEL PAMPA,atencion odontologica,consulta nueva,2022-01-01,3,3,4,6,6,3,18,30,1,7,0,1,0,0,82
PASORAPA,atencion odontologica,consulta nueva,2022-01-01,3,13,53,85,14,28,36,83,15,4,0,0,0,0,334
PATACAMAYA,atencion odontologica,consulta nueva,2022-01-01,81,15,107,101,82,58,17,71,8,9,0,6,0,4,559
PAZÑA,atencion odontologica,consulta nueva,2022-01-01,16,9,48,53,20,39,26,55,13,8,0,6,0,0,293
PELECHUCO,atencion odontologica,consulta nueva,2022-01-01,9,1,8,11,10,20,50,27,1,1,0,0,0,0,138
POCOATA,atencion odontologica,consulta nueva,2022-01-01,20,14,34,61,21,34,42,86,19,8,0,13,0,5,357
POCONA,atencion odontologica,consulta nueva,2022-01-01,11,8,51,39,17,48,43,73,7,10,0,1,0,0,308
POJO (CBBA),atencion odontologica,consulta nueva,2022-01-01,18,10,57,139,59,70,83,129,7,9,0,8,0,5,594
POOPO,atencion odontologica,consulta nueva,2022-01-01,19,27,64,74,33,51,54,122,32,37,0,16,0,10,539
PORCO,atencion odontologica,consulta nueva,2022-01-01,16,3,5,14,9,11,4,33,1,3,0,11,0,2,112
POROMA,atencion odontologica,consulta nueva,2022-01-01,2,0,8,7,3,16,33,34,6,4,0,9,0,2,124
PORONGO,atencion odontologica,consulta nueva,2022-01-01,37,38,69,74,26,23,71,119,31,15,0,9,0,5,517
PORTACHUELO,atencion odontologica,consulta nueva,2022-01-01,0,2,4,1,1,3,3,11,2,1,0,9,0,1,38
PORVENIR,atencion odontologica,consulta nueva,2022-01-01,2,1,16,29,8,9,14,41,4,0,0,5,0,0,129
POSTRER VALLE,atencion odontologica,consulta nueva,2022-01-01,0,2,3,6,0,1,0,7,0,1,0,0,0,0,20
POTOSI,atencion odontologica,consulta nueva,2022-01-01,161,187,506,491,207,368,561,1338,103,90,0,122,0,4,4138
PRESTO,atencion odontologica,consulta nueva,2022-01-01,5,11,66,69,14,81,46,183,16,22,0,19,0,0,532
PUCARA,atencion odontologica,consulta nueva,2022-01-01,0,1,4,0,3,0,1,5,0,0,0,0,0,0,14
PUCARANI,atencion odontologica,consulta nueva,2022-01-01,35,36,77,97,93,91,84,143,17,20,0,5,0,2,700
PUERTO ACOSTA,atencion odontologica,consulta nueva,2022-01-01,10,5,20,22,22,23,14,28,4,2,0,0,0,0,150
PUERTO CARABUCO,atencion odontologica,consulta nueva,2022-01-01,8,18,17,23,29,16,27,46,6,4,0,5,0,5,204
PUERTO GONZALO MORENO,atencion odontologica,consulta nueva,2022-01-01,1,0,18,49,26,27,7,38,2,0,0,3,0,3,174
PUERTO PEREZ,atencion odontologica,consulta nueva,2022-01-01,0,0,0,2,2,2,3,8,11,3,0,0,0,0,31
PUERTO QUIJARRO,atencion odontologica,consulta nueva,2022-01-01,7,4,20,20,16,6,9,36,8,4,0,0,0,0,130
PUERTO RICO,atencion odontologica,consulta nueva,2022-01-01,34,43,26,35,9,22,14,51,2,2,0,11,0,7,256
PUERTO SUAREZ,atencion odontologica,consulta nueva,2022-01-01,0,0,3,6,2,4,1,23,0,0,0,1,0,1,41
PUERTO VILLARROEL,atencion odontologica,consulta nueva,2022-01-01,39,15,121,194,57,91,57,149,16,18,0,20,0,13,790
PUNA,atencion odontologica,consulta nueva,2022-01-01,6,13,21,54,11,39,36,76,10,20,0,2,0,0,288
PUNATA,atencion odontologica,consulta nueva,2022-01-01,42,45,98,171,40,80,94,255,37,35,0,7,0,2,906
QUIABAYA,atencion odontologica,consulta nueva,2022-01-01,0,15,3,4,12,6,12,21,1,0,0,1,0,0,75
QUILLACOLLO,atencion odontologica,consulta nueva,2022-01-01,137,156,470,590,262,320,268,932,94,61,0,46,0,6,3342
QUIME,atencion odontologica,consulta nueva,2022-01-01,8,16,49,62,11,25,70,38,5,0,0,0,0,0,284
QUIRUSILLAS,atencion odontologica,consulta nueva,2022-01-01,6,2,32,44,13,4,11,25,7,2,0,0,0,0,146
RAVELO,atencion odontologica,consulta nueva,2022-01-01,35,37,26,47,12,49,80,124,41,55,0,8,0,2,516
REYES,atencion odontologica,consulta nueva,2022-01-01,0,0,3,4,1,1,3,14,0,1,0,0,0,0,27
RIBERALTA,atencion odontologica,consulta nueva,2022-01-01,48,56,120,98,57,88,78,247,30,26,0,70,0,0,918
ROBORE,atencion odontologica,consulta nueva,2022-01-01,1,0,4,5,1,4,6,11,2,2,0,0,0,0,36
RURRENABAQUE,atencion odontologica,consulta nueva,2022-01-01,11,18,46,54,29,30,23,65,5,0,0,3,0,2,286
SABAYA,atencion odontologica,consulta nueva,2022-01-01,2,4,13,12,6,8,32,41,18,7,0,2,0,0,145
SACABA,atencion odontologica,consulta nueva,2022-01-01,200,183,542,765,328,387,374,901,105,91,0,15,0,8,3899
SACABAMBA,atencion odontologica,consulta nueva,2022-01-01,1,0,16,12,19,13,7,20,3,6,0,0,0,0,97
SACACA,atencion odontologica,consulta nueva,2022-01-01,3,7,24,34,14,18,36,67,11,13,0,6,0,0,233
SAIPINA,atencion odontologica,consulta nueva,2022-01-01,28,10,4,0,1,0,0,4,2,0,0,0,0,0,49
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta nueva,2022-01-01,33,11,101,121,60,63,63,111,47,33,0,4,0,2,649
