,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2022-02-01,1,0,3,2,0,0,8,14,4,5,0,0,0,0,37
MONTEAGUDO,atencion odontologica,trat. de fracturas dentoalveolares,2022-02-01,0,0,0,1,1,0,0,3,0,0,0,0,0,0,5
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2022-02-01,0,0,0,0,0,0,6,14,1,0,0,0,0,0,21
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2022-02-01,0,2,7,3,0,0,13,11,0,0,0,0,0,0,36
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2022-02-01,0,0,0,0,2,0,11,20,1,5,0,0,0,0,39
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2022-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2022-03-01,3,0,12,6,0,1,0,5,0,0,0,0,0,0,27
COMARAPA,atencion odontologica,trat. de fracturas dentoalveolares,2022-03-01,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2022-03-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2022-03-01,0,1,3,5,0,0,24,18,0,3,0,0,0,0,54
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2022-03-01,0,2,0,6,1,0,5,10,2,2,0,0,0,0,28
RIBERALTA,atencion odontologica,trat. de fracturas dentoalveolares,2022-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2022-03-01,1,0,3,3,0,0,11,17,1,4,0,0,0,0,40
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2022-03-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
VILLA MONTES,atencion odontologica,trat. de fracturas dentoalveolares,2022-03-01,0,0,1,3,0,0,6,2,1,0,0,0,0,0,13
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,trat. de fracturas dentoalveolares,2022-04-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2022-04-01,3,0,12,6,0,0,0,1,0,0,0,0,0,0,22
EL TORNO,atencion odontologica,trat. de fracturas dentoalveolares,2022-04-01,0,0,0,0,2,1,2,0,2,1,0,0,0,0,8
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2022-04-01,3,1,6,3,0,0,16,21,10,6,0,0,0,0,66
LAGUNILLAS,atencion odontologica,trat. de fracturas dentoalveolares,2022-04-01,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2022-04-01,0,0,0,0,0,1,2,3,0,0,0,0,0,0,6
SAN JULIAN,atencion odontologica,trat. de fracturas dentoalveolares,2022-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2022-04-01,0,0,0,0,0,0,19,20,1,2,0,0,0,0,42
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2022-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2022-05-01,0,2,0,0,0,0,1,6,0,0,0,0,0,0,9
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2022-05-01,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3
FERNANDEZ ALONSO,atencion odontologica,trat. de fracturas dentoalveolares,2022-05-01,0,3,4,2,0,0,0,0,0,2,0,0,0,0,11
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2022-05-01,2,3,1,4,0,1,14,23,7,8,0,0,0,0,63
MONTERO,atencion odontologica,trat. de fracturas dentoalveolares,2022-05-01,0,0,0,0,6,9,0,0,0,0,0,0,0,0,15
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2022-05-01,0,0,1,0,0,0,5,11,0,0,0,0,0,0,17
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2022-05-01,3,0,3,0,0,0,7,10,6,4,0,0,0,0,33
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2022-05-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
CABEZAS,atencion odontologica,trat. de fracturas dentoalveolares,2022-06-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
CAPINOTA,atencion odontologica,trat. de fracturas dentoalveolares,2022-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2022-06-01,1,2,0,0,0,0,0,3,0,0,0,0,0,0,6
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2022-06-01,1,2,0,4,0,2,8,9,5,3,0,0,0,0,34
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2022-06-01,0,0,0,0,0,0,4,9,1,0,0,0,0,0,14
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2022-06-01,0,3,2,0,0,0,6,9,14,16,0,0,0,0,50
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2022-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CABEZAS,atencion odontologica,trat. de fracturas dentoalveolares,2022-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CLIZA,atencion odontologica,trat. de fracturas dentoalveolares,2022-07-01,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2022-07-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2022-07-01,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3
EL PUENTE(STC),atencion odontologica,trat. de fracturas dentoalveolares,2022-07-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
EL TORNO,atencion odontologica,trat. de fracturas dentoalveolares,2022-07-01,0,0,0,0,2,0,3,0,0,0,0,0,0,0,5
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2022-07-01,0,1,4,1,1,0,4,14,0,2,0,0,0,0,27
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2022-07-01,1,0,30,46,38,51,43,56,3,0,0,0,0,0,268
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2022-07-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2022-07-01,0,0,3,0,0,0,7,3,1,2,0,0,0,0,16
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2022-07-01,1,0,1,1,0,0,1,14,0,2,0,0,0,0,20
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2022-08-01,0,0,0,0,0,1,2,3,0,0,0,0,0,0,6
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2022-08-01,2,1,2,8,1,1,20,13,5,3,0,0,0,0,56
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2022-08-01,0,0,2,0,0,3,13,12,1,1,0,0,0,0,32
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2022-08-01,0,0,0,3,0,2,24,13,7,0,0,0,0,0,49
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2022-08-01,0,0,1,1,1,0,5,14,2,3,0,0,0,0,27
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2022-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ATOCHA,atencion odontologica,trat. de fracturas dentoalveolares,2022-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2022-09-01,1,1,0,0,0,1,0,1,0,0,0,0,0,0,4
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2022-09-01,0,1,22,8,1,1,14,23,4,1,0,0,0,0,75
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2022-09-01,0,0,2,0,0,0,3,5,2,0,0,0,0,0,12
PORONGO,atencion odontologica,trat. de fracturas dentoalveolares,2022-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2022-09-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2022-09-01,6,0,2,0,0,4,23,14,5,2,0,0,0,0,56
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2022-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2022-09-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CABEZAS,atencion odontologica,trat. de fracturas dentoalveolares,2022-10-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2022-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2022-10-01,0,0,2,0,0,1,2,3,0,0,0,0,0,0,8
EL TORNO,atencion odontologica,trat. de fracturas dentoalveolares,2022-10-01,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2022-10-01,0,1,2,5,0,0,18,17,3,7,0,0,0,0,53
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2022-10-01,0,0,0,0,1,0,8,9,1,0,0,0,0,0,19
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2022-10-01,2,3,0,5,0,1,7,7,1,2,0,0,0,0,28
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2022-10-01,0,1,1,1,0,0,3,8,1,1,0,0,0,0,16
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2022-10-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2022-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2022-11-01,6,0,0,2,0,0,1,2,0,0,0,0,0,0,11
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2022-11-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
HUANUNI,atencion odontologica,trat. de fracturas dentoalveolares,2022-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2022-11-01,2,1,6,4,2,1,22,33,7,4,0,0,0,0,82
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2022-11-01,0,0,0,0,0,0,8,9,0,0,0,0,0,0,17
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2022-11-01,1,4,0,0,1,9,54,32,9,3,0,0,0,0,113
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2022-11-01,0,0,1,0,1,1,3,12,1,4,0,0,0,0,23
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2022-11-01,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2022-12-01,1,0,0,1,1,0,3,8,1,1,0,0,0,0,16
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2022-12-01,1,0,5,3,0,1,24,17,13,7,0,0,0,0,71
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2022-12-01,0,0,0,0,0,0,1,6,1,0,0,0,0,0,8
POTOSI,atencion odontologica,trat. de fracturas dentoalveolares,2022-12-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2022-12-01,0,0,12,4,4,1,5,7,0,0,0,0,0,0,33
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2022-12-01,0,0,0,0,0,0,3,12,1,4,0,0,0,0,20
UNCIA,atencion odontologica,trat. de fracturas dentoalveolares,2022-12-01,0,0,4,6,1,3,2,4,0,0,0,0,0,0,20
