,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,6,12,2,0,5,8,0,3,0,0,0,0,36
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,0,1,1,0,9,6,0,2,0,0,0,0,19
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,0,0,0,1,2,0,4,0,0,0,0,0,7
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,2,6,1,0,2,3,0,0,0,0,0,0,14
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,1,3,0,0,1,3,0,0,0,0,0,0,8
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3
BERMEJO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,3,5,0,1,2,4,0,1,0,0,0,0,16
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,1,0,0,0,1,0,6,2,3,0,0,0,0,0,13
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
COTOCA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,0,0,0,0,8,2,2,0,0,0,0,0,12
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,1,0,7,8,2,3,12,9,1,0,0,0,0,0,43
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,2,0,0,0,2,3,12,17,3,1,0,0,0,0,40
PUERTO QUIJARRO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,6,1,0,0,0,0,0,1,0,0,0,0,8
PUERTO VILLARROEL,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,0,0,2,3,0,1,2,0,0,0,0,0,8
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,0,0,0,3,4,6,2,0,0,0,0,0,15
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,0,0,2,0,8,3,0,0,0,0,0,0,13
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,1,0,5,6,0,0,1,7,0,1,0,0,0,0,21
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,1,5,0,0,2,0,0,0,0,0,0,0,8
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,1,5,2,0,2,6,3,0,0,0,0,0,19
YOCALLA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-02-01,0,0,5,1,0,0,2,3,5,0,0,0,0,0,16
BETANZOS,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,3,3,0,0,1,0,1,0,0,0,0,0,8
CARAPARI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CHAQUI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,0,0,0,4,11,4,1,0,0,0,0,0,20
CORO CORO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,2,5,0,0,1,1,0,0,0,0,0,0,9
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,13,12,0,1,9,4,2,0,0,0,0,0,41
EL TORNO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,3,7,3,5,0,1,0,1,0,0,0,0,20
LORETO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,4,3,1,1,2,3,0,2,0,0,0,0,16
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,3,1,3,1,5,5,8,10,0,3,0,0,0,0,39
POTOSI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAMAIPATA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN MIGUEL DE VELASCO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,0,0,0,1,14,3,0,1,0,0,0,0,19
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,3,2,0,2,0,3,2,0,0,0,0,0,12
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,1,3,4,1,1,9,2,1,0,0,0,0,22
VILLA MONTES,atencion odontologica,cirugia bucomaxilofacial mediana,2022-03-01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
CAMIRI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CARAPARI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,0,0,0,0,1,7,0,0,0,0,0,0,8
CORO CORO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,3,1,0,0,2,0,0,0,0,0,0,0,6
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,14,12,0,3,5,9,2,0,0,0,0,0,45
ESCARA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,0,4,0,1,0,2,0,0,0,0,0,0,7
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,3,7,1,2,3,7,0,1,0,0,0,0,24
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,1,2,0,0,2,1,10,5,2,2,0,0,0,0,25
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,0,2,5,9,10,11,0,0,0,0,0,0,37
SAMAIPATA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SANTA ANA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,0,0,1,0,2,6,8,11,0,0,0,0,28
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,1,0,0,0,0,3,2,5,0,1,0,0,0,0,12
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,0,0,0,0,12,13,0,0,0,0,0,0,25
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2022-04-01,0,0,0,1,1,0,1,1,1,7,0,0,0,0,12
CAMIRI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,1,0,0,0,0,4,0,0,0,0,0,0,0,5
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COLPA BELGICA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,2,0,1,0,4,1,0,0,0,0,0,0,8
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,1,1,6,17,0,0,1,15,0,3,0,0,0,0,44
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,1,5,1,5,16,23,11,10,0,0,0,0,72
MONTERO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,0,0,37,0,0,1,0,0,0,0,0,0,38
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,13,11,15,2,2,1,11,25,6,2,0,0,0,0,88
SAMAIPATA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
SAN MATIAS,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,0,0,1,2,5,4,1,0,0,0,0,0,13
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,6,6,1,0,1,5,0,0,0,0,0,0,19
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,0,0,2,1,0,2,0,0,0,0,0,0,5
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,3,1,0,0,2,1,0,0,0,0,0,0,7
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2022-05-01,0,0,2,2,0,1,5,4,0,1,0,0,0,0,15
CAIROMA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4
CARAPARI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,0,4,0,3,0,2,1,4,0,0,0,0,14
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,2,12,0,1,2,5,4,0,0,0,0,0,26
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CORO CORO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,0,0,2,0,0,4,0,0,0,0,0,0,6
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,4,2,1,1,1,4,0,1,0,0,0,0,14
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,3,2,3,1,3,2,5,10,1,1,0,0,0,0,31
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,0,2,1,0,0,6,0,0,0,0,0,0,9
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,0,0,0,0,3,6,1,0,0,0,0,0,10
SAN RAFAEL,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,1,1,1,2,8,3,1,1,0,0,0,0,18
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,0,1,0,1,1,0,1,0,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2022-06-01,0,0,0,1,0,1,1,3,0,2,0,0,0,0,8
ACHACACHI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
AZURDUY,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BERMEJO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,0,2,3,14,0,1,0,0,0,0,0,20
CABEZAS,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,1,0,0,1,0,3,0,3,0,2,0,0,0,0,10
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CORO CORO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,2,2,0,1,0,0,0,0,0,0,0,5
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,1,0,6,5,1,0,1,4,0,0,0,0,0,0,18
GUANAY,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,6,9,1,0,11,9,12,0,0,0,0,0,48
MONTERO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,7,1,2,6,2,7,19,0,4,0,0,0,0,48
POTOSI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,2,3,2,4,4,4,1,0,0,0,0,0,20
SACABA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,2,2,0,0,6,6,0,0,0,0,0,0,16
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,1,0,2,7,1,0,0,0,0,0,0,0,11
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,0,0,0,2,5,0,3,0,0,0,0,10
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
YACUIBA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-07-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
BETANZOS,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3
CABEZAS,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CAMIRI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,2,2,0,0,6,0,0,0,0,0,0,10
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
GUAQUI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,1,1,3,0,1,4,10,5,4,0,0,0,0,29
MONTERO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,1,1,6,6,17,17,1,0,0,0,0,0,49
PALOS BLANCOS,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN RAFAEL,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,1,2,8,11,1,4,0,0,0,0,27
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,1,0,0,2,1,0,0,0,0,0,0,4
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,0,1,1,4,0,0,0,0,0,0,6
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,1,0,2,10,0,0,0,0,0,0,13
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
UNCIA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,4,3,1,8,4,9,2,8,0,0,0,0,39
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
YACUIBA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,4,1,0,0,2,6,5,0,0,0,0,0,18
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3
HUANUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,5,5,2,1,2,1,1,0,0,0,0,0,17
LAJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LORETO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,1,0,0,0,2,3,0,0,0,0,0,0,6
MONTERO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,1,0,4,1,28,23,3,3,0,0,0,0,63
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SACABA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,1,0,2,1,3,7,0,2,0,0,0,0,16
SORATA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,0,0,1,2,1,3,1,1,0,0,0,0,9
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,0,0,0,1,2,4,0,3,0,0,0,0,10
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2022-09-01,0,0,0,0,0,0,4,3,2,0,0,0,0,0,9
BERMEJO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-10-01,0,0,0,0,0,0,0,0,6,4,0,0,0,0,10
CABEZAS,atencion odontologica,cirugia bucomaxilofacial mediana,2022-10-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-10-01,0,0,1,2,0,1,0,2,1,1,0,0,0,0,8
EL VILLAR,atencion odontologica,cirugia bucomaxilofacial mediana,2022-10-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
HUANUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-10-01,0,0,0,5,0,3,1,1,0,0,0,0,0,0,10
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2022-10-01,0,0,0,0,0,2,6,11,7,2,0,0,0,0,28
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-10-01,1,0,1,0,4,4,27,12,0,2,0,0,0,0,51
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-10-01,0,0,0,0,0,0,1,7,4,1,0,0,0,0,13
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2022-10-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-10-01,0,0,0,0,0,3,1,3,0,0,0,0,0,0,7
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-10-01,0,0,0,0,0,1,3,4,0,0,0,0,0,0,8
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2022-10-01,2,2,2,0,4,1,3,2,1,1,0,0,0,0,18
