,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,0,2,2
EXALTACION,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,6,0,6
FERNANDEZ ALONSO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,24,0,24
FILADELFIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,14,0,14
GENERAL SAAVEDRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,18,0,18
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,10,4,14
GUANAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,36,4,40
GUAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,4,1,5
GUAYARAMERIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,105,2,107
GUTIERREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,22,2,24
HUACARETA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,13,1,14
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,5,7
HUACHACALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,0,3
HUANUNI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,51,0,51
HUARACAJE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,0,3
HUARINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,0,2
HUAYLLAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,0,3
HUMANATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,0,1
ICHOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,1,2
ICLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,16,4,20
INCAHUASI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,11,0,11
INGAVI (HUMAITA),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,2,10
INQUISIVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,9,0,9
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,13,0,13
IXIAMAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,10,0,10
JESUS DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,23,1,24
LA ASUNTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,75,0,75
LA GUARDIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,146,0,146
LA PAZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1640,5,1645
LAGUNILLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,14,7,21
LAJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,18,0,18
LAS CARRERAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,2,4
LICOMA PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,4,0,4
LLALLAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,84,2,86
LLICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,5,1,6
LORETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,4,7
LURIBAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,1,8
MACHACAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,1,4
MACHARETI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,10,5,15
MAGDALENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,25,0,25
MAIRANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,27,0,27
MALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,4,0,4
MAPIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,39,1,40
MECAPACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,10,11,21
MINEROS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,64,0,64
MIZQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,27,3,30
MOCOMOCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,9,1,10
MOJINETE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,0,1
MOJOCOYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,1,9
MONTEAGUDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,54,3,57
MONTERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,169,1,170
MORO MORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,1,3
MOROCHATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,0,8
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,1,2
OCURI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,14,2,16
OKINAWA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,26,0,26
OMEREQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,0,8
ORURO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,887,5,892
PADCAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,19,1,20
PADILLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,25,1,26
PAILON,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,95,1,96
PALCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,21,1,22
PALOS BLANCOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,53,1,54
PAMPA AULLAGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,0,7
PAMPA GRANDE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,10,0,10
PAPEL PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,0,8
PASORAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,0,3
PATACAMAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,39,0,39
PAZÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,6,2,8
PELECHUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,0,7
POCOATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,20,10,30
POCONA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,9,0,9
POJO (CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,16,0,16
POOPO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,6,0,6
PORCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,19,0,19
POROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,17,7,24
PORONGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,9,0,9
PORTACHUELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,58,0,58
PORVENIR,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,0,2
POSTRER VALLE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,5,1,6
POTOSI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,747,0,747
PRESTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,9,11
PUCARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,0,1
PUCARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,30,0,30
PUERTO ACOSTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,2,10
PUERTO CARABUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,13,2,15
PUERTO GONZALO MORENO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,0,8
PUERTO PEREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,0,3
PUERTO QUIJARRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,36,0,36
PUERTO RICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,2,10
PUERTO SILES,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,5,0,5
PUERTO SUAREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,38,0,38
PUERTO VILLARROEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,108,0,108
PUNA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,11,3,14
PUNATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,55,3,58
QUIABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,5,0,5
QUILLACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,263,0,263
QUIME,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,13,0,13
QUIRUSILLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,0,1
RAVELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,9,2,11
REYES,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,16,4,20
RIBERALTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,190,4,194
ROBORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,12,0,12
RURRENABAQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,25,0,25
SABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,5,0,5
SACABA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,286,0,286
SACABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,9,0,9
SACACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,21,2,23
SAIPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,0,8
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,3,10
SAMAIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,14,0,14
SAN AGUSTIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,0,3
SAN ANDRES,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,12,0,12
SAN ANDRES DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,1,3
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,0,1
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,11,0,11
SAN BENITO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,11,1,12
SAN BORJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,69,3,72
SAN BUENA VENTURA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,37,0,37
SAN CARLOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,54,0,54
SAN IGNACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,29,4,33
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,91,6,97
SAN JAVIER(BNI),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,0,2
SAN JAVIER(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,27,0,27
SAN JOAQUIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,9,0,9
SAN JOSE DE CHIQUITOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,29,0,29
SAN JUAN DE YAPACANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,17,0,17
SAN JULIAN,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,112,5,117
SAN LORENZO(PND),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,4,3,7
SAN LORENZO(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,25,0,25
SAN LUCAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,38,24,62
SAN MATIAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,21,0,21
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,23,0,23
SAN PABLO DE LIPEZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,0,2
SAN PEDRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,22,0,22
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,24,1,25
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,0,2
SAN PEDRO DE TIQUINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,0,2
SAN PEDRO(PND),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,0,3,3
SAN RAFAEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,9,1,10
SAN RAMON BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,11,0,11
SAN RAMON SCZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,27,0,27
SANTA ANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,34,0,34
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2665,2,2667
SANTA ROSA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,18,0,18
SANTA ROSA DEL SARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,34,0,34
SANTIAGO DE CALLAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,0,3
SANTIAGO DE HUARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,10,0,10
SANTIAGO DE HUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,3,6
SANTIAGO DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,0,1
SANTIVAÑES,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,0,3
SANTUARIO DE QUILLACAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,2,5
SAPAHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,4,0,4
SENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,6,0,6
SHINAOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,87,0,87
SICA SICA (VILLA AROMA),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,28,2,30
SICAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,0,8
SIPE SIPE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,87,1,88
SOPACHUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,10,2,12
SORACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,6,0,6
SORATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,41,7,48
SUCRE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,668,1,669
TACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,0,2
TACACOMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,13,0,13
TACOBAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,4,5,9
TACOPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,10,1,11
TAHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,0,1
TAPACARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,25,11,36
TARABUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,13,6,19
TARACO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,1,2
TARATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,14,0,14
TARIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,433,1,434
TARVITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,27,3,30
TEOPONTE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,17,2,19
TIAWANACU,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,2,10
TINGUIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,23,1,24
TIPUANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,24,0,24
TIQUIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,108,1,109
TIRAQUE (CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,19,5,24
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,0,1
TOCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,0,7
TOLATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,12,0,12
TOLEDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,1,8
