,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
EXALTACION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
FERNANDEZ ALONSO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
FILADELFIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
GENERAL SAAVEDRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,9,0,9
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,7,2,9
GUANAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,35,1,36
GUAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
GUAYARAMERIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,55,0,55
GUTIERREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,9,5,14
HUACARETA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,1,2
HUACHACALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
HUANUNI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,22,0,22
HUARACAJE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
HUARINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
HUMANATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,2,4
ICHOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,2,5
ICLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,2,3
INCAHUASI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
INGAVI (HUMAITA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,10,0,10
INQUISIVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,5,11
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,2,4
IXIAMAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
JESUS DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,2,3
LA ASUNTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,27,1,28
LA GUARDIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,58,0,58
LA PAZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1744,0,1744
LA RIVERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
LAGUNILLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,1,5
LAJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,8,0,8
LICOMA PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
LLALLAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,51,2,53
LLICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,1,2
LORETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,5,7
LURIBAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
MACHACAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,22,1,23
MACHARETI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
MAGDALENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
MAIRANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,8,0,8
MALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
MAPIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,13,0,13
MECAPACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,1,5
MINEROS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
MIZQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,18,1,19
MOCOMOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,0,6
MOJOCOYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,1,3
MONTEAGUDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,14,0,14
MONTERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,147,1,148
MORO MORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,0,1,1
MOROCHATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,9,2,11
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,1,2
OCURI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,1,7
OKINAWA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,0,6
OMEREQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,1,2
ORURO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,436,5,441
PADCAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,2,8
PADILLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
PAILON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,21,4,25
PALCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,8,4,12
PALOS BLANCOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,11,3,14
PAMPA AULLAGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
PAMPA GRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
PAPEL PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,3,7
PASORAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
PATACAMAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,22,0,22
PAZÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,5,2,7
PELECHUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,0,3,3
POCOATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,10,3,13
POCONA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,9,0,9
POJO (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,14,0,14
POOPO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,0,2,2
PORCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,8,0,8
POROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,5,6,11
PORONGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
PORTACHUELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,14,0,14
PORVENIR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
POSTRER VALLE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
POTOSI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,594,1,595
PRESTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,1,4
PUCARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,21,1,22
PUERTO ACOSTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,2,5
PUERTO CARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,7,11
PUERTO GONZALO MORENO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
PUERTO PEREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
PUERTO QUIJARRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,23,0,23
PUERTO RICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,0,3,3
PUERTO SUAREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,42,0,42
PUERTO VILLARROEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,110,0,110
PUNA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,13,1,14
PUNATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,19,0,19
QUILLACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,222,0,222
QUIME,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
RAVELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,11,6,17
REYES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,16,18,34
RIBERALTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,182,6,188
ROBORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,10,0,10
RURRENABAQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,21,0,21
SABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,2,4
SACABA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,180,0,180
SACABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
SACACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,10,0,10
SAIPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,5,2,7
SAMAIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,8,0,8
SAN ANDRES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
SAN ANDRES DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,2,3
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
SAN BENITO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,8,0,8
SAN BORJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,29,2,31
SAN BUENA VENTURA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,22,0,22
SAN CARLOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,12,0,12
SAN IGNACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,28,3,31
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,47,5,52
SAN JAVIER(BNI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
SAN JAVIER(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,8,0,8
SAN JOAQUIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
SAN JOSE DE CHIQUITOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,24,0,24
SAN JUAN DE YAPACANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,9,0,9
SAN JULIAN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,28,1,29
SAN LORENZO(PND),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,0,1,1
SAN LORENZO(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,15,1,16
SAN LUCAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,7,5,12
SAN MATIAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,9,1,10
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,8,0,8
SAN PABLO DE LIPEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
SAN PEDRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,13,1,14
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,1,4
SAN PEDRO DE TIQUINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
SAN RAFAEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
SAN RAMON BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,10,0,10
SAN RAMON SCZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,7,0,7
SANTA ANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,32,0,32
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2704,0,2704
SANTA ROSA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,11,0,11
SANTA ROSA DEL SARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,12,0,12
SANTIAGO DE CALLAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,3,5
SANTIAGO DE HUARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,8,0,8
SANTIAGO DE HUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,7,10
SANTIAGO DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
SANTIVAÑES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
SANTUARIO DE QUILLACAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,0,1,1
SAPAHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,2,8
SENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
SHINAOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,23,0,23
SICA SICA (VILLA AROMA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,27,1,28
SICAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
SIPE SIPE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,70,0,70
SOPACHUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,2,6
SORACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,5,1,6
SORATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,10,8,18
SUCRE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,130,0,130
TACACOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,7,0,7
TACOBAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,5,11
TACOPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
TAHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,0,1,1
TAPACARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,18,1,19
TARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
TARACO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,2,5
TARATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,0,6
TARIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,245,0,245
TARVITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,1,2
TEOPONTE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,2,8
TIAWANACU,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,2,6
TINGUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,7,3,10
TIPUANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,12,0,12
TIQUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,77,0,77
TIRAQUE (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,18,2,20
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
TOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,2,8
TOLATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,0,6
TOLEDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
TOMAVE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,6,10
TOMINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
TORO TORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,1,7
TOTORA(CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,7,13
TOTORA(ORR),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
TRINIDAD,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,176,0,176
