,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
LICOMA PAMPA,consultas prenatales,repetidas,2012-01-01,6,1,7
LLALLAGUA,consultas prenatales,repetidas,2012-01-01,294,13,307
LLICA,consultas prenatales,repetidas,2012-01-01,29,1,30
LORETO,consultas prenatales,repetidas,2012-01-01,8,10,18
LURIBAY,consultas prenatales,repetidas,2012-01-01,17,1,18
MACHACAMARCA,consultas prenatales,repetidas,2012-01-01,4,0,4
MACHARETI,consultas prenatales,repetidas,2012-01-01,44,6,50
MAGDALENA,consultas prenatales,repetidas,2012-01-01,101,1,102
MAIRANA,consultas prenatales,repetidas,2012-01-01,102,0,102
MALLA,consultas prenatales,repetidas,2012-01-01,3,6,9
MAPIRI,consultas prenatales,repetidas,2012-01-01,136,1,137
MECAPACA,consultas prenatales,repetidas,2012-01-01,38,2,40
MINEROS,consultas prenatales,repetidas,2012-01-01,131,0,131
MIZQUE,consultas prenatales,repetidas,2012-01-01,207,0,207
MOCOMOCO,consultas prenatales,repetidas,2012-01-01,33,2,35
MOJINETE,consultas prenatales,repetidas,2012-01-01,5,0,5
MOJOCOYA,consultas prenatales,repetidas,2012-01-01,30,6,36
MONTEAGUDO,consultas prenatales,repetidas,2012-01-01,276,7,283
MONTERO,consultas prenatales,repetidas,2012-01-01,917,0,917
MORO MORO,consultas prenatales,repetidas,2012-01-01,14,2,16
MOROCHATA,consultas prenatales,repetidas,2012-01-01,35,17,52
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2012-01-01,10,0,10
NAZACARA DE PACAJES,consultas prenatales,repetidas,2012-01-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2012-01-01,4,3,7
OCURI,consultas prenatales,repetidas,2012-01-01,49,25,74
OKINAWA,consultas prenatales,repetidas,2012-01-01,105,2,107
OMEREQUE,consultas prenatales,repetidas,2012-01-01,43,3,46
ORURO,consultas prenatales,repetidas,2012-01-01,2477,4,2481
PADCAYA,consultas prenatales,repetidas,2012-01-01,92,2,94
PADILLA,consultas prenatales,repetidas,2012-01-01,62,9,71
PAILON,consultas prenatales,repetidas,2012-01-01,124,4,128
PALCA,consultas prenatales,repetidas,2012-01-01,50,6,56
PALOS BLANCOS,consultas prenatales,repetidas,2012-01-01,250,3,253
PAMPA AULLAGAS,consultas prenatales,repetidas,2012-01-01,13,0,13
PAMPA GRANDE,consultas prenatales,repetidas,2012-01-01,56,0,56
PAPEL PAMPA,consultas prenatales,repetidas,2012-01-01,9,6,15
PASORAPA,consultas prenatales,repetidas,2012-01-01,7,0,7
PATACAMAYA,consultas prenatales,repetidas,2012-01-01,182,0,182
PAZÑA,consultas prenatales,repetidas,2012-01-01,25,3,28
PELECHUCO,consultas prenatales,repetidas,2012-01-01,24,1,25
POCOATA,consultas prenatales,repetidas,2012-01-01,55,31,86
POCONA,consultas prenatales,repetidas,2012-01-01,38,3,41
POJO (CBBA),consultas prenatales,repetidas,2012-01-01,65,0,65
POOPO,consultas prenatales,repetidas,2012-01-01,45,1,46
PORCO,consultas prenatales,repetidas,2012-01-01,69,0,69
POROMA,consultas prenatales,repetidas,2012-01-01,46,14,60
PORONGO,consultas prenatales,repetidas,2012-01-01,43,3,46
PORTACHUELO,consultas prenatales,repetidas,2012-01-01,235,0,235
PORVENIR,consultas prenatales,repetidas,2012-01-01,46,0,46
POSTRER VALLE,consultas prenatales,repetidas,2012-01-01,8,0,8
POTOSI,consultas prenatales,repetidas,2012-01-01,1683,6,1689
PRESTO,consultas prenatales,repetidas,2012-01-01,15,25,40
PUCARA,consultas prenatales,repetidas,2012-01-01,3,2,5
PUCARANI,consultas prenatales,repetidas,2012-01-01,104,0,104
PUERTO ACOSTA,consultas prenatales,repetidas,2012-01-01,21,23,44
PUERTO CARABUCO,consultas prenatales,repetidas,2012-01-01,51,3,54
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2012-01-01,29,1,30
PUERTO PEREZ,consultas prenatales,repetidas,2012-01-01,16,4,20
PUERTO QUIJARRO,consultas prenatales,repetidas,2012-01-01,31,0,31
PUERTO RICO,consultas prenatales,repetidas,2012-01-01,53,9,62
PUERTO SILES,consultas prenatales,repetidas,2012-01-01,12,0,12
PUERTO SUAREZ,consultas prenatales,repetidas,2012-01-01,135,0,135
PUERTO VILLARROEL,consultas prenatales,repetidas,2012-01-01,464,0,464
PUNA,consultas prenatales,repetidas,2012-01-01,83,6,89
PUNATA,consultas prenatales,repetidas,2012-01-01,239,0,239
QUIABAYA,consultas prenatales,repetidas,2012-01-01,16,0,16
QUILLACOLLO,consultas prenatales,repetidas,2012-01-01,459,0,459
QUIME,consultas prenatales,repetidas,2012-01-01,52,0,52
QUIRUSILLAS,consultas prenatales,repetidas,2012-01-01,5,0,5
RAVELO,consultas prenatales,repetidas,2012-01-01,53,4,57
REYES,consultas prenatales,repetidas,2012-01-01,77,18,95
RIBERALTA,consultas prenatales,repetidas,2012-01-01,1036,17,1053
ROBORE,consultas prenatales,repetidas,2012-01-01,109,0,109
RURRENABAQUE,consultas prenatales,repetidas,2012-01-01,136,0,136
SABAYA,consultas prenatales,repetidas,2012-01-01,9,2,11
SACABA,consultas prenatales,repetidas,2012-01-01,1047,0,1047
SACABAMBA,consultas prenatales,repetidas,2012-01-01,29,1,30
SACACA,consultas prenatales,repetidas,2012-01-01,85,15,100
SAIPINA,consultas prenatales,repetidas,2012-01-01,43,0,43
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2012-01-01,50,2,52
SAMAIPATA,consultas prenatales,repetidas,2012-01-01,41,2,43
SAN AGUSTIN,consultas prenatales,repetidas,2012-01-01,5,0,5
SAN ANDRES,consultas prenatales,repetidas,2012-01-01,55,1,56
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2012-01-01,13,1,14
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2012-01-01,7,1,8
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2012-01-01,34,0,34
SAN BENITO,consultas prenatales,repetidas,2012-01-01,80,1,81
SAN BORJA,consultas prenatales,repetidas,2012-01-01,287,4,291
SAN BUENA VENTURA,consultas prenatales,repetidas,2012-01-01,107,0,107
SAN CARLOS,consultas prenatales,repetidas,2012-01-01,187,0,187
SAN IGNACIO,consultas prenatales,repetidas,2012-01-01,241,3,244
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2012-01-01,461,29,490
SAN JAVIER(BNI),consultas prenatales,repetidas,2012-01-01,8,0,8
SAN JAVIER(STC),consultas prenatales,repetidas,2012-01-01,142,0,142
SAN JOAQUIN,consultas prenatales,repetidas,2012-01-01,15,0,15
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2012-01-01,83,0,83
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2012-01-01,63,0,63
SAN JULIAN,consultas prenatales,repetidas,2012-01-01,294,4,298
SAN LORENZO(PND),consultas prenatales,repetidas,2012-01-01,22,6,28
SAN LORENZO(TJA),consultas prenatales,repetidas,2012-01-01,118,4,122
SAN LUCAS,consultas prenatales,repetidas,2012-01-01,140,82,222
SAN MATIAS,consultas prenatales,repetidas,2012-01-01,76,0,76
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2012-01-01,94,12,106
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2012-01-01,3,0,3
SAN PEDRO,consultas prenatales,repetidas,2012-01-01,114,0,114
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2012-01-01,74,8,82
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2012-01-01,18,2,20
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2012-01-01,3,0,3
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2012-01-01,11,1,12
SAN PEDRO(PND),consultas prenatales,repetidas,2012-01-01,1,5,6
SAN RAFAEL,consultas prenatales,repetidas,2012-01-01,26,3,29
SAN RAMON BENI,consultas prenatales,repetidas,2012-01-01,36,0,36
SAN RAMON SCZ,consultas prenatales,repetidas,2012-01-01,67,0,67
SANTA ANA,consultas prenatales,repetidas,2012-01-01,249,0,249
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2012-01-01,7402,15,7417
SANTA ROSA,consultas prenatales,repetidas,2012-01-01,73,0,73
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2012-01-01,111,0,111
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2012-01-01,1,3,4
SANTIAGO DE HUARI,consultas prenatales,repetidas,2012-01-01,50,5,55
SANTIAGO DE HUATA,consultas prenatales,repetidas,2012-01-01,12,9,21
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2012-01-01,10,0,10
SANTIVAÑES,consultas prenatales,repetidas,2012-01-01,26,0,26
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2012-01-01,4,5,9
SAPAHAQUI,consultas prenatales,repetidas,2012-01-01,16,4,20
SENA,consultas prenatales,repetidas,2012-01-01,31,0,31
SHINAOTA,consultas prenatales,repetidas,2012-01-01,587,0,587
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2012-01-01,76,3,79
SICAYA,consultas prenatales,repetidas,2012-01-01,21,0,21
SIPE SIPE,consultas prenatales,repetidas,2012-01-01,345,0,345
SOPACHUY,consultas prenatales,repetidas,2012-01-01,37,2,39
SORACACHI,consultas prenatales,repetidas,2012-01-01,35,3,38
SORATA,consultas prenatales,repetidas,2012-01-01,92,6,98
SUCRE,consultas prenatales,repetidas,2012-01-01,2736,6,2742
TACACHI,consultas prenatales,repetidas,2012-01-01,2,1,3
TACACOMA,consultas prenatales,repetidas,2012-01-01,41,1,42
TACOBAMBA,consultas prenatales,repetidas,2012-01-01,5,10,15
TACOPAYA,consultas prenatales,repetidas,2012-01-01,46,0,46
TAHUA,consultas prenatales,repetidas,2012-01-01,2,1,3
TAPACARI,consultas prenatales,repetidas,2012-01-01,89,9,98
TARABUCO,consultas prenatales,repetidas,2012-01-01,70,33,103
TARACO,consultas prenatales,repetidas,2012-01-01,13,5,18
TARATA,consultas prenatales,repetidas,2012-01-01,74,2,76
TARIJA,consultas prenatales,repetidas,2012-01-01,1555,0,1555
TARVITA,consultas prenatales,repetidas,2012-01-01,37,14,51
TEOPONTE,consultas prenatales,repetidas,2012-01-01,65,8,73
TIAWANACU,consultas prenatales,repetidas,2012-01-01,48,9,57
TINGUIPAYA,consultas prenatales,repetidas,2012-01-01,40,6,46
TIPUANI,consultas prenatales,repetidas,2012-01-01,99,0,99
TIQUIPAYA,consultas prenatales,repetidas,2012-01-01,578,0,578
TIRAQUE (CBBA),consultas prenatales,repetidas,2012-01-01,96,1,97
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2012-01-01,5,0,5
TOCO,consultas prenatales,repetidas,2012-01-01,29,0,29
TOLATA,consultas prenatales,repetidas,2012-01-01,39,0,39
TOLEDO,consultas prenatales,repetidas,2012-01-01,15,5,20
TOMAVE,consultas prenatales,repetidas,2012-01-01,37,12,49
TOMINA,consultas prenatales,repetidas,2012-01-01,45,2,47
TORO TORO,consultas prenatales,repetidas,2012-01-01,13,6,19
TOTORA(CBBA),consultas prenatales,repetidas,2012-01-01,138,16,154
TOTORA(ORR),consultas prenatales,repetidas,2012-01-01,15,2,17
TRIGAL,consultas prenatales,repetidas,2012-01-01,4,1,5
TRINIDAD,consultas prenatales,repetidas,2012-01-01,1034,1,1035
TUPIZA,consultas prenatales,repetidas,2012-01-01,291,6,297
TURCO,consultas prenatales,repetidas,2012-01-01,10,0,10
UMALA,consultas prenatales,repetidas,2012-01-01,17,5,22
UNCIA,consultas prenatales,repetidas,2012-01-01,101,8,109
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2012-01-01,68,1,69
URUBICHA,consultas prenatales,repetidas,2012-01-01,24,13,37
UYUNI,consultas prenatales,repetidas,2012-01-01,269,6,275
VACAS,consultas prenatales,repetidas,2012-01-01,35,8,43
VALLEGRANDE,consultas prenatales,repetidas,2012-01-01,112,2,114
VIACHA,consultas prenatales,repetidas,2012-01-01,355,0,355
VILA VILA,consultas prenatales,repetidas,2012-01-01,13,4,17
VILLA CHARCAS,consultas prenatales,repetidas,2012-01-01,67,13,80
VILLA MONTES,consultas prenatales,repetidas,2012-01-01,207,4,211
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2012-01-01,10,8,18
VILLA RIVERO,consultas prenatales,repetidas,2012-01-01,37,1,38
VILLA SERRANO,consultas prenatales,repetidas,2012-01-01,57,7,64
VILLA TUNARI,consultas prenatales,repetidas,2012-01-01,599,0,599
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2012-01-01,49,10,59
VILLAZON,consultas prenatales,repetidas,2012-01-01,378,15,393
VINTO,consultas prenatales,repetidas,2012-01-01,152,0,152
VITICHI,consultas prenatales,repetidas,2012-01-01,48,0,48
WALDO BALLIVIAN,consultas prenatales,repetidas,2012-01-01,13,1,14
WARNES,consultas prenatales,repetidas,2012-01-01,643,3,646
YACO,consultas prenatales,repetidas,2012-01-01,9,11,20
YACUIBA,consultas prenatales,repetidas,2012-01-01,526,0,526
YAMPARAEZ,consultas prenatales,repetidas,2012-01-01,29,6,35
YANACACHI,consultas prenatales,repetidas,2012-01-01,23,1,24
YAPACANI,consultas prenatales,repetidas,2012-01-01,287,6,293
YOCALLA,consultas prenatales,repetidas,2012-01-01,23,2,25
YOTALA,consultas prenatales,repetidas,2012-01-01,46,1,47
YUNCHARA,consultas prenatales,repetidas,2012-01-01,10,25,35
YUNGUYO DE LITORAL,consultas prenatales,repetidas,2012-01-01,1,0,1
ZUDAÑEZ,consultas prenatales,repetidas,2012-01-01,46,7,53
ACACIO,consultas prenatales,repetidas,2012-02-01,23,5,28
ACHACACHI,consultas prenatales,repetidas,2012-02-01,148,6,154
ACHOCALLA,consultas prenatales,repetidas,2012-02-01,30,6,36
AIQUILE,consultas prenatales,repetidas,2012-02-01,156,0,156
ALALAY,consultas prenatales,repetidas,2012-02-01,4,2,6
ALCALA,consultas prenatales,repetidas,2012-02-01,25,3,28
ALTO BENI,consultas prenatales,repetidas,2012-02-01,46,3,49
ANCORAIMES,consultas prenatales,repetidas,2012-02-01,55,1,56
ANDAMARCA,consultas prenatales,repetidas,2012-02-01,10,3,13
ANTEQUERA,consultas prenatales,repetidas,2012-02-01,16,0,16
ANZALDO,consultas prenatales,repetidas,2012-02-01,0,3,3
APOLO,consultas prenatales,repetidas,2012-02-01,85,10,95
ARAMPAMPA,consultas prenatales,repetidas,2012-02-01,16,6,22
ARANI,consultas prenatales,repetidas,2012-02-01,66,0,66
ARBIETO,consultas prenatales,repetidas,2012-02-01,39,10,49
ARQUE,consultas prenatales,repetidas,2012-02-01,61,0,61
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2012-02-01,179,1,180
ATOCHA,consultas prenatales,repetidas,2012-02-01,61,2,63
AUCAPATA,consultas prenatales,repetidas,2012-02-01,9,0,9
AYATA,consultas prenatales,repetidas,2012-02-01,19,14,33
AYO AYO,consultas prenatales,repetidas,2012-02-01,23,1,24
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2012-02-01,128,8,136
AZURDUY,consultas prenatales,repetidas,2012-02-01,43,17,60
BATALLAS,consultas prenatales,repetidas,2012-02-01,65,3,68
BAURES,consultas prenatales,repetidas,2012-02-01,42,0,42
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2012-02-01,2,0,2
BELEN DE URMIRI,consultas prenatales,repetidas,2012-02-01,3,6,9
BELLA FLOR,consultas prenatales,repetidas,2012-02-01,7,0,7
BERMEJO,consultas prenatales,repetidas,2012-02-01,275,6,281
BETANZOS,consultas prenatales,repetidas,2012-02-01,127,11,138
BOLIVAR,consultas prenatales,repetidas,2012-02-01,26,4,30
BOLPEBRA,consultas prenatales,repetidas,2012-02-01,5,0,5
BOYUIBE,consultas prenatales,repetidas,2012-02-01,19,2,21
BUENA VISTA,consultas prenatales,repetidas,2012-02-01,30,3,33
CABEZAS,consultas prenatales,repetidas,2012-02-01,82,11,93
CAIROMA,consultas prenatales,repetidas,2012-02-01,39,1,40
"CAIZA ""D""",consultas prenatales,repetidas,2012-02-01,29,2,31
CAJUATA,consultas prenatales,repetidas,2012-02-01,33,5,38
CALACOTO,consultas prenatales,repetidas,2012-02-01,8,4,12
CALAMARCA,consultas prenatales,repetidas,2012-02-01,54,2,56
CAMARGO,consultas prenatales,repetidas,2012-02-01,93,9,102
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2012-02-01,19,2,21
CAMIRI,consultas prenatales,repetidas,2012-02-01,386,3,389
CAPINOTA,consultas prenatales,repetidas,2012-02-01,166,0,166
CAQUIAVIRI,consultas prenatales,repetidas,2012-02-01,14,2,16
CARACOLLO,consultas prenatales,repetidas,2012-02-01,68,3,71
CARANAVI,consultas prenatales,repetidas,2012-02-01,290,11,301
CARANGAS,consultas prenatales,repetidas,2012-02-01,0,1,1
CARAPARI,consultas prenatales,repetidas,2012-02-01,82,5,87
CARIPUYO,consultas prenatales,repetidas,2012-02-01,11,15,26
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2012-02-01,44,1,45
CATACORA,consultas prenatales,repetidas,2012-02-01,3,0,3
CHALLAPATA,consultas prenatales,repetidas,2012-02-01,169,28,197
CHAQUI,consultas prenatales,repetidas,2012-02-01,28,1,29
CHARAGUA,consultas prenatales,repetidas,2012-02-01,167,0,167
CHARAÑA,consultas prenatales,repetidas,2012-02-01,6,0,6
CHAYANTA,consultas prenatales,repetidas,2012-02-01,44,9,53
CHIMORE,consultas prenatales,repetidas,2012-02-01,81,12,93
CHIPAYA,consultas prenatales,repetidas,2012-02-01,13,0,13
CHOQUE COTA,consultas prenatales,repetidas,2012-02-01,6,1,7
