,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2019-02-01,1,0,0,1,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2019-02-01,1,0,2,0,3,0
TARVITA,chagas,tratamientos rn a menores de 1 ano de edad,2019-02-01,0,0,1,0,1,0
VILLA MONTES,chagas,tratamientos rn a menores de 1 ano de edad,2019-02-01,1,0,0,0,1,0
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2019-03-01,0,0,1,0,1,0
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2019-03-01,0,0,1,0,1,0
ICLA,chagas,tratamientos rn a menores de 1 ano de edad,2019-03-01,0,0,1,0,1,0
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2019-03-01,0,0,1,0,1,0
RIBERALTA,chagas,tratamientos rn a menores de 1 ano de edad,2019-03-01,5,0,3,0,8,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2019-03-01,2,3,1,0,3,3
VILLA MONTES,chagas,tratamientos rn a menores de 1 ano de edad,2019-03-01,1,0,1,0,2,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2019-03-01,1,0,0,0,1,0
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2019-04-01,0,0,1,0,1,0
SACABA,chagas,tratamientos rn a menores de 1 ano de edad,2019-04-01,0,1,0,0,0,1
SAN LORENZO(TJA),chagas,tratamientos rn a menores de 1 ano de edad,2019-04-01,1,0,0,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2019-04-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2019-04-01,2,0,1,4,3,4
VILLA MONTES,chagas,tratamientos rn a menores de 1 ano de edad,2019-04-01,0,1,0,0,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2019-04-01,1,0,0,0,1,0
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2019-05-01,0,1,0,0,0,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2019-05-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2019-05-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2019-05-01,0,1,2,0,2,1
TIPUANI,chagas,tratamientos rn a menores de 1 ano de edad,2019-05-01,0,0,1,2,1,2
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2019-05-01,0,1,0,0,0,1
VILLA MONTES,chagas,tratamientos rn a menores de 1 ano de edad,2019-05-01,0,0,0,1,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2019-05-01,0,1,0,0,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2019-05-01,0,0,1,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2019-06-01,0,1,1,0,1,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2019-06-01,0,0,0,0,0,0
PADCAYA,chagas,tratamientos rn a menores de 1 ano de edad,2019-06-01,1,0,0,0,1,0
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2019-06-01,0,0,0,1,0,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2019-06-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2019-06-01,0,1,0,1,0,2
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2019-06-01,0,1,1,0,1,1
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2019-06-01,0,0,0,1,0,1
CARAPARI,chagas,tratamientos rn a menores de 1 ano de edad,2019-07-01,7,0,0,0,7,0
COMARAPA,chagas,tratamientos rn a menores de 1 ano de edad,2019-07-01,0,1,0,0,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2019-07-01,0,0,0,1,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2019-07-01,1,0,1,0,2,0
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2019-07-01,1,0,0,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2019-07-01,0,1,1,0,1,1
VILLA MONTES,chagas,tratamientos rn a menores de 1 ano de edad,2019-07-01,0,1,0,0,0,1
VILLA SERRANO,chagas,tratamientos rn a menores de 1 ano de edad,2019-07-01,0,1,0,0,0,1
COMARAPA,chagas,tratamientos rn a menores de 1 ano de edad,2019-08-01,0,0,0,1,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2019-08-01,0,1,0,0,0,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2019-08-01,0,0,1,0,1,0
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2019-08-01,1,0,0,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2019-08-01,3,4,1,3,4,7
TOMINA,chagas,tratamientos rn a menores de 1 ano de edad,2019-08-01,1,0,0,0,1,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2019-08-01,0,4,0,0,0,4
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2019-09-01,0,1,0,0,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2019-09-01,0,1,0,0,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2019-09-01,1,0,0,0,1,0
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2019-09-01,0,1,0,0,0,1
PAMPA GRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2019-09-01,0,0,1,0,1,0
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2019-09-01,0,0,1,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2019-09-01,0,1,1,1,1,2
VALLEGRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2019-09-01,1,0,0,0,1,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2019-09-01,0,0,0,3,0,3
EL TORNO,chagas,tratamientos rn a menores de 1 ano de edad,2019-10-01,1,0,0,0,1,0
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2019-10-01,1,0,0,0,1,0
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2019-10-01,1,0,0,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2019-10-01,0,2,0,1,0,3
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2019-10-01,0,1,1,1,1,2
SACABA,chagas,tratamientos rn a menores de 1 ano de edad,2019-10-01,1,1,0,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2019-10-01,3,0,2,2,5,2
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2019-10-01,0,1,0,0,0,1
VALLEGRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2019-10-01,0,0,1,0,1,0
ZUDAÑEZ,chagas,tratamientos rn a menores de 1 ano de edad,2019-10-01,0,1,0,1,0,2
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2019-11-01,0,0,1,0,1,0
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2019-11-01,1,0,0,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2019-11-01,0,0,0,2,0,2
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2019-11-01,0,0,0,1,0,1
SACABA,chagas,tratamientos rn a menores de 1 ano de edad,2019-11-01,0,0,1,1,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2019-11-01,0,0,1,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2019-11-01,5,1,2,0,7,1
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2019-11-01,0,1,0,1,0,2
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos rn a menores de 1 ano de edad,2019-11-01,1,0,0,0,1,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2019-11-01,1,0,0,0,1,0
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2019-12-01,0,0,1,0,1,0
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2019-12-01,0,0,1,0,1,0
LURIBAY,chagas,tratamientos rn a menores de 1 ano de edad,2019-12-01,8,0,0,0,8,0
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2019-12-01,1,0,0,0,1,0
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2019-12-01,1,0,1,0,2,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2019-12-01,1,0,0,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2019-12-01,0,3,5,3,5,6
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2019-12-01,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos rn a menores de 1 ano de edad,2019-12-01,0,0,1,0,1,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2019-12-01,0,1,1,0,1,1
