,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
LAS CARRERAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-02-01,0,0,0,1,0,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-02-01,1,1,0,0,1,1
VILLA MONTES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-02-01,1,0,0,0,1,0
ALCALA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-03-01,0,0,0,1,0,1
BOYUIBE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-03-01,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-03-01,0,0,1,0,1,0
CUEVO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-03-01,0,1,0,0,0,1
SAN BORJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-03-01,2,1,0,0,2,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-03-01,0,2,0,0,0,2
URIONDO (A. CONCEPCION),chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-03-01,0,0,0,3,0,3
VINTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-03-01,0,0,2,1,2,1
VITICHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-03-01,1,0,0,0,1,0
BOYUIBE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-04-01,2,1,2,4,4,5
CARAPARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-04-01,1,0,0,0,1,0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-04-01,0,0,1,0,1,0
MINEROS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-04-01,0,2,0,0,0,2
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-04-01,2,3,1,2,3,5
TARATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-04-01,1,1,0,0,1,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-04-01,0,0,0,1,0,1
VINTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-04-01,1,0,0,0,1,0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-05-01,1,0,0,0,1,0
CUEVO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-05-01,8,6,0,0,8,6
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-05-01,1,2,0,0,1,2
GUAYARAMERIN,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-05-01,1,1,0,0,1,1
MINEROS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-05-01,1,0,0,0,1,0
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-05-01,4,4,0,0,4,4
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-05-01,1,0,0,0,1,0
TRIGAL,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-05-01,0,0,4,0,4,0
VITICHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-05-01,0,0,1,0,1,0
BOYUIBE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-06-01,0,0,2,1,2,1
CAJUATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-06-01,1,0,0,0,1,0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-06-01,1,0,0,0,1,0
CUEVO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-06-01,0,0,3,1,3,1
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-06-01,0,0,0,0,0,0
PADCAYA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-06-01,1,0,0,0,1,0
URIONDO (A. CONCEPCION),chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-06-01,1,0,0,0,1,0
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-06-01,1,3,0,0,1,3
VILLA MONTES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-06-01,0,1,0,0,0,1
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-06-01,0,1,0,0,0,1
AIQUILE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-07-01,0,0,0,1,0,1
ARAMPAMPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-07-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-07-01,0,1,1,0,1,1
CUEVO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-07-01,0,0,6,4,6,4
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-07-01,0,3,0,0,0,3
MINEROS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-07-01,0,0,1,0,1,0
PADCAYA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-07-01,0,1,0,0,0,1
PAMPA GRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-07-01,0,1,0,0,0,1
TUPIZA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-07-01,1,1,0,0,1,1
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-07-01,0,1,0,0,0,1
ALCALA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,1,0,0,0,1,0
CAJUATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,0,0,1,0,1,0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,0,1,5,0,5,1
CUEVO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,1,0,0,0,1,0
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,1,8,4,2,5,10
IXIAMAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,3,3,0,0,3,3
MINEROS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,0,0,1,0,1,0
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,4,2,0,0,4,2
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,6,2,0,0,6,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,47,52,0,0,47,52
SHINAOTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,0,0,1,0,1,0
TACACHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,0,1,0,0,0,1
TOMAVE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,0,1,0,0,0,1
VILLA SERRANO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,0,1,0,0,0,1
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-08-01,0,0,0,1,0,1
COMARAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-09-01,0,1,0,0,0,1
CUEVO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-09-01,3,4,0,0,3,4
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-09-01,1,0,0,1,1,1
GUAYARAMERIN,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-09-01,0,3,0,0,0,3
PADCAYA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-09-01,0,0,0,1,0,1
PADILLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-09-01,2,3,0,0,2,3
PAMPA GRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-09-01,0,0,1,1,1,1
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-09-01,4,6,0,0,4,6
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-09-01,1,0,0,0,1,0
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-09-01,18,6,7,9,25,15
TUPIZA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-09-01,0,0,1,1,1,1
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-09-01,0,0,0,1,0,1
VITICHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-09-01,0,0,1,1,1,1
ALCALA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,0,0,1,0,1,0
ARQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,0,2,0,0,0,2
BOYUIBE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,2,0,0,0,2,0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,0,1,0,1,0,2
CUATRO CAÑADAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,0,1,0,0,0,1
CUEVO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,0,0,1,2,1,2
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,2,1,4,2,6,3
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,0,1,0,0,0,1
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,0,0,4,2,4,2
NUEVO MANOA (NUEVA ESPERANZA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,25,11,0,0,25,11
PADCAYA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,0,1,0,1,0,2
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,13,11,0,0,13,11
TARABUCO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,4,2,0,0,4,2
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,1,0,0,0,1,0
VILLA SERRANO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,0,0,0,1,0,1
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,0,1,0,0,0,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,5,3,0,0,5,3
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,1,6,0,0,1,6
ZUDAÑEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-10-01,1,3,0,0,1,3
COLCAPIRHUA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-11-01,0,1,0,0,0,1
COMARAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-11-01,0,0,0,1,0,1
CUATRO CAÑADAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-11-01,0,0,0,1,0,1
CUEVO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-11-01,0,0,3,4,3,4
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-11-01,0,2,1,0,1,2
EL VILLAR,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-11-01,0,1,0,0,0,1
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-11-01,0,1,0,0,0,1
PADILLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-11-01,0,0,2,2,2,2
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-11-01,0,0,1,0,1,0
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-11-01,0,1,0,0,0,1
VILLA SERRANO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-11-01,1,0,0,0,1,0
ARQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,0,0,0,1,0,1
BOYUIBE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,0,0,2,0,2,0
CUATRO CAÑADAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,0,0,0,1,0,1
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,0,0,2,0,2,0
GUAYARAMERIN,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,14,17,0,0,14,17
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,0,0,1,1,1,1
NUEVO MANOA (NUEVA ESPERANZA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,6,2,0,0,6,2
OCURI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,0,0,1,0,1,0
SOPACHUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,0,0,1,2,1,2
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,0,0,4,10,4,10
TARABUCO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,0,0,4,2,4,2
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,1,1,0,0,1,1
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,1,0,0,0,1,0
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,0,0,4,3,4,3
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-12-01,0,0,0,1,0,1
