,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
LA GUARDIA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-04-01,0,1,0,0,0,1
TAPACARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-04-01,1,0,0,0,1,0
COTAGAITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-05-01,1,0,0,0,1,0
RIBERALTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-05-01,1,0,0,0,1,0
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-05-01,0,1,0,0,0,1
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-06-01,1,0,0,0,1,0
COTAGAITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-06-01,0,1,0,0,0,1
MONTERO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-06-01,0,0,0,0,0,0
PADCAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-06-01,4,0,0,0,4,0
PAMPA GRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-06-01,1,0,0,0,1,0
SAN PEDRO DE BUENA VISTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-06-01,0,0,4,1,4,1
TAPACARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-06-01,0,0,1,0,1,0
TUPIZA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-06-01,1,0,0,0,1,0
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-06-01,0,1,0,0,0,1
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-07-01,1,1,0,0,1,1
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-07-01,6,0,0,0,6,0
CHIMORE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-07-01,1,1,0,0,1,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-07-01,1,0,0,0,1,0
COTAGAITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-07-01,0,0,1,0,1,0
CUCHUMUELA (V. G. VILLARROEL),chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-07-01,0,1,0,0,0,1
MAIRANA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-07-01,1,0,0,0,1,0
MIZQUE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-07-01,1,0,0,0,1,0
TOMINA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-07-01,1,0,0,0,1,0
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-07-01,1,0,0,1,1,1
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-08-01,0,0,1,0,1,0
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-08-01,0,2,0,0,0,2
COTAGAITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-08-01,0,0,0,1,0,1
IXIAMAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-08-01,1,0,0,0,1,0
MIZQUE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-08-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-08-01,0,1,0,0,0,1
TUPIZA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-08-01,0,0,1,0,1,0
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-08-01,0,1,0,1,0,2
VITICHI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-08-01,1,0,0,0,1,0
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-08-01,0,1,0,0,0,1
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-09-01,0,0,1,0,1,0
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-09-01,0,0,1,0,1,0
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-09-01,0,0,1,0,1,0
CUATRO CAÑADAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-09-01,1,0,0,0,1,0
CUCHUMUELA (V. G. VILLARROEL),chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-09-01,0,0,0,1,0,1
MIZQUE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-09-01,0,0,1,0,1,0
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-09-01,1,0,0,0,1,0
SACABA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-09-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-09-01,0,0,0,1,0,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-09-01,1,1,0,1,1,2
TOMINA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-09-01,0,0,2,0,2,0
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-09-01,0,1,0,0,0,1
ARQUE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,1,1,0,0,1,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,0,1,0,2,0,3
CULPINA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,1,0,0,0,1,0
EL TORNO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,3,0,0,0,3,0
ENTRE RIOS CBBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,0,0,1,1,1,1
LA GUARDIA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,1,0,0,0,1,0
MAIRANA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,1,1,1,0,2,1
NUEVO MANOA (NUEVA ESPERANZA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,3,1,0,0,3,1
QUIRUSILLAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,0,0,1,1,1,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,0,1,0,0,0,1
TAPACARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,1,0,0,0,1,0
TARABUCO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,1,0,0,0,1,0
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-10-01,0,0,1,1,1,1
COMARAPA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-11-01,1,0,0,0,1,0
LA GUARDIA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-11-01,0,0,1,0,1,0
OKINAWA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-11-01,1,0,0,0,1,0
PADCAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-11-01,2,0,0,0,2,0
SAN LUCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-11-01,1,0,0,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-11-01,1,1,0,0,1,1
SOPACHUY,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-11-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-11-01,1,0,1,1,2,1
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-11-01,1,0,0,0,1,0
CUATRO CAÑADAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-12-01,0,0,1,0,1,0
CULPINA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-12-01,0,0,1,0,1,0
GUAYARAMERIN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-12-01,2,3,0,0,2,3
LA GUARDIA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-12-01,0,0,1,0,1,0
MOJOCOYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-12-01,0,1,0,0,0,1
PADCAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-12-01,2,0,0,0,2,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-12-01,1,2,2,1,3,3
SOPACHUY,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-12-01,0,0,0,1,0,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-12-01,0,0,0,1,0,1
TAPACARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-12-01,0,1,1,0,1,1
TARABUCO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-12-01,0,0,1,0,1,0
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-12-01,0,1,0,0,0,1
TUPIZA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-12-01,0,1,0,0,0,1
