municipality,group,variable,month,Pacientes retornados al establecimiento de origen,TOTAL
ORURO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,4,4
PADCAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,5,5
PELECHUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
POROMA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,3,3
PORTACHUELO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
POTOSI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,21,21
PUCARANI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
PUERTO CARABUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
PUERTO VILLARROEL,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
RIBERALTA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,99,99
SACABA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
SAN CARLOS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,3,3
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,4,4
SAN JOAQUIN,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
SAN JUAN DE YAPACANI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
SAN LUCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
SAN PEDRO DE TIQUINA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,17,17
SAPAHAQUI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,3,3
SICA SICA (VILLA AROMA),referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
SORACACHI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
SORATA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
SUCRE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,134,134
TARABUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,4,4
TARVITA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,3,3
TIPUANI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
TOLATA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
TUPIZA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,31,31
TURCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
VILLA CHARCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
VILLA MONTES,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
VILLA RIVERO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
VILLAZON,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,31,31
VINTO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,3,3
WARNES,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,3,3
YACUIBA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,68,68
YANACACHI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
YAPACANI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,7,7
YOCALLA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
ACACIO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
ACHOCALLA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
ALCALA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
ANDAMARCA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,3,3
ATOCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,14,14
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,4,4
BOYUIBE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
BUENA VISTA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,3,3
CABEZAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,21,21
CAMARGO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
CARANAVI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
CARMEN RIVERO TORREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,53,53
COCHABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
COPACABANA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
COROICO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,3,3
COTOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,13,13
EL ALTO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,3,3
EL VILLAR,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
ENTRE RIOS TRJ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
ENTRE RIOS CBBA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
FERNANDEZ ALONSO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
GUANAY,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
GUAYARAMERIN,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,8,8
GUTIERREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
HUACARETA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
HUACAYA (VILLA DE HUACAYA),referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
HUANUNI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,3,3
HUARINA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
HUMANATA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
JESUS DE MACHACA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,3,3
LA GUARDIA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
LA PAZ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,320,320
LAGUNILLAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
LICOMA PAMPA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
MIZQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
MOCOMOCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
MOJINETE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
MONTEAGUDO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
MONTERO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,3,3
MOROCHATA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
OCURI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,3,3
OMEREQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,3,3
ORURO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,127,127
PELECHUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
POROMA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
PORONGO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
PORTACHUELO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
POTOSI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,22,22
PRESTO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
PUERTO CARABUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
PUERTO QUIJARRO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
PUERTO SUAREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,6,6
QUIME,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
RIBERALTA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,11,11
SACABA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
SAIPINA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
SAN CARLOS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,7,7
SAN JOAQUIN,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
SAN JOSE DE CHIQUITOS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
SAN LORENZO(TJA),referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
SAN LUCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,4,4
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,15,15
SANTA ROSA DEL SARA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
SANTUARIO DE QUILLACAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
SORACACHI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
SUCRE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,132,132
TARABUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
TARATA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
TARIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,44,44
TARVITA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
TIPUANI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
TOLATA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
TOMAVE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,3,3
TOMINA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,8,8
TRINIDAD,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,36,36
TURCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
UNCIA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
URIONDO (A. CONCEPCION),referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
VACAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
VALLEGRANDE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,5,5
VILLA MONTES,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
VILLA TUNARI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
VILLAZON,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,3,3
WARNES,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,1,1
YACUIBA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,53,53
YAPACANI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-02-01,4,4
ACACIO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
ACHACACHI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
ALTO BENI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
ANDAMARCA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
ANZALDO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
ATOCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,9,9
AYATA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,4,4
BETANZOS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
BUENA VISTA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
CABEZAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,14,14
CARANAVI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,94,94
COCAPATA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
COCHABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,4,4
COLQUENCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
COPACABANA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
COTAGAITA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
COTOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,9,9
CURVA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
EL ALTO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
EL CHORO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
EL PUENTE(TJA),referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
EL TORNO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
EL VILLAR,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
ENTRE RIOS TRJ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
ENTRE RIOS CBBA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
ESCOMA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
EXALTACION,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
FERNANDEZ ALONSO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
GENERAL SAAVEDRA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
GUAYARAMERIN,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
GUTIERREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
HUACARETA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
IRUPANA (VILLA DE LANZA),referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
JESUS DE MACHACA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
LA GUARDIA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,5,5
LA PAZ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,223,223
LAGUNILLAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
MACHARETI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
MONTEAGUDO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,4,4
MONTERO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
OMEREQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
ORURO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,155,155
PADCAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,6,6
PALCA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
PALOS BLANCOS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
PASORAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
POCONA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
POROMA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
PORONGO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
POSTRER VALLE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
POTOSI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,30,30
PUCARA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
PUERTO CARABUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
PUERTO SUAREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,6,6
PUERTO VILLARROEL,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,5,5
REYES,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,56,56
RIBERALTA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,22,22
RURRENABAQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
SACABA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
SAIPINA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
SAN ANDRES,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
SAN CARLOS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
SAN IGNACIO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
SAN LUCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,16,16
SAN RAFAEL,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,29,29
SANTA ROSA DEL SARA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,5,5
SAPAHAQUI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
SENA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
SICA SICA (VILLA AROMA),referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,96,96
SORACACHI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
SUCRE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,107,107
TAPACARI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
TARABUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
TARIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,10,10
TARVITA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
TEOPONTE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
TIPUANI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
TIQUIPAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
TOMINA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,5,5
TORO TORO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
TUPIZA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,13,13
TURCO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
VACAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
VALLEGRANDE,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,8,8
VIACHA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
VILLA CHARCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
VILLA SERRANO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
VILLA TUNARI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,6,6
VILLAZON,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,45,45
VINTO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
WARNES,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,2,2
YACUIBA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,49,49
YAMPARAEZ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
YANACACHI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
YAPACANI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,3,3
YUNCHARA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-03-01,1,1
ACACIO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
ANZALDO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
ATOCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,4,4
AZURDUY,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
BETANZOS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,4,4
BUENA VISTA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,4,4
CABEZAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,2,2
CAPINOTA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
CARANAVI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
CHAQUI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,2,2
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,83,83
COCAPATA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
COCHABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,13,13
COLQUENCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,5,5
COLQUIRI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,4,4
COMARAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,2,2
COPACABANA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
COROICO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
COTAGAITA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,33,33
COTOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,7,7
CUATRO CAÑADAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
CULPINA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
CURAHUARA DE CARANGAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
EL ALTO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,27,27
EL TORNO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,5,5
ENTRE RIOS CBBA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
FERNANDEZ ALONSO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
FILADELFIA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,2,2
GENERAL SAAVEDRA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
GUTIERREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,4,4
HUACARETA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,4,4
ICLA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
LA GUARDIA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,7,7
LA PAZ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,344,344
LLALLAGUA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
MACHACAMARCA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-04-01,1,1
