municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
LAGUNILLAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,5,5
POROMA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
PORONGO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,6,6
PORTACHUELO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
RIBERALTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,2,2
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,5,5
SAIPINA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,0,0
SICA SICA (VILLA AROMA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,2,2
TARABUCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
TARATA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
TARIJA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
TOMAVE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,2,2
YANACACHI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,2,2
AZURDUY,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
BATALLAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,3,3
BETANZOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,2,2
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,4,4
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,20,20
DESAGUADERO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
EL TORNO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
ENTRE RIOS TRJ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
JESUS DE MACHACA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,20,20
LA PAZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
MACHARETI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,3,3
MONTEAGUDO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
OCURI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,3,3
POROMA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,2,2
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
SAN BORJA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
SAN JAVIER(BNI),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
SAN JAVIER(STC),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
SAN MATIAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,2,2
SUCRE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
TAPACARI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
TARABUCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
TINGUIPAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,4,4
TOMAVE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-04-01,1,1
ANZALDO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,1,1
BETANZOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,2,2
"CAIZA ""D""",referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,2,2
CAMARGO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,7,7
CARAPARI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,1,1
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,17,17
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,4,4
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,14,14
ENTRE RIOS TRJ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,2,2
JESUS DE MACHACA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,20,20
LAGUNILLAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,1,1
MACHARETI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,5,5
MIZQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,3,3
POCOATA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,1,1
PUNA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,1,1
RIBERALTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,23,23
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,3,3
SAN BORJA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,1,1
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,1,1
SAN JULIAN,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,22,22
SAN MATIAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,1,1
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,1,1
TARABUCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,2,2
TUPIZA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,2,2
YAPACANI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-05-01,1,1
BETANZOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,4,4
"CAIZA ""D""",referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,1,1
CAMARGO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,14,14
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,6,6
COMARAPA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,8,8
CONCEPCION,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,1,1
COPACABANA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,1,1
CORQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,2,2
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,4,4
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,46,46
DESAGUADERO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,1,1
ENTRE RIOS TRJ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,1,1
MACHARETI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,4,4
MIZQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,3,3
POCOATA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,1,1
PUCARA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,1,1
PUERTO SUAREZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,1,1
RIBERALTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,5,5
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,10,10
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,2,2
SAN LUCAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,5,5
SENA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,1,1
TINGUIPAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,4,4
TRINIDAD,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,1,1
TUPIZA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,8,8
VILLA TUNARI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,1,1
VINTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,2,2
YAPACANI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-06-01,52,52
AZURDUY,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,3,3
CAMARGO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,13,13
CKOCHAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,5,5
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,1,1
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,6,6
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,6,6
CUEVO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,16,16
EL TORNO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,5,5
ENTRE RIOS TRJ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,2,2
JESUS DE MACHACA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,15,15
LA PAZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,8,8
MORO MORO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,1,1
PADCAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,1,1
PAMPA GRANDE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,8,8
PUERTO SUAREZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,1,1
PUNATA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,2,2
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,10,10
SABAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,1,1
SAIPINA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,1,1
SAN BORJA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,3,3
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,0,0
TINGUIPAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,6,6
TOTORA(ORR),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,1,1
TUPIZA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,4,4
URUBICHA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-07-01,1,1
ANZALDO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,1,1
ATOCHA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,1,1
BERMEJO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,2,2
"CAIZA ""D""",referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,1,1
CAMARGO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,21,21
CAPINOTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,1,1
CKOCHAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,4,4
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,37,37
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,7,7
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,34,34
CUEVO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,7,7
ENTRE RIOS TRJ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,1,1
LA PAZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,3,3
MACHARETI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,5,5
PADCAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,1,1
PUERTO SUAREZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,1,1
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,4,4
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,5,5
SAN LUCAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,1,1
SAN MATIAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,12,12
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,0,0
SOPACHUY,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,1,1
TARIJA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,2,2
TINGUIPAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,1,1
TOMAVE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,1,1
YAPACANI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-08-01,91,91
ACACIO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,1,1
ANZALDO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,14,14
BETANZOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,5,5
"CAIZA ""D""",referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,1,1
CALACOTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,1,1
CAPINOTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,1,1
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,4,4
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,6,6
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,7,7
CULPINA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,1,1
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,5,5
EL PUENTE(TJA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,7,7
ENTRE RIOS TRJ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,2,2
HUACARETA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,1,1
JESUS DE MACHACA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,1,1
PALOS BLANCOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,1,1
PATACAMAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,2,2
PORCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,1,1
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,10,10
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,2,2
SAIPINA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,2,2
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,3,3
SAN MATIAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,7,7
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,2,2
TARABUCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,1,1
TOTORA(ORR),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-09-01,1,1
ACHOCALLA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,51,51
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,3,3
AZURDUY,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,1,1
CKOCHAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,5,5
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,3,3
COMARAPA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,2,2
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,4,4
CUATRO CAÑADAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,2,2
CUEVO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,9,9
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,2,2
ENTRE RIOS TRJ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,5,5
ICLA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,1,1
JESUS DE MACHACA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,15,15
LA PAZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,1,1
MOJOCOYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,5,5
OCURI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,1,1
PALOS BLANCOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,2,2
PATACAMAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,3,3
PUERTO PEREZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,1,1
PUNA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,6,6
RIBERALTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,2,2
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,5,5
SACABA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,1,1
SACACA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,3,3
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,10,10
SAN JULIAN,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-10-01,2,2
