municipality,group,variable,month,Nuevas a partir del 5to mes de embarazo,TOTAL
COLCAPIRHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,60,60
"COLCHA ""K""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
COLLANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,7,7
COLOMI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,44,44
COLPA BELGICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,12,12
COLQUECHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,42,42
COLQUENCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
COLQUIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,33,33
COMANCHE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
COMARAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,21,21
COMBAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
CONCEPCION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,29,29
COPACABANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,12,12
CORIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
CORO CORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,7,7
COROICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,20,20
CORQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,6,6
COTAGAITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,22,22
COTOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,82,82
CUATRO CAÑADAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,13,13
CUEVO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
CULPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,17,17
CURAHUARA DE CARANGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
CURVA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
DESAGUADERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
EL ALTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1243,1243
EL CHORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
EL PUENTE(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,13,13
EL PUENTE(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,6,6
EL TORNO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,50,50
ENTRE RIOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
ENTRE RIOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,49,49
ESCARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
EUCALIPTUS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
EXALTACION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
FERNANDEZ ALONSO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,14,14
FILADELFIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
GENERAL SAAVEDRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,27,27
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,13,13
GUANAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,16,16
GUAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,7,7
GUAYARAMERIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,42,42
GUTIERREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,11,11
HUACARETA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,7,7
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
HUACHACALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
HUANUNI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,44,44
HUARACAJE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,7,7
HUAYLLAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
ICHOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
ICLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,6,6
INCAHUASI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,28,28
INQUISIVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,22,22
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
IXIAMAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
JESUS DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
LA ASUNTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,24,24
LA GUARDIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,73,73
LA PAZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1360,1360
LAGUNILLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
LAJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,15,15
LAS CARRERAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
LICOMA PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
LLALLAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,54,54
LLICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
LORETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
LURIBAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
MACHACAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
MACHARETI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,7,7
MAGDALENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,12,12
MAIRANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,13,13
MALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
MAPIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,10,10
MECAPACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,10,10
MINEROS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,27,27
MIZQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,43,43
MOCOMOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,14,14
MOJOCOYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,6,6
MONTEAGUDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,17,17
MONTERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,255,255
MOROCHATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,34,34
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
OCURI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,29,29
OKINAWA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,17,17
OMEREQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,6,6
ORURO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,591,591
PADCAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,8,8
PAILON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,19,19
PALCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
PALOS BLANCOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,47,47
PAMPA AULLAGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
PAMPA GRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,10,10
PAPEL PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
PASORAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
PATACAMAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,21,21
PAZÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
PELECHUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
POCOATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,20,20
POCONA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,18,18
POJO (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,15,15
POOPO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
PORCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,12,12
POROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,19,19
PORONGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,12,12
PORTACHUELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,21,21
PORVENIR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,10,10
POSTRER VALLE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
POTOSI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,829,829
PRESTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,8,8
PUCARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
PUCARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,22,22
PUERTO ACOSTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,22,22
PUERTO CARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,10,10
PUERTO GONZALO MORENO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
PUERTO PEREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
PUERTO QUIJARRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,18,18
PUERTO SUAREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,17,17
PUERTO VILLARROEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,128,128
PUNA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,20,20
PUNATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,62,62
QUIABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
QUILLACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,167,167
QUIME,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
QUIRUSILLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
RAVELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,13,13
REYES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
RIBERALTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,131,131
ROBORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,8,8
RURRENABAQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,14,14
SABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
SACABA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,300,300
SACABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,6,6
SACACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,13,13
SAIPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
SAMAIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
SAN AGUSTIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
SAN ANDRES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,13,13
SAN ANDRES DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,8,8
SAN BENITO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,13,13
SAN BORJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,43,43
SAN BUENA VENTURA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,14,14
SAN CARLOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,23,23
SAN IGNACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,18,18
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,86,86
SAN JAVIER(BNI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
SAN JAVIER(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,11,11
SAN JOAQUIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
SAN JOSE DE CHIQUITOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,25,25
SAN JUAN DE YAPACANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,10,10
SAN JULIAN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,53,53
SAN LORENZO(PND),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
SAN LORENZO(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
SAN LUCAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,32,32
SAN MATIAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,16,16
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
SAN PABLO DE LIPEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
SAN PEDRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,17,17
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,36,36
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,7,7
SAN PEDRO DE TIQUINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
SAN PEDRO(PND),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
SAN RAFAEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
SAN RAMON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,13,13
SAN RAMON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
SANTA ANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,21,21
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2893,2893
SANTA ROSA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,13,13
SANTA ROSA DEL SARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,25,25
SANTIAGO DE CALLAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
SANTIAGO DE HUARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
SANTIAGO DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
SANTIVAÑES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
SANTUARIO DE QUILLACAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
SAPAHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,12,12
SENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,12,12
SICA SICA (VILLA AROMA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,26,26
SIPE SIPE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,44,44
SOPACHUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
SORACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
SORATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,14,14
SUCRE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,319,319
TACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
TACACOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
TACOBAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,7,7
TACOPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,18,18
TAHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
TAPACARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,23,23
TARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,16,16
TARACO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
TARATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,7,7
TARIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,166,166
TARVITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,17,17
TEOPONTE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,11,11
TIAWANACU,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,14,14
TINGUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,38,38
TIPUANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,7,7
TIQUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,59,59
TIRAQUE (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,95,95
TOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,6,6
TOLATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
TOLEDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
TOMAVE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,6,6
TOMINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
TORO TORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,12,12
TOTORA(CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,27,27
TOTORA(ORR),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,6,6
TRINIDAD,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,429,429
TUPIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,50,50
TURCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
UMALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
UNCIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,39,39
URIONDO (A. CONCEPCION),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,8,8
URUBICHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,6,6
UYUNI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,25,25
VACAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,12,12
VALLEGRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,10,10
VIACHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,51,51
VILA VILA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
VILLA MONTES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,28,28
VILLA RIVERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
VILLA SERRANO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,8,8
VILLA TUNARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,106,106
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
VILLAZON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,34,34
VINTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,44,44
VITICHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
WALDO BALLIVIAN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
WARNES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,70,70
YACO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,10,10
YACUIBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,117,117
YAMPARAEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
YANACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
