municipality,group,variable,month,Nuevas antes del 5to mes de embarazo,TOTAL
GUTIERREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,12,12
HUACARETA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,36,36
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
HUACHACALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
HUANUNI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,57,57
HUARACAJE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,7,7
ICHOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
ICLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,11,11
INCAHUASI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,36,36
INGAVI (HUMAITA),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
INQUISIVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,11,11
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,33,33
IXIAMAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,8,8
JESUS DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,13,13
LA ASUNTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,47,47
LA GUARDIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,90,90
LA PAZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1535,1535
LAGUNILLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
LAJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,6,6
LAS CARRERAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,11,11
LICOMA PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
LLALLAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,74,74
LLICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
LORETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,8,8
LURIBAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,9,9
MACHACAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,8,8
MACHARETI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,15,15
MAGDALENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,34,34
MAIRANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,23,23
MALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
MAPIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,35,35
MECAPACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,10,10
MINEROS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,42,42
MIZQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,36,36
MOCOMOCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,5,5
MOJOCOYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,13,13
MONTEAGUDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,48,48
MONTERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,268,268
MORO MORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
MOROCHATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,31,31
OCURI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,35,35
OKINAWA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,33,33
OMEREQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,10,10
ORURO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,682,682
PADCAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,15,15
PADILLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,13,13
PAILON,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,33,33
PALCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
PALOS BLANCOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,38,38
PAMPA AULLAGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
PAMPA GRANDE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,20,20
PAPEL PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
PASORAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
PATACAMAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,18,18
PAZÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,8,8
PELECHUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
POCOATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,18,18
POCONA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,12,12
POJO (CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,11,11
POOPO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
PORCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,15,15
POROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,17,17
PORONGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,18,18
PORTACHUELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,38,38
PORVENIR,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,8,8
POSTRER VALLE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
POTOSI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,524,524
PRESTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,14,14
PUCARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
PUCARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,29,29
PUERTO ACOSTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,15,15
PUERTO CARABUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,12,12
PUERTO GONZALO MORENO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,7,7
PUERTO PEREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
PUERTO QUIJARRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,26,26
PUERTO RICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,5,5
PUERTO SUAREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,22,22
PUERTO VILLARROEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,69,69
PUNA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,28,28
PUNATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,67,67
QUIABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
QUILLACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,205,205
QUIME,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,13,13
QUIRUSILLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
RAVELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,13,13
REYES,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,16,16
RIBERALTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,224,224
ROBORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,34,34
RURRENABAQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,36,36
SABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,6,6
SACABA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,368,368
SACABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,5,5
SACACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,17,17
SAIPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,13,13
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,6,6
SAMAIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,16,16
SAN AGUSTIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
SAN ANDRES,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,15,15
SAN ANDRES DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,8,8
SAN BENITO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,18,18
SAN BORJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,49,49
SAN BUENA VENTURA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,15,15
SAN CARLOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,70,70
SAN IGNACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,33,33
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,129,129
SAN JAVIER(BNI),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
SAN JAVIER(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,21,21
SAN JOAQUIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
SAN JOSE DE CHIQUITOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,23,23
SAN JUAN DE YAPACANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,25,25
SAN JULIAN,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,124,124
SAN LORENZO(PND),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,8,8
SAN LORENZO(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,23,23
SAN LUCAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,64,64
SAN MATIAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,23,23
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,18,18
SAN PABLO DE LIPEZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
SAN PEDRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,37,37
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,32,32
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
SAN PEDRO DE QUEMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
SAN PEDRO DE TIQUINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
SAN PEDRO(PND),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
SAN RAFAEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,9,9
SAN RAMON,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
SAN RAMON,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,18,18
SANTA ANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,29,29
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3422,3422
SANTA ROSA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,11,11
SANTA ROSA DEL SARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,46,46
SANTIAGO DE CALLAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
SANTIAGO DE HUARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,5,5
SANTIAGO DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
SANTIVAÑES,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
SANTUARIO DE QUILLACAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
SAPAHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,5,5
SENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,15,15
SICA SICA (VILLA AROMA),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,20,20
SICAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
SIPE SIPE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,67,67
SOPACHUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,16,16
SORACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
SORATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,15,15
SUCRE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,510,510
TACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
TACACOMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,13,13
TACOBAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,6,6
TACOPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,14,14
TAHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
TAPACARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,25,25
TARABUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,34,34
TARACO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
TARATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,7,7
TARIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,375,375
TARVITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,44,44
TEOPONTE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,10,10
TIAWANACU,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,19,19
TINGUIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,24,24
TIPUANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,22,22
TIQUIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,103,103
TIRAQUE (CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,100,100
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
TOCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
TOLATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
TOLEDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,9,9
TOMAVE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,5,5
TOMINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,17,17
TORO TORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,12,12
TOTORA(CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,20,20
TOTORA(ORR),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
TRIGAL,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
TRINIDAD,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,227,227
TUPIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,85,85
TURCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
UNCIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,58,58
URIONDO (A. CONCEPCION),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,21,21
URUBICHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,13,13
UYUNI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,28,28
VACAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,10,10
VALLEGRANDE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,27,27
VIACHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,38,38
VILA VILA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
VILLA MONTES,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,60,60
VILLA NUEVA (LOMA ALTA),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
VILLA RIVERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
VILLA SERRANO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,18,18
VILLA TUNARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,143,143
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,14,14
VILLAZON,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,70,70
VINTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,42,42
VITICHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,16,16
WALDO BALLIVIAN,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
WARNES,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,114,114
YACO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
YACUIBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,161,161
YAMPARAEZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,10,10
