,group,variable,month,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
ENTRE RIOS CBBA,vih,no de personas con prueba rapida,2019-01-01,19,74,93
EUCALIPTUS,vih,no de personas con prueba rapida,2019-01-01,3,6,9
FERNANDEZ ALONSO,vih,no de personas con prueba rapida,2019-01-01,8,30,38
FILADELFIA,vih,no de personas con prueba rapida,2019-01-01,1,0,1
GENERAL SAAVEDRA,vih,no de personas con prueba rapida,2019-01-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),vih,no de personas con prueba rapida,2019-01-01,0,2,2
GUAYARAMERIN,vih,no de personas con prueba rapida,2019-01-01,31,29,60
GUTIERREZ,vih,no de personas con prueba rapida,2019-01-01,2,0,2
HUACHACALLA,vih,no de personas con prueba rapida,2019-01-01,1,0,1
HUANUNI,vih,no de personas con prueba rapida,2019-01-01,34,70,104
HUARINA,vih,no de personas con prueba rapida,2019-01-01,0,2,2
ICLA,vih,no de personas con prueba rapida,2019-01-01,1,5,6
INCAHUASI,vih,no de personas con prueba rapida,2019-01-01,5,26,31
IRUPANA (VILLA DE LANZA),vih,no de personas con prueba rapida,2019-01-01,1,0,1
JESUS DE MACHACA,vih,no de personas con prueba rapida,2019-01-01,1,2,3
LA ASUNTA,vih,no de personas con prueba rapida,2019-01-01,17,25,42
LA GUARDIA,vih,no de personas con prueba rapida,2019-01-01,40,95,135
LA PAZ,vih,no de personas con prueba rapida,2019-01-01,1058,2165,3223
LLALLAGUA,vih,no de personas con prueba rapida,2019-01-01,34,20,54
MACHACAMARCA,vih,no de personas con prueba rapida,2019-01-01,0,2,2
MACHARETI,vih,no de personas con prueba rapida,2019-01-01,1,1,2
MAIRANA,vih,no de personas con prueba rapida,2019-01-01,2,10,12
MAPIRI,vih,no de personas con prueba rapida,2019-01-01,0,1,1
MINEROS,vih,no de personas con prueba rapida,2019-01-01,7,116,123
MIZQUE,vih,no de personas con prueba rapida,2019-01-01,19,8,27
MOJOCOYA,vih,no de personas con prueba rapida,2019-01-01,1,2,3
MONTEAGUDO,vih,no de personas con prueba rapida,2019-01-01,23,61,84
MONTERO,vih,no de personas con prueba rapida,2019-01-01,234,326,560
MOROCHATA,vih,no de personas con prueba rapida,2019-01-01,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vih,no de personas con prueba rapida,2019-01-01,0,4,4
OCURI,vih,no de personas con prueba rapida,2019-01-01,1,4,5
OKINAWA,vih,no de personas con prueba rapida,2019-01-01,1,2,3
OMEREQUE,vih,no de personas con prueba rapida,2019-01-01,5,0,5
ORURO,vih,no de personas con prueba rapida,2019-01-01,193,823,1016
PADILLA,vih,no de personas con prueba rapida,2019-01-01,4,24,28
PAILON,vih,no de personas con prueba rapida,2019-01-01,28,61,89
PALOS BLANCOS,vih,no de personas con prueba rapida,2019-01-01,10,5,15
PAMPA AULLAGAS,vih,no de personas con prueba rapida,2019-01-01,0,2,2
PAMPA GRANDE,vih,no de personas con prueba rapida,2019-01-01,1,0,1
PASORAPA,vih,no de personas con prueba rapida,2019-01-01,0,3,3
PATACAMAYA,vih,no de personas con prueba rapida,2019-01-01,4,4,8
PAZÑA,vih,no de personas con prueba rapida,2019-01-01,2,2,4
PELECHUCO,vih,no de personas con prueba rapida,2019-01-01,1,0,1
POCONA,vih,no de personas con prueba rapida,2019-01-01,5,7,12
POJO (CBBA),vih,no de personas con prueba rapida,2019-01-01,4,18,22
POOPO,vih,no de personas con prueba rapida,2019-01-01,4,4,8
PORCO,vih,no de personas con prueba rapida,2019-01-01,2,3,5
PORONGO,vih,no de personas con prueba rapida,2019-01-01,3,2,5
PORTACHUELO,vih,no de personas con prueba rapida,2019-01-01,12,0,12
PORVENIR,vih,no de personas con prueba rapida,2019-01-01,1,11,12
POTOSI,vih,no de personas con prueba rapida,2019-01-01,31,23,54
PRESTO,vih,no de personas con prueba rapida,2019-01-01,1,6,7
PUERTO GONZALO MORENO,vih,no de personas con prueba rapida,2019-01-01,0,2,2
PUERTO QUIJARRO,vih,no de personas con prueba rapida,2019-01-01,2,4,6
PUERTO RICO,vih,no de personas con prueba rapida,2019-01-01,0,15,15
PUERTO SUAREZ,vih,no de personas con prueba rapida,2019-01-01,2,1,3
PUERTO VILLARROEL,vih,no de personas con prueba rapida,2019-01-01,93,131,224
PUNA,vih,no de personas con prueba rapida,2019-01-01,0,2,2
PUNATA,vih,no de personas con prueba rapida,2019-01-01,30,39,69
QUILLACOLLO,vih,no de personas con prueba rapida,2019-01-01,57,605,662
QUIME,vih,no de personas con prueba rapida,2019-01-01,5,6,11
RAVELO,vih,no de personas con prueba rapida,2019-01-01,0,5,5
REYES,vih,no de personas con prueba rapida,2019-01-01,0,1,1
RIBERALTA,vih,no de personas con prueba rapida,2019-01-01,211,376,587
ROBORE,vih,no de personas con prueba rapida,2019-01-01,5,0,5
RURRENABAQUE,vih,no de personas con prueba rapida,2019-01-01,11,24,35
SABAYA,vih,no de personas con prueba rapida,2019-01-01,17,29,46
SACABA,vih,no de personas con prueba rapida,2019-01-01,114,199,313
SAIPINA,vih,no de personas con prueba rapida,2019-01-01,1,1,2
SALINAS DE GARCI MENDOZA,vih,no de personas con prueba rapida,2019-01-01,54,88,142
SAMAIPATA,vih,no de personas con prueba rapida,2019-01-01,5,1,6
SAN ANTONIO DE LOMERIO,vih,no de personas con prueba rapida,2019-01-01,1,0,1
SAN BENITO,vih,no de personas con prueba rapida,2019-01-01,2,0,2
SAN BORJA,vih,no de personas con prueba rapida,2019-01-01,3,2,5
SAN BUENA VENTURA,vih,no de personas con prueba rapida,2019-01-01,0,2,2
SAN CARLOS,vih,no de personas con prueba rapida,2019-01-01,12,19,31
SAN IGNACIO,vih,no de personas con prueba rapida,2019-01-01,1,0,1
SAN IGNACIO DE VELASCO,vih,no de personas con prueba rapida,2019-01-01,18,29,47
SAN JAVIER(STC),vih,no de personas con prueba rapida,2019-01-01,1,3,4
SAN JOSE DE CHIQUITOS,vih,no de personas con prueba rapida,2019-01-01,13,27,40
SAN JUAN DE YAPACANI,vih,no de personas con prueba rapida,2019-01-01,1,0,1
SAN JULIAN,vih,no de personas con prueba rapida,2019-01-01,36,118,154
SAN LORENZO(TJA),vih,no de personas con prueba rapida,2019-01-01,2,0,2
SAN LUCAS,vih,no de personas con prueba rapida,2019-01-01,1,13,14
SAN MATIAS,vih,no de personas con prueba rapida,2019-01-01,28,30,58
SAN MIGUEL DE VELASCO,vih,no de personas con prueba rapida,2019-01-01,1,1,2
SAN PEDRO,vih,no de personas con prueba rapida,2019-01-01,25,24,49
SAN PEDRO DE BUENA VISTA,vih,no de personas con prueba rapida,2019-01-01,0,1,1
SAN PEDRO(PND),vih,no de personas con prueba rapida,2019-01-01,0,1,1
SAN RAFAEL,vih,no de personas con prueba rapida,2019-01-01,2,0,2
SAN RAMON BENI,vih,no de personas con prueba rapida,2019-01-01,1,2,3
SAN RAMON SCZ,vih,no de personas con prueba rapida,2019-01-01,6,6,12
SANTA ANA,vih,no de personas con prueba rapida,2019-01-01,8,4,12
SANTA CRUZ DE LA SIERRA,vih,no de personas con prueba rapida,2019-01-01,1059,2750,3809
SANTA ROSA,vih,no de personas con prueba rapida,2019-01-01,3,0,3
SANTA ROSA DEL SARA,vih,no de personas con prueba rapida,2019-01-01,0,3,3
SANTIAGO DE HUARI,vih,no de personas con prueba rapida,2019-01-01,0,1,1
SANTIAGO DE MACHACA,vih,no de personas con prueba rapida,2019-01-01,1,1,2
SANTUARIO DE QUILLACAS,vih,no de personas con prueba rapida,2019-01-01,4,4,8
SENA,vih,no de personas con prueba rapida,2019-01-01,0,9,9
SHINAOTA,vih,no de personas con prueba rapida,2019-01-01,13,6,19
SICA SICA (VILLA AROMA),vih,no de personas con prueba rapida,2019-01-01,2,2,4
SIPE SIPE,vih,no de personas con prueba rapida,2019-01-01,0,9,9
SOPACHUY,vih,no de personas con prueba rapida,2019-01-01,11,25,36
SUCRE,vih,no de personas con prueba rapida,2019-01-01,191,315,506
TACACHI,vih,no de personas con prueba rapida,2019-01-01,3,1,4
TACACOMA,vih,no de personas con prueba rapida,2019-01-01,1,4,5
TACOPAYA,vih,no de personas con prueba rapida,2019-01-01,3,5,8
TAPACARI,vih,no de personas con prueba rapida,2019-01-01,6,15,21
TARABUCO,vih,no de personas con prueba rapida,2019-01-01,14,18,32
TARATA,vih,no de personas con prueba rapida,2019-01-01,0,3,3
TARIJA,vih,no de personas con prueba rapida,2019-01-01,148,275,423
TARVITA,vih,no de personas con prueba rapida,2019-01-01,7,21,28
TEOPONTE,vih,no de personas con prueba rapida,2019-01-01,0,1,1
TIAHUANACU,vih,no de personas con prueba rapida,2019-01-01,14,19,33
TIPUANI,vih,no de personas con prueba rapida,2019-01-01,1,0,1
TIQUIPAYA,vih,no de personas con prueba rapida,2019-01-01,4,2,6
TOLATA,vih,no de personas con prueba rapida,2019-01-01,3,1,4
TOLEDO,vih,no de personas con prueba rapida,2019-01-01,0,1,1
TOMINA,vih,no de personas con prueba rapida,2019-01-01,3,3,6
TOTORA(CBBA),vih,no de personas con prueba rapida,2019-01-01,0,10,10
TOTORA(ORR),vih,no de personas con prueba rapida,2019-01-01,3,2,5
TRINIDAD,vih,no de personas con prueba rapida,2019-01-01,6,226,232
TUPIZA,vih,no de personas con prueba rapida,2019-01-01,79,188,267
UNCIA,vih,no de personas con prueba rapida,2019-01-01,0,29,29
URUBICHA,vih,no de personas con prueba rapida,2019-01-01,10,22,32
UYUNI,vih,no de personas con prueba rapida,2019-01-01,4,46,50
VALLEGRANDE,vih,no de personas con prueba rapida,2019-01-01,23,31,54
VIACHA,vih,no de personas con prueba rapida,2019-01-01,51,122,173
VILLA CHARCAS,vih,no de personas con prueba rapida,2019-01-01,11,19,30
VILLA MONTES,vih,no de personas con prueba rapida,2019-01-01,15,21,36
VILLA RIVERO,vih,no de personas con prueba rapida,2019-01-01,1,3,4
VILLA SERRANO,vih,no de personas con prueba rapida,2019-01-01,3,3,6
VILLA TUNARI,vih,no de personas con prueba rapida,2019-01-01,92,102,194
VILLA VACA GUZMAN (MUYUPAMPA),vih,no de personas con prueba rapida,2019-01-01,3,26,29
VILLAZON,vih,no de personas con prueba rapida,2019-01-01,28,62,90
VINTO,vih,no de personas con prueba rapida,2019-01-01,11,40,51
WARNES,vih,no de personas con prueba rapida,2019-01-01,36,47,83
YACUIBA,vih,no de personas con prueba rapida,2019-01-01,33,90,123
YAMPARAEZ,vih,no de personas con prueba rapida,2019-01-01,0,2,2
YAPACANI,vih,no de personas con prueba rapida,2019-01-01,46,243,289
YOTALA,vih,no de personas con prueba rapida,2019-01-01,0,1,1
YUNCHARA,vih,no de personas con prueba rapida,2019-01-01,6,3,9
ZUDAÑEZ,vih,no de personas con prueba rapida,2019-01-01,2,7,9
AIQUILE,vih,no de personas con prueba rapida,2019-02-01,10,20,30
ALCALA,vih,no de personas con prueba rapida,2019-02-01,1,0,1
ALTO BENI,vih,no de personas con prueba rapida,2019-02-01,1,0,1
ANDAMARCA,vih,no de personas con prueba rapida,2019-02-01,0,7,7
ANTEQUERA,vih,no de personas con prueba rapida,2019-02-01,5,16,21
ANZALDO,vih,no de personas con prueba rapida,2019-02-01,0,4,4
ARANI,vih,no de personas con prueba rapida,2019-02-01,0,3,3
ARBIETO,vih,no de personas con prueba rapida,2019-02-01,0,3,3
ARQUE,vih,no de personas con prueba rapida,2019-02-01,3,4,7
ASCENCION DE GUARAYOS,vih,no de personas con prueba rapida,2019-02-01,38,98,136
AYATA,vih,no de personas con prueba rapida,2019-02-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vih,no de personas con prueba rapida,2019-02-01,9,8,17
AZURDUY,vih,no de personas con prueba rapida,2019-02-01,0,6,6
BERMEJO,vih,no de personas con prueba rapida,2019-02-01,19,31,50
BETANZOS,vih,no de personas con prueba rapida,2019-02-01,3,5,8
BOLIVAR,vih,no de personas con prueba rapida,2019-02-01,2,8,10
BOYUIBE,vih,no de personas con prueba rapida,2019-02-01,1,0,1
BUENA VISTA,vih,no de personas con prueba rapida,2019-02-01,2,1,3
CABEZAS,vih,no de personas con prueba rapida,2019-02-01,13,29,42
CAJUATA,vih,no de personas con prueba rapida,2019-02-01,0,9,9
CALACOTO,vih,no de personas con prueba rapida,2019-02-01,2,1,3
CALAMARCA,vih,no de personas con prueba rapida,2019-02-01,2,3,5
CAMARGO,vih,no de personas con prueba rapida,2019-02-01,33,72,105
CAMATAQUI (C. VILLA ABECIA),vih,no de personas con prueba rapida,2019-02-01,0,5,5
CAMIRI,vih,no de personas con prueba rapida,2019-02-01,17,47,64
CAPINOTA,vih,no de personas con prueba rapida,2019-02-01,4,1,5
CARACOLLO,vih,no de personas con prueba rapida,2019-02-01,0,1,1
CARANAVI,vih,no de personas con prueba rapida,2019-02-01,43,32,75
CARAPARI,vih,no de personas con prueba rapida,2019-02-01,2,2,4
CARMEN RIVERO TORREZ,vih,no de personas con prueba rapida,2019-02-01,46,5,51
CHALLAPATA,vih,no de personas con prueba rapida,2019-02-01,1,93,94
CHARAGUA,vih,no de personas con prueba rapida,2019-02-01,2,2,4
CHIMORE,vih,no de personas con prueba rapida,2019-02-01,147,118,265
CHOQUE COTA,vih,no de personas con prueba rapida,2019-02-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vih,no de personas con prueba rapida,2019-02-01,5,8,13
CHUMA,vih,no de personas con prueba rapida,2019-02-01,2,7,9
CKOCHAS,vih,no de personas con prueba rapida,2019-02-01,0,6,6
CLIZA,vih,no de personas con prueba rapida,2019-02-01,2,0,2
COBIJA,vih,no de personas con prueba rapida,2019-02-01,269,635,904
COCHABAMBA,vih,no de personas con prueba rapida,2019-02-01,587,748,1335
COLCAPIRHUA,vih,no de personas con prueba rapida,2019-02-01,49,54,103
"COLCHA ""K""",vih,no de personas con prueba rapida,2019-02-01,29,38,67
COLOMI,vih,no de personas con prueba rapida,2019-02-01,1,1,2
COLPA BELGICA,vih,no de personas con prueba rapida,2019-02-01,1,9,10
COLQUECHACA,vih,no de personas con prueba rapida,2019-02-01,0,1,1
COLQUIRI,vih,no de personas con prueba rapida,2019-02-01,0,1,1
COMARAPA,vih,no de personas con prueba rapida,2019-02-01,1,7,8
CONCEPCION,vih,no de personas con prueba rapida,2019-02-01,3,6,9
CORIPATA,vih,no de personas con prueba rapida,2019-02-01,1,3,4
COROICO,vih,no de personas con prueba rapida,2019-02-01,5,6,11
CORQUE,vih,no de personas con prueba rapida,2019-02-01,0,4,4
COTAGAITA,vih,no de personas con prueba rapida,2019-02-01,3,4,7
COTOCA,vih,no de personas con prueba rapida,2019-02-01,28,16,44
CRUZ DE MACHACAMARCA,vih,no de personas con prueba rapida,2019-02-01,0,1,1
CUATRO CAÑADAS,vih,no de personas con prueba rapida,2019-02-01,13,43,56
CUEVO,vih,no de personas con prueba rapida,2019-02-01,0,2,2
CULPINA,vih,no de personas con prueba rapida,2019-02-01,2,52,54
CURVA,vih,no de personas con prueba rapida,2019-02-01,0,4,4
DESAGUADERO,vih,no de personas con prueba rapida,2019-02-01,1,5,6
EL ALTO,vih,no de personas con prueba rapida,2019-02-01,650,889,1539
EL PUENTE(STC),vih,no de personas con prueba rapida,2019-02-01,30,52,82
EL PUENTE(TJA),vih,no de personas con prueba rapida,2019-02-01,0,3,3
EL TORNO,vih,no de personas con prueba rapida,2019-02-01,62,188,250
EL VILLAR,vih,no de personas con prueba rapida,2019-02-01,10,8,18
ENTRE RIOS TRJ,vih,no de personas con prueba rapida,2019-02-01,9,26,35
ENTRE RIOS CBBA,vih,no de personas con prueba rapida,2019-02-01,25,82,107
EUCALIPTUS,vih,no de personas con prueba rapida,2019-02-01,10,11,21
EUREKA (SANTOS MERCADO),vih,no de personas con prueba rapida,2019-02-01,0,1,1
FERNANDEZ ALONSO,vih,no de personas con prueba rapida,2019-02-01,24,102,126
FILADELFIA,vih,no de personas con prueba rapida,2019-02-01,2,3,5
GRAL. J.J. PEREZ (CHARAZANI),vih,no de personas con prueba rapida,2019-02-01,2,4,6
GUANAY,vih,no de personas con prueba rapida,2019-02-01,5,0,5
GUAYARAMERIN,vih,no de personas con prueba rapida,2019-02-01,10,13,23
GUTIERREZ,vih,no de personas con prueba rapida,2019-02-01,1,0,1
HUACAYA (VILLA DE HUACAYA),vih,no de personas con prueba rapida,2019-02-01,0,1,1
HUANUNI,vih,no de personas con prueba rapida,2019-02-01,45,78,123
ICLA,vih,no de personas con prueba rapida,2019-02-01,0,15,15
INCAHUASI,vih,no de personas con prueba rapida,2019-02-01,17,28,45
IRUPANA (VILLA DE LANZA),vih,no de personas con prueba rapida,2019-02-01,0,2,2
IXIAMAS,vih,no de personas con prueba rapida,2019-02-01,5,3,8
JESUS DE MACHACA,vih,no de personas con prueba rapida,2019-02-01,2,3,5
LA ASUNTA,vih,no de personas con prueba rapida,2019-02-01,19,7,26
LA GUARDIA,vih,no de personas con prueba rapida,2019-02-01,35,87,122
LA PAZ,vih,no de personas con prueba rapida,2019-02-01,1277,1999,3276
LAJA,vih,no de personas con prueba rapida,2019-02-01,2,1,3
LLALLAGUA,vih,no de personas con prueba rapida,2019-02-01,27,43,70
MACHACAMARCA,vih,no de personas con prueba rapida,2019-02-01,1,4,5
MACHARETI,vih,no de personas con prueba rapida,2019-02-01,4,6,10
MAIRANA,vih,no de personas con prueba rapida,2019-02-01,7,7,14
MIZQUE,vih,no de personas con prueba rapida,2019-02-01,6,11,17
MOJOCOYA,vih,no de personas con prueba rapida,2019-02-01,4,5,9
MONTEAGUDO,vih,no de personas con prueba rapida,2019-02-01,16,60,76
MONTERO,vih,no de personas con prueba rapida,2019-02-01,233,285,518
MOROCHATA,vih,no de personas con prueba rapida,2019-02-01,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),vih,no de personas con prueba rapida,2019-02-01,0,1,1
OCURI,vih,no de personas con prueba rapida,2019-02-01,0,12,12
OKINAWA,vih,no de personas con prueba rapida,2019-02-01,2,1,3
OMEREQUE,vih,no de personas con prueba rapida,2019-02-01,2,4,6
ORURO,vih,no de personas con prueba rapida,2019-02-01,273,598,871
PADCAYA,vih,no de personas con prueba rapida,2019-02-01,0,1,1
PADILLA,vih,no de personas con prueba rapida,2019-02-01,5,8,13
PAILON,vih,no de personas con prueba rapida,2019-02-01,84,153,237
PALOS BLANCOS,vih,no de personas con prueba rapida,2019-02-01,4,5,9
PAMPA AULLAGAS,vih,no de personas con prueba rapida,2019-02-01,1,2,3
PAMPA GRANDE,vih,no de personas con prueba rapida,2019-02-01,2,6,8
PASORAPA,vih,no de personas con prueba rapida,2019-02-01,1,2,3
PATACAMAYA,vih,no de personas con prueba rapida,2019-02-01,1,3,4
PAZÑA,vih,no de personas con prueba rapida,2019-02-01,1,1,2
PELECHUCO,vih,no de personas con prueba rapida,2019-02-01,0,1,1
POCONA,vih,no de personas con prueba rapida,2019-02-01,2,3,5
POJO (CBBA),vih,no de personas con prueba rapida,2019-02-01,7,8,15
POOPO,vih,no de personas con prueba rapida,2019-02-01,10,7,17
PORCO,vih,no de personas con prueba rapida,2019-02-01,3,2,5
POROMA,vih,no de personas con prueba rapida,2019-02-01,1,1,2
PORONGO,vih,no de personas con prueba rapida,2019-02-01,0,3,3
PORTACHUELO,vih,no de personas con prueba rapida,2019-02-01,9,0,9
PORVENIR,vih,no de personas con prueba rapida,2019-02-01,1,3,4
POTOSI,vih,no de personas con prueba rapida,2019-02-01,27,32,59
PRESTO,vih,no de personas con prueba rapida,2019-02-01,0,1,1
PUERTO GONZALO MORENO,vih,no de personas con prueba rapida,2019-02-01,0,3,3
PUERTO QUIJARRO,vih,no de personas con prueba rapida,2019-02-01,21,13,34
PUERTO RICO,vih,no de personas con prueba rapida,2019-02-01,2,16,18
PUERTO SUAREZ,vih,no de personas con prueba rapida,2019-02-01,3,1,4
PUERTO VILLARROEL,vih,no de personas con prueba rapida,2019-02-01,88,187,275
PUNA,vih,no de personas con prueba rapida,2019-02-01,1,1,2
PUNATA,vih,no de personas con prueba rapida,2019-02-01,23,33,56
QUILLACOLLO,vih,no de personas con prueba rapida,2019-02-01,59,61,120
QUIME,vih,no de personas con prueba rapida,2019-02-01,4,4,8
REYES,vih,no de personas con prueba rapida,2019-02-01,1,0,1
RIBERALTA,vih,no de personas con prueba rapida,2019-02-01,223,268,491
ROBORE,vih,no de personas con prueba rapida,2019-02-01,3,0,3
RURRENABAQUE,vih,no de personas con prueba rapida,2019-02-01,12,15,27
SABAYA,vih,no de personas con prueba rapida,2019-02-01,25,30,55
SACABA,vih,no de personas con prueba rapida,2019-02-01,116,112,228
SAIPINA,vih,no de personas con prueba rapida,2019-02-01,1,1,2
SALINAS DE GARCI MENDOZA,vih,no de personas con prueba rapida,2019-02-01,19,24,43
SAMAIPATA,vih,no de personas con prueba rapida,2019-02-01,4,5,9
SAN ANDRES,vih,no de personas con prueba rapida,2019-02-01,2,1,3
SAN ANDRES DE MACHACA,vih,no de personas con prueba rapida,2019-02-01,0,1,1
SAN ANTONIO DE LOMERIO,vih,no de personas con prueba rapida,2019-02-01,1,0,1
SAN BENITO,vih,no de personas con prueba rapida,2019-02-01,9,37,46
SAN BORJA,vih,no de personas con prueba rapida,2019-02-01,5,0,5
SAN BUENA VENTURA,vih,no de personas con prueba rapida,2019-02-01,5,4,9
SAN CARLOS,vih,no de personas con prueba rapida,2019-02-01,18,21,39
SAN IGNACIO,vih,no de personas con prueba rapida,2019-02-01,2,1,3
SAN IGNACIO DE VELASCO,vih,no de personas con prueba rapida,2019-02-01,29,22,51
SAN JAVIER(STC),vih,no de personas con prueba rapida,2019-02-01,1,5,6
SAN JOSE DE CHIQUITOS,vih,no de personas con prueba rapida,2019-02-01,38,44,82
SAN JULIAN,vih,no de personas con prueba rapida,2019-02-01,23,95,118
SAN LORENZO(PND),vih,no de personas con prueba rapida,2019-02-01,0,4,4
SAN LORENZO(TJA),vih,no de personas con prueba rapida,2019-02-01,1,0,1
SAN LUCAS,vih,no de personas con prueba rapida,2019-02-01,2,53,55
SAN MATIAS,vih,no de personas con prueba rapida,2019-02-01,10,6,16
SAN MIGUEL DE VELASCO,vih,no de personas con prueba rapida,2019-02-01,2,0,2
SAN PEDRO,vih,no de personas con prueba rapida,2019-02-01,30,43,73
SAN PEDRO DE BUENA VISTA,vih,no de personas con prueba rapida,2019-02-01,0,4,4
SAN RAMON BENI,vih,no de personas con prueba rapida,2019-02-01,1,0,1
SAN RAMON SCZ,vih,no de personas con prueba rapida,2019-02-01,2,2,4
SANTA ANA,vih,no de personas con prueba rapida,2019-02-01,8,11,19
SANTA CRUZ DE LA SIERRA,vih,no de personas con prueba rapida,2019-02-01,1228,1955,3183
SANTA ROSA,vih,no de personas con prueba rapida,2019-02-01,1,0,1
SANTA ROSA DEL SARA,vih,no de personas con prueba rapida,2019-02-01,2,10,12
SANTIAGO DE HUARI,vih,no de personas con prueba rapida,2019-02-01,9,7,16
SANTUARIO DE QUILLACAS,vih,no de personas con prueba rapida,2019-02-01,1,3,4
SENA,vih,no de personas con prueba rapida,2019-02-01,0,5,5
SHINAOTA,vih,no de personas con prueba rapida,2019-02-01,169,195,364
SICAYA,vih,no de personas con prueba rapida,2019-02-01,0,1,1
SIPE SIPE,vih,no de personas con prueba rapida,2019-02-01,2,6,8
SOPACHUY,vih,no de personas con prueba rapida,2019-02-01,19,46,65
