,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-02-01,7,13,11,20,20,5,2,2,0,0,0,0,0,0,80
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-02-01,0,0,1,0,2,0,1,0,0,1,0,0,0,0,5
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-02-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-02-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-02-01,0,0,0,0,0,1,5,3,0,0,0,0,0,0,9
TUPIZA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-02-01,1,0,0,1,0,0,0,2,1,1,0,0,0,0,6
VILLA MONTES,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-02-01,0,0,0,0,15,32,3,0,0,0,0,0,0,0,50
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-03-01,3,10,7,20,25,5,2,2,0,0,0,0,0,0,74
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-03-01,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-03-01,0,0,2,0,0,0,1,2,0,0,0,0,0,0,5
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-03-01,0,0,1,2,0,0,1,1,0,0,0,0,0,0,5
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-04-01,1,0,2,2,0,1,2,0,1,0,0,0,0,0,9
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-04-01,0,3,4,0,0,0,6,2,0,0,0,0,0,0,15
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-04-01,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-04-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-05-01,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-05-01,0,1,1,0,1,0,0,2,0,0,0,0,0,0,5
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-05-01,0,0,2,4,0,0,0,0,0,0,0,0,0,0,6
MIZQUE,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
POTOSI,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-05-01,0,0,0,0,0,1,2,2,0,1,0,0,0,0,6
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-05-01,0,0,4,4,2,0,4,12,0,0,0,0,0,0,26
TUPIZA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-05-01,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3
CAMIRI,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CARANAVI,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-06-01,2,1,0,1,1,0,1,5,1,0,0,0,0,0,12
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-06-01,0,0,2,0,1,0,3,0,0,0,0,0,0,0,6
HUANUNI,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-06-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-06-01,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-06-01,0,0,3,2,3,0,1,1,1,0,0,0,0,0,11
MOJINETE,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-06-01,0,0,5,1,0,1,5,10,0,0,0,0,0,0,22
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-06-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
CLIZA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-07-01,0,0,0,0,0,1,0,2,1,0,0,0,0,0,4
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-07-01,0,0,1,0,2,0,0,1,0,0,0,0,0,0,4
MIZQUE,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-07-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MONTEAGUDO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-07-01,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4
POTOSI,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-07-01,1,0,0,0,0,2,0,5,0,2,0,0,0,0,10
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-07-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-07-01,3,0,0,0,0,0,0,1,0,1,0,0,0,0,5
CHARAGUA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-08-01,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-08-01,1,0,2,0,0,1,0,0,1,0,0,0,0,0,5
GUTIERREZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-08-01,0,0,3,2,0,0,2,2,0,0,0,0,0,0,9
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-08-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-08-01,1,0,0,1,0,0,4,2,0,0,0,0,0,0,8
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-08-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-08-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-09-01,1,0,2,1,1,5,0,2,0,0,0,0,0,0,12
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-09-01,0,0,0,0,2,2,6,6,1,0,0,0,0,0,17
PAILON,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-09-01,0,0,3,3,0,3,2,13,0,0,0,0,0,0,24
QUIME,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-09-01,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
SACABA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-09-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-09-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-10-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-10-01,5,2,2,5,3,4,1,2,4,0,0,0,0,0,28
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-10-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-10-01,0,0,2,1,0,2,1,2,0,0,0,0,0,0,8
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-10-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-10-01,1,0,1,1,0,0,3,0,0,1,0,0,0,0,7
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BERMEJO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-11-01,0,0,2,1,0,0,0,1,2,0,0,0,0,0,6
CARAPARI,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-11-01,5,10,12,0,5,0,4,0,0,0,0,0,0,0,36
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-11-01,0,0,1,1,0,0,1,3,1,0,0,0,0,0,7
POTOSI,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-11-01,0,0,1,1,0,2,0,2,0,0,0,0,0,0,6
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-11-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-11-01,0,0,0,0,4,2,4,11,0,2,0,0,0,0,23
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-11-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-11-01,0,0,0,0,1,1,3,1,0,0,0,0,0,0,6
TUPIZA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-11-01,0,0,0,3,0,2,7,7,0,1,0,0,0,0,20
WARNES,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-11-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-12-01,1,1,10,8,2,5,2,1,5,3,0,0,0,0,38
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-12-01,0,0,1,2,0,0,1,0,0,0,0,0,0,0,4
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-12-01,0,0,0,7,1,1,2,0,9,12,0,0,0,0,32
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-12-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
PORCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-12-01,0,0,0,0,1,1,2,1,0,0,0,0,0,0,5
YOCALLA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-12-01,0,0,2,1,0,0,0,2,0,2,0,0,0,0,7
