,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES
ARBIETO,atencion odontologica,restauraciones,2020-01-01,34,26,51,60,24,45,11,99,4,5,0,0,0,0,359
ARQUE,atencion odontologica,restauraciones,2020-01-01,13,8,16,33,16,10,33,46,1,7,0,0,0,0,183
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2020-01-01,49,38,2,9,1,3,10,12,3,2,0,0,0,0,129
ATOCHA,atencion odontologica,restauraciones,2020-01-01,14,22,30,50,32,48,56,105,5,7,0,0,0,0,369
AUCAPATA,atencion odontologica,restauraciones,2020-01-01,3,3,4,10,2,6,17,16,1,0,0,0,0,0,62
AYATA,atencion odontologica,restauraciones,2020-01-01,4,0,3,2,0,4,6,10,1,2,0,0,0,0,32
AYO AYO,atencion odontologica,restauraciones,2020-01-01,14,3,13,7,4,41,5,14,2,1,0,0,0,0,104
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2020-01-01,22,21,33,68,29,62,67,121,1,3,0,0,0,0,427
AZURDUY,atencion odontologica,restauraciones,2020-01-01,6,7,3,36,20,34,58,63,11,0,0,0,0,0,238
BATALLAS,atencion odontologica,restauraciones,2020-01-01,0,1,0,1,0,2,0,0,0,0,0,0,0,0,4
BAURES,atencion odontologica,restauraciones,2020-01-01,2,0,4,5,0,6,9,6,0,0,0,0,0,0,32
BELEN DE ANDAMARCA,atencion odontologica,restauraciones,2020-01-01,0,1,0,4,3,0,2,16,3,2,0,0,0,0,31
BELEN DE URMIRI,atencion odontologica,restauraciones,2020-01-01,0,0,6,1,7,5,5,4,1,3,0,0,0,0,32
BERMEJO,atencion odontologica,restauraciones,2020-01-01,8,15,59,75,30,56,33,94,19,24,0,0,0,0,413
BETANZOS,atencion odontologica,restauraciones,2020-01-01,24,22,37,61,24,92,35,105,7,3,0,0,0,0,410
BOLIVAR,atencion odontologica,restauraciones,2020-01-01,1,2,2,3,2,6,8,12,0,0,0,0,0,0,36
BOYUIBE,atencion odontologica,restauraciones,2020-01-01,0,3,14,11,24,5,10,27,14,0,0,0,0,0,108
BUENA VISTA,atencion odontologica,restauraciones,2020-01-01,6,8,18,42,22,32,17,36,0,1,0,0,0,0,182
CABEZAS,atencion odontologica,restauraciones,2020-01-01,0,2,6,21,7,9,6,31,1,0,0,0,0,0,83
CAIROMA,atencion odontologica,restauraciones,2020-01-01,2,1,20,21,11,17,18,24,1,2,0,0,0,0,117
"CAIZA ""D""",atencion odontologica,restauraciones,2020-01-01,4,3,3,10,14,16,9,34,0,1,0,0,0,0,94
CAJUATA,atencion odontologica,restauraciones,2020-01-01,4,1,6,2,0,11,8,15,0,0,0,0,0,0,47
CALACOTO,atencion odontologica,restauraciones,2020-01-01,5,0,2,4,0,5,0,15,10,5,0,0,0,0,46
CALAMARCA,atencion odontologica,restauraciones,2020-01-01,16,15,17,25,18,37,7,50,1,1,0,0,0,0,187
CAMARGO,atencion odontologica,restauraciones,2020-01-01,4,2,72,62,24,64,12,49,1,1,0,0,0,0,291
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2020-01-01,0,0,5,14,18,3,18,45,2,1,0,0,0,0,106
CAMIRI,atencion odontologica,restauraciones,2020-01-01,32,70,74,103,45,60,80,216,42,8,0,0,0,0,730
CAPINOTA,atencion odontologica,restauraciones,2020-01-01,19,30,123,80,50,84,27,40,9,3,0,0,0,0,465
CAQUIAVIRI,atencion odontologica,restauraciones,2020-01-01,2,8,2,15,18,35,10,52,6,11,0,0,0,0,159
CARACOLLO,atencion odontologica,restauraciones,2020-01-01,31,53,77,77,24,46,48,171,27,19,0,0,0,0,573
CARANAVI,atencion odontologica,restauraciones,2020-01-01,15,17,41,63,36,65,51,105,8,6,0,0,0,0,407
CARANGAS,atencion odontologica,restauraciones,2020-01-01,0,1,0,7,0,1,7,5,0,0,0,0,0,0,21
CARAPARI,atencion odontologica,restauraciones,2020-01-01,8,4,33,71,26,71,43,133,2,1,0,0,0,0,392
CARIPUYO,atencion odontologica,restauraciones,2020-01-01,0,0,0,5,5,12,13,35,6,2,0,0,0,0,78
CARMEN RIVERO TORREZ,atencion odontologica,restauraciones,2020-01-01,0,0,0,1,0,0,0,3,1,0,0,0,0,0,5
CHACARILLA,atencion odontologica,restauraciones,2020-01-01,0,0,2,1,0,2,2,6,1,0,0,0,0,0,14
CHALLAPATA,atencion odontologica,restauraciones,2020-01-01,36,47,87,122,48,168,83,161,19,33,0,0,0,0,804
CHAQUI,atencion odontologica,restauraciones,2020-01-01,4,1,4,30,2,21,6,49,2,3,0,0,0,0,122
CHARAGUA,atencion odontologica,restauraciones,2020-01-01,11,5,4,14,12,33,10,58,0,0,0,0,0,0,147
CHARAÑA,atencion odontologica,restauraciones,2020-01-01,2,0,3,19,2,3,10,8,0,3,0,0,0,0,50
CHAYANTA,atencion odontologica,restauraciones,2020-01-01,3,5,18,21,14,19,15,19,0,1,0,0,0,0,115
CHIMORE,atencion odontologica,restauraciones,2020-01-01,15,17,34,71,31,60,26,71,5,1,0,0,0,0,331
CHIPAYA,atencion odontologica,restauraciones,2020-01-01,2,6,1,18,0,6,0,7,0,0,0,0,0,0,40
CHOQUE COTA,atencion odontologica,restauraciones,2020-01-01,0,0,6,0,4,7,0,2,2,0,0,0,0,0,21
CHUA COCANI,atencion odontologica,restauraciones,2020-01-01,3,3,4,7,0,5,0,0,0,0,0,0,0,0,22
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,restauraciones,2020-01-01,10,3,13,30,18,21,12,36,0,0,0,0,0,0,143
CHUMA,atencion odontologica,restauraciones,2020-01-01,8,7,32,34,48,39,53,92,2,0,0,0,0,0,315
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,restauraciones,2020-01-01,0,3,7,12,1,12,6,17,1,1,0,0,0,0,60
CKOCHAS,atencion odontologica,restauraciones,2020-01-01,3,11,3,11,5,9,10,19,1,3,0,0,0,0,75
CLIZA,atencion odontologica,restauraciones,2020-01-01,38,32,98,79,18,84,20,73,3,20,0,0,0,0,465
COBIJA,atencion odontologica,restauraciones,2020-01-01,52,58,237,304,113,215,229,321,96,1,0,0,0,0,1626
COCAPATA,atencion odontologica,restauraciones,2020-01-01,14,16,36,32,23,36,25,55,4,7,0,0,0,0,248
COCHABAMBA,atencion odontologica,restauraciones,2020-01-01,897,973,1976,2563,934,1661,1710,4239,733,424,0,0,0,0,16110
COIPASA,atencion odontologica,restauraciones,2020-01-01,0,0,0,0,0,7,5,3,1,1,0,0,0,0,17
COLCAPIRHUA,atencion odontologica,restauraciones,2020-01-01,61,49,155,183,45,118,94,223,17,7,0,0,0,0,952
"COLCHA ""K""",atencion odontologica,restauraciones,2020-01-01,7,12,12,12,23,3,16,16,2,1,0,0,0,0,104
COLLANA,atencion odontologica,restauraciones,2020-01-01,9,8,23,11,34,35,10,19,0,1,0,0,0,0,150
COLOMI,atencion odontologica,restauraciones,2020-01-01,23,28,47,78,22,103,20,84,7,3,0,0,0,0,415
COLPA BELGICA,atencion odontologica,restauraciones,2020-01-01,0,4,1,2,6,3,0,5,0,0,0,0,0,0,21
COLQUECHACA,atencion odontologica,restauraciones,2020-01-01,9,15,17,39,24,45,31,102,3,8,0,0,0,0,293
COLQUENCHA,atencion odontologica,restauraciones,2020-01-01,13,12,54,58,38,55,30,53,2,1,0,0,0,0,316
COLQUIRI,atencion odontologica,restauraciones,2020-01-01,8,17,18,23,24,62,25,69,18,13,0,0,0,0,277
COMANCHE,atencion odontologica,restauraciones,2020-01-01,2,2,20,8,3,8,7,12,8,0,0,0,0,0,70
COMARAPA,atencion odontologica,restauraciones,2020-01-01,8,15,1,1,0,0,7,47,6,6,0,0,0,0,91
COMBAYA,atencion odontologica,restauraciones,2020-01-01,0,2,1,1,0,0,0,6,0,0,0,0,0,0,10
CONCEPCION,atencion odontologica,restauraciones,2020-01-01,1,2,5,6,0,7,9,26,0,0,0,0,0,0,56
COPACABANA,atencion odontologica,restauraciones,2020-01-01,6,8,13,17,5,13,9,11,3,0,0,0,0,0,85
CORIPATA,atencion odontologica,restauraciones,2020-01-01,6,7,43,28,18,50,10,20,1,0,0,0,0,0,183
CORO CORO,atencion odontologica,restauraciones,2020-01-01,17,11,48,32,8,43,13,47,2,0,0,0,0,0,221
COROICO,atencion odontologica,restauraciones,2020-01-01,27,10,52,101,41,56,70,91,11,1,0,0,0,0,460
CORQUE,atencion odontologica,restauraciones,2020-01-01,12,0,2,11,3,4,3,21,0,2,0,0,0,0,58
COTAGAITA,atencion odontologica,restauraciones,2020-01-01,4,6,31,40,19,30,25,78,3,7,0,0,0,0,243
COTOCA,atencion odontologica,restauraciones,2020-01-01,3,18,52,80,9,56,11,67,4,3,0,0,0,0,303
CRUZ DE MACHACAMARCA,atencion odontologica,restauraciones,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CUATRO CAÑADAS,atencion odontologica,restauraciones,2020-01-01,25,20,69,109,28,50,22,142,19,3,0,0,0,0,487
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,restauraciones,2020-01-01,4,4,11,8,8,4,5,13,0,4,0,0,0,0,61
CUEVO,atencion odontologica,restauraciones,2020-01-01,1,0,4,5,0,22,9,24,3,0,0,0,0,0,68
CULPINA,atencion odontologica,restauraciones,2020-01-01,6,12,36,40,18,49,40,66,2,4,0,0,0,0,273
CURAHUARA DE CARANGAS,atencion odontologica,restauraciones,2020-01-01,2,15,10,4,6,4,25,24,2,4,0,0,0,0,96
CURVA,atencion odontologica,restauraciones,2020-01-01,0,0,9,5,1,1,5,4,1,0,0,0,0,0,26
DESAGUADERO,atencion odontologica,restauraciones,2020-01-01,2,3,12,13,13,27,0,16,1,2,0,0,0,0,89
EL ALTO,atencion odontologica,restauraciones,2020-01-01,837,937,1690,2194,1022,1413,652,1687,150,82,0,0,0,0,10664
EL CHORO,atencion odontologica,restauraciones,2020-01-01,2,1,4,19,5,2,5,21,9,5,0,0,0,0,73
EL PUENTE(STC),atencion odontologica,restauraciones,2020-01-01,0,8,22,28,7,19,13,36,1,0,0,0,0,0,134
EL PUENTE(TJA),atencion odontologica,restauraciones,2020-01-01,4,11,16,27,13,20,10,59,0,1,0,0,0,0,161
EL TORNO,atencion odontologica,restauraciones,2020-01-01,57,63,36,57,28,54,40,141,17,19,0,0,0,0,512
EL VILLAR,atencion odontologica,restauraciones,2020-01-01,0,0,2,6,0,17,0,35,0,1,0,0,0,0,61
ENTRE RIOS TRJ,atencion odontologica,restauraciones,2020-01-01,13,8,46,60,41,70,26,86,0,1,0,0,0,0,351
ENTRE RIOS CBBA,atencion odontologica,restauraciones,2020-01-01,10,22,67,57,35,96,15,97,0,1,0,0,0,0,400
ESCARA,atencion odontologica,restauraciones,2020-01-01,0,0,0,0,0,0,0,3,2,1,0,0,0,0,6
ESCOMA,atencion odontologica,restauraciones,2020-01-01,0,1,6,5,2,2,8,10,0,1,0,0,0,0,35
ESMERALDA,atencion odontologica,restauraciones,2020-01-01,0,0,0,0,0,2,0,2,2,0,0,0,0,0,6
EUCALIPTUS,atencion odontologica,restauraciones,2020-01-01,0,0,0,2,1,1,3,15,1,0,0,0,0,0,23
FERNANDEZ ALONSO,atencion odontologica,restauraciones,2020-01-01,6,17,39,71,23,44,32,102,1,3,0,0,0,0,338
FILADELFIA,atencion odontologica,restauraciones,2020-01-01,0,0,11,7,0,6,1,16,0,0,0,0,0,0,41
GENERAL SAAVEDRA,atencion odontologica,restauraciones,2020-01-01,3,5,5,20,6,13,1,26,0,2,0,0,0,0,81
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,restauraciones,2020-01-01,15,5,8,8,11,5,19,26,0,2,0,0,0,0,99
GUANAY,atencion odontologica,restauraciones,2020-01-01,7,0,19,19,5,14,10,31,5,0,0,0,0,0,110
GUAQUI,atencion odontologica,restauraciones,2020-01-01,1,7,10,15,14,20,7,32,4,4,0,0,0,0,114
GUAYARAMERIN,atencion odontologica,restauraciones,2020-01-01,28,20,228,449,116,222,174,311,59,15,0,0,0,0,1622
GUTIERREZ,atencion odontologica,restauraciones,2020-01-01,0,0,13,9,2,14,14,25,4,1,0,0,0,0,82
HUACARETA,atencion odontologica,restauraciones,2020-01-01,0,8,19,42,6,42,34,45,4,0,0,0,0,0,200
HUACAYA (VILLA DE HUACAYA),atencion odontologica,restauraciones,2020-01-01,3,3,15,22,0,1,11,12,0,0,0,0,0,0,67
HUANUNI,atencion odontologica,restauraciones,2020-01-01,60,31,107,178,117,168,77,164,2,6,0,0,0,0,910
HUARACAJE,atencion odontologica,restauraciones,2020-01-01,0,2,8,5,0,5,2,10,0,4,0,0,0,0,36
HUARINA,atencion odontologica,restauraciones,2020-01-01,5,6,10,6,2,8,1,16,4,0,0,0,0,0,58
HUATAJATA,atencion odontologica,restauraciones,2020-01-01,3,0,0,3,2,0,0,1,0,1,0,0,0,0,10
HUAYLLAMARCA,atencion odontologica,restauraciones,2020-01-01,2,2,8,14,4,12,4,7,7,1,0,0,0,0,61
HUMANATA,atencion odontologica,restauraciones,2020-01-01,2,2,6,8,0,7,1,4,4,2,0,0,0,0,36
ICHOCA,atencion odontologica,restauraciones,2020-01-01,7,4,5,9,3,3,2,9,1,0,0,0,0,0,43
ICLA,atencion odontologica,restauraciones,2020-01-01,12,13,6,46,8,29,22,70,2,6,0,0,0,0,214
INCAHUASI,atencion odontologica,restauraciones,2020-01-01,0,6,17,23,8,26,23,52,3,3,0,0,0,0,161
INQUISIVI,atencion odontologica,restauraciones,2020-01-01,14,8,73,54,31,60,43,69,4,2,0,0,0,0,358
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2020-01-01,15,18,29,65,10,49,51,94,3,1,0,0,0,0,335
IXIAMAS,atencion odontologica,restauraciones,2020-01-01,0,6,10,16,7,13,0,16,0,1,0,0,0,0,69
JESUS DE MACHACA,atencion odontologica,restauraciones,2020-01-01,6,3,11,13,11,23,9,21,0,2,0,0,0,0,99
LA ASUNTA,atencion odontologica,restauraciones,2020-01-01,18,14,30,67,51,70,57,127,5,4,0,0,0,0,443
LA GUARDIA,atencion odontologica,restauraciones,2020-01-01,93,90,46,42,11,97,29,174,16,3,0,0,0,0,601
LA PAZ,atencion odontologica,restauraciones,2020-01-01,1118,1132,2592,3080,1185,1646,2004,3711,529,430,0,0,0,0,17427
LA RIVERA,atencion odontologica,restauraciones,2020-01-01,0,0,2,6,0,2,2,10,2,0,0,0,0,0,24
LAGUNILLAS,atencion odontologica,restauraciones,2020-01-01,0,0,11,14,2,2,17,35,0,0,0,0,0,0,81
LAJA,atencion odontologica,restauraciones,2020-01-01,22,14,18,24,31,37,29,59,8,2,0,0,0,0,244
LAS CARRERAS,atencion odontologica,restauraciones,2020-01-01,3,2,14,7,17,9,9,72,3,3,0,0,0,0,139
LICOMA PAMPA,atencion odontologica,restauraciones,2020-01-01,5,6,11,18,0,11,2,26,0,0,0,0,0,0,79
LLALLAGUA,atencion odontologica,restauraciones,2020-01-01,35,39,74,107,25,89,29,173,14,14,0,0,0,0,599
LORETO,atencion odontologica,restauraciones,2020-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LURIBAY,atencion odontologica,restauraciones,2020-01-01,3,4,5,13,5,6,4,11,1,1,0,0,0,0,53
MACHACAMARCA,atencion odontologica,restauraciones,2020-01-01,2,3,57,75,48,27,24,43,1,16,0,0,0,0,296
MACHARETI,atencion odontologica,restauraciones,2020-01-01,0,1,3,1,3,14,16,25,0,1,0,0,0,0,64
MAGDALENA,atencion odontologica,restauraciones,2020-01-01,8,0,9,28,6,13,8,41,1,3,0,0,0,0,117
MAIRANA,atencion odontologica,restauraciones,2020-01-01,10,14,11,15,19,18,18,25,3,1,0,0,0,0,134
MALLA,atencion odontologica,restauraciones,2020-01-01,0,1,0,2,0,2,2,5,0,0,0,0,0,0,12
MAPIRI,atencion odontologica,restauraciones,2020-01-01,4,1,2,13,1,13,2,9,0,0,0,0,0,0,45
MECAPACA,atencion odontologica,restauraciones,2020-01-01,21,20,36,40,40,40,47,65,5,2,0,0,0,0,316
MINEROS,atencion odontologica,restauraciones,2020-01-01,0,0,16,35,13,14,17,13,1,1,0,0,0,0,110
MIZQUE,atencion odontologica,restauraciones,2020-01-01,23,18,19,39,14,24,12,52,2,7,0,0,0,0,210
MOCOMOCO,atencion odontologica,restauraciones,2020-01-01,4,3,10,19,25,14,24,39,4,2,0,0,0,0,144
MOJINETE,atencion odontologica,restauraciones,2020-01-01,0,0,2,3,1,0,3,4,1,0,0,0,0,0,14
MOJOCOYA,atencion odontologica,restauraciones,2020-01-01,11,2,8,15,5,25,20,74,0,0,0,0,0,0,160
MONTEAGUDO,atencion odontologica,restauraciones,2020-01-01,30,21,118,164,56,151,64,164,5,1,0,0,0,0,774
MONTERO,atencion odontologica,restauraciones,2020-01-01,45,63,168,224,57,131,121,287,9,11,0,0,0,0,1116
MORO MORO,atencion odontologica,restauraciones,2020-01-01,0,2,14,7,1,9,9,16,0,1,0,0,0,0,59
MOROCHATA,atencion odontologica,restauraciones,2020-01-01,4,0,21,13,9,16,6,39,0,2,0,0,0,0,110
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,restauraciones,2020-01-01,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3
NAZACARA DE PACAJES,atencion odontologica,restauraciones,2020-01-01,1,0,0,0,1,2,0,4,0,0,0,0,0,0,8
OCURI,atencion odontologica,restauraciones,2020-01-01,2,1,7,16,12,17,12,38,18,0,0,0,0,0,123
OKINAWA,atencion odontologica,restauraciones,2020-01-01,0,3,3,0,2,9,1,9,0,0,0,0,0,0,27
OMEREQUE,atencion odontologica,restauraciones,2020-01-01,11,7,6,12,18,39,8,36,2,0,0,0,0,0,139
ORURO,atencion odontologica,restauraciones,2020-01-01,372,371,1002,1246,439,826,766,1454,230,154,0,0,0,0,6860
PADCAYA,atencion odontologica,restauraciones,2020-01-01,2,0,15,10,8,14,5,22,0,0,0,0,0,0,76
PADILLA,atencion odontologica,restauraciones,2020-01-01,6,12,49,78,21,61,74,132,4,2,0,0,0,0,439
PAILON,atencion odontologica,restauraciones,2020-01-01,23,35,8,14,6,11,7,34,0,0,0,0,0,0,138
PALCA,atencion odontologica,restauraciones,2020-01-01,14,19,57,74,17,14,19,72,12,3,0,0,0,0,301
PALOS BLANCOS,atencion odontologica,restauraciones,2020-01-01,7,11,36,57,16,40,27,67,3,1,0,0,0,0,265
PAMPA AULLAGAS,atencion odontologica,restauraciones,2020-01-01,3,10,6,10,5,8,19,24,2,0,0,0,0,0,87
PAMPA GRANDE,atencion odontologica,restauraciones,2020-01-01,6,8,9,20,0,21,1,14,2,0,0,0,0,0,81
PAPEL PAMPA,atencion odontologica,restauraciones,2020-01-01,2,4,0,0,0,0,0,6,1,0,0,0,0,0,13
PASORAPA,atencion odontologica,restauraciones,2020-01-01,0,1,7,9,2,4,14,13,3,3,0,0,0,0,56
PATACAMAYA,atencion odontologica,restauraciones,2020-01-01,12,18,58,8,16,66,11,39,4,1,0,0,0,0,233
PAZÑA,atencion odontologica,restauraciones,2020-01-01,1,8,13,22,1,18,3,28,1,0,0,0,0,0,95
PELECHUCO,atencion odontologica,restauraciones,2020-01-01,26,36,20,37,14,16,30,54,3,6,0,0,0,0,242
POCOATA,atencion odontologica,restauraciones,2020-01-01,6,7,37,33,6,23,9,39,2,6,0,0,0,0,168
POCONA,atencion odontologica,restauraciones,2020-01-01,0,4,2,8,2,0,11,32,0,0,0,0,0,0,59
POJO (CBBA),atencion odontologica,restauraciones,2020-01-01,5,5,6,20,9,21,12,39,1,1,0,0,0,0,119
POOPO,atencion odontologica,restauraciones,2020-01-01,4,35,53,58,35,74,31,76,25,26,0,0,0,0,417
PORCO,atencion odontologica,restauraciones,2020-01-01,1,3,3,11,4,13,2,11,0,0,0,0,0,0,48
POROMA,atencion odontologica,restauraciones,2020-01-01,2,4,5,4,0,8,7,13,1,0,0,0,0,0,44
PORONGO,atencion odontologica,restauraciones,2020-01-01,3,5,14,20,2,25,4,30,2,0,0,0,0,0,105
PORTACHUELO,atencion odontologica,restauraciones,2020-01-01,0,1,5,8,2,1,2,7,0,0,0,0,0,0,26
PORVENIR,atencion odontologica,restauraciones,2020-01-01,0,5,16,53,20,40,8,43,0,0,0,0,0,0,185
POSTRER VALLE,atencion odontologica,restauraciones,2020-01-01,0,4,7,8,4,2,8,7,0,1,0,0,0,0,41
POTOSI,atencion odontologica,restauraciones,2020-01-01,54,61,153,217,70,165,193,417,27,10,0,0,0,0,1367
PRESTO,atencion odontologica,restauraciones,2020-01-01,2,4,8,9,12,26,27,74,6,0,0,0,0,0,168
PUCARA,atencion odontologica,restauraciones,2020-01-01,0,0,14,13,0,10,3,15,0,0,0,0,0,0,55
PUCARANI,atencion odontologica,restauraciones,2020-01-01,17,25,46,75,57,89,39,127,6,8,0,0,0,0,489
PUERTO ACOSTA,atencion odontologica,restauraciones,2020-01-01,2,5,14,12,7,12,16,25,1,3,0,0,0,0,97
PUERTO CARABUCO,atencion odontologica,restauraciones,2020-01-01,6,6,26,26,20,31,24,51,3,5,0,0,0,0,198
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2020-01-01,0,5,14,44,7,31,30,39,0,6,0,0,0,0,176
PUERTO PEREZ,atencion odontologica,restauraciones,2020-01-01,1,11,15,9,5,9,7,16,0,3,0,0,0,0,76
PUERTO QUIJARRO,atencion odontologica,restauraciones,2020-01-01,0,6,43,62,18,38,31,71,8,19,0,0,0,0,296
PUERTO RICO,atencion odontologica,restauraciones,2020-01-01,4,0,7,25,11,12,35,32,0,2,0,0,0,0,128
PUERTO SUAREZ,atencion odontologica,restauraciones,2020-01-01,0,1,18,19,15,18,4,8,3,4,0,0,0,0,90
PUERTO VILLARROEL,atencion odontologica,restauraciones,2020-01-01,15,5,54,34,16,42,38,147,1,1,0,0,0,0,353
PUNA,atencion odontologica,restauraciones,2020-01-01,3,1,1,8,2,12,12,20,5,8,0,0,0,0,72
PUNATA,atencion odontologica,restauraciones,2020-01-01,50,42,110,75,31,69,50,144,12,16,0,0,0,0,599
QUIABAYA,atencion odontologica,restauraciones,2020-01-01,2,1,4,10,1,5,8,7,0,0,0,0,0,0,38
QUILLACOLLO,atencion odontologica,restauraciones,2020-01-01,150,154,321,459,122,382,232,563,70,49,0,0,0,0,2502
QUIME,atencion odontologica,restauraciones,2020-01-01,16,11,41,30,40,28,63,83,2,0,0,0,0,0,314
QUIRUSILLAS,atencion odontologica,restauraciones,2020-01-01,0,0,2,7,1,5,2,5,1,0,0,0,0,0,23
RAVELO,atencion odontologica,restauraciones,2020-01-01,2,0,1,13,4,7,11,21,4,0,0,0,0,0,63
REYES,atencion odontologica,restauraciones,2020-01-01,0,5,2,8,3,11,35,17,14,1,0,0,0,0,96
RIBERALTA,atencion odontologica,restauraciones,2020-01-01,16,17,91,117,49,69,39,191,38,17,0,0,0,0,644
ROBORE,atencion odontologica,restauraciones,2020-01-01,8,21,82,68,33,66,72,127,14,2,0,0,0,0,493
RURRENABAQUE,atencion odontologica,restauraciones,2020-01-01,11,17,20,22,11,16,21,36,6,5,0,0,0,0,165
SABAYA,atencion odontologica,restauraciones,2020-01-01,3,8,14,16,5,4,16,25,3,0,0,0,0,0,94
SACABA,atencion odontologica,restauraciones,2020-01-01,223,257,470,739,250,509,352,974,53,66,0,0,0,0,3893
SACABAMBA,atencion odontologica,restauraciones,2020-01-01,2,3,3,18,1,5,4,11,0,0,0,0,0,0,47
SACACA,atencion odontologica,restauraciones,2020-01-01,6,8,8,16,3,11,15,67,3,0,0,0,0,0,137
SAIPINA,atencion odontologica,restauraciones,2020-01-01,13,5,12,27,7,6,2,31,1,1,0,0,0,0,105
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2020-01-01,22,25,56,70,19,40,57,84,20,15,0,0,0,0,408
SAMAIPATA,atencion odontologica,restauraciones,2020-01-01,10,13,18,21,16,20,15,33,0,2,0,0,0,0,148
SAN AGUSTIN,atencion odontologica,restauraciones,2020-01-01,3,0,1,2,0,0,2,7,0,0,0,0,0,0,15
SAN ANDRES,atencion odontologica,restauraciones,2020-01-01,4,0,6,5,7,11,28,22,0,1,0,0,0,0,84
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2020-01-01,3,1,12,10,6,5,5,10,2,4,0,0,0,0,58
SAN ANTONIO DE ESMORUCO,atencion odontologica,restauraciones,2020-01-01,0,0,1,0,4,1,2,6,0,0,0,0,0,0,14
SAN ANTONIO DE LOMERIO,atencion odontologica,restauraciones,2020-01-01,0,1,4,18,12,12,3,21,1,0,0,0,0,0,72
SAN BENITO,atencion odontologica,restauraciones,2020-01-01,7,3,12,19,0,27,9,31,1,0,0,0,0,0,109
