,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES
ATOCHA,atencion odontologica,endodoncia,2020-01-01,10,11,11,20,5,10,50,55,0,2,0,0,0,0,174
AUCAPATA,atencion odontologica,endodoncia,2020-01-01,0,0,1,0,0,1,0,7,0,0,0,0,0,0,9
AYO AYO,atencion odontologica,endodoncia,2020-01-01,0,1,0,0,0,2,1,0,0,0,0,0,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncia,2020-01-01,3,2,5,9,0,5,16,19,2,0,0,0,0,0,61
AZURDUY,atencion odontologica,endodoncia,2020-01-01,0,2,0,4,1,1,2,6,2,0,0,0,0,0,18
BATALLAS,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BAURES,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,6,1,0,0,0,0,0,0,7
BELEN DE ANDAMARCA,atencion odontologica,endodoncia,2020-01-01,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3
BELEN DE URMIRI,atencion odontologica,endodoncia,2020-01-01,0,0,3,0,4,0,3,9,0,0,0,0,0,0,19
BERMEJO,atencion odontologica,endodoncia,2020-01-01,1,0,3,4,1,5,3,7,4,2,0,0,0,0,30
BETANZOS,atencion odontologica,endodoncia,2020-01-01,2,3,3,6,0,0,3,1,1,0,0,0,0,0,19
BOLIVAR,atencion odontologica,endodoncia,2020-01-01,0,0,0,2,1,1,0,1,0,0,0,0,0,0,5
BOYUIBE,atencion odontologica,endodoncia,2020-01-01,0,0,2,0,1,0,2,1,0,0,0,0,0,0,6
BUENA VISTA,atencion odontologica,endodoncia,2020-01-01,0,0,4,7,2,5,2,7,0,0,0,0,0,0,27
CAIROMA,atencion odontologica,endodoncia,2020-01-01,3,0,9,2,1,9,2,14,0,0,0,0,0,0,40
"CAIZA ""D""",atencion odontologica,endodoncia,2020-01-01,0,1,0,2,0,1,0,0,0,0,0,0,0,0,4
CAJUATA,atencion odontologica,endodoncia,2020-01-01,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3
CALAMARCA,atencion odontologica,endodoncia,2020-01-01,0,0,2,1,0,0,0,2,0,1,0,0,0,0,6
CAMARGO,atencion odontologica,endodoncia,2020-01-01,2,2,19,10,2,6,2,9,0,0,0,0,0,0,52
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncia,2020-01-01,0,0,1,2,0,0,3,1,0,0,0,0,0,0,7
CAMIRI,atencion odontologica,endodoncia,2020-01-01,4,1,1,11,7,5,27,48,4,2,0,0,0,0,110
CAPINOTA,atencion odontologica,endodoncia,2020-01-01,1,30,33,6,0,9,8,12,3,3,0,0,0,0,105
CAQUIAVIRI,atencion odontologica,endodoncia,2020-01-01,0,1,1,1,0,1,3,4,0,0,0,0,0,0,11
CARACOLLO,atencion odontologica,endodoncia,2020-01-01,5,1,3,1,0,2,0,12,0,2,0,0,0,0,26
CARANAVI,atencion odontologica,endodoncia,2020-01-01,3,5,8,10,6,23,20,40,0,3,0,0,0,0,118
CARANGAS,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CARAPARI,atencion odontologica,endodoncia,2020-01-01,0,5,6,8,2,2,3,19,0,1,0,0,0,0,46
CARIPUYO,atencion odontologica,endodoncia,2020-01-01,0,2,2,5,1,2,3,12,0,0,0,0,0,0,27
CHACARILLA,atencion odontologica,endodoncia,2020-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
CHALLAPATA,atencion odontologica,endodoncia,2020-01-01,3,2,5,10,0,2,2,12,1,0,0,0,0,0,37
CHAQUI,atencion odontologica,endodoncia,2020-01-01,0,3,2,5,1,0,1,4,0,0,0,0,0,0,16
CHARAGUA,atencion odontologica,endodoncia,2020-01-01,0,0,0,3,3,2,9,8,0,0,0,0,0,0,25
CHAYANTA,atencion odontologica,endodoncia,2020-01-01,0,0,0,2,0,1,4,5,0,0,0,0,0,0,12
CHIMORE,atencion odontologica,endodoncia,2020-01-01,0,3,0,5,1,9,2,9,0,0,0,0,0,0,29
CHIPAYA,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
CHOQUE COTA,atencion odontologica,endodoncia,2020-01-01,0,0,1,0,1,0,0,2,0,0,0,0,0,0,4
CHUA COCANI,atencion odontologica,endodoncia,2020-01-01,0,0,0,2,1,3,0,0,1,0,0,0,0,0,7
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncia,2020-01-01,2,0,7,9,8,3,15,57,0,0,0,0,0,0,101
CHUMA,atencion odontologica,endodoncia,2020-01-01,0,5,1,6,0,9,16,10,0,1,0,0,0,0,48
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncia,2020-01-01,0,3,4,4,2,6,3,4,1,1,0,0,0,0,28
CLIZA,atencion odontologica,endodoncia,2020-01-01,5,2,7,9,1,14,5,7,1,2,0,0,0,0,53
COBIJA,atencion odontologica,endodoncia,2020-01-01,6,10,33,11,13,18,24,28,0,0,0,0,0,0,143
COCAPATA,atencion odontologica,endodoncia,2020-01-01,0,0,0,1,0,1,2,0,0,1,0,0,0,0,5
COCHABAMBA,atencion odontologica,endodoncia,2020-01-01,153,183,251,315,108,177,403,668,176,88,0,0,0,0,2522
COLCAPIRHUA,atencion odontologica,endodoncia,2020-01-01,2,1,6,6,0,2,3,10,3,0,0,0,0,0,33
"COLCHA ""K""",atencion odontologica,endodoncia,2020-01-01,1,2,2,5,0,0,0,3,1,0,0,0,0,0,14
COLLANA,atencion odontologica,endodoncia,2020-01-01,0,3,2,1,3,2,2,1,0,0,0,0,0,0,14
COLOMI,atencion odontologica,endodoncia,2020-01-01,1,0,3,5,1,9,2,6,1,0,0,0,0,0,28
COLPA BELGICA,atencion odontologica,endodoncia,2020-01-01,0,12,0,0,0,0,0,5,0,0,0,0,0,0,17
COLQUECHACA,atencion odontologica,endodoncia,2020-01-01,5,7,15,19,9,11,20,56,0,0,0,0,0,0,142
COLQUENCHA,atencion odontologica,endodoncia,2020-01-01,3,1,10,3,0,5,3,3,0,0,0,0,0,0,28
COLQUIRI,atencion odontologica,endodoncia,2020-01-01,0,0,1,2,2,4,1,3,0,0,0,0,0,0,13
COMARAPA,atencion odontologica,endodoncia,2020-01-01,2,0,2,3,3,8,3,10,8,9,0,0,0,0,48
COMBAYA,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CONCEPCION,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
COPACABANA,atencion odontologica,endodoncia,2020-01-01,2,0,0,6,4,4,5,8,0,1,0,0,0,0,30
CORIPATA,atencion odontologica,endodoncia,2020-01-01,2,0,3,2,1,13,1,4,0,0,0,0,0,0,26
CORO CORO,atencion odontologica,endodoncia,2020-01-01,0,0,4,2,0,2,2,0,1,0,0,0,0,0,11
COROICO,atencion odontologica,endodoncia,2020-01-01,0,0,4,2,1,0,11,7,1,0,0,0,0,0,26
CORQUE,atencion odontologica,endodoncia,2020-01-01,1,0,1,2,0,0,0,2,0,0,0,0,0,0,6
COTAGAITA,atencion odontologica,endodoncia,2020-01-01,3,1,11,22,12,12,19,33,0,4,0,0,0,0,117
CUATRO CAÑADAS,atencion odontologica,endodoncia,2020-01-01,1,1,3,10,1,0,3,4,2,1,0,0,0,0,26
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncia,2020-01-01,0,0,2,1,2,1,0,2,0,0,0,0,0,0,8
CUEVO,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,2,4,0,0,0,0,0,6
CULPINA,atencion odontologica,endodoncia,2020-01-01,0,0,5,9,5,6,7,12,0,0,0,0,0,0,44
CURAHUARA DE CARANGAS,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4
CURVA,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
DESAGUADERO,atencion odontologica,endodoncia,2020-01-01,1,1,0,5,0,0,0,1,0,0,0,0,0,0,8
EL ALTO,atencion odontologica,endodoncia,2020-01-01,69,87,140,197,104,240,138,191,37,37,0,0,0,0,1240
EL PUENTE(STC),atencion odontologica,endodoncia,2020-01-01,0,0,6,8,0,10,9,1,0,0,0,0,0,0,34
EL PUENTE(TJA),atencion odontologica,endodoncia,2020-01-01,1,1,2,0,1,0,2,1,0,0,0,0,0,0,8
EL TORNO,atencion odontologica,endodoncia,2020-01-01,0,2,6,5,0,0,32,61,14,19,0,0,0,0,139
EL VILLAR,atencion odontologica,endodoncia,2020-01-01,0,0,2,1,0,0,0,2,0,0,0,0,0,0,5
ENTRE RIOS TRJ,atencion odontologica,endodoncia,2020-01-01,1,1,3,4,2,5,0,16,0,0,0,0,0,0,32
ENTRE RIOS CBBA,atencion odontologica,endodoncia,2020-01-01,1,0,2,0,0,4,0,2,0,1,0,0,0,0,10
ESCARA,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ESCOMA,atencion odontologica,endodoncia,2020-01-01,3,1,3,7,2,9,5,13,0,2,0,0,0,0,45
EUCALIPTUS,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FERNANDEZ ALONSO,atencion odontologica,endodoncia,2020-01-01,0,0,4,4,0,2,3,9,3,1,0,0,0,0,26
FILADELFIA,atencion odontologica,endodoncia,2020-01-01,0,0,1,0,0,3,1,10,0,0,0,0,0,0,15
GENERAL SAAVEDRA,atencion odontologica,endodoncia,2020-01-01,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncia,2020-01-01,0,0,0,2,5,1,2,6,0,0,0,0,0,0,16
GUANAY,atencion odontologica,endodoncia,2020-01-01,1,3,1,2,2,8,13,10,2,0,0,0,0,0,42
GUAQUI,atencion odontologica,endodoncia,2020-01-01,0,1,1,3,3,9,4,10,1,2,0,0,0,0,34
GUAYARAMERIN,atencion odontologica,endodoncia,2020-01-01,2,0,7,7,7,1,18,22,0,0,0,0,0,0,64
GUTIERREZ,atencion odontologica,endodoncia,2020-01-01,0,0,1,5,3,7,3,14,0,0,0,0,0,0,33
HUACARETA,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,2,1,2,2,0,0,0,0,0,0,7
HUACAYA (VILLA DE HUACAYA),atencion odontologica,endodoncia,2020-01-01,0,0,0,1,0,2,1,1,0,0,0,0,0,0,5
HUANUNI,atencion odontologica,endodoncia,2020-01-01,5,3,9,10,4,15,8,13,3,0,0,0,0,0,70
HUARACAJE,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
HUARINA,atencion odontologica,endodoncia,2020-01-01,2,0,0,1,0,0,2,9,1,0,0,0,0,0,15
HUAYLLAMARCA,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
HUMANATA,atencion odontologica,endodoncia,2020-01-01,1,0,0,4,0,2,0,2,0,3,0,0,0,0,12
ICLA,atencion odontologica,endodoncia,2020-01-01,1,2,0,0,0,0,1,5,0,0,0,0,0,0,9
INCAHUASI,atencion odontologica,endodoncia,2020-01-01,0,1,3,11,3,9,8,16,2,1,0,0,0,0,54
INQUISIVI,atencion odontologica,endodoncia,2020-01-01,0,0,1,1,0,0,4,1,1,0,0,0,0,0,8
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncia,2020-01-01,0,0,1,1,1,2,2,3,2,0,0,0,0,0,12
IXIAMAS,atencion odontologica,endodoncia,2020-01-01,0,0,2,3,2,3,1,1,0,0,0,0,0,0,12
JESUS DE MACHACA,atencion odontologica,endodoncia,2020-01-01,0,0,5,1,0,14,2,24,1,3,0,0,0,0,50
LA ASUNTA,atencion odontologica,endodoncia,2020-01-01,2,9,12,13,10,7,11,22,3,0,0,0,0,0,89
LA GUARDIA,atencion odontologica,endodoncia,2020-01-01,8,5,0,0,1,0,1,2,0,0,0,0,0,0,17
LA PAZ,atencion odontologica,endodoncia,2020-01-01,130,139,412,416,162,234,527,828,154,96,0,0,0,0,3098
LA RIVERA,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LAGUNILLAS,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,1,2,7,0,0,0,0,0,0,10
LAJA,atencion odontologica,endodoncia,2020-01-01,1,1,1,2,5,7,2,6,1,0,0,0,0,0,26
LAS CARRERAS,atencion odontologica,endodoncia,2020-01-01,0,0,1,3,0,0,5,5,0,1,0,0,0,0,15
LICOMA PAMPA,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LLALLAGUA,atencion odontologica,endodoncia,2020-01-01,2,4,16,28,1,3,2,23,3,6,0,0,0,0,88
LORETO,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LURIBAY,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3
MACHACAMARCA,atencion odontologica,endodoncia,2020-01-01,0,0,6,5,0,0,0,1,1,1,0,0,0,0,14
MACHARETI,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,1,1,5,0,0,0,0,0,0,7
MAGDALENA,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
MAIRANA,atencion odontologica,endodoncia,2020-01-01,0,0,3,1,3,4,5,6,0,0,0,0,0,0,22
MALLA,atencion odontologica,endodoncia,2020-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MAPIRI,atencion odontologica,endodoncia,2020-01-01,1,0,0,2,0,2,4,6,0,0,0,0,0,0,15
MECAPACA,atencion odontologica,endodoncia,2020-01-01,2,6,17,15,6,5,7,18,1,0,0,0,0,0,77
MINEROS,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
MIZQUE,atencion odontologica,endodoncia,2020-01-01,7,6,9,9,3,4,3,10,2,1,0,0,0,0,54
MOCOMOCO,atencion odontologica,endodoncia,2020-01-01,0,0,0,2,2,0,1,4,2,0,0,0,0,0,11
MOJINETE,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MOJOCOYA,atencion odontologica,endodoncia,2020-01-01,0,2,4,2,1,2,1,10,0,0,0,0,0,0,22
MONTEAGUDO,atencion odontologica,endodoncia,2020-01-01,0,0,4,10,0,4,4,14,0,0,0,0,0,0,36
MONTERO,atencion odontologica,endodoncia,2020-01-01,4,2,7,13,4,5,7,10,2,0,0,0,0,0,54
MOROCHATA,atencion odontologica,endodoncia,2020-01-01,1,0,0,0,1,3,2,5,0,2,0,0,0,0,14
OCURI,atencion odontologica,endodoncia,2020-01-01,0,0,0,5,1,3,3,4,1,0,0,0,0,0,17
OMEREQUE,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
ORURO,atencion odontologica,endodoncia,2020-01-01,66,46,114,154,35,71,82,186,28,27,0,0,0,0,809
PADCAYA,atencion odontologica,endodoncia,2020-01-01,1,0,1,0,0,3,1,0,0,0,0,0,0,0,6
PADILLA,atencion odontologica,endodoncia,2020-01-01,0,5,4,14,2,1,5,14,0,0,0,0,0,0,45
PAILON,atencion odontologica,endodoncia,2020-01-01,6,4,1,2,0,0,2,17,1,0,0,0,0,0,33
PALCA,atencion odontologica,endodoncia,2020-01-01,4,8,6,15,2,5,10,21,0,0,0,0,0,0,71
PALOS BLANCOS,atencion odontologica,endodoncia,2020-01-01,3,0,3,6,1,2,7,20,1,0,0,0,0,0,43
PAMPA GRANDE,atencion odontologica,endodoncia,2020-01-01,2,0,1,0,0,0,0,4,0,0,0,0,0,0,7
PAPEL PAMPA,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4
PASORAPA,atencion odontologica,endodoncia,2020-01-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
PATACAMAYA,atencion odontologica,endodoncia,2020-01-01,1,0,14,1,0,0,0,0,0,0,0,0,0,0,16
PAZÑA,atencion odontologica,endodoncia,2020-01-01,0,0,0,1,1,0,0,2,0,0,0,0,0,0,4
PELECHUCO,atencion odontologica,endodoncia,2020-01-01,4,3,3,4,0,0,12,7,0,1,0,0,0,0,34
POCOATA,atencion odontologica,endodoncia,2020-01-01,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
POCONA,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
POJO (CBBA),atencion odontologica,endodoncia,2020-01-01,0,1,0,5,1,3,2,4,0,3,0,0,0,0,19
POOPO,atencion odontologica,endodoncia,2020-01-01,0,0,1,2,1,4,2,6,1,0,0,0,0,0,17
PORCO,atencion odontologica,endodoncia,2020-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
POROMA,atencion odontologica,endodoncia,2020-01-01,1,0,0,2,1,1,1,2,0,0,0,0,0,0,8
PORONGO,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
PORTACHUELO,atencion odontologica,endodoncia,2020-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PORVENIR,atencion odontologica,endodoncia,2020-01-01,0,0,1,4,1,3,0,4,0,0,0,0,0,0,13
POSTRER VALLE,atencion odontologica,endodoncia,2020-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
POTOSI,atencion odontologica,endodoncia,2020-01-01,17,23,63,91,11,28,63,135,9,4,0,0,0,0,444
PRESTO,atencion odontologica,endodoncia,2020-01-01,0,5,4,5,5,12,5,27,2,0,0,0,0,0,65
PUCARA,atencion odontologica,endodoncia,2020-01-01,0,0,0,3,0,1,0,2,0,0,0,0,0,0,6
PUCARANI,atencion odontologica,endodoncia,2020-01-01,3,0,9,7,6,14,5,21,1,0,0,0,0,0,66
PUERTO ACOSTA,atencion odontologica,endodoncia,2020-01-01,0,0,0,4,0,2,2,5,0,0,0,0,0,0,13
PUERTO CARABUCO,atencion odontologica,endodoncia,2020-01-01,2,0,1,2,3,3,5,8,0,0,0,0,0,0,24
PUERTO GONZALO MORENO,atencion odontologica,endodoncia,2020-01-01,0,0,2,0,1,1,0,1,0,0,0,0,0,0,5
PUERTO PEREZ,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PUERTO RICO,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PUERTO SUAREZ,atencion odontologica,endodoncia,2020-01-01,0,0,0,3,0,0,1,0,0,2,0,0,0,0,6
PUERTO VILLARROEL,atencion odontologica,endodoncia,2020-01-01,0,0,12,7,4,4,5,14,0,0,0,0,0,0,46
PUNA,atencion odontologica,endodoncia,2020-01-01,0,0,1,1,0,3,4,1,0,0,0,0,0,0,10
PUNATA,atencion odontologica,endodoncia,2020-01-01,1,1,8,13,2,2,6,12,1,4,0,0,0,0,50
QUIABAYA,atencion odontologica,endodoncia,2020-01-01,1,0,0,1,0,3,0,4,0,0,0,0,0,0,9
QUILLACOLLO,atencion odontologica,endodoncia,2020-01-01,10,9,26,35,3,14,26,49,11,7,0,0,0,0,190
QUIME,atencion odontologica,endodoncia,2020-01-01,2,4,7,19,1,1,16,13,0,0,0,0,0,0,63
QUIRUSILLAS,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
RAVELO,atencion odontologica,endodoncia,2020-01-01,1,0,4,3,0,1,0,5,0,0,0,0,0,0,14
REYES,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
RIBERALTA,atencion odontologica,endodoncia,2020-01-01,1,0,1,28,30,7,13,20,0,1,0,0,0,0,101
RURRENABAQUE,atencion odontologica,endodoncia,2020-01-01,5,1,2,0,0,0,0,0,0,0,0,0,0,0,8
SABAYA,atencion odontologica,endodoncia,2020-01-01,1,1,0,0,0,0,3,1,0,0,0,0,0,0,6
SACABA,atencion odontologica,endodoncia,2020-01-01,28,32,35,49,10,17,27,50,14,6,0,0,0,0,268
SACABAMBA,atencion odontologica,endodoncia,2020-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SACACA,atencion odontologica,endodoncia,2020-01-01,0,0,2,0,0,0,1,8,0,0,0,0,0,0,11
SAIPINA,atencion odontologica,endodoncia,2020-01-01,0,1,1,4,1,1,5,2,0,0,0,0,0,0,15
SALINAS DE GARCI MENDOZA,atencion odontologica,endodoncia,2020-01-01,0,4,0,2,0,0,1,12,0,0,0,0,0,0,19
SAMAIPATA,atencion odontologica,endodoncia,2020-01-01,1,1,3,1,1,0,0,1,1,0,0,0,0,0,9
SAN ANDRES DE MACHACA,atencion odontologica,endodoncia,2020-01-01,3,0,9,1,0,0,2,8,3,0,0,0,0,0,26
SAN BORJA,atencion odontologica,endodoncia,2020-01-01,0,1,1,1,1,2,5,0,2,0,0,0,0,0,13
SAN BUENA VENTURA,atencion odontologica,endodoncia,2020-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
SAN CARLOS,atencion odontologica,endodoncia,2020-01-01,4,7,4,7,4,1,1,19,5,2,0,0,0,0,54
SAN IGNACIO,atencion odontologica,endodoncia,2020-01-01,0,0,2,2,0,1,1,6,0,0,0,0,0,0,12
SAN IGNACIO DE VELASCO,atencion odontologica,endodoncia,2020-01-01,2,1,5,12,1,6,5,17,3,1,0,0,0,0,53
SAN JAVIER(STC),atencion odontologica,endodoncia,2020-01-01,3,3,0,0,0,0,0,1,1,0,0,0,0,0,8
SAN JOAQUIN,atencion odontologica,endodoncia,2020-01-01,0,0,5,4,14,0,0,9,0,3,0,0,0,0,35
SAN JOSE DE CHIQUITOS,atencion odontologica,endodoncia,2020-01-01,0,0,0,2,0,0,1,1,1,0,0,0,0,0,5
SAN JUAN DE YAPACANI,atencion odontologica,endodoncia,2020-01-01,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5
SAN JULIAN,atencion odontologica,endodoncia,2020-01-01,2,1,5,2,0,0,3,6,0,0,0,0,0,0,19
SAN LORENZO(TJA),atencion odontologica,endodoncia,2020-01-01,0,1,9,8,4,4,8,12,1,1,0,0,0,0,48
SAN LUCAS,atencion odontologica,endodoncia,2020-01-01,2,4,15,41,6,11,5,38,1,2,0,0,0,0,125
SAN MATIAS,atencion odontologica,endodoncia,2020-01-01,2,5,0,0,0,1,0,3,1,0,0,0,0,0,12
SAN MIGUEL DE VELASCO,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN PEDRO,atencion odontologica,endodoncia,2020-01-01,0,0,1,0,1,3,2,1,0,0,0,0,0,0,8
SAN PEDRO DE BUENA VISTA,atencion odontologica,endodoncia,2020-01-01,3,1,5,1,1,2,6,17,0,1,0,0,0,0,37
SAN PEDRO DE CURAHUARA,atencion odontologica,endodoncia,2020-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
SAN PEDRO DE TIQUINA,atencion odontologica,endodoncia,2020-01-01,1,1,1,0,1,4,1,2,0,0,0,0,0,0,11
SAN RAMON BENI,atencion odontologica,endodoncia,2020-01-01,0,0,8,0,10,9,7,11,0,0,0,0,0,0,45
SAN RAMON SCZ,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SANTA ANA,atencion odontologica,endodoncia,2020-01-01,8,0,0,5,0,7,0,10,0,0,0,0,0,0,30
SANTA CRUZ DE LA SIERRA,atencion odontologica,endodoncia,2020-01-01,48,43,127,156,51,87,269,373,100,63,0,0,0,0,1317
SANTA ROSA,atencion odontologica,endodoncia,2020-01-01,0,0,1,1,0,1,1,0,0,0,0,0,0,0,4
SANTA ROSA DEL SARA,atencion odontologica,endodoncia,2020-01-01,0,0,1,0,1,12,2,11,0,0,0,0,0,0,27
SANTIAGO DE HUARI,atencion odontologica,endodoncia,2020-01-01,0,1,2,2,3,1,5,3,0,1,0,0,0,0,18
SANTIAGO DE HUATA,atencion odontologica,endodoncia,2020-01-01,0,0,2,4,1,1,3,6,1,1,0,0,0,0,19
SANTIAGO DE MACHACA,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SANTIVAÑES,atencion odontologica,endodoncia,2020-01-01,1,1,2,2,0,4,2,4,0,2,0,0,0,0,18
