,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES
ARAMPAMPA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,0,3,0,1,3,5,4,2,0,0,0,0,18
ARANI,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,18,11,1,4,0,12,1,4,0,0,0,0,51
ARBIETO,atencion odontologica,cirugia bucal menor,2020-01-01,2,4,34,29,4,8,3,38,5,7,0,0,0,0,134
ARQUE,atencion odontologica,cirugia bucal menor,2020-01-01,3,3,22,31,3,8,28,56,2,13,0,0,0,0,169
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucal menor,2020-01-01,11,7,38,38,4,11,4,35,9,10,0,0,0,0,167
ATOCHA,atencion odontologica,cirugia bucal menor,2020-01-01,3,4,19,29,11,14,34,57,17,4,0,0,0,0,192
AUCAPATA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,6,3,4,7,23,28,1,2,0,0,0,0,74
AYATA,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,3,2,1,3,5,6,4,5,0,0,0,0,30
AYO AYO,atencion odontologica,cirugia bucal menor,2020-01-01,3,3,12,19,20,15,6,28,9,14,0,0,0,0,129
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucal menor,2020-01-01,3,0,21,32,3,8,15,45,11,5,0,0,0,0,143
AZURDUY,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,3,11,3,0,17,45,7,24,0,0,0,0,111
BATALLAS,atencion odontologica,cirugia bucal menor,2020-01-01,2,0,2,2,3,2,0,7,3,4,0,0,0,0,25
BAURES,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,7,5,2,2,5,3,1,0,0,0,0,0,25
BELEN DE ANDAMARCA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,3,4,0,1,0,4,1,2,0,0,0,0,15
BELEN DE URMIRI,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,2,4,0,2,2,1,0,0,0,0,0,0,11
BERMEJO,atencion odontologica,cirugia bucal menor,2020-01-01,3,2,15,9,5,8,18,32,4,4,0,0,0,0,100
BETANZOS,atencion odontologica,cirugia bucal menor,2020-01-01,4,1,22,51,18,31,37,105,22,23,0,0,0,0,314
BOLIVAR,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,11,5,4,9,7,10,8,3,0,0,0,0,57
BOYUIBE,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,14,7,3,3,1,6,0,1,0,0,0,0,35
BUENA VISTA,atencion odontologica,cirugia bucal menor,2020-01-01,3,3,22,29,1,7,16,28,5,1,0,0,0,0,115
CABEZAS,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,21,12,3,3,2,26,0,0,0,0,0,0,67
CAIROMA,atencion odontologica,cirugia bucal menor,2020-01-01,2,4,12,18,9,13,30,52,2,0,0,0,0,0,142
"CAIZA ""D""",atencion odontologica,cirugia bucal menor,2020-01-01,2,3,11,16,1,8,4,21,5,9,0,0,0,0,80
CAJUATA,atencion odontologica,cirugia bucal menor,2020-01-01,1,2,7,8,6,6,12,20,2,2,0,0,0,0,66
CALACOTO,atencion odontologica,cirugia bucal menor,2020-01-01,2,2,3,6,2,5,0,10,11,8,0,0,0,0,49
CALAMARCA,atencion odontologica,cirugia bucal menor,2020-01-01,1,3,16,32,11,23,11,32,7,4,0,0,0,0,140
CAMARGO,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,7,6,5,6,8,18,6,4,0,0,0,0,60
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,cirugia bucal menor,2020-01-01,0,0,6,12,4,2,10,25,1,0,0,0,0,0,60
CAMIRI,atencion odontologica,cirugia bucal menor,2020-01-01,6,8,17,40,13,27,28,57,33,13,0,0,0,0,242
CAPINOTA,atencion odontologica,cirugia bucal menor,2020-01-01,2,2,23,20,1,4,5,4,2,5,0,0,0,0,68
CAQUIAVIRI,atencion odontologica,cirugia bucal menor,2020-01-01,0,2,17,11,8,12,17,42,4,12,0,0,0,0,125
CARACOLLO,atencion odontologica,cirugia bucal menor,2020-01-01,4,7,40,36,6,34,16,43,6,11,0,0,0,0,203
CARANAVI,atencion odontologica,cirugia bucal menor,2020-01-01,4,4,27,48,16,27,32,68,27,10,0,0,0,0,263
CARANGAS,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3
CARAPARI,atencion odontologica,cirugia bucal menor,2020-01-01,2,2,25,42,11,14,25,41,0,0,0,0,0,0,162
CARIPUYO,atencion odontologica,cirugia bucal menor,2020-01-01,1,0,10,8,5,1,7,19,5,12,0,0,0,0,68
CARMEN RIVERO TORREZ,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,0,1,0,2,0,2,0,0,0,0,0,0,5
CHACARILLA,atencion odontologica,cirugia bucal menor,2020-01-01,2,0,2,1,0,0,3,1,1,0,0,0,0,0,10
CHALLAPATA,atencion odontologica,cirugia bucal menor,2020-01-01,3,11,75,86,7,35,21,78,16,27,0,0,0,0,359
CHAQUI,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,5,9,0,2,6,10,0,7,0,0,0,0,40
CHARAGUA,atencion odontologica,cirugia bucal menor,2020-01-01,3,2,15,15,15,22,18,49,9,2,0,0,0,0,150
CHARAÑA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,0,6,1,1,2,8,0,0,0,0,0,0,18
CHAYANTA,atencion odontologica,cirugia bucal menor,2020-01-01,4,0,17,25,8,6,15,21,6,12,0,0,0,0,114
CHIMORE,atencion odontologica,cirugia bucal menor,2020-01-01,3,4,25,33,6,16,9,59,3,3,0,0,0,0,161
CHIPAYA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,5,4,0,2,1,0,1,0,0,0,0,0,13
CHOQUE COTA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,2,0,0,1,1,1,2,1,0,0,0,0,8
CHUA COCANI,atencion odontologica,cirugia bucal menor,2020-01-01,1,0,4,8,1,4,15,13,7,1,0,0,0,0,54
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucal menor,2020-01-01,0,1,12,13,0,3,8,18,4,0,0,0,0,0,59
CHUMA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,25,34,7,15,49,74,5,15,0,0,0,0,224
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucal menor,2020-01-01,0,3,6,4,0,2,2,5,1,3,0,0,0,0,26
CKOCHAS,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,6,10,3,6,20,30,10,7,0,0,0,0,92
CLIZA,atencion odontologica,cirugia bucal menor,2020-01-01,4,3,43,29,1,14,4,10,6,22,0,0,0,0,136
COBIJA,atencion odontologica,cirugia bucal menor,2020-01-01,8,5,54,79,26,30,60,74,12,8,0,0,0,0,356
COCAPATA,atencion odontologica,cirugia bucal menor,2020-01-01,8,2,39,35,10,15,28,49,13,11,0,0,0,0,210
COCHABAMBA,atencion odontologica,cirugia bucal menor,2020-01-01,83,73,450,512,89,172,206,423,115,160,0,0,0,0,2283
COIPASA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,1,1,0,1,0,1,0,0,0,0,0,0,4
COLCAPIRHUA,atencion odontologica,cirugia bucal menor,2020-01-01,3,4,52,45,6,4,23,49,6,3,0,0,0,0,195
"COLCHA ""K""",atencion odontologica,cirugia bucal menor,2020-01-01,5,1,11,10,2,5,7,17,4,0,0,0,0,0,62
COLLANA,atencion odontologica,cirugia bucal menor,2020-01-01,1,0,7,14,10,3,7,17,0,2,0,0,0,0,61
COLOMI,atencion odontologica,cirugia bucal menor,2020-01-01,0,4,33,42,8,12,2,31,15,13,0,0,0,0,160
COLPA BELGICA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,5,3,4,1,0,6,2,0,0,0,0,0,21
COLQUECHACA,atencion odontologica,cirugia bucal menor,2020-01-01,7,11,50,34,7,15,31,81,15,32,0,0,0,0,283
COLQUENCHA,atencion odontologica,cirugia bucal menor,2020-01-01,5,0,34,29,18,17,17,51,9,8,0,0,0,0,188
COLQUIRI,atencion odontologica,cirugia bucal menor,2020-01-01,7,4,17,23,17,19,16,27,9,8,0,0,0,0,147
COMANCHE,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,12,6,3,4,4,15,5,1,0,0,0,0,50
COMARAPA,atencion odontologica,cirugia bucal menor,2020-01-01,6,8,1,5,3,6,0,11,1,9,0,0,0,0,50
COMBAYA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,2,1,0,0,1,4,0,1,0,0,0,0,9
CONCEPCION,atencion odontologica,cirugia bucal menor,2020-01-01,4,3,7,5,4,7,5,19,14,17,0,0,0,0,85
COPACABANA,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,11,11,5,10,10,21,7,8,0,0,0,0,84
CORIPATA,atencion odontologica,cirugia bucal menor,2020-01-01,5,0,11,14,1,10,14,12,0,0,0,0,0,0,67
CORO CORO,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,27,23,0,6,4,9,1,5,0,0,0,0,75
COROICO,atencion odontologica,cirugia bucal menor,2020-01-01,6,2,21,33,7,17,27,56,7,0,0,0,0,0,176
CORQUE,atencion odontologica,cirugia bucal menor,2020-01-01,1,1,5,5,1,1,2,10,1,5,0,0,0,0,32
COTAGAITA,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,15,25,9,15,14,37,7,4,0,0,0,0,127
COTOCA,atencion odontologica,cirugia bucal menor,2020-01-01,5,0,30,41,8,26,21,54,19,9,0,0,0,0,213
CUATRO CAÑADAS,atencion odontologica,cirugia bucal menor,2020-01-01,0,2,17,33,6,6,6,25,16,13,0,0,0,0,124
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,cirugia bucal menor,2020-01-01,0,0,4,7,4,3,2,11,0,0,0,0,0,0,31
CULPINA,atencion odontologica,cirugia bucal menor,2020-01-01,0,2,21,15,4,5,7,36,4,9,0,0,0,0,103
CURAHUARA DE CARANGAS,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,15,4,5,3,12,8,5,3,0,0,0,0,55
CURVA,atencion odontologica,cirugia bucal menor,2020-01-01,0,4,5,3,5,2,3,9,0,0,0,0,0,0,31
DESAGUADERO,atencion odontologica,cirugia bucal menor,2020-01-01,0,4,6,19,2,7,3,14,2,3,0,0,0,0,60
EL ALTO,atencion odontologica,cirugia bucal menor,2020-01-01,96,93,564,633,176,244,188,435,89,73,0,0,0,0,2591
EL CHORO,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,1,4,2,0,5,4,4,1,0,0,0,0,21
EL PUENTE(STC),atencion odontologica,cirugia bucal menor,2020-01-01,1,1,20,7,3,6,6,17,1,1,0,0,0,0,63
EL PUENTE(TJA),atencion odontologica,cirugia bucal menor,2020-01-01,1,1,18,23,11,18,12,32,1,7,0,0,0,0,124
EL TORNO,atencion odontologica,cirugia bucal menor,2020-01-01,0,5,13,11,5,5,15,39,16,15,0,0,0,0,124
EL VILLAR,atencion odontologica,cirugia bucal menor,2020-01-01,1,0,4,3,1,2,2,17,3,8,0,0,0,0,41
ENTRE RIOS TRJ,atencion odontologica,cirugia bucal menor,2020-01-01,1,0,26,27,4,17,22,74,2,2,0,0,0,0,175
ENTRE RIOS CBBA,atencion odontologica,cirugia bucal menor,2020-01-01,4,2,16,10,2,4,3,14,1,0,0,0,0,0,56
ESCARA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,3,3,0,1,1,2,1,0,0,0,0,0,11
ESCOMA,atencion odontologica,cirugia bucal menor,2020-01-01,1,1,5,5,3,5,5,9,8,6,0,0,0,0,48
ESMERALDA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3
EUCALIPTUS,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,5,3,1,1,2,10,1,2,0,0,0,0,25
FERNANDEZ ALONSO,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,20,21,4,4,7,24,7,2,0,0,0,0,89
FILADELFIA,atencion odontologica,cirugia bucal menor,2020-01-01,1,0,10,8,1,5,2,8,0,0,0,0,0,0,35
GENERAL SAAVEDRA,atencion odontologica,cirugia bucal menor,2020-01-01,1,1,3,7,0,7,2,10,2,1,0,0,0,0,34
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,cirugia bucal menor,2020-01-01,2,3,6,7,3,5,11,20,2,5,0,0,0,0,64
GUANAY,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,11,3,2,7,13,18,6,2,0,0,0,0,62
GUAQUI,atencion odontologica,cirugia bucal menor,2020-01-01,0,2,5,9,14,21,10,25,8,13,0,0,0,0,107
GUAYARAMERIN,atencion odontologica,cirugia bucal menor,2020-01-01,5,3,59,62,7,16,21,36,7,2,0,0,0,0,218
GUTIERREZ,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,13,11,2,8,3,23,6,2,0,0,0,0,68
HUACARETA,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,10,26,4,11,20,51,5,11,0,0,0,0,139
HUACAYA (VILLA DE HUACAYA),atencion odontologica,cirugia bucal menor,2020-01-01,0,0,4,6,6,4,8,15,0,0,0,0,0,0,43
HUACHACALLA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
HUANUNI,atencion odontologica,cirugia bucal menor,2020-01-01,8,4,45,53,14,27,16,46,6,7,0,0,0,0,226
HUARACAJE,atencion odontologica,cirugia bucal menor,2020-01-01,1,1,3,0,2,2,4,11,0,1,0,0,0,0,25
HUARINA,atencion odontologica,cirugia bucal menor,2020-01-01,1,1,6,6,2,6,8,10,14,16,0,0,0,0,70
HUATAJATA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,3,6,0,2,4,3,2,3,0,0,0,0,23
HUAYLLAMARCA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,0,4,0,0,2,2,5,5,0,0,0,0,18
HUMANATA,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,7,7,5,9,3,13,10,15,0,0,0,0,70
ICHOCA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,9,3,1,4,6,17,8,5,0,0,0,0,53
ICLA,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,7,11,2,2,6,20,9,2,0,0,0,0,60
INCAHUASI,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,13,8,2,6,5,23,7,6,0,0,0,0,70
INQUISIVI,atencion odontologica,cirugia bucal menor,2020-01-01,4,2,41,26,15,9,54,85,31,23,0,0,0,0,290
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucal menor,2020-01-01,4,8,22,42,10,13,27,38,17,5,0,0,0,0,186
IXIAMAS,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,12,13,4,0,1,14,2,0,0,0,0,0,46
JESUS DE MACHACA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,11,12,8,9,14,29,8,5,0,0,0,0,96
LA ASUNTA,atencion odontologica,cirugia bucal menor,2020-01-01,2,3,51,64,16,19,37,49,11,3,0,0,0,0,255
LA GUARDIA,atencion odontologica,cirugia bucal menor,2020-01-01,10,8,65,54,7,4,31,33,29,12,0,0,0,0,253
LA PAZ,atencion odontologica,cirugia bucal menor,2020-01-01,115,100,731,692,162,266,390,595,196,163,0,0,0,0,3410
LA RIVERA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,3,0,0,0,1,1,0,0,0,0,0,0,5
LAGUNILLAS,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,6,7,0,1,3,11,4,1,0,0,0,0,33
LAJA,atencion odontologica,cirugia bucal menor,2020-01-01,8,4,32,52,14,44,21,56,8,9,0,0,0,0,248
LAS CARRERAS,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,5,1,0,1,3,5,2,1,0,0,0,0,18
LICOMA PAMPA,atencion odontologica,cirugia bucal menor,2020-01-01,1,2,12,6,1,10,3,26,3,0,0,0,0,0,64
LLALLAGUA,atencion odontologica,cirugia bucal menor,2020-01-01,13,6,43,45,17,32,12,66,9,7,0,0,0,0,250
LORETO,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
LURIBAY,atencion odontologica,cirugia bucal menor,2020-01-01,3,1,4,3,1,3,6,8,7,2,0,0,0,0,38
MACHACAMARCA,atencion odontologica,cirugia bucal menor,2020-01-01,1,0,6,8,0,2,5,3,0,3,0,0,0,0,28
MACHARETI,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,19,3,1,5,8,14,1,0,0,0,0,0,52
MAGDALENA,atencion odontologica,cirugia bucal menor,2020-01-01,1,2,15,18,6,9,8,30,3,1,0,0,0,0,93
MAIRANA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,1,3,0,4,3,9,0,0,0,0,0,0,20
MALLA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,0,3,0,2,3,6,6,4,0,0,0,0,24
MAPIRI,atencion odontologica,cirugia bucal menor,2020-01-01,1,0,4,7,0,1,2,6,0,1,0,0,0,0,22
MECAPACA,atencion odontologica,cirugia bucal menor,2020-01-01,2,2,20,26,9,14,14,36,21,4,0,0,0,0,148
MINEROS,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,9,15,1,10,3,13,6,1,0,0,0,0,58
MIZQUE,atencion odontologica,cirugia bucal menor,2020-01-01,0,2,15,16,5,1,4,15,2,6,0,0,0,0,66
MOCOMOCO,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,12,27,7,11,15,26,19,8,0,0,0,0,125
MOJINETE,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,2,3,1,1,0,1,0,1,0,0,0,0,9
MOJOCOYA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,8,11,1,1,4,47,0,4,0,0,0,0,76
MONTEAGUDO,atencion odontologica,cirugia bucal menor,2020-01-01,2,1,45,32,5,14,17,51,16,7,0,0,0,0,190
MONTERO,atencion odontologica,cirugia bucal menor,2020-01-01,11,7,110,117,26,38,65,127,32,11,0,0,0,0,544
MORO MORO,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,12,10,1,7,3,15,2,7,0,0,0,0,58
MOROCHATA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,5,12,6,13,10,40,2,11,0,0,0,0,99
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,cirugia bucal menor,2020-01-01,0,0,3,1,1,2,2,6,0,0,0,0,0,0,15
NAZACARA DE PACAJES,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,1,4,2,1,3,6,2,1,0,0,0,0,20
OCURI,atencion odontologica,cirugia bucal menor,2020-01-01,1,1,9,14,2,5,11,52,13,11,0,0,0,0,119
OKINAWA,atencion odontologica,cirugia bucal menor,2020-01-01,1,3,11,14,6,4,9,26,6,5,0,0,0,0,85
OMEREQUE,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,13,8,4,3,2,7,0,0,0,0,0,0,37
ORURO,atencion odontologica,cirugia bucal menor,2020-01-01,40,42,266,284,68,114,115,333,52,46,0,0,0,0,1360
PADCAYA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,8,9,3,5,9,22,4,0,0,0,0,0,60
PADILLA,atencion odontologica,cirugia bucal menor,2020-01-01,0,2,11,18,2,2,11,25,8,3,0,0,0,0,82
PAILON,atencion odontologica,cirugia bucal menor,2020-01-01,3,2,10,14,3,3,7,38,9,8,0,0,0,0,97
PALCA,atencion odontologica,cirugia bucal menor,2020-01-01,6,3,19,41,13,17,38,52,11,13,0,0,0,0,213
PALOS BLANCOS,atencion odontologica,cirugia bucal menor,2020-01-01,6,2,20,24,7,7,14,31,8,3,0,0,0,0,122
PAMPA AULLAGAS,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,2,3,3,0,1,6,1,1,0,0,0,0,17
PAMPA GRANDE,atencion odontologica,cirugia bucal menor,2020-01-01,1,2,10,8,2,2,7,19,2,2,0,0,0,0,55
PAPEL PAMPA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,3,0,1,0,4,0,2,2,0,0,0,0,12
PASORAPA,atencion odontologica,cirugia bucal menor,2020-01-01,2,0,2,2,0,0,1,1,3,0,0,0,0,0,11
PATACAMAYA,atencion odontologica,cirugia bucal menor,2020-01-01,1,1,21,7,4,10,2,9,3,6,0,0,0,0,64
PAZÑA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,11,10,4,5,4,12,1,1,0,0,0,0,48
PELECHUCO,atencion odontologica,cirugia bucal menor,2020-01-01,3,1,6,11,11,8,17,25,1,3,0,0,0,0,86
POCOATA,atencion odontologica,cirugia bucal menor,2020-01-01,3,3,27,18,1,6,19,34,5,18,0,0,0,0,134
POCONA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,0,4,1,0,4,5,7,1,0,0,0,0,22
POJO (CBBA),atencion odontologica,cirugia bucal menor,2020-01-01,0,3,4,14,2,4,7,15,2,0,0,0,0,0,51
POOPO,atencion odontologica,cirugia bucal menor,2020-01-01,0,2,22,14,8,2,5,9,6,5,0,0,0,0,73
PORCO,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,5,4,0,0,1,11,0,4,0,0,0,0,25
POROMA,atencion odontologica,cirugia bucal menor,2020-01-01,1,0,6,8,1,2,2,21,2,0,0,0,0,0,43
PORONGO,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,7,14,5,4,6,13,4,1,0,0,0,0,55
PORTACHUELO,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,3,5,0,0,5,2,0,0,0,0,0,0,16
PORVENIR,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,19,45,3,11,6,13,0,0,0,0,0,0,98
POSTRER VALLE,atencion odontologica,cirugia bucal menor,2020-01-01,2,0,1,3,1,0,1,2,2,1,0,0,0,0,13
POTOSI,atencion odontologica,cirugia bucal menor,2020-01-01,20,22,97,114,32,69,58,162,30,34,0,0,0,0,638
PRESTO,atencion odontologica,cirugia bucal menor,2020-01-01,2,6,9,5,5,10,12,23,2,3,0,0,0,0,77
PUCARA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,6,2,0,1,3,6,3,0,0,0,0,0,21
PUCARANI,atencion odontologica,cirugia bucal menor,2020-01-01,5,7,50,79,35,51,34,86,11,17,0,0,0,0,375
PUERTO ACOSTA,atencion odontologica,cirugia bucal menor,2020-01-01,1,3,13,19,2,16,13,32,7,19,0,0,0,0,125
PUERTO CARABUCO,atencion odontologica,cirugia bucal menor,2020-01-01,2,2,22,25,8,23,24,58,14,11,0,0,0,0,189
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,2,12,0,4,6,13,0,0,0,0,0,0,37
PUERTO PEREZ,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,4,0,2,1,1,8,1,2,0,0,0,0,19
PUERTO QUIJARRO,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,17,20,7,5,3,9,2,3,0,0,0,0,67
PUERTO RICO,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,10,20,8,8,17,17,10,0,0,0,0,0,91
PUERTO SUAREZ,atencion odontologica,cirugia bucal menor,2020-01-01,1,1,0,4,5,10,5,16,3,2,0,0,0,0,47
PUERTO VILLARROEL,atencion odontologica,cirugia bucal menor,2020-01-01,2,3,31,25,2,12,16,47,2,17,0,0,0,0,157
PUNA,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,7,9,2,8,5,19,11,9,0,0,0,0,71
PUNATA,atencion odontologica,cirugia bucal menor,2020-01-01,3,0,24,21,6,12,5,8,5,5,0,0,0,0,89
QUIABAYA,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,5,9,3,12,21,26,2,11,0,0,0,0,90
QUILLACOLLO,atencion odontologica,cirugia bucal menor,2020-01-01,8,17,80,103,19,14,13,67,14,17,0,0,0,0,352
QUIME,atencion odontologica,cirugia bucal menor,2020-01-01,4,2,34,38,16,16,22,43,3,5,0,0,0,0,183
QUIRUSILLAS,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,4,0,0,0,1,5,0,1,0,0,0,0,11
RAVELO,atencion odontologica,cirugia bucal menor,2020-01-01,3,0,6,4,5,8,11,43,2,15,0,0,0,0,97
REYES,atencion odontologica,cirugia bucal menor,2020-01-01,1,2,3,7,4,3,7,9,4,1,0,0,0,0,41
RIBERALTA,atencion odontologica,cirugia bucal menor,2020-01-01,5,5,67,82,19,47,65,133,8,12,0,0,0,0,443
