,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES
ASCENCION DE GUARAYOS,atencion odontologica,consulta repetida,2020-01-01,10,4,0,0,0,0,2,22,1,1,0,49,0,6,95
ATOCHA,atencion odontologica,consulta repetida,2020-01-01,9,8,27,38,15,25,72,112,12,11,0,0,0,0,329
AYO AYO,atencion odontologica,consulta repetida,2020-01-01,0,2,0,0,0,2,5,0,0,0,0,0,0,0,9
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta repetida,2020-01-01,14,3,11,15,5,10,25,42,2,3,0,0,0,0,130
AZURDUY,atencion odontologica,consulta repetida,2020-01-01,0,6,0,22,0,5,8,15,2,0,0,0,0,0,58
BAURES,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
BELEN DE ANDAMARCA,atencion odontologica,consulta repetida,2020-01-01,0,2,0,0,0,0,1,1,0,0,0,0,0,0,4
BELEN DE URMIRI,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,1,0,1,5,0,0,0,0,0,0,7
BERMEJO,atencion odontologica,consulta repetida,2020-01-01,7,3,22,11,4,9,2,11,0,0,0,1,0,0,70
BETANZOS,atencion odontologica,consulta repetida,2020-01-01,1,5,11,6,2,18,15,23,1,1,0,2,0,3,88
BOLIVAR,atencion odontologica,consulta repetida,2020-01-01,0,0,0,3,2,0,0,5,0,0,0,0,0,0,10
BOYUIBE,atencion odontologica,consulta repetida,2020-01-01,0,1,5,0,1,1,4,3,2,0,0,0,0,0,17
BUENA VISTA,atencion odontologica,consulta repetida,2020-01-01,0,0,2,1,1,3,2,1,0,0,0,0,0,0,10
CABEZAS,atencion odontologica,consulta repetida,2020-01-01,0,0,1,0,1,0,0,3,0,0,0,0,0,0,5
CAIROMA,atencion odontologica,consulta repetida,2020-01-01,1,1,5,0,0,0,0,0,0,0,0,0,0,0,7
"CAIZA ""D""",atencion odontologica,consulta repetida,2020-01-01,1,1,0,6,3,7,2,9,0,0,0,0,0,0,29
CAJUATA,atencion odontologica,consulta repetida,2020-01-01,0,1,0,1,0,0,0,3,0,0,0,0,0,0,5
CALACOTO,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,1,0,0,3,0,1,0,1,0,0,6
CALAMARCA,atencion odontologica,consulta repetida,2020-01-01,0,0,5,2,1,5,3,6,0,5,0,0,0,0,27
CAMARGO,atencion odontologica,consulta repetida,2020-01-01,2,2,18,10,6,13,2,13,0,0,0,0,0,0,66
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta repetida,2020-01-01,0,0,5,3,2,0,11,13,0,0,0,2,0,0,36
CAMIRI,atencion odontologica,consulta repetida,2020-01-01,21,22,23,39,13,24,28,88,16,7,0,11,0,4,296
CAPINOTA,atencion odontologica,consulta repetida,2020-01-01,0,4,33,21,11,38,6,50,6,1,0,0,0,0,170
CAQUIAVIRI,atencion odontologica,consulta repetida,2020-01-01,0,1,1,1,0,1,3,16,0,0,0,0,0,0,23
CARACOLLO,atencion odontologica,consulta repetida,2020-01-01,6,7,9,11,1,12,2,33,1,10,0,0,0,0,92
CARANAVI,atencion odontologica,consulta repetida,2020-01-01,5,3,8,6,2,5,7,7,4,0,0,0,0,0,47
CARAPARI,atencion odontologica,consulta repetida,2020-01-01,0,8,4,14,1,12,3,32,2,0,0,0,0,0,76
CARIPUYO,atencion odontologica,consulta repetida,2020-01-01,0,0,0,1,4,5,7,26,0,0,0,2,0,0,45
CHALLAPATA,atencion odontologica,consulta repetida,2020-01-01,5,2,14,15,2,20,9,46,5,3,0,0,0,0,121
CHAQUI,atencion odontologica,consulta repetida,2020-01-01,0,5,3,4,2,1,1,11,2,0,0,1,0,0,30
CHARAGUA,atencion odontologica,consulta repetida,2020-01-01,3,2,0,3,2,0,6,4,1,0,0,0,0,0,21
CHARAÑA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CHAYANTA,atencion odontologica,consulta repetida,2020-01-01,1,1,6,10,5,14,6,8,0,3,0,0,0,0,54
CHIMORE,atencion odontologica,consulta repetida,2020-01-01,0,1,0,2,4,14,8,20,0,0,0,0,0,0,49
CHIPAYA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,2,0,0,0,3,0,0,0,0,0,0,5
CHOQUE COTA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CHUA COCANI,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta repetida,2020-01-01,1,0,3,2,4,1,2,22,0,0,0,0,0,0,35
CHUMA,atencion odontologica,consulta repetida,2020-01-01,0,2,0,1,5,13,5,19,0,0,0,0,0,2,47
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta repetida,2020-01-01,0,10,12,11,9,25,18,23,4,3,0,5,0,1,121
CKOCHAS,atencion odontologica,consulta repetida,2020-01-01,0,0,1,1,3,0,1,0,0,0,0,0,0,0,6
CLIZA,atencion odontologica,consulta repetida,2020-01-01,24,17,32,58,6,40,19,51,13,14,0,0,0,0,274
COBIJA,atencion odontologica,consulta repetida,2020-01-01,15,9,57,46,23,37,68,86,0,1,0,0,0,2,344
COCAPATA,atencion odontologica,consulta repetida,2020-01-01,21,15,40,36,16,38,37,81,21,28,0,10,0,3,346
COCHABAMBA,atencion odontologica,consulta repetida,2020-01-01,282,336,735,854,345,499,1081,1858,391,266,0,10,0,9,6666
COLCAPIRHUA,atencion odontologica,consulta repetida,2020-01-01,1,1,7,16,3,8,9,22,1,7,0,1,0,1,77
"COLCHA ""K""",atencion odontologica,consulta repetida,2020-01-01,0,3,3,8,1,0,1,3,1,0,0,0,0,0,20
COLLANA,atencion odontologica,consulta repetida,2020-01-01,0,0,1,6,3,5,2,3,0,0,0,0,0,1,21
COLOMI,atencion odontologica,consulta repetida,2020-01-01,0,0,0,1,0,4,0,2,0,1,0,0,0,1,9
COLPA BELGICA,atencion odontologica,consulta repetida,2020-01-01,0,7,1,0,1,0,0,7,0,0,0,4,0,0,20
COLQUECHACA,atencion odontologica,consulta repetida,2020-01-01,2,3,11,14,14,18,17,39,4,5,0,2,0,1,130
COLQUENCHA,atencion odontologica,consulta repetida,2020-01-01,1,0,2,2,0,2,6,9,0,0,0,0,0,0,22
COLQUIRI,atencion odontologica,consulta repetida,2020-01-01,5,6,9,12,14,21,18,29,3,2,0,0,0,0,119
COMARAPA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,2,0,0,10,4,4,0,0,0,0,20
CONCEPCION,atencion odontologica,consulta repetida,2020-01-01,0,1,2,2,0,1,1,4,1,0,0,0,0,0,12
CORIPATA,atencion odontologica,consulta repetida,2020-01-01,7,5,10,6,3,13,6,5,1,0,0,0,0,1,57
CORO CORO,atencion odontologica,consulta repetida,2020-01-01,2,0,5,1,1,6,2,4,0,0,0,0,0,0,21
COROICO,atencion odontologica,consulta repetida,2020-01-01,0,0,3,0,0,0,3,3,0,0,0,0,0,0,9
CORQUE,atencion odontologica,consulta repetida,2020-01-01,1,2,0,0,1,4,2,10,0,0,0,0,0,0,20
COTAGAITA,atencion odontologica,consulta repetida,2020-01-01,0,1,16,31,11,18,11,49,0,1,0,3,0,0,141
COTOCA,atencion odontologica,consulta repetida,2020-01-01,5,4,0,0,0,0,0,1,0,1,0,0,0,0,11
CUATRO CAÑADAS,atencion odontologica,consulta repetida,2020-01-01,20,11,0,2,0,7,3,6,0,0,0,0,0,0,49
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,3,0,0,2,0,0,0,0,0,0,5
CUEVO,atencion odontologica,consulta repetida,2020-01-01,0,0,1,1,4,9,0,10,4,0,0,0,0,0,29
CULPINA,atencion odontologica,consulta repetida,2020-01-01,0,0,4,4,8,5,7,7,0,0,0,0,0,0,35
CURAHUARA DE CARANGAS,atencion odontologica,consulta repetida,2020-01-01,0,0,1,1,2,3,2,5,0,0,0,0,0,0,14
CURVA,atencion odontologica,consulta repetida,2020-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
DESAGUADERO,atencion odontologica,consulta repetida,2020-01-01,0,3,0,3,0,3,0,1,0,0,0,0,0,0,10
EL ALTO,atencion odontologica,consulta repetida,2020-01-01,182,158,501,432,257,269,234,427,68,51,0,18,0,0,2597
EL CHORO,atencion odontologica,consulta repetida,2020-01-01,0,0,0,2,1,0,1,3,1,0,0,0,0,0,8
EL PUENTE(STC),atencion odontologica,consulta repetida,2020-01-01,0,0,4,3,0,7,0,0,0,0,0,0,0,0,14
EL PUENTE(TJA),atencion odontologica,consulta repetida,2020-01-01,1,1,1,11,1,3,9,16,1,0,0,0,0,0,44
EL TORNO,atencion odontologica,consulta repetida,2020-01-01,4,11,10,15,12,17,24,36,13,10,0,5,0,8,165
EL VILLAR,atencion odontologica,consulta repetida,2020-01-01,0,0,3,3,1,2,1,15,0,2,0,0,0,0,27
ENTRE RIOS TRJ,atencion odontologica,consulta repetida,2020-01-01,1,3,13,8,19,26,7,31,0,0,0,0,0,0,108
ENTRE RIOS CBBA,atencion odontologica,consulta repetida,2020-01-01,0,1,5,5,2,3,1,3,0,2,0,0,0,0,22
ESCOMA,atencion odontologica,consulta repetida,2020-01-01,1,1,1,1,1,5,3,7,0,1,0,0,0,0,21
EUCALIPTUS,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,3,0,0,3,0,0,0,1,0,0,7
FERNANDEZ ALONSO,atencion odontologica,consulta repetida,2020-01-01,1,0,7,1,3,2,3,7,0,0,0,0,0,0,24
FILADELFIA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
GENERAL SAAVEDRA,atencion odontologica,consulta repetida,2020-01-01,0,0,2,1,0,2,0,3,2,0,0,0,0,2,12
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta repetida,2020-01-01,0,1,0,0,4,0,0,2,0,1,0,0,0,0,8
GUANAY,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,3,1,4,0,0,0,0,0,0,8
GUAYARAMERIN,atencion odontologica,consulta repetida,2020-01-01,5,6,51,121,33,39,44,89,15,14,0,1,0,0,418
GUTIERREZ,atencion odontologica,consulta repetida,2020-01-01,0,0,0,2,0,3,0,4,0,0,0,0,0,1,10
HUACARETA,atencion odontologica,consulta repetida,2020-01-01,0,0,1,4,0,4,6,1,0,0,0,0,0,0,16
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta repetida,2020-01-01,0,0,0,1,0,3,5,2,0,0,0,0,0,0,11
HUANUNI,atencion odontologica,consulta repetida,2020-01-01,16,7,23,27,27,71,22,53,4,4,0,0,0,0,254
HUARACAJE,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
HUATAJATA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,2,0,0,0,1,1,0,0,0,0,0,4
HUAYLLAMARCA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
HUMANATA,atencion odontologica,consulta repetida,2020-01-01,3,2,4,9,2,9,2,5,7,9,0,1,0,2,55
ICLA,atencion odontologica,consulta repetida,2020-01-01,1,0,2,1,1,0,0,5,0,0,0,0,0,0,10
INCAHUASI,atencion odontologica,consulta repetida,2020-01-01,0,1,2,3,3,2,10,14,1,4,0,0,0,0,40
INQUISIVI,atencion odontologica,consulta repetida,2020-01-01,0,0,0,2,2,3,18,13,2,0,0,2,0,0,42
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
IXIAMAS,atencion odontologica,consulta repetida,2020-01-01,0,0,2,2,3,3,0,3,0,0,0,0,0,0,13
LA ASUNTA,atencion odontologica,consulta repetida,2020-01-01,0,2,3,9,8,8,7,15,1,0,0,5,0,1,59
LA GUARDIA,atencion odontologica,consulta repetida,2020-01-01,19,9,4,1,1,4,0,9,2,0,0,1,0,1,51
LA PAZ,atencion odontologica,consulta repetida,2020-01-01,401,410,1039,1205,580,784,1316,2093,414,288,0,21,0,3,8554
LAGUNILLAS,atencion odontologica,consulta repetida,2020-01-01,0,6,3,4,1,3,5,4,0,0,0,0,0,0,26
LAJA,atencion odontologica,consulta repetida,2020-01-01,1,1,0,0,0,0,3,3,1,0,0,0,0,0,9
LAS CARRERAS,atencion odontologica,consulta repetida,2020-01-01,1,2,3,3,3,5,7,15,1,2,0,0,0,0,42
LICOMA PAMPA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
LLALLAGUA,atencion odontologica,consulta repetida,2020-01-01,11,9,37,83,13,45,20,136,10,14,0,4,0,2,384
MACHACAMARCA,atencion odontologica,consulta repetida,2020-01-01,2,0,6,11,4,11,18,23,1,5,0,0,0,0,81
MACHARETI,atencion odontologica,consulta repetida,2020-01-01,0,3,0,2,0,2,2,8,0,0,0,2,0,0,19
MAGDALENA,atencion odontologica,consulta repetida,2020-01-01,0,0,2,0,0,0,0,9,0,2,0,0,0,0,13
MAIRANA,atencion odontologica,consulta repetida,2020-01-01,2,5,2,2,0,0,4,2,0,0,0,0,0,0,17
MAPIRI,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
MECAPACA,atencion odontologica,consulta repetida,2020-01-01,3,2,6,3,6,8,1,11,1,0,0,0,0,0,41
MINEROS,atencion odontologica,consulta repetida,2020-01-01,0,0,0,1,0,4,0,0,0,0,0,0,0,0,5
MIZQUE,atencion odontologica,consulta repetida,2020-01-01,21,12,21,31,15,28,12,26,3,2,0,0,0,1,172
MOCOMOCO,atencion odontologica,consulta repetida,2020-01-01,0,1,0,2,3,0,1,5,1,0,0,0,0,0,13
MOJINETE,atencion odontologica,consulta repetida,2020-01-01,0,0,1,0,2,1,0,0,0,0,0,0,0,0,4
MOJOCOYA,atencion odontologica,consulta repetida,2020-01-01,6,2,8,2,4,3,4,23,0,0,0,0,0,3,55
MONTEAGUDO,atencion odontologica,consulta repetida,2020-01-01,1,3,10,17,2,12,8,36,2,1,0,0,0,1,93
MONTERO,atencion odontologica,consulta repetida,2020-01-01,13,9,65,66,29,37,90,101,11,9,0,1,0,0,431
MORO MORO,atencion odontologica,consulta repetida,2020-01-01,0,0,0,2,0,2,2,2,0,1,0,0,0,0,9
MOROCHATA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,2,0,4,0,0,0,0,0,0,6
OCURI,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,1,6,2,2,0,0,0,0,0,0,11
OKINAWA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
OMEREQUE,atencion odontologica,consulta repetida,2020-01-01,14,5,10,11,15,52,8,29,1,8,0,8,0,0,161
ORURO,atencion odontologica,consulta repetida,2020-01-01,200,126,433,611,225,366,461,881,125,102,0,43,0,13,3586
PADCAYA,atencion odontologica,consulta repetida,2020-01-01,0,0,8,5,3,4,9,12,1,0,0,0,0,0,42
PADILLA,atencion odontologica,consulta repetida,2020-01-01,0,4,6,11,2,4,4,19,1,0,0,0,0,0,51
PAILON,atencion odontologica,consulta repetida,2020-01-01,15,0,0,0,0,0,2,1,0,0,0,0,0,0,18
PALCA,atencion odontologica,consulta repetida,2020-01-01,1,0,0,2,1,0,1,8,0,0,0,0,0,0,13
PALOS BLANCOS,atencion odontologica,consulta repetida,2020-01-01,3,1,3,9,0,3,14,17,0,0,0,1,0,2,53
PAMPA AULLAGAS,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
PAMPA GRANDE,atencion odontologica,consulta repetida,2020-01-01,3,0,0,0,0,1,0,3,0,0,0,1,0,1,9
PASORAPA,atencion odontologica,consulta repetida,2020-01-01,9,1,4,0,8,0,1,1,0,0,0,0,0,0,24
PATACAMAYA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,39,0,0,0,0,0,0,0,0,0,0,39
PAZÑA,atencion odontologica,consulta repetida,2020-01-01,0,6,1,9,3,3,3,12,0,0,0,0,0,0,37
PELECHUCO,atencion odontologica,consulta repetida,2020-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
POCOATA,atencion odontologica,consulta repetida,2020-01-01,0,0,7,1,0,4,10,5,0,1,0,0,0,0,28
POCONA,atencion odontologica,consulta repetida,2020-01-01,0,0,1,0,0,0,0,3,1,0,0,0,0,0,5
POJO (CBBA),atencion odontologica,consulta repetida,2020-01-01,0,2,1,8,4,7,8,14,1,0,0,0,0,1,46
POOPO,atencion odontologica,consulta repetida,2020-01-01,0,7,27,6,8,11,11,22,5,3,0,1,0,0,101
PORCO,atencion odontologica,consulta repetida,2020-01-01,0,0,4,10,4,10,1,9,1,1,0,0,0,0,40
POROMA,atencion odontologica,consulta repetida,2020-01-01,2,0,0,4,0,1,1,4,0,0,0,0,0,0,12
PORVENIR,atencion odontologica,consulta repetida,2020-01-01,4,1,10,12,6,8,5,17,0,0,0,0,0,0,63
POSTRER VALLE,atencion odontologica,consulta repetida,2020-01-01,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3
POTOSI,atencion odontologica,consulta repetida,2020-01-01,51,63,131,211,47,207,232,367,37,10,0,5,0,7,1368
PRESTO,atencion odontologica,consulta repetida,2020-01-01,0,1,1,0,1,5,4,12,3,0,0,0,0,0,27
PUCARA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,3,0,7,0,0,0,0,0,0,10
PUCARANI,atencion odontologica,consulta repetida,2020-01-01,4,3,3,0,6,12,6,19,0,0,0,0,0,0,53
PUERTO ACOSTA,atencion odontologica,consulta repetida,2020-01-01,1,0,2,2,0,5,6,10,0,1,0,1,0,0,28
PUERTO CARABUCO,atencion odontologica,consulta repetida,2020-01-01,0,0,1,0,0,6,2,2,0,0,0,0,0,0,11
PUERTO GONZALO MORENO,atencion odontologica,consulta repetida,2020-01-01,0,0,1,5,1,4,1,5,0,0,0,0,0,0,17
PUERTO QUIJARRO,atencion odontologica,consulta repetida,2020-01-01,2,3,10,9,0,2,4,11,2,4,0,0,0,0,47
PUERTO RICO,atencion odontologica,consulta repetida,2020-01-01,0,0,1,2,1,1,7,9,0,0,0,0,0,0,21
PUERTO SUAREZ,atencion odontologica,consulta repetida,2020-01-01,0,0,4,7,7,6,5,1,1,1,0,0,0,0,32
PUERTO VILLARROEL,atencion odontologica,consulta repetida,2020-01-01,2,1,13,11,4,7,12,24,0,0,0,1,0,0,75
PUNA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
PUNATA,atencion odontologica,consulta repetida,2020-01-01,12,7,14,17,8,10,23,36,5,11,0,3,0,0,146
QUIABAYA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,2,1,4,0,0,0,0,0,0,7
QUILLACOLLO,atencion odontologica,consulta repetida,2020-01-01,7,10,38,45,20,42,46,65,23,10,0,0,0,0,306
QUIME,atencion odontologica,consulta repetida,2020-01-01,0,3,3,7,0,0,11,9,0,0,0,0,0,0,33
QUIRUSILLAS,atencion odontologica,consulta repetida,2020-01-01,0,0,3,4,1,1,1,8,1,0,0,0,0,0,19
RAVELO,atencion odontologica,consulta repetida,2020-01-01,1,0,1,5,0,3,4,12,1,0,0,3,0,0,30
REYES,atencion odontologica,consulta repetida,2020-01-01,0,0,0,1,0,5,1,4,0,0,0,0,0,0,11
RIBERALTA,atencion odontologica,consulta repetida,2020-01-01,15,24,94,111,72,112,132,139,54,82,0,3,0,0,838
ROBORE,atencion odontologica,consulta repetida,2020-01-01,7,11,76,62,21,39,50,97,12,5,0,5,0,0,385
RURRENABAQUE,atencion odontologica,consulta repetida,2020-01-01,1,1,3,5,2,2,8,6,2,0,0,1,0,0,31
SABAYA,atencion odontologica,consulta repetida,2020-01-01,0,1,0,0,1,1,5,6,0,0,0,0,0,3,17
SACABA,atencion odontologica,consulta repetida,2020-01-01,34,33,45,53,14,24,39,101,20,5,0,0,0,0,368
SACABAMBA,atencion odontologica,consulta repetida,2020-01-01,0,0,1,0,0,1,2,4,0,0,0,0,0,0,8
SACACA,atencion odontologica,consulta repetida,2020-01-01,0,0,6,1,0,0,2,13,1,0,0,0,0,0,23
SAIPINA,atencion odontologica,consulta repetida,2020-01-01,0,1,4,3,0,0,2,2,0,0,0,0,0,1,13
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta repetida,2020-01-01,1,1,4,8,4,4,8,31,2,0,0,1,0,0,64
SAMAIPATA,atencion odontologica,consulta repetida,2020-01-01,1,1,3,4,3,7,3,9,0,0,0,0,0,0,31
SAN ANDRES,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SAN ANDRES DE MACHACA,atencion odontologica,consulta repetida,2020-01-01,2,0,4,0,0,0,1,3,2,0,0,0,0,0,12
SAN BENITO,atencion odontologica,consulta repetida,2020-01-01,1,3,10,6,0,5,4,11,0,3,0,0,0,1,44
SAN BORJA,atencion odontologica,consulta repetida,2020-01-01,1,3,0,13,4,11,18,7,4,0,0,1,0,0,62
SAN CARLOS,atencion odontologica,consulta repetida,2020-01-01,0,0,8,8,7,7,2,16,2,1,0,0,0,0,51
SAN IGNACIO,atencion odontologica,consulta repetida,2020-01-01,1,0,20,27,7,4,11,22,0,3,0,0,0,0,95
SAN IGNACIO DE VELASCO,atencion odontologica,consulta repetida,2020-01-01,0,2,8,14,8,14,4,15,2,0,0,0,0,3,70
SAN JAVIER(STC),atencion odontologica,consulta repetida,2020-01-01,1,0,0,0,0,0,0,8,0,0,0,0,0,0,9
SAN JOAQUIN,atencion odontologica,consulta repetida,2020-01-01,1,0,5,27,6,16,8,23,2,0,0,0,0,0,88
SAN JOSE DE CHIQUITOS,atencion odontologica,consulta repetida,2020-01-01,0,1,0,1,0,1,0,5,4,1,0,0,0,0,13
SAN JULIAN,atencion odontologica,consulta repetida,2020-01-01,0,1,2,7,4,3,7,15,2,0,0,0,0,0,41
SAN LORENZO(TJA),atencion odontologica,consulta repetida,2020-01-01,0,6,16,19,6,28,15,32,7,2,0,0,0,3,134
SAN LUCAS,atencion odontologica,consulta repetida,2020-01-01,0,2,18,29,5,19,3,47,0,7,0,0,0,0,130
SAN MIGUEL DE VELASCO,atencion odontologica,consulta repetida,2020-01-01,0,0,0,1,0,0,2,10,0,1,0,0,0,0,14
SAN PABLO DE LIPEZ,atencion odontologica,consulta repetida,2020-01-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
SAN PEDRO,atencion odontologica,consulta repetida,2020-01-01,2,1,7,3,6,23,3,22,7,2,0,0,0,0,76
SAN PEDRO DE BUENA VISTA,atencion odontologica,consulta repetida,2020-01-01,3,0,7,2,0,12,24,39,4,6,0,5,0,4,106
SAN PEDRO DE CURAHUARA,atencion odontologica,consulta repetida,2020-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SAN RAMON BENI,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,6,0,1,6,0,0,0,0,0,0,13
SAN RAMON SCZ,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10
SANTA CRUZ DE LA SIERRA,atencion odontologica,consulta repetida,2020-01-01,264,261,677,794,408,535,830,1524,280,232,0,21,0,6,5832
SANTA ROSA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,6,4,0,0,0,0,0,0,0,10
SANTA ROSA DEL SARA,atencion odontologica,consulta repetida,2020-01-01,0,0,1,0,1,7,0,5,4,1,0,0,0,0,19
SANTIAGO DE HUARI,atencion odontologica,consulta repetida,2020-01-01,1,0,17,8,11,10,17,37,3,8,0,1,0,0,113
SANTIVAÑES,atencion odontologica,consulta repetida,2020-01-01,0,7,4,2,3,15,2,5,0,3,0,0,0,0,41
SANTUARIO DE QUILLACAS,atencion odontologica,consulta repetida,2020-01-01,0,0,4,9,0,0,2,27,3,0,0,0,0,4,49
SAPAHAQUI,atencion odontologica,consulta repetida,2020-01-01,1,0,2,0,2,4,2,4,0,0,0,0,0,0,15
SENA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
SHINAOTA,atencion odontologica,consulta repetida,2020-01-01,3,0,2,5,5,3,0,5,1,0,0,2,0,0,26
SICAYA,atencion odontologica,consulta repetida,2020-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
