,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
ARANI,atencion odontologica,consulta nueva,2020-01-01,13,29,85,96,82,71,52,121,6,22,0,5,0,4,586
ARBIETO,atencion odontologica,consulta nueva,2020-01-01,63,83,144,197,54,101,35,213,17,21,0,5,0,26,959
ARQUE,atencion odontologica,consulta nueva,2020-01-01,33,40,75,116,30,29,78,168,25,46,0,8,0,15,663
ASCENCION DE GUARAYOS,atencion odontologica,consulta nueva,2020-01-01,268,219,48,50,17,42,8,133,8,12,0,172,0,32,1009
ATOCHA,atencion odontologica,consulta nueva,2020-01-01,38,39,85,80,46,68,102,160,13,11,0,12,0,0,654
AUCAPATA,atencion odontologica,consulta nueva,2020-01-01,4,3,13,15,6,15,43,52,2,2,0,1,0,0,156
AYATA,atencion odontologica,consulta nueva,2020-01-01,9,4,14,5,1,7,11,17,5,7,0,4,0,2,86
AYO AYO,atencion odontologica,consulta nueva,2020-01-01,21,7,43,32,32,81,18,87,24,30,0,14,0,9,398
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta nueva,2020-01-01,40,40,78,135,44,108,106,244,16,17,0,3,0,5,836
AZURDUY,atencion odontologica,consulta nueva,2020-01-01,7,29,6,51,31,45,90,135,22,24,0,0,0,0,440
BATALLAS,atencion odontologica,consulta nueva,2020-01-01,2,1,2,3,3,4,1,7,3,4,0,0,0,0,30
BAURES,atencion odontologica,consulta nueva,2020-01-01,3,0,14,10,1,12,19,13,1,0,0,0,0,0,73
BELEN DE ANDAMARCA,atencion odontologica,consulta nueva,2020-01-01,0,1,4,11,3,2,2,22,4,4,0,0,0,1,54
BELEN DE URMIRI,atencion odontologica,consulta nueva,2020-01-01,6,1,18,8,12,9,17,19,6,10,0,1,0,0,107
BELLA FLOR,atencion odontologica,consulta nueva,2020-01-01,4,8,10,32,0,0,0,0,0,0,0,0,0,0,54
BERMEJO,atencion odontologica,consulta nueva,2020-01-01,18,20,111,127,45,103,67,185,40,40,0,31,0,0,787
BETANZOS,atencion odontologica,consulta nueva,2020-01-01,54,63,72,121,47,139,83,232,31,29,0,27,0,32,930
BOLIVAR,atencion odontologica,consulta nueva,2020-01-01,1,2,19,16,6,13,12,19,8,2,0,0,0,0,98
BOLPEBRA,atencion odontologica,consulta nueva,2020-01-01,3,5,0,1,0,0,0,1,0,1,0,0,0,0,11
BOYUIBE,atencion odontologica,consulta nueva,2020-01-01,4,5,56,35,38,18,24,68,17,2,0,5,0,0,272
BUENA VISTA,atencion odontologica,consulta nueva,2020-01-01,18,23,48,94,28,53,39,89,6,5,0,6,0,5,414
CABEZAS,atencion odontologica,consulta nueva,2020-01-01,59,52,40,58,12,29,12,80,3,4,0,20,0,7,376
CAIROMA,atencion odontologica,consulta nueva,2020-01-01,40,34,45,57,22,46,62,108,5,4,0,3,0,0,426
"CAIZA ""D""",atencion odontologica,consulta nueva,2020-01-01,6,9,10,20,14,21,9,44,5,9,0,8,0,1,156
CAJUATA,atencion odontologica,consulta nueva,2020-01-01,20,20,15,22,6,22,20,47,2,2,0,7,0,2,185
CALACOTO,atencion odontologica,consulta nueva,2020-01-01,11,14,15,18,2,14,0,27,22,13,0,2,0,0,138
CALAMARCA,atencion odontologica,consulta nueva,2020-01-01,26,30,47,84,34,81,24,108,9,6,0,15,0,3,467
CAMARGO,atencion odontologica,consulta nueva,2020-01-01,34,18,148,134,42,112,30,117,9,5,0,25,0,1,675
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta nueva,2020-01-01,0,0,25,52,28,14,28,82,3,3,0,11,0,0,246
CAMIRI,atencion odontologica,consulta nueva,2020-01-01,134,183,91,128,35,83,89,239,89,34,0,81,0,36,1222
CAPINOTA,atencion odontologica,consulta nueva,2020-01-01,60,90,220,208,78,146,57,127,17,30,0,2,0,9,1044
CAQUIAVIRI,atencion odontologica,consulta nueva,2020-01-01,5,17,25,36,49,62,28,102,11,24,0,21,0,7,387
CARACOLLO,atencion odontologica,consulta nueva,2020-01-01,63,65,185,159,29,95,70,214,12,18,0,9,0,3,922
CARANAVI,atencion odontologica,consulta nueva,2020-01-01,102,94,123,164,71,157,131,307,50,20,0,56,0,10,1285
CARANGAS,atencion odontologica,consulta nueva,2020-01-01,0,1,0,13,0,1,9,5,6,3,0,0,0,0,38
CARAPARI,atencion odontologica,consulta nueva,2020-01-01,12,13,84,146,37,101,69,198,3,2,0,3,0,0,668
CARIPUYO,atencion odontologica,consulta nueva,2020-01-01,13,23,12,22,12,16,27,85,33,37,0,6,0,7,293
CARMEN RIVERO TORREZ,atencion odontologica,consulta nueva,2020-01-01,2,0,0,2,0,2,0,5,1,0,0,0,0,0,12
CHACARILLA,atencion odontologica,consulta nueva,2020-01-01,3,1,2,1,0,1,3,5,1,0,0,0,0,1,18
CHALLAPATA,atencion odontologica,consulta nueva,2020-01-01,168,159,382,532,127,408,176,489,86,104,0,43,0,11,2685
CHAQUI,atencion odontologica,consulta nueva,2020-01-01,14,8,17,58,3,28,19,70,4,13,0,14,0,2,250
CHARAGUA,atencion odontologica,consulta nueva,2020-01-01,39,34,22,37,39,76,33,143,21,8,0,14,0,14,480
CHARAÑA,atencion odontologica,consulta nueva,2020-01-01,3,0,3,35,3,4,12,16,0,3,0,1,0,0,80
CHAYANTA,atencion odontologica,consulta nueva,2020-01-01,15,7,38,58,21,33,44,76,4,20,0,12,0,0,328
CHIMORE,atencion odontologica,consulta nueva,2020-01-01,45,43,120,262,73,149,58,204,13,6,0,17,0,4,994
CHIPAYA,atencion odontologica,consulta nueva,2020-01-01,2,26,8,48,1,18,2,12,1,0,0,1,0,0,119
CHOQUE COTA,atencion odontologica,consulta nueva,2020-01-01,3,0,19,0,7,11,2,10,12,9,0,4,0,0,77
CHUA COCANI,atencion odontologica,consulta nueva,2020-01-01,24,27,20,31,9,23,28,70,46,5,0,24,0,5,312
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta nueva,2020-01-01,33,34,75,114,43,41,60,158,7,0,0,0,0,0,565
CHUMA,atencion odontologica,consulta nueva,2020-01-01,41,33,74,90,62,74,151,236,11,23,0,18,0,14,827
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta nueva,2020-01-01,11,18,43,51,27,37,20,68,6,7,0,22,0,7,317
CKOCHAS,atencion odontologica,consulta nueva,2020-01-01,14,30,10,29,9,22,41,73,18,22,0,5,0,1,274
CLIZA,atencion odontologica,consulta nueva,2020-01-01,71,57,210,193,41,148,41,124,14,55,0,5,0,3,962
COBIJA,atencion odontologica,consulta nueva,2020-01-01,228,238,429,491,193,339,300,628,26,14,0,127,0,34,3047
COCAPATA,atencion odontologica,consulta nueva,2020-01-01,74,46,145,122,41,107,85,183,57,55,0,12,0,6,933
COCHABAMBA,atencion odontologica,consulta nueva,2020-01-01,1651,1744,4164,5148,1457,2818,2163,5282,829,662,0,359,0,60,26337
COIPASA,atencion odontologica,consulta nueva,2020-01-01,0,0,1,3,0,8,7,4,1,1,0,0,0,0,25
COLCAPIRHUA,atencion odontologica,consulta nueva,2020-01-01,138,107,367,431,112,187,244,504,48,22,0,11,0,5,2176
"COLCHA ""K""",atencion odontologica,consulta nueva,2020-01-01,21,18,49,32,33,17,25,62,8,4,0,2,0,0,271
COLLANA,atencion odontologica,consulta nueva,2020-01-01,13,19,63,37,60,47,19,40,0,3,0,2,0,2,305
COLOMI,atencion odontologica,consulta nueva,2020-01-01,55,62,129,225,60,215,32,175,29,27,0,4,0,9,1022
COLPA BELGICA,atencion odontologica,consulta nueva,2020-01-01,13,15,15,17,14,13,1,36,2,0,0,9,0,1,136
COLQUECHACA,atencion odontologica,consulta nueva,2020-01-01,46,53,109,131,44,94,116,327,47,84,0,34,0,15,1100
COLQUENCHA,atencion odontologica,consulta nueva,2020-01-01,41,37,153,158,74,115,60,148,11,12,0,38,0,7,854
COLQUIRI,atencion odontologica,consulta nueva,2020-01-01,21,25,54,88,48,85,45,108,25,23,0,14,0,1,537
COMANCHE,atencion odontologica,consulta nueva,2020-01-01,2,2,38,32,7,21,15,27,14,1,0,2,0,0,161
COMARAPA,atencion odontologica,consulta nueva,2020-01-01,34,76,5,13,12,25,8,56,11,21,0,1,0,27,289
COMBAYA,atencion odontologica,consulta nueva,2020-01-01,2,7,5,5,0,2,2,16,2,2,0,0,0,0,43
CONCEPCION,atencion odontologica,consulta nueva,2020-01-01,9,3,22,15,9,25,13,37,11,6,0,4,0,0,154
COPACABANA,atencion odontologica,consulta nueva,2020-01-01,15,9,10,15,8,12,10,18,4,4,0,0,0,0,105
CORIPATA,atencion odontologica,consulta nueva,2020-01-01,31,16,87,59,26,84,36,45,4,0,0,5,0,7,400
CORO CORO,atencion odontologica,consulta nueva,2020-01-01,15,15,65,56,7,40,15,47,3,6,0,0,0,1,270
COROICO,atencion odontologica,consulta nueva,2020-01-01,50,17,81,149,50,80,107,170,19,4,0,6,0,4,737
CORQUE,atencion odontologica,consulta nueva,2020-01-01,23,2,16,31,7,17,15,57,5,14,0,0,0,2,189
COTAGAITA,atencion odontologica,consulta nueva,2020-01-01,6,9,49,77,40,52,55,137,15,18,0,4,0,1,463
COTOCA,atencion odontologica,consulta nueva,2020-01-01,177,202,151,209,39,133,67,277,76,53,0,40,0,5,1429
CRUZ DE MACHACAMARCA,atencion odontologica,consulta nueva,2020-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
CUATRO CAÑADAS,atencion odontologica,consulta nueva,2020-01-01,103,130,206,263,52,86,62,273,41,12,0,20,0,5,1253
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta nueva,2020-01-01,6,9,24,23,21,16,14,36,0,7,0,0,0,0,156
CUEVO,atencion odontologica,consulta nueva,2020-01-01,4,2,16,13,14,32,15,71,0,3,0,8,0,8,186
CULPINA,atencion odontologica,consulta nueva,2020-01-01,14,47,68,69,25,79,71,165,7,19,0,30,0,11,605
CURAHUARA DE CARANGAS,atencion odontologica,consulta nueva,2020-01-01,7,24,40,15,27,16,54,50,18,11,0,0,0,0,262
CURVA,atencion odontologica,consulta nueva,2020-01-01,7,24,33,30,10,4,12,27,6,0,0,1,0,3,157
DESAGUADERO,atencion odontologica,consulta nueva,2020-01-01,9,21,26,48,19,46,6,56,4,5,0,8,0,2,250
EL ALTO,atencion odontologica,consulta nueva,2020-01-01,1465,1573,3448,4179,1495,2138,950,2487,231,196,0,425,0,51,18638
EL CHORO,atencion odontologica,consulta nueva,2020-01-01,3,0,19,31,6,10,22,45,42,27,0,7,0,0,212
EL PUENTE(STC),atencion odontologica,consulta nueva,2020-01-01,8,38,57,73,12,45,35,78,2,3,0,12,0,3,366
EL PUENTE(TJA),atencion odontologica,consulta nueva,2020-01-01,8,14,44,59,34,45,29,113,3,11,0,3,0,0,363
EL TORNO,atencion odontologica,consulta nueva,2020-01-01,221,232,100,121,53,73,101,294,56,26,0,84,0,45,1406
EL VILLAR,atencion odontologica,consulta nueva,2020-01-01,1,1,5,8,0,19,3,41,3,4,0,8,0,1,94
ENTRE RIOS TRJ,atencion odontologica,consulta nueva,2020-01-01,28,20,115,152,53,103,69,204,22,22,0,4,0,4,796
ENTRE RIOS CBBA,atencion odontologica,consulta nueva,2020-01-01,37,48,155,143,72,186,36,235,3,5,0,10,0,1,931
ESCARA,atencion odontologica,consulta nueva,2020-01-01,0,0,3,3,0,1,1,8,3,2,0,0,0,0,21
ESCOMA,atencion odontologica,consulta nueva,2020-01-01,1,1,8,10,3,7,11,27,11,7,0,0,0,0,86
ESMERALDA,atencion odontologica,consulta nueva,2020-01-01,3,0,1,0,0,4,4,5,3,4,0,0,0,0,24
EUCALIPTUS,atencion odontologica,consulta nueva,2020-01-01,10,11,12,22,6,28,11,57,12,9,0,15,0,0,193
FERNANDEZ ALONSO,atencion odontologica,consulta nueva,2020-01-01,58,60,129,155,42,80,71,220,18,14,0,18,0,0,865
FILADELFIA,atencion odontologica,consulta nueva,2020-01-01,13,5,26,23,1,25,5,33,1,0,0,12,0,2,146
GENERAL SAAVEDRA,atencion odontologica,consulta nueva,2020-01-01,7,14,7,36,6,23,4,44,7,5,0,4,0,4,161
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta nueva,2020-01-01,23,14,16,25,19,15,37,58,3,7,0,6,0,2,225
GUANAY,atencion odontologica,consulta nueva,2020-01-01,10,15,33,30,10,29,35,75,19,2,0,6,0,21,285
GUAQUI,atencion odontologica,consulta nueva,2020-01-01,13,14,22,32,31,58,25,97,19,28,0,8,0,7,354
GUAYARAMERIN,atencion odontologica,consulta nueva,2020-01-01,25,24,193,265,43,124,57,130,8,4,0,36,0,0,909
GUTIERREZ,atencion odontologica,consulta nueva,2020-01-01,10,9,34,31,8,30,23,70,10,7,0,7,0,1,240
HUACARETA,atencion odontologica,consulta nueva,2020-01-01,3,14,31,76,12,55,63,99,8,11,0,3,0,0,375
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta nueva,2020-01-01,14,20,24,45,8,11,20,38,0,0,0,7,0,0,187
HUACHACALLA,atencion odontologica,consulta nueva,2020-01-01,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4
HUANUNI,atencion odontologica,consulta nueva,2020-01-01,69,55,270,359,139,233,113,303,15,11,0,6,0,6,1579
HUARACAJE,atencion odontologica,consulta nueva,2020-01-01,3,4,15,7,3,8,9,22,0,6,0,3,0,0,80
HUARINA,atencion odontologica,consulta nueva,2020-01-01,11,11,17,13,8,14,14,42,20,17,0,2,0,0,169
HUATAJATA,atencion odontologica,consulta nueva,2020-01-01,7,2,12,19,4,5,9,10,6,5,0,0,0,0,79
HUAYLLAMARCA,atencion odontologica,consulta nueva,2020-01-01,20,9,16,27,7,20,14,26,22,13,0,4,0,1,179
HUMANATA,atencion odontologica,consulta nueva,2020-01-01,3,3,9,12,3,10,3,16,7,11,0,3,0,3,83
ICHOCA,atencion odontologica,consulta nueva,2020-01-01,11,10,23,23,6,7,9,32,9,6,0,1,0,1,138
ICLA,atencion odontologica,consulta nueva,2020-01-01,46,43,15,68,12,41,37,109,11,13,0,1,0,0,396
INCAHUASI,atencion odontologica,consulta nueva,2020-01-01,4,14,65,53,12,51,40,115,15,13,0,2,0,8,392
INQUISIVI,atencion odontologica,consulta nueva,2020-01-01,57,45,190,128,62,89,133,184,40,29,0,8,0,8,973
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta nueva,2020-01-01,90,98,99,163,35,87,110,240,29,12,0,37,0,11,1011
IXIAMAS,atencion odontologica,consulta nueva,2020-01-01,1,13,26,37,13,27,7,43,2,1,0,3,0,1,174
JESUS DE MACHACA,atencion odontologica,consulta nueva,2020-01-01,16,8,39,36,21,65,34,103,15,11,0,9,0,14,371
LA ASUNTA,atencion odontologica,consulta nueva,2020-01-01,95,77,141,239,99,147,151,294,28,12,0,80,0,11,1374
LA GUARDIA,atencion odontologica,consulta nueva,2020-01-01,379,355,185,149,30,148,74,393,93,75,0,211,0,82,2174
LA PAZ,atencion odontologica,consulta nueva,2020-01-01,1758,1941,4061,4378,1559,2183,2501,4675,776,700,0,575,0,104,25211
LA RIVERA,atencion odontologica,consulta nueva,2020-01-01,8,0,7,6,0,2,4,11,2,0,0,0,0,0,40
LAGUNILLAS,atencion odontologica,consulta nueva,2020-01-01,3,5,31,37,8,24,26,61,6,2,0,2,0,1,206
LAJA,atencion odontologica,consulta nueva,2020-01-01,81,50,63,93,50,105,58,194,18,13,0,60,0,7,792
LAS CARRERAS,atencion odontologica,consulta nueva,2020-01-01,15,6,33,18,28,18,16,114,6,7,0,7,0,0,268
LICOMA PAMPA,atencion odontologica,consulta nueva,2020-01-01,22,15,39,58,1,32,10,64,3,0,0,2,0,0,246
LLALLAGUA,atencion odontologica,consulta nueva,2020-01-01,155,156,226,257,48,148,48,340,22,42,0,28,0,29,1499
LORETO,atencion odontologica,consulta nueva,2020-01-01,0,0,9,7,0,0,0,4,0,0,0,1,0,0,21
LURIBAY,atencion odontologica,consulta nueva,2020-01-01,13,14,12,23,9,12,11,30,13,4,0,5,0,5,151
MACHACAMARCA,atencion odontologica,consulta nueva,2020-01-01,14,14,108,155,56,73,59,94,8,28,0,8,0,1,618
MACHARETI,atencion odontologica,consulta nueva,2020-01-01,5,13,26,10,4,23,29,50,1,1,0,6,0,0,168
MAGDALENA,atencion odontologica,consulta nueva,2020-01-01,9,2,27,53,15,29,20,75,4,2,0,1,0,0,237
MAIRANA,atencion odontologica,consulta nueva,2020-01-01,83,138,69,89,59,68,47,81,12,15,0,6,0,1,668
MALLA,atencion odontologica,consulta nueva,2020-01-01,5,7,9,11,0,9,9,22,10,5,0,0,0,4,91
MAPIRI,atencion odontologica,consulta nueva,2020-01-01,11,8,27,51,5,31,16,42,1,4,0,4,0,0,200
MECAPACA,atencion odontologica,consulta nueva,2020-01-01,46,46,84,93,53,67,79,119,28,15,0,6,0,4,640
MINEROS,atencion odontologica,consulta nueva,2020-01-01,27,39,40,69,21,49,32,73,50,46,0,34,0,7,487
MIZQUE,atencion odontologica,consulta nueva,2020-01-01,37,37,78,121,38,70,39,158,7,28,0,17,0,3,633
MOCOMOCO,atencion odontologica,consulta nueva,2020-01-01,10,11,27,61,35,42,48,76,29,14,0,4,0,7,364
MOJINETE,atencion odontologica,consulta nueva,2020-01-01,2,0,10,14,5,4,9,14,3,5,0,3,0,0,69
MOJOCOYA,atencion odontologica,consulta nueva,2020-01-01,11,37,33,55,11,40,46,215,3,10,0,10,0,3,474
MONTEAGUDO,atencion odontologica,consulta nueva,2020-01-01,39,27,195,220,73,182,98,264,24,9,0,17,0,2,1150
MONTERO,atencion odontologica,consulta nueva,2020-01-01,309,278,733,867,207,399,416,958,120,59,0,92,0,5,4443
MORO MORO,atencion odontologica,consulta nueva,2020-01-01,29,21,27,18,2,18,14,42,2,11,0,0,0,0,184
MOROCHATA,atencion odontologica,consulta nueva,2020-01-01,7,1,53,37,30,64,39,143,9,26,0,4,0,10,423
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,consulta nueva,2020-01-01,0,4,4,12,2,6,3,10,0,0,0,1,0,0,42
NAZACARA DE PACAJES,atencion odontologica,consulta nueva,2020-01-01,1,0,1,6,4,4,5,14,2,1,0,6,0,0,44
OCURI,atencion odontologica,consulta nueva,2020-01-01,61,57,30,73,40,63,34,131,38,17,0,29,0,0,573
OKINAWA,atencion odontologica,consulta nueva,2020-01-01,1,7,16,15,10,20,10,38,6,5,0,0,0,0,128
OMEREQUE,atencion odontologica,consulta nueva,2020-01-01,6,2,10,17,8,16,10,28,1,0,0,6,0,2,106
ORURO,atencion odontologica,consulta nueva,2020-01-01,733,709,1873,2306,566,1120,1114,2697,324,277,0,406,0,82,12207
PADCAYA,atencion odontologica,consulta nueva,2020-01-01,13,8,51,39,16,38,31,97,7,5,0,1,0,1,307
PADILLA,atencion odontologica,consulta nueva,2020-01-01,21,25,81,105,26,52,95,184,9,9,0,5,0,0,612
PAILON,atencion odontologica,consulta nueva,2020-01-01,82,85,54,82,24,43,43,183,14,20,0,33,0,31,694
PALCA,atencion odontologica,consulta nueva,2020-01-01,58,83,114,152,39,45,74,164,38,25,0,7,0,17,816
PALOS BLANCOS,atencion odontologica,consulta nueva,2020-01-01,47,37,88,122,41,63,65,154,19,6,0,19,0,10,671
PAMPA AULLAGAS,atencion odontologica,consulta nueva,2020-01-01,11,29,18,28,10,15,30,42,4,2,0,0,0,0,189
PAMPA GRANDE,atencion odontologica,consulta nueva,2020-01-01,26,24,44,51,6,32,12,70,8,2,0,5,0,6,286
PAPEL PAMPA,atencion odontologica,consulta nueva,2020-01-01,4,5,3,2,1,2,5,8,6,5,0,1,0,0,42
PASORAPA,atencion odontologica,consulta nueva,2020-01-01,4,2,15,18,6,8,26,28,15,5,0,4,0,0,131
PATACAMAYA,atencion odontologica,consulta nueva,2020-01-01,48,42,129,116,31,112,18,71,11,12,0,10,0,11,611
PAZÑA,atencion odontologica,consulta nueva,2020-01-01,7,27,66,63,14,36,20,67,7,6,0,7,0,7,327
PELECHUCO,atencion odontologica,consulta nueva,2020-01-01,47,45,28,54,25,28,61,95,5,9,0,20,0,3,420
POCOATA,atencion odontologica,consulta nueva,2020-01-01,66,46,96,96,12,64,67,141,17,51,0,34,0,10,700
POCONA,atencion odontologica,consulta nueva,2020-01-01,0,4,2,10,4,0,15,40,7,2,0,0,0,0,84
POJO (CBBA),atencion odontologica,consulta nueva,2020-01-01,6,17,15,49,11,33,35,76,3,4,0,0,0,3,252
POOPO,atencion odontologica,consulta nueva,2020-01-01,17,79,134,139,66,115,56,183,64,92,0,6,0,0,951
PORCO,atencion odontologica,consulta nueva,2020-01-01,9,18,25,28,6,20,5,47,2,5,0,15,0,0,180
POROMA,atencion odontologica,consulta nueva,2020-01-01,10,8,25,25,2,14,13,39,3,0,0,4,0,0,143
PORONGO,atencion odontologica,consulta nueva,2020-01-01,17,15,41,59,9,28,18,61,15,8,0,13,0,7,291
PORTACHUELO,atencion odontologica,consulta nueva,2020-01-01,0,3,9,17,2,2,10,10,1,0,0,1,0,1,56
PORVENIR,atencion odontologica,consulta nueva,2020-01-01,13,23,66,152,31,70,22,64,0,0,0,12,0,4,457
POSTRER VALLE,atencion odontologica,consulta nueva,2020-01-01,7,10,17,22,8,8,14,21,3,3,0,1,0,0,114
POTOSI,atencion odontologica,consulta nueva,2020-01-01,127,153,367,380,126,280,225,561,57,56,0,33,0,16,2381
PRESTO,atencion odontologica,consulta nueva,2020-01-01,13,36,50,38,41,84,63,219,18,10,0,21,0,14,607
PUCARA,atencion odontologica,consulta nueva,2020-01-01,7,5,20,19,0,13,6,23,3,0,0,0,0,0,96
PUCARANI,atencion odontologica,consulta nueva,2020-01-01,81,92,153,209,139,187,105,316,24,28,0,32,0,21,1387
PUERTO ACOSTA,atencion odontologica,consulta nueva,2020-01-01,5,11,22,28,9,20,20,49,5,18,0,8,0,8,203
PUERTO CARABUCO,atencion odontologica,consulta nueva,2020-01-01,15,19,58,64,32,54,57,127,18,17,0,4,0,5,470
PUERTO GONZALO MORENO,atencion odontologica,consulta nueva,2020-01-01,6,15,37,135,15,88,57,104,2,7,0,1,0,13,480
PUERTO PEREZ,atencion odontologica,consulta nueva,2020-01-01,5,11,23,11,8,13,10,46,3,5,0,14,0,0,149
PUERTO QUIJARRO,atencion odontologica,consulta nueva,2020-01-01,26,70,97,74,25,49,42,87,11,27,0,5,0,0,513
PUERTO RICO,atencion odontologica,consulta nueva,2020-01-01,3,1,19,48,20,28,59,71,10,3,0,4,0,0,266
PUERTO SUAREZ,atencion odontologica,consulta nueva,2020-01-01,3,1,35,52,17,34,12,22,8,12,0,0,0,0,196
PUERTO VILLARROEL,atencion odontologica,consulta nueva,2020-01-01,48,20,148,149,45,106,90,332,6,24,0,20,0,8,996
PUNA,atencion odontologica,consulta nueva,2020-01-01,18,12,14,21,7,32,28,59,21,22,0,11,0,2,247
PUNATA,atencion odontologica,consulta nueva,2020-01-01,78,63,203,159,53,134,89,258,26,28,0,24,0,6,1121
QUIABAYA,atencion odontologica,consulta nueva,2020-01-01,15,4,9,22,5,20,37,39,2,11,0,1,0,1,166
QUILLACOLLO,atencion odontologica,consulta nueva,2020-01-01,289,360,812,1071,269,662,330,1015,87,106,0,5,0,9,5015
QUIME,atencion odontologica,consulta nueva,2020-01-01,27,48,102,107,62,49,36,132,8,6,0,0,0,0,577
QUIRUSILLAS,atencion odontologica,consulta nueva,2020-01-01,0,3,10,11,1,7,2,15,2,3,0,0,0,0,54
RAVELO,atencion odontologica,consulta nueva,2020-01-01,7,1,14,21,9,19,22,88,8,28,0,14,0,3,234
REYES,atencion odontologica,consulta nueva,2020-01-01,1,3,5,16,7,5,8,13,4,1,0,2,0,0,65
RIBERALTA,atencion odontologica,consulta nueva,2020-01-01,60,90,186,242,92,185,86,446,62,58,0,127,0,33,1667
ROBORE,atencion odontologica,consulta nueva,2020-01-01,26,28,36,42,17,16,35,86,1,1,0,3,0,2,293
RURRENABAQUE,atencion odontologica,consulta nueva,2020-01-01,15,17,43,51,22,32,39,53,10,12,0,12,0,6,312
SABAYA,atencion odontologica,consulta nueva,2020-01-01,13,14,21,40,14,14,31,60,12,1,0,16,0,5,241
SACABA,atencion odontologica,consulta nueva,2020-01-01,374,391,1110,1614,393,844,510,1422,93,113,0,22,0,14,6900
SACABAMBA,atencion odontologica,consulta nueva,2020-01-01,4,7,18,40,5,12,9,32,3,0,0,2,0,4,136
SACACA,atencion odontologica,consulta nueva,2020-01-01,18,32,41,59,14,28,36,179,17,8,0,24,0,4,460
SAIPINA,atencion odontologica,consulta nueva,2020-01-01,18,5,25,46,9,8,9,47,3,6,0,5,0,3,184
