,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES
ARQUE,atencion odontologica,exodoncia,2020-01-01,0,1,17,24,2,4,10,30,1,8,0,0,0,0,97
ASCENCION DE GUARAYOS,atencion odontologica,exodoncia,2020-01-01,0,0,18,12,0,4,3,15,7,7,0,0,0,0,66
ATOCHA,atencion odontologica,exodoncia,2020-01-01,0,2,12,13,6,4,11,21,10,0,0,0,0,0,79
AUCAPATA,atencion odontologica,exodoncia,2020-01-01,0,0,4,2,2,4,20,18,1,2,0,0,0,0,53
AYATA,atencion odontologica,exodoncia,2020-01-01,0,0,3,1,1,3,4,5,4,5,0,0,0,0,26
AYO AYO,atencion odontologica,exodoncia,2020-01-01,0,0,7,13,16,10,2,14,7,12,0,0,0,0,81
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,exodoncia,2020-01-01,2,0,19,29,3,6,11,44,10,3,0,0,0,0,127
AZURDUY,atencion odontologica,exodoncia,2020-01-01,0,0,3,10,3,0,17,44,6,24,0,0,0,0,107
BATALLAS,atencion odontologica,exodoncia,2020-01-01,0,0,2,2,2,2,0,4,3,4,0,0,0,0,19
BAURES,atencion odontologica,exodoncia,2020-01-01,0,0,7,5,2,2,5,3,1,0,0,0,0,0,25
BELEN DE ANDAMARCA,atencion odontologica,exodoncia,2020-01-01,0,0,2,2,0,0,0,1,1,0,0,0,0,0,6
BELEN DE URMIRI,atencion odontologica,exodoncia,2020-01-01,0,0,2,4,0,2,2,1,0,0,0,0,0,0,11
BERMEJO,atencion odontologica,exodoncia,2020-01-01,0,0,12,5,3,5,14,22,2,3,0,0,0,0,66
BETANZOS,atencion odontologica,exodoncia,2020-01-01,1,1,18,41,10,17,28,79,18,21,0,0,0,0,234
BOLIVAR,atencion odontologica,exodoncia,2020-01-01,0,0,10,5,4,8,4,10,6,2,0,0,0,0,49
BOYUIBE,atencion odontologica,exodoncia,2020-01-01,0,0,13,7,2,3,1,6,0,1,0,0,0,0,33
CABEZAS,atencion odontologica,exodoncia,2020-01-01,0,0,18,11,3,2,0,16,1,2,0,0,0,0,53
CAIROMA,atencion odontologica,exodoncia,2020-01-01,0,1,12,16,8,13,28,49,1,0,0,0,0,0,128
"CAIZA ""D""",atencion odontologica,exodoncia,2020-01-01,0,0,7,12,0,4,1,10,3,7,0,0,0,0,44
CAJUATA,atencion odontologica,exodoncia,2020-01-01,0,1,6,8,4,3,10,17,2,2,0,0,0,0,53
CALACOTO,atencion odontologica,exodoncia,2020-01-01,0,1,3,4,2,4,0,4,7,5,0,0,0,0,30
CALAMARCA,atencion odontologica,exodoncia,2020-01-01,0,0,12,26,9,20,5,19,5,1,0,0,0,0,97
CAMARGO,atencion odontologica,exodoncia,2020-01-01,0,0,4,4,3,4,5,12,6,1,0,0,0,0,39
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,exodoncia,2020-01-01,0,0,5,8,3,2,7,18,1,0,0,0,0,0,44
CAMIRI,atencion odontologica,exodoncia,2020-01-01,0,1,16,24,8,20,15,50,24,12,0,0,0,0,170
CAPINOTA,atencion odontologica,exodoncia,2020-01-01,0,2,18,14,1,1,2,1,1,3,0,0,0,0,43
CAQUIAVIRI,atencion odontologica,exodoncia,2020-01-01,0,0,10,6,7,7,13,26,2,10,0,0,0,0,81
CARACOLLO,atencion odontologica,exodoncia,2020-01-01,1,0,28,26,4,21,6,26,3,7,0,0,0,0,122
CARANAVI,atencion odontologica,exodoncia,2020-01-01,3,0,18,30,11,17,25,48,19,5,0,0,0,0,176
CARANGAS,atencion odontologica,exodoncia,2020-01-01,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3
CARAPARI,atencion odontologica,exodoncia,2020-01-01,0,1,19,36,7,6,18,16,10,0,0,0,0,0,113
CARIPUYO,atencion odontologica,exodoncia,2020-01-01,1,0,9,6,3,1,5,15,4,11,0,0,0,0,55
CARMEN RIVERO TORREZ,atencion odontologica,exodoncia,2020-01-01,0,0,0,1,0,2,0,2,0,0,0,0,0,0,5
CHACARILLA,atencion odontologica,exodoncia,2020-01-01,0,0,1,1,0,0,2,0,0,0,0,0,0,0,4
CHALLAPATA,atencion odontologica,exodoncia,2020-01-01,0,0,55,68,4,20,8,42,10,21,0,0,0,0,228
CHAQUI,atencion odontologica,exodoncia,2020-01-01,0,0,3,7,0,1,5,8,0,4,0,0,0,0,28
CHARAGUA,atencion odontologica,exodoncia,2020-01-01,0,2,15,12,15,22,16,44,9,2,0,0,0,0,137
CHARAÑA,atencion odontologica,exodoncia,2020-01-01,0,0,0,5,1,1,1,6,0,0,0,0,0,0,14
CHAYANTA,atencion odontologica,exodoncia,2020-01-01,0,0,11,21,8,6,12,16,4,12,0,0,0,0,90
CHIMORE,atencion odontologica,exodoncia,2020-01-01,1,0,23,26,6,11,4,58,2,3,0,0,0,0,134
CHIPAYA,atencion odontologica,exodoncia,2020-01-01,0,0,5,4,0,2,1,0,1,0,0,0,0,0,13
CHOQUE COTA,atencion odontologica,exodoncia,2020-01-01,0,0,2,0,0,0,1,1,2,1,0,0,0,0,7
CHUA COCANI,atencion odontologica,exodoncia,2020-01-01,0,0,3,5,1,1,11,5,4,1,0,0,0,0,31
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,exodoncia,2020-01-01,0,0,11,6,0,2,7,12,4,0,0,0,0,0,42
CHUMA,atencion odontologica,exodoncia,2020-01-01,0,0,20,34,7,14,44,69,5,15,0,0,0,0,208
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,exodoncia,2020-01-01,0,0,4,4,0,1,1,5,0,3,0,0,0,0,18
CKOCHAS,atencion odontologica,exodoncia,2020-01-01,0,0,5,8,1,6,11,23,8,4,0,0,0,0,66
CLIZA,atencion odontologica,exodoncia,2020-01-01,0,2,30,19,0,10,0,6,2,10,0,0,0,0,79
COBIJA,atencion odontologica,exodoncia,2020-01-01,3,1,42,70,19,27,46,64,14,7,0,0,0,0,293
COCAPATA,atencion odontologica,exodoncia,2020-01-01,0,1,31,33,7,15,20,41,12,8,0,0,0,0,168
COCHABAMBA,atencion odontologica,exodoncia,2020-01-01,22,22,356,418,57,104,130,269,79,128,0,0,0,0,1585
COIPASA,atencion odontologica,exodoncia,2020-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
COLCAPIRHUA,atencion odontologica,exodoncia,2020-01-01,0,2,44,35,5,1,17,37,5,2,0,0,0,0,148
"COLCHA ""K""",atencion odontologica,exodoncia,2020-01-01,0,0,8,9,0,0,6,11,2,0,0,0,0,0,36
COLLANA,atencion odontologica,exodoncia,2020-01-01,0,0,7,14,10,3,4,12,0,2,0,0,0,0,52
COLOMI,atencion odontologica,exodoncia,2020-01-01,0,1,30,32,5,10,2,18,10,10,0,0,0,0,118
COLPA BELGICA,atencion odontologica,exodoncia,2020-01-01,0,0,5,3,4,1,0,6,2,0,0,0,0,0,21
COLQUECHACA,atencion odontologica,exodoncia,2020-01-01,1,0,34,25,7,13,18,65,12,26,0,0,0,0,201
COLQUENCHA,atencion odontologica,exodoncia,2020-01-01,1,0,28,20,15,11,12,32,6,7,0,0,0,0,132
COLQUIRI,atencion odontologica,exodoncia,2020-01-01,2,0,13,15,13,12,11,13,8,6,0,0,0,0,93
COMANCHE,atencion odontologica,exodoncia,2020-01-01,0,0,9,4,3,3,3,11,4,1,0,0,0,0,38
COMARAPA,atencion odontologica,exodoncia,2020-01-01,0,8,0,0,3,6,0,11,1,9,0,0,0,0,38
COMBAYA,atencion odontologica,exodoncia,2020-01-01,0,0,2,1,0,0,1,3,0,1,0,0,0,0,8
CONCEPCION,atencion odontologica,exodoncia,2020-01-01,4,3,7,5,4,7,5,19,14,17,0,0,0,0,85
COPACABANA,atencion odontologica,exodoncia,2020-01-01,0,1,10,10,2,8,9,16,7,8,0,0,0,0,71
CORIPATA,atencion odontologica,exodoncia,2020-01-01,2,0,3,10,1,7,9,11,0,0,0,0,0,0,43
CORO CORO,atencion odontologica,exodoncia,2020-01-01,0,0,26,23,0,6,4,8,1,5,0,0,0,0,73
COROICO,atencion odontologica,exodoncia,2020-01-01,1,0,12,16,4,9,12,36,4,0,0,0,0,0,94
CORQUE,atencion odontologica,exodoncia,2020-01-01,0,0,3,3,1,0,1,7,1,1,0,0,0,0,17
COTAGAITA,atencion odontologica,exodoncia,2020-01-01,0,0,11,18,8,8,7,14,6,1,0,0,0,0,73
COTOCA,atencion odontologica,exodoncia,2020-01-01,1,0,15,27,2,16,9,29,15,8,0,0,0,0,122
CUATRO CAÑADAS,atencion odontologica,exodoncia,2020-01-01,3,2,22,26,2,0,7,15,10,1,0,0,0,0,88
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,exodoncia,2020-01-01,0,0,3,5,3,1,1,8,0,0,0,0,0,0,21
CULPINA,atencion odontologica,exodoncia,2020-01-01,0,1,14,10,4,4,5,20,1,7,0,0,0,0,66
CURAHUARA DE CARANGAS,atencion odontologica,exodoncia,2020-01-01,0,0,10,2,2,1,11,8,3,2,0,0,0,0,39
CURVA,atencion odontologica,exodoncia,2020-01-01,0,2,5,2,5,2,2,5,0,0,0,0,0,0,23
DESAGUADERO,atencion odontologica,exodoncia,2020-01-01,0,0,4,16,2,2,2,10,1,3,0,0,0,0,40
EL ALTO,atencion odontologica,exodoncia,2020-01-01,36,42,401,476,130,157,115,240,58,38,0,0,0,0,1693
EL CHORO,atencion odontologica,exodoncia,2020-01-01,0,0,1,3,2,0,5,2,1,1,0,0,0,0,15
EL PUENTE(STC),atencion odontologica,exodoncia,2020-01-01,0,0,13,6,3,4,3,9,1,0,0,0,0,0,39
EL PUENTE(TJA),atencion odontologica,exodoncia,2020-01-01,0,0,12,13,7,12,5,15,1,5,0,0,0,0,70
EL TORNO,atencion odontologica,exodoncia,2020-01-01,0,3,12,10,2,5,14,31,16,15,0,0,0,0,108
EL VILLAR,atencion odontologica,exodoncia,2020-01-01,0,0,2,0,1,2,0,10,3,8,0,0,0,0,26
ENTRE RIOS TRJ,atencion odontologica,exodoncia,2020-01-01,0,0,13,19,1,12,14,38,1,1,0,0,0,0,99
ENTRE RIOS CBBA,atencion odontologica,exodoncia,2020-01-01,1,0,14,7,1,4,0,9,0,0,0,0,0,0,36
ESCARA,atencion odontologica,exodoncia,2020-01-01,0,0,1,3,0,0,1,1,1,0,0,0,0,0,7
ESCOMA,atencion odontologica,exodoncia,2020-01-01,0,0,5,3,0,1,5,9,6,1,0,0,0,0,30
ESMERALDA,atencion odontologica,exodoncia,2020-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
EUCALIPTUS,atencion odontologica,exodoncia,2020-01-01,0,0,5,3,1,1,2,6,0,0,0,0,0,0,18
FERNANDEZ ALONSO,atencion odontologica,exodoncia,2020-01-01,0,0,17,18,3,3,6,22,6,2,0,0,0,0,77
FILADELFIA,atencion odontologica,exodoncia,2020-01-01,1,0,10,8,1,5,2,8,0,0,0,0,0,0,35
GENERAL SAAVEDRA,atencion odontologica,exodoncia,2020-01-01,0,0,3,5,0,5,1,9,2,1,0,0,0,0,26
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,exodoncia,2020-01-01,0,2,5,6,3,4,9,16,1,4,0,0,0,0,50
GUANAY,atencion odontologica,exodoncia,2020-01-01,0,0,9,3,0,4,10,9,4,0,0,0,0,0,39
GUAQUI,atencion odontologica,exodoncia,2020-01-01,0,0,4,4,10,9,6,15,7,11,0,0,0,0,66
GUAYARAMERIN,atencion odontologica,exodoncia,2020-01-01,2,1,47,45,6,10,13,30,6,2,0,0,0,0,162
GUTIERREZ,atencion odontologica,exodoncia,2020-01-01,0,0,13,11,1,8,2,23,5,2,0,0,0,0,65
HUACARETA,atencion odontologica,exodoncia,2020-01-01,0,0,10,23,4,11,18,48,4,9,0,0,0,0,127
HUACAYA (VILLA DE HUACAYA),atencion odontologica,exodoncia,2020-01-01,0,0,2,5,5,3,6,12,0,0,0,0,0,0,33
HUANUNI,atencion odontologica,exodoncia,2020-01-01,2,0,49,55,14,18,10,29,3,2,0,0,0,0,182
HUARACAJE,atencion odontologica,exodoncia,2020-01-01,1,1,3,0,2,1,4,10,0,1,0,0,0,0,23
HUARINA,atencion odontologica,exodoncia,2020-01-01,0,0,4,5,1,3,7,7,11,14,0,0,0,0,52
HUATAJATA,atencion odontologica,exodoncia,2020-01-01,0,0,2,6,0,2,4,3,2,3,0,0,0,0,22
HUAYLLAMARCA,atencion odontologica,exodoncia,2020-01-01,0,0,0,4,0,0,2,2,5,5,0,0,0,0,18
HUMANATA,atencion odontologica,exodoncia,2020-01-01,0,0,4,4,3,5,2,8,8,9,0,0,0,0,43
ICHOCA,atencion odontologica,exodoncia,2020-01-01,0,0,7,3,1,3,5,12,6,4,0,0,0,0,41
ICLA,atencion odontologica,exodoncia,2020-01-01,0,0,2,8,2,2,5,14,9,1,0,0,0,0,43
INCAHUASI,atencion odontologica,exodoncia,2020-01-01,0,0,13,5,2,6,4,20,7,6,0,0,0,0,63
INQUISIVI,atencion odontologica,exodoncia,2020-01-01,3,0,34,21,13,7,37,72,21,13,0,0,0,0,221
IRUPANA (VILLA DE LANZA),atencion odontologica,exodoncia,2020-01-01,1,0,15,36,7,11,16,21,14,4,0,0,0,0,125
IXIAMAS,atencion odontologica,exodoncia,2020-01-01,0,0,9,11,4,0,1,13,2,0,0,0,0,0,40
JESUS DE MACHACA,atencion odontologica,exodoncia,2020-01-01,0,0,7,8,8,3,7,16,6,3,0,0,0,0,58
LA ASUNTA,atencion odontologica,exodoncia,2020-01-01,1,0,42,59,12,14,30,39,8,3,0,0,0,0,208
LA GUARDIA,atencion odontologica,exodoncia,2020-01-01,10,8,54,45,2,3,24,28,23,11,0,0,0,0,208
LA PAZ,atencion odontologica,exodoncia,2020-01-01,32,20,464,448,89,147,214,326,138,109,0,0,0,0,1987
LA RIVERA,atencion odontologica,exodoncia,2020-01-01,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3
LAGUNILLAS,atencion odontologica,exodoncia,2020-01-01,0,0,5,7,0,1,3,8,4,1,0,0,0,0,29
LAJA,atencion odontologica,exodoncia,2020-01-01,0,0,20,31,7,27,11,30,6,6,0,0,0,0,138
LAS CARRERAS,atencion odontologica,exodoncia,2020-01-01,0,0,5,1,0,1,3,4,2,1,0,0,0,0,17
LICOMA PAMPA,atencion odontologica,exodoncia,2020-01-01,0,1,10,4,1,4,1,21,3,0,0,0,0,0,45
LLALLAGUA,atencion odontologica,exodoncia,2020-01-01,0,0,25,27,2,19,4,32,4,3,0,0,0,0,116
LORETO,atencion odontologica,exodoncia,2020-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
LURIBAY,atencion odontologica,exodoncia,2020-01-01,0,0,1,2,0,3,2,3,4,0,0,0,0,0,15
MACHACAMARCA,atencion odontologica,exodoncia,2020-01-01,1,0,4,8,0,2,5,1,0,0,0,0,0,0,21
MACHARETI,atencion odontologica,exodoncia,2020-01-01,0,1,17,1,0,2,7,9,1,0,0,0,0,0,38
MAGDALENA,atencion odontologica,exodoncia,2020-01-01,0,0,13,13,6,9,7,26,3,1,0,0,0,0,78
MAIRANA,atencion odontologica,exodoncia,2020-01-01,0,0,1,3,0,4,3,9,0,0,0,0,0,0,20
MALLA,atencion odontologica,exodoncia,2020-01-01,0,0,0,2,0,1,2,4,5,0,0,0,0,0,14
MAPIRI,atencion odontologica,exodoncia,2020-01-01,0,0,1,3,0,0,0,3,0,1,0,0,0,0,8
MECAPACA,atencion odontologica,exodoncia,2020-01-01,2,2,20,26,9,14,14,36,21,4,0,0,0,0,148
MINEROS,atencion odontologica,exodoncia,2020-01-01,0,0,8,10,0,4,0,9,6,0,0,0,0,0,37
MIZQUE,atencion odontologica,exodoncia,2020-01-01,0,0,11,13,5,1,3,13,2,6,0,0,0,0,54
MOCOMOCO,atencion odontologica,exodoncia,2020-01-01,0,0,9,21,7,10,14,20,16,6,0,0,0,0,103
MOJINETE,atencion odontologica,exodoncia,2020-01-01,0,0,1,2,1,1,0,1,0,1,0,0,0,0,7
MOJOCOYA,atencion odontologica,exodoncia,2020-01-01,0,0,6,8,1,0,2,34,0,2,0,0,0,0,53
MONTEAGUDO,atencion odontologica,exodoncia,2020-01-01,0,0,43,29,4,10,11,41,15,5,0,0,0,0,158
MONTERO,atencion odontologica,exodoncia,2020-01-01,3,1,86,85,12,16,31,75,22,6,0,0,0,0,337
MORO MORO,atencion odontologica,exodoncia,2020-01-01,0,1,8,7,1,5,2,12,2,6,0,0,0,0,44
MOROCHATA,atencion odontologica,exodoncia,2020-01-01,0,0,5,5,1,7,5,23,1,7,0,0,0,0,54
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,exodoncia,2020-01-01,0,0,3,1,1,2,2,6,0,0,0,0,0,0,15
NAZACARA DE PACAJES,atencion odontologica,exodoncia,2020-01-01,0,0,1,3,2,1,3,3,1,0,0,0,0,0,14
OCURI,atencion odontologica,exodoncia,2020-01-01,0,0,6,7,2,5,9,41,9,10,0,0,0,0,89
OKINAWA,atencion odontologica,exodoncia,2020-01-01,0,0,2,9,2,1,4,13,5,4,0,0,0,0,40
OMEREQUE,atencion odontologica,exodoncia,2020-01-01,0,0,11,5,2,3,1,1,0,0,0,0,0,0,23
ORURO,atencion odontologica,exodoncia,2020-01-01,2,4,186,197,47,71,61,219,43,33,0,0,0,0,863
PADCAYA,atencion odontologica,exodoncia,2020-01-01,0,0,5,6,2,1,7,16,3,0,0,0,0,0,40
PADILLA,atencion odontologica,exodoncia,2020-01-01,0,0,9,15,2,2,7,22,6,2,0,0,0,0,65
PAILON,atencion odontologica,exodoncia,2020-01-01,2,1,10,14,3,3,7,35,9,7,0,0,0,0,91
PALCA,atencion odontologica,exodoncia,2020-01-01,6,3,19,35,13,17,33,46,7,7,0,0,0,0,186
PALOS BLANCOS,atencion odontologica,exodoncia,2020-01-01,1,2,18,17,6,3,7,21,6,2,0,0,0,0,83
PAMPA AULLAGAS,atencion odontologica,exodoncia,2020-01-01,0,0,1,3,3,0,0,3,0,1,0,0,0,0,11
PAMPA GRANDE,atencion odontologica,exodoncia,2020-01-01,1,1,10,8,2,2,6,16,2,2,0,0,0,0,50
PAPEL PAMPA,atencion odontologica,exodoncia,2020-01-01,0,0,2,0,1,0,4,0,1,2,0,0,0,0,10
PASORAPA,atencion odontologica,exodoncia,2020-01-01,0,0,2,2,0,0,0,1,0,0,0,0,0,0,5
PATACAMAYA,atencion odontologica,exodoncia,2020-01-01,0,0,12,5,3,8,2,5,2,6,0,0,0,0,43
PAZÑA,atencion odontologica,exodoncia,2020-01-01,0,0,10,9,4,4,3,10,1,1,0,0,0,0,42
PELECHUCO,atencion odontologica,exodoncia,2020-01-01,0,0,6,11,9,8,15,22,1,3,0,0,0,0,75
POCOATA,atencion odontologica,exodoncia,2020-01-01,0,0,19,9,1,5,12,25,5,17,0,0,0,0,93
POCONA,atencion odontologica,exodoncia,2020-01-01,0,0,0,4,1,0,4,5,7,1,0,0,0,0,22
POJO (CBBA),atencion odontologica,exodoncia,2020-01-01,0,0,4,10,2,3,3,10,2,0,0,0,0,0,34
POOPO,atencion odontologica,exodoncia,2020-01-01,0,1,18,12,8,1,1,2,0,5,0,0,0,0,48
PORCO,atencion odontologica,exodoncia,2020-01-01,0,0,0,2,0,0,0,5,0,3,0,0,0,0,10
POROMA,atencion odontologica,exodoncia,2020-01-01,0,0,5,6,0,2,2,13,2,0,0,0,0,0,30
PORONGO,atencion odontologica,exodoncia,2020-01-01,0,0,7,7,0,4,5,7,3,1,0,0,0,0,34
PORTACHUELO,atencion odontologica,exodoncia,2020-01-01,0,0,2,4,0,0,5,2,0,0,0,0,0,0,13
PORVENIR,atencion odontologica,exodoncia,2020-01-01,0,1,19,45,3,9,6,13,0,0,0,0,0,0,96
POSTRER VALLE,atencion odontologica,exodoncia,2020-01-01,0,0,1,3,0,0,0,2,2,0,0,0,0,0,8
POTOSI,atencion odontologica,exodoncia,2020-01-01,0,0,58,67,21,44,40,66,16,27,0,0,0,0,339
PRESTO,atencion odontologica,exodoncia,2020-01-01,0,0,4,5,4,10,4,15,2,2,0,0,0,0,46
PUCARA,atencion odontologica,exodoncia,2020-01-01,0,0,4,0,0,0,0,1,2,0,0,0,0,0,7
PUCARANI,atencion odontologica,exodoncia,2020-01-01,2,2,41,70,25,43,26,64,10,13,0,0,0,0,296
PUERTO ACOSTA,atencion odontologica,exodoncia,2020-01-01,1,1,9,17,1,14,8,27,6,17,0,0,0,0,101
PUERTO CARABUCO,atencion odontologica,exodoncia,2020-01-01,0,0,21,22,8,21,22,50,12,10,0,0,0,0,166
PUERTO GONZALO MORENO,atencion odontologica,exodoncia,2020-01-01,0,0,1,12,0,4,5,9,0,0,0,0,0,0,31
PUERTO PEREZ,atencion odontologica,exodoncia,2020-01-01,0,0,4,0,2,1,1,7,1,2,0,0,0,0,18
PUERTO QUIJARRO,atencion odontologica,exodoncia,2020-01-01,0,0,16,20,7,5,1,9,2,3,0,0,0,0,63
PUERTO RICO,atencion odontologica,exodoncia,2020-01-01,0,0,8,16,7,7,16,16,10,0,0,0,0,0,80
PUERTO SUAREZ,atencion odontologica,exodoncia,2020-01-01,0,0,3,8,1,3,9,8,2,4,0,0,0,0,38
PUERTO VILLARROEL,atencion odontologica,exodoncia,2020-01-01,0,1,25,20,1,12,14,40,1,16,0,0,0,0,130
PUNA,atencion odontologica,exodoncia,2020-01-01,0,0,4,7,0,5,1,9,3,4,0,0,0,0,33
PUNATA,atencion odontologica,exodoncia,2020-01-01,0,0,17,15,5,10,4,8,2,5,0,0,0,0,66
QUIABAYA,atencion odontologica,exodoncia,2020-01-01,0,0,5,8,3,12,21,23,2,11,0,0,0,0,85
QUILLACOLLO,atencion odontologica,exodoncia,2020-01-01,0,0,62,81,8,8,11,45,12,14,0,0,0,0,241
QUIME,atencion odontologica,exodoncia,2020-01-01,3,1,29,32,12,8,12,33,3,3,0,0,0,0,136
QUIRUSILLAS,atencion odontologica,exodoncia,2020-01-01,0,0,3,0,0,0,0,2,0,1,0,0,0,0,6
RAVELO,atencion odontologica,exodoncia,2020-01-01,0,0,4,2,3,2,5,36,0,9,0,0,0,0,61
REYES,atencion odontologica,exodoncia,2020-01-01,1,1,3,7,4,3,7,9,4,1,0,0,0,0,40
RIBERALTA,atencion odontologica,exodoncia,2020-01-01,1,2,38,49,14,22,25,76,7,10,0,0,0,0,244
ROBORE,atencion odontologica,exodoncia,2020-01-01,0,1,21,10,3,2,3,45,1,0,0,0,0,0,86
RURRENABAQUE,atencion odontologica,exodoncia,2020-01-01,2,0,13,15,5,6,14,18,4,2,0,0,0,0,79
SABAYA,atencion odontologica,exodoncia,2020-01-01,0,0,4,5,5,2,2,5,3,0,0,0,0,0,26
SACABA,atencion odontologica,exodoncia,2020-01-01,0,2,109,122,12,32,36,80,25,21,0,0,0,0,439
SACABAMBA,atencion odontologica,exodoncia,2020-01-01,0,0,0,4,1,1,0,2,3,0,0,0,0,0,11
SACACA,atencion odontologica,exodoncia,2020-01-01,1,0,19,36,8,8,9,38,3,3,0,0,0,0,125
SAIPINA,atencion odontologica,exodoncia,2020-01-01,1,1,14,12,1,0,2,5,0,3,0,0,0,0,39
SALINAS DE GARCI MENDOZA,atencion odontologica,exodoncia,2020-01-01,0,1,10,16,4,4,5,13,10,5,0,0,0,0,68
SAMAIPATA,atencion odontologica,exodoncia,2020-01-01,0,0,9,11,4,9,1,11,4,1,0,0,0,0,50
SAN AGUSTIN,atencion odontologica,exodoncia,2020-01-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3
SAN ANDRES,atencion odontologica,exodoncia,2020-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SAN ANDRES DE MACHACA,atencion odontologica,exodoncia,2020-01-01,1,0,1,5,2,2,1,3,2,3,0,0,0,0,20
SAN ANTONIO DE ESMORUCO,atencion odontologica,exodoncia,2020-01-01,0,0,1,3,0,0,1,1,0,0,0,0,0,0,6
SAN ANTONIO DE LOMERIO,atencion odontologica,exodoncia,2020-01-01,0,0,6,5,4,3,7,20,4,1,0,0,0,0,50
SAN BENITO,atencion odontologica,exodoncia,2020-01-01,0,0,4,11,0,0,1,3,0,5,0,0,0,0,24
SAN BORJA,atencion odontologica,exodoncia,2020-01-01,1,2,7,17,5,5,9,18,5,2,0,0,0,0,71
SAN BUENA VENTURA,atencion odontologica,exodoncia,2020-01-01,0,0,1,9,2,6,2,14,0,5,0,0,0,0,39
SAN CARLOS,atencion odontologica,exodoncia,2020-01-01,2,3,4,4,3,3,4,6,8,2,0,0,0,0,39
SAN IGNACIO,atencion odontologica,exodoncia,2020-01-01,0,0,20,24,6,12,13,31,8,1,0,0,0,0,115
