,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES
ARANI,atencion odontologica,primera consulta,2020-01-01,5,7,15,20,10,14,13,32,3,5,0,2,0,3,129
ARBIETO,atencion odontologica,primera consulta,2020-01-01,26,34,65,81,17,42,24,111,11,14,0,4,0,11,440
ARQUE,atencion odontologica,primera consulta,2020-01-01,15,13,32,50,13,15,44,85,22,33,0,6,0,12,340
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2020-01-01,143,118,29,34,17,34,6,80,6,11,0,176,0,33,687
ATOCHA,atencion odontologica,primera consulta,2020-01-01,20,22,39,54,21,35,86,104,12,11,0,8,0,0,412
AUCAPATA,atencion odontologica,primera consulta,2020-01-01,1,2,4,3,1,6,4,14,0,1,0,1,0,0,37
AYATA,atencion odontologica,primera consulta,2020-01-01,8,4,8,3,1,6,8,12,4,4,0,3,0,2,63
AYO AYO,atencion odontologica,primera consulta,2020-01-01,12,5,19,19,13,32,11,41,11,13,0,9,0,3,188
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2020-01-01,15,12,29,44,19,31,41,72,2,7,0,1,0,4,277
AZURDUY,atencion odontologica,primera consulta,2020-01-01,3,3,3,17,6,13,20,39,3,3,0,1,0,0,111
BATALLAS,atencion odontologica,primera consulta,2020-01-01,1,1,2,3,1,4,1,6,2,4,0,0,0,0,25
BAURES,atencion odontologica,primera consulta,2020-01-01,3,0,7,7,1,10,9,11,1,0,0,0,0,0,49
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2020-01-01,1,2,5,7,2,3,5,7,4,5,0,0,0,0,41
BELEN DE URMIRI,atencion odontologica,primera consulta,2020-01-01,1,1,3,4,2,3,7,10,5,7,0,1,0,0,44
BELLA FLOR,atencion odontologica,primera consulta,2020-01-01,2,4,5,16,0,0,0,0,0,0,0,0,0,0,27
BERMEJO,atencion odontologica,primera consulta,2020-01-01,14,13,44,57,21,44,45,121,14,9,0,20,0,0,402
BETANZOS,atencion odontologica,primera consulta,2020-01-01,50,69,40,61,23,60,52,128,17,19,0,17,0,12,548
BOLIVAR,atencion odontologica,primera consulta,2020-01-01,1,2,11,5,5,7,15,18,4,2,0,0,0,0,70
BOLPEBRA,atencion odontologica,primera consulta,2020-01-01,3,5,0,1,0,0,0,1,0,1,0,1,0,1,13
BOYUIBE,atencion odontologica,primera consulta,2020-01-01,2,1,15,9,11,8,10,27,4,1,0,2,0,0,90
BUENA VISTA,atencion odontologica,primera consulta,2020-01-01,4,11,22,45,9,30,21,47,5,2,0,6,0,3,205
CABEZAS,atencion odontologica,primera consulta,2020-01-01,26,34,25,39,9,22,16,51,8,6,0,13,0,5,254
CAIROMA,atencion odontologica,primera consulta,2020-01-01,18,17,18,26,10,18,31,52,3,3,0,3,0,0,199
"CAIZA ""D""",atencion odontologica,primera consulta,2020-01-01,21,24,16,25,5,25,16,46,4,8,0,8,0,7,205
CAJUATA,atencion odontologica,primera consulta,2020-01-01,7,9,10,18,4,11,13,30,2,2,0,5,0,1,112
CALACOTO,atencion odontologica,primera consulta,2020-01-01,5,8,7,8,2,7,0,14,9,8,0,3,0,0,71
CALAMARCA,atencion odontologica,primera consulta,2020-01-01,12,15,32,50,16,38,17,71,5,4,0,8,0,1,269
CAMARGO,atencion odontologica,primera consulta,2020-01-01,19,14,23,26,11,25,17,54,5,3,0,20,0,1,218
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2020-01-01,2,1,13,14,4,4,13,33,8,8,0,4,0,0,104
CAMIRI,atencion odontologica,primera consulta,2020-01-01,69,81,54,75,29,47,65,137,25,28,0,50,0,17,677
CAPINOTA,atencion odontologica,primera consulta,2020-01-01,19,21,42,46,11,31,14,66,5,10,0,1,0,3,269
CAQUIAVIRI,atencion odontologica,primera consulta,2020-01-01,4,13,16,21,8,19,20,50,11,15,0,7,0,2,186
CARACOLLO,atencion odontologica,primera consulta,2020-01-01,19,22,36,39,14,27,18,97,2,7,0,10,0,1,292
CARANAVI,atencion odontologica,primera consulta,2020-01-01,52,50,61,70,26,72,56,139,28,10,0,33,0,5,602
CARANGAS,atencion odontologica,primera consulta,2020-01-01,0,1,0,6,0,1,3,3,4,2,0,0,0,0,20
CARAPARI,atencion odontologica,primera consulta,2020-01-01,9,8,55,91,31,64,58,126,2,3,0,3,0,0,450
CARIPUYO,atencion odontologica,primera consulta,2020-01-01,7,12,10,14,7,8,16,42,14,16,0,3,0,6,155
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2020-01-01,1,0,0,2,0,2,0,4,1,0,0,0,0,0,10
CHACARILLA,atencion odontologica,primera consulta,2020-01-01,2,1,2,2,0,1,2,4,1,0,0,0,0,1,16
CHALLAPATA,atencion odontologica,primera consulta,2020-01-01,81,78,139,170,46,133,77,240,54,61,0,50,0,7,1136
CHAQUI,atencion odontologica,primera consulta,2020-01-01,6,3,11,23,2,10,12,33,2,10,0,4,0,2,118
CHARAGUA,atencion odontologica,primera consulta,2020-01-01,31,22,13,21,18,32,26,84,18,6,0,12,0,4,287
CHARAÑA,atencion odontologica,primera consulta,2020-01-01,1,0,1,9,2,3,4,9,0,1,0,0,0,0,30
CHAYANTA,atencion odontologica,primera consulta,2020-01-01,8,5,18,31,9,18,28,51,8,7,0,4,0,1,188
CHIMORE,atencion odontologica,primera consulta,2020-01-01,15,26,55,74,23,48,30,97,9,3,0,8,0,5,393
CHIPAYA,atencion odontologica,primera consulta,2020-01-01,2,7,7,14,2,2,3,11,1,0,0,2,0,2,53
CHOQUE COTA,atencion odontologica,primera consulta,2020-01-01,2,0,4,0,3,5,2,5,9,9,0,1,0,0,40
CHUA COCANI,atencion odontologica,primera consulta,2020-01-01,6,8,4,9,3,12,10,25,12,2,0,7,0,1,99
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2020-01-01,12,13,23,29,8,11,20,49,3,0,0,0,0,0,168
CHUMA,atencion odontologica,primera consulta,2020-01-01,14,13,34,38,17,23,61,110,7,10,0,10,0,7,344
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2020-01-01,6,8,14,12,1,14,11,27,3,3,0,11,0,2,112
CKOCHAS,atencion odontologica,primera consulta,2020-01-01,17,24,11,21,8,17,29,61,18,21,0,11,0,1,239
CLIZA,atencion odontologica,primera consulta,2020-01-01,22,13,66,63,14,42,25,61,9,21,0,2,0,2,340
COBIJA,atencion odontologica,primera consulta,2020-01-01,128,123,166,179,66,131,146,335,15,10,0,110,0,27,1436
COCAPATA,atencion odontologica,primera consulta,2020-01-01,29,23,53,50,15,38,32,84,41,43,0,11,0,5,424
COCHABAMBA,atencion odontologica,primera consulta,2020-01-01,465,441,737,915,268,494,465,1337,199,178,0,166,0,29,5694
COIPASA,atencion odontologica,primera consulta,2020-01-01,0,0,1,2,0,3,5,4,1,1,0,0,0,0,17
COLCAPIRHUA,atencion odontologica,primera consulta,2020-01-01,23,24,49,65,21,24,36,81,8,3,0,9,0,6,349
"COLCHA ""K""",atencion odontologica,primera consulta,2020-01-01,9,6,21,19,6,8,10,32,5,2,0,3,0,0,121
COLLANA,atencion odontologica,primera consulta,2020-01-01,6,7,21,15,15,13,9,28,0,3,0,4,0,1,122
COLOMI,atencion odontologica,primera consulta,2020-01-01,35,34,54,83,21,55,20,85,23,23,0,2,0,5,440
COLPA BELGICA,atencion odontologica,primera consulta,2020-01-01,1,3,8,5,2,2,0,15,2,0,0,2,0,1,41
COLQUECHACA,atencion odontologica,primera consulta,2020-01-01,46,45,69,77,19,51,78,180,40,58,0,25,0,15,703
COLQUENCHA,atencion odontologica,primera consulta,2020-01-01,17,15,57,55,28,46,25,81,7,7,0,26,0,3,367
COLQUIRI,atencion odontologica,primera consulta,2020-01-01,17,17,31,52,27,43,31,68,15,11,0,12,0,1,325
COMANCHE,atencion odontologica,primera consulta,2020-01-01,1,1,17,10,5,12,9,12,5,1,0,3,0,0,76
COMARAPA,atencion odontologica,primera consulta,2020-01-01,13,26,4,10,10,10,4,25,10,10,0,3,0,16,141
COMBAYA,atencion odontologica,primera consulta,2020-01-01,1,2,3,2,0,1,2,7,1,1,0,0,0,0,20
CONCEPCION,atencion odontologica,primera consulta,2020-01-01,28,29,31,16,18,17,24,52,11,15,0,15,0,1,257
COPACABANA,atencion odontologica,primera consulta,2020-01-01,19,13,25,28,12,17,16,27,6,6,0,4,0,2,175
CORIPATA,atencion odontologica,primera consulta,2020-01-01,14,10,25,22,8,21,23,23,1,0,0,3,0,2,152
CORO CORO,atencion odontologica,primera consulta,2020-01-01,5,9,34,25,3,17,12,26,3,4,0,0,0,1,139
COROICO,atencion odontologica,primera consulta,2020-01-01,50,16,83,147,49,78,109,169,18,4,0,6,0,4,733
CORQUE,atencion odontologica,primera consulta,2020-01-01,7,2,9,10,3,6,6,20,2,6,0,1,0,1,73
COTAGAITA,atencion odontologica,primera consulta,2020-01-01,3,5,19,38,22,28,31,74,10,12,0,3,0,2,247
COTOCA,atencion odontologica,primera consulta,2020-01-01,93,105,53,64,16,39,27,99,31,29,0,21,0,3,580
CRUZ DE MACHACAMARCA,atencion odontologica,primera consulta,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CUATRO CAÑADAS,atencion odontologica,primera consulta,2020-01-01,39,42,74,89,20,25,37,104,12,14,0,12,0,2,470
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2020-01-01,2,4,9,9,7,7,6,16,0,2,0,0,0,0,62
CUEVO,atencion odontologica,primera consulta,2020-01-01,3,1,13,14,5,15,13,54,1,4,0,8,0,8,139
CULPINA,atencion odontologica,primera consulta,2020-01-01,6,16,44,44,15,39,42,109,6,12,0,20,0,7,360
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2020-01-01,7,8,20,13,12,14,16,25,15,8,0,0,0,1,139
CURVA,atencion odontologica,primera consulta,2020-01-01,3,6,17,13,5,2,7,11,2,0,0,1,0,3,70
DESAGUADERO,atencion odontologica,primera consulta,2020-01-01,4,11,10,15,7,10,2,26,3,2,0,7,0,1,98
EL ALTO,atencion odontologica,primera consulta,2020-01-01,541,581,1008,1096,421,629,382,1089,114,118,0,292,0,37,6308
EL CHORO,atencion odontologica,primera consulta,2020-01-01,3,1,10,15,5,4,13,21,19,13,0,4,0,0,108
EL PUENTE(STC),atencion odontologica,primera consulta,2020-01-01,8,16,31,30,8,22,15,44,3,2,0,7,0,3,189
EL PUENTE(TJA),atencion odontologica,primera consulta,2020-01-01,6,8,29,39,17,32,26,75,2,9,0,3,0,0,246
EL TORNO,atencion odontologica,primera consulta,2020-01-01,98,107,80,87,34,55,68,148,36,20,0,45,0,23,801
EL VILLAR,atencion odontologica,primera consulta,2020-01-01,2,1,6,6,1,10,3,26,2,3,0,4,0,1,65
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2020-01-01,25,15,81,97,35,56,46,134,22,22,0,4,0,4,541
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2020-01-01,14,18,59,45,16,46,16,84,3,4,0,4,0,1,310
ESCARA,atencion odontologica,primera consulta,2020-01-01,0,0,2,2,0,1,1,4,3,1,0,0,0,0,14
ESCOMA,atencion odontologica,primera consulta,2020-01-01,3,1,11,11,3,6,9,9,3,2,0,0,0,0,58
ESMERALDA,atencion odontologica,primera consulta,2020-01-01,3,0,1,0,0,2,4,3,3,4,0,0,0,0,20
EUCALIPTUS,atencion odontologica,primera consulta,2020-01-01,4,5,7,7,4,10,6,31,5,5,0,8,0,0,92
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2020-01-01,40,37,64,69,21,36,35,105,8,10,0,13,0,0,438
FILADELFIA,atencion odontologica,primera consulta,2020-01-01,7,3,13,15,1,18,4,17,1,0,0,11,0,2,92
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2020-01-01,7,11,9,21,4,16,4,41,7,4,0,8,0,4,136
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2020-01-01,11,9,10,14,9,12,20,32,3,6,0,4,0,1,131
GUANAY,atencion odontologica,primera consulta,2020-01-01,3,8,10,3,2,4,13,19,3,1,0,2,0,7,75
GUAQUI,atencion odontologica,primera consulta,2020-01-01,11,11,18,23,22,38,24,67,15,24,0,6,0,4,263
GUAYARAMERIN,atencion odontologica,primera consulta,2020-01-01,15,20,116,118,25,56,40,117,12,7,0,36,0,1,563
GUTIERREZ,atencion odontologica,primera consulta,2020-01-01,6,4,11,16,4,13,10,35,5,6,0,7,0,1,118
HUACARETA,atencion odontologica,primera consulta,2020-01-01,5,8,17,28,3,26,25,47,10,8,0,2,0,0,179
HUACAYA (VILLA DE HUACAYA),atencion odontologica,primera consulta,2020-01-01,8,10,15,26,2,7,9,19,0,0,0,2,0,0,98
HUACHACALLA,atencion odontologica,primera consulta,2020-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
HUANUNI,atencion odontologica,primera consulta,2020-01-01,22,31,89,117,34,62,52,95,4,9,0,6,0,3,524
HUARACAJE,atencion odontologica,primera consulta,2020-01-01,2,2,8,5,3,5,8,14,0,2,0,1,0,0,50
HUARINA,atencion odontologica,primera consulta,2020-01-01,3,5,9,9,7,9,9,22,15,11,0,1,0,0,100
HUATAJATA,atencion odontologica,primera consulta,2020-01-01,3,2,7,6,1,4,5,8,5,4,0,0,0,0,45
HUAYLLAMARCA,atencion odontologica,primera consulta,2020-01-01,8,7,4,9,3,7,7,12,12,5,0,3,0,1,78
HUMANATA,atencion odontologica,primera consulta,2020-01-01,3,3,9,10,3,4,3,14,5,9,0,2,0,1,66
ICHOCA,atencion odontologica,primera consulta,2020-01-01,6,4,14,10,4,6,8,20,6,5,0,1,0,1,85
ICLA,atencion odontologica,primera consulta,2020-01-01,27,19,7,21,5,9,10,30,4,3,0,1,0,0,136
INCAHUASI,atencion odontologica,primera consulta,2020-01-01,3,8,27,22,6,19,17,55,5,8,0,8,0,4,182
INQUISIVI,atencion odontologica,primera consulta,2020-01-01,32,30,63,63,28,33,87,118,48,30,0,11,0,7,550
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2020-01-01,21,30,32,48,14,24,34,73,9,7,0,14,0,6,312
IXIAMAS,atencion odontologica,primera consulta,2020-01-01,1,6,14,22,7,7,6,30,1,1,0,2,0,1,98
JESUS DE MACHACA,atencion odontologica,primera consulta,2020-01-01,11,6,22,19,13,32,22,65,9,11,0,9,0,11,230
LA ASUNTA,atencion odontologica,primera consulta,2020-01-01,41,40,76,104,43,65,89,159,16,10,0,37,0,7,687
LA GUARDIA,atencion odontologica,primera consulta,2020-01-01,127,150,83,97,23,42,43,215,73,36,0,116,0,26,1031
LA PAZ,atencion odontologica,primera consulta,2020-01-01,554,617,1076,1015,421,581,1002,1578,285,289,0,185,0,23,7626
LA RIVERA,atencion odontologica,primera consulta,2020-01-01,2,1,4,3,0,1,3,5,2,1,0,0,0,0,22
LAGUNILLAS,atencion odontologica,primera consulta,2020-01-01,3,4,12,21,4,13,17,35,2,1,0,2,0,1,115
LAJA,atencion odontologica,primera consulta,2020-01-01,15,16,16,22,15,33,16,69,6,7,0,30,0,3,248
LAS CARRERAS,atencion odontologica,primera consulta,2020-01-01,5,3,12,12,8,10,14,61,6,2,0,1,0,0,134
LICOMA PAMPA,atencion odontologica,primera consulta,2020-01-01,6,9,13,15,1,14,4,29,2,0,0,1,0,0,94
LLALLAGUA,atencion odontologica,primera consulta,2020-01-01,51,50,76,98,19,56,19,133,10,17,0,15,0,13,557
LORETO,atencion odontologica,primera consulta,2020-01-01,0,0,9,7,0,0,0,4,0,0,0,1,0,0,21
LURIBAY,atencion odontologica,primera consulta,2020-01-01,12,14,10,18,7,12,9,25,12,4,0,4,0,5,132
MACHACAMARCA,atencion odontologica,primera consulta,2020-01-01,6,3,27,34,10,21,26,38,7,15,0,3,0,0,190
MACHARETI,atencion odontologica,primera consulta,2020-01-01,1,5,14,7,2,11,12,28,1,1,0,3,0,0,85
MAGDALENA,atencion odontologica,primera consulta,2020-01-01,4,2,17,27,8,20,17,46,2,3,0,2,0,0,148
MAIRANA,atencion odontologica,primera consulta,2020-01-01,27,53,28,41,18,24,21,36,13,19,0,8,0,4,292
MALLA,atencion odontologica,primera consulta,2020-01-01,5,5,4,6,0,4,4,9,3,3,0,0,0,2,45
MAPIRI,atencion odontologica,primera consulta,2020-01-01,5,4,13,25,4,12,9,25,1,3,0,3,0,0,104
MECAPACA,atencion odontologica,primera consulta,2020-01-01,14,16,29,30,13,24,19,37,6,3,0,1,0,0,192
MINEROS,atencion odontologica,primera consulta,2020-01-01,13,19,12,15,5,18,9,30,23,20,0,14,0,3,181
MIZQUE,atencion odontologica,primera consulta,2020-01-01,11,13,31,49,11,29,19,67,3,10,0,5,0,2,250
MOCOMOCO,atencion odontologica,primera consulta,2020-01-01,7,5,18,33,15,26,25,51,20,11,0,3,0,7,221
MOJINETE,atencion odontologica,primera consulta,2020-01-01,1,0,3,4,2,2,2,4,1,2,0,1,0,0,22
MOJOCOYA,atencion odontologica,primera consulta,2020-01-01,4,14,8,12,3,10,13,57,2,4,0,8,0,2,137
MONTEAGUDO,atencion odontologica,primera consulta,2020-01-01,21,17,64,78,26,56,52,118,8,7,0,10,0,3,460
MONTERO,atencion odontologica,primera consulta,2020-01-01,134,110,221,257,67,133,144,346,49,29,0,49,0,2,1541
MORO MORO,atencion odontologica,primera consulta,2020-01-01,13,10,20,18,2,13,12,35,2,6,0,0,0,0,131
MOROCHATA,atencion odontologica,primera consulta,2020-01-01,4,1,12,15,11,25,16,50,5,10,0,2,0,1,152
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,primera consulta,2020-01-01,0,2,3,9,2,4,3,11,0,0,0,1,0,0,35
NAZACARA DE PACAJES,atencion odontologica,primera consulta,2020-01-01,1,0,1,3,3,2,3,8,2,1,0,2,0,0,26
OCURI,atencion odontologica,primera consulta,2020-01-01,23,27,9,16,4,16,12,34,10,8,0,10,0,0,169
OKINAWA,atencion odontologica,primera consulta,2020-01-01,1,4,15,14,7,8,9,33,5,4,0,0,0,0,100
OMEREQUE,atencion odontologica,primera consulta,2020-01-01,6,2,10,17,8,16,10,28,1,0,0,6,0,2,106
ORURO,atencion odontologica,primera consulta,2020-01-01,246,240,591,680,231,446,478,1175,137,105,0,253,0,33,4615
PADCAYA,atencion odontologica,primera consulta,2020-01-01,10,6,35,26,12,25,23,68,7,5,0,1,0,1,219
PADILLA,atencion odontologica,primera consulta,2020-01-01,11,15,29,51,13,35,36,72,5,4,0,12,0,0,283
PAILON,atencion odontologica,primera consulta,2020-01-01,23,23,26,35,11,22,20,68,4,8,0,13,0,8,261
PALCA,atencion odontologica,primera consulta,2020-01-01,26,36,42,63,18,23,45,92,25,15,0,4,0,7,396
PALOS BLANCOS,atencion odontologica,primera consulta,2020-01-01,31,33,61,78,22,37,41,101,16,6,0,15,0,9,450
PAMPA AULLAGAS,atencion odontologica,primera consulta,2020-01-01,6,10,7,12,5,7,11,18,3,1,0,0,0,0,80
PAMPA GRANDE,atencion odontologica,primera consulta,2020-01-01,10,11,24,36,4,15,11,39,6,2,0,3,0,2,163
PAPEL PAMPA,atencion odontologica,primera consulta,2020-01-01,3,3,3,2,1,3,5,6,5,5,0,1,0,1,38
PASORAPA,atencion odontologica,primera consulta,2020-01-01,2,1,6,7,1,5,11,11,9,3,0,1,0,0,57
PATACAMAYA,atencion odontologica,primera consulta,2020-01-01,18,12,30,37,8,32,13,30,4,3,0,7,0,4,198
PAZÑA,atencion odontologica,primera consulta,2020-01-01,5,12,26,26,7,14,17,37,5,4,0,9,0,2,164
PELECHUCO,atencion odontologica,primera consulta,2020-01-01,19,25,15,26,13,17,28,53,3,5,0,10,0,3,217
POCOATA,atencion odontologica,primera consulta,2020-01-01,27,20,35,36,4,23,29,63,9,19,0,14,0,8,287
POCONA,atencion odontologica,primera consulta,2020-01-01,0,1,1,6,2,0,7,20,3,2,0,0,0,0,42
POJO (CBBA),atencion odontologica,primera consulta,2020-01-01,2,9,9,21,7,13,16,34,3,2,0,0,0,3,119
POOPO,atencion odontologica,primera consulta,2020-01-01,8,26,41,49,17,25,27,63,23,39,0,3,0,0,321
PORCO,atencion odontologica,primera consulta,2020-01-01,6,8,16,18,4,9,5,38,2,5,0,14,0,1,126
POROMA,atencion odontologica,primera consulta,2020-01-01,10,7,10,12,1,5,10,24,2,1,0,2,0,0,84
PORONGO,atencion odontologica,primera consulta,2020-01-01,14,15,26,34,9,14,14,39,12,7,0,12,0,4,200
PORTACHUELO,atencion odontologica,primera consulta,2020-01-01,0,2,7,12,2,1,6,6,0,0,0,1,0,1,38
PORVENIR,atencion odontologica,primera consulta,2020-01-01,11,18,32,61,12,22,8,45,1,0,0,7,0,3,220
POSTRER VALLE,atencion odontologica,primera consulta,2020-01-01,3,3,6,7,2,3,4,9,1,1,0,1,0,0,40
POTOSI,atencion odontologica,primera consulta,2020-01-01,100,101,215,234,82,154,191,454,42,24,0,53,0,14,1664
PRESTO,atencion odontologica,primera consulta,2020-01-01,7,14,12,11,8,16,19,61,2,5,0,15,0,6,176
PUCARA,atencion odontologica,primera consulta,2020-01-01,7,4,6,5,1,4,6,14,12,16,0,2,0,0,77
PUCARANI,atencion odontologica,primera consulta,2020-01-01,43,47,71,110,59,91,54,162,16,19,0,15,0,8,695
PUERTO ACOSTA,atencion odontologica,primera consulta,2020-01-01,6,3,7,13,0,8,13,27,5,8,0,21,0,16,127
PUERTO CARABUCO,atencion odontologica,primera consulta,2020-01-01,11,11,26,30,18,21,16,50,6,8,0,2,0,1,200
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2020-01-01,2,3,13,32,4,17,13,26,1,1,0,1,0,2,115
PUERTO PEREZ,atencion odontologica,primera consulta,2020-01-01,4,5,14,9,3,7,8,27,2,4,0,7,0,0,90
PUERTO QUIJARRO,atencion odontologica,primera consulta,2020-01-01,14,26,30,30,9,15,14,38,4,6,0,3,0,0,189
PUERTO RICO,atencion odontologica,primera consulta,2020-01-01,6,0,12,23,10,18,19,32,5,1,0,12,0,0,138
PUERTO SUAREZ,atencion odontologica,primera consulta,2020-01-01,4,3,10,32,6,6,6,12,2,2,0,0,0,0,83
PUERTO VILLARROEL,atencion odontologica,primera consulta,2020-01-01,17,11,52,60,24,45,41,128,3,5,0,6,0,6,398
PUNA,atencion odontologica,primera consulta,2020-01-01,17,13,9,13,6,17,18,38,18,18,0,8,0,3,178
PUNATA,atencion odontologica,primera consulta,2020-01-01,20,21,63,41,14,33,29,90,13,14,0,7,0,4,349
QUIABAYA,atencion odontologica,primera consulta,2020-01-01,6,2,6,11,5,10,19,27,1,5,0,1,0,1,94
QUILLACOLLO,atencion odontologica,primera consulta,2020-01-01,45,58,121,155,43,100,66,217,17,23,0,2,0,2,849
QUIME,atencion odontologica,primera consulta,2020-01-01,13,18,43,43,18,26,31,63,6,5,0,0,0,1,267
QUIRUSILLAS,atencion odontologica,primera consulta,2020-01-01,0,3,10,6,1,5,3,8,1,2,0,0,0,0,39
RAVELO,atencion odontologica,primera consulta,2020-01-01,6,1,11,11,8,15,18,55,17,30,0,10,0,5,187
REYES,atencion odontologica,primera consulta,2020-01-01,1,2,6,15,6,5,7,11,6,2,0,2,0,0,63
RIBERALTA,atencion odontologica,primera consulta,2020-01-01,42,49,144,168,79,124,74,336,49,38,0,83,0,25,1211
ROBORE,atencion odontologica,primera consulta,2020-01-01,25,29,44,49,18,26,29,80,5,2,0,3,0,2,312
RURRENABAQUE,atencion odontologica,primera consulta,2020-01-01,11,12,11,14,12,9,17,17,5,6,0,7,0,3,124
SABAYA,atencion odontologica,primera consulta,2020-01-01,8,7,7,19,6,9,16,41,4,1,0,11,0,3,132
SACABA,atencion odontologica,primera consulta,2020-01-01,90,94,231,311,91,176,125,353,36,41,0,1,0,3,1552
SACABAMBA,atencion odontologica,primera consulta,2020-01-01,2,3,10,15,2,6,2,14,1,0,0,1,0,2,58
SACACA,atencion odontologica,primera consulta,2020-01-01,6,10,21,29,10,11,21,71,10,6,0,6,0,0,201
SAIPINA,atencion odontologica,primera consulta,2020-01-01,10,4,16,34,5,8,10,36,3,5,0,4,0,3,138
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2020-01-01,35,38,63,81,13,24,56,90,71,72,0,4,0,4,551
SAMAIPATA,atencion odontologica,primera consulta,2020-01-01,22,30,41,36,8,27,22,47,21,22,0,9,0,4,289
SAN AGUSTIN,atencion odontologica,primera consulta,2020-01-01,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3
SAN ANDRES,atencion odontologica,primera consulta,2020-01-01,14,17,14,21,10,15,5,11,4,4,0,5,0,0,120
