,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,0,2,0,3,0,5
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,8,0,1,0,9,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,0,0,2,0,2,0
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,0,0,1,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,1,1,0,0,1,1
TACOPAYA,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,0,0,1,0,1,0
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,0,0,1,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,1,1,0,1,1,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,1,0,2,3,3,3
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,0,1,0,0,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,1,2,0,0,1,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,2,0,0,0,2,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,0,0,1,0,1,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,2,2,0,0,2,2
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,1,0,0,0,1,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,0,1,0,0,0,1
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,1,0,1,0,2,0
SAN BENITO,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,0,0,1,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2019-03-01,1,0,0,0,1,0
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,1,0,0,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,0,0,1,1,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,0,1,0,0,0,1
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,2,0,1,0,3,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,0,0,1,1,1,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,0,1,2,0,2,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,0,0,1,0,1,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,0,0,2,0,2,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,1,1,1,1,2,2
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,1,0,1,0,2,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,1,0,0,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,25,9,25,9,50,18
SANTIVAÑES,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2019-04-01,1,0,0,0,1,0
ANZALDO,leishmaniasis,tratamientos de leishmania mucosa,2019-05-01,0,1,0,0,0,1
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2019-05-01,0,0,1,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2019-05-01,2,2,0,0,2,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2019-05-01,1,1,1,2,2,3
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2019-05-01,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2019-05-01,1,0,0,0,1,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2019-05-01,0,0,5,2,5,2
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2019-05-01,1,0,0,0,1,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2019-05-01,0,0,1,0,1,0
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2019-05-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2019-05-01,0,1,0,0,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2019-05-01,0,0,1,0,1,0
ANZALDO,leishmaniasis,tratamientos de leishmania mucosa,2019-06-01,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2019-06-01,2,0,0,0,2,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2019-06-01,0,0,2,2,2,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2019-06-01,0,1,1,0,1,1
CORIPATA,leishmaniasis,tratamientos de leishmania mucosa,2019-06-01,0,1,0,1,0,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2019-06-01,0,0,1,0,1,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2019-06-01,1,0,0,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2019-06-01,0,0,1,0,1,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2019-06-01,0,1,0,0,0,1
MONTERO,leishmaniasis,tratamientos de leishmania mucosa,2019-06-01,0,0,0,0,0,0
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2019-06-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2019-06-01,0,0,0,1,0,1
TACOPAYA,leishmaniasis,tratamientos de leishmania mucosa,2019-06-01,1,0,0,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2019-07-01,0,0,2,0,2,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2019-07-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2019-07-01,2,1,0,1,2,2
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2019-07-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2019-07-01,1,1,0,0,1,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2019-07-01,0,1,0,1,0,2
PUNATA,leishmaniasis,tratamientos de leishmania mucosa,2019-07-01,1,0,0,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2019-07-01,1,0,0,0,1,0
TACOPAYA,leishmaniasis,tratamientos de leishmania mucosa,2019-07-01,0,0,1,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2019-08-01,0,0,1,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2019-08-01,1,0,3,0,4,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2019-08-01,0,1,1,1,1,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2019-08-01,1,0,0,0,1,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2019-08-01,1,0,0,0,1,0
MACHARETI,leishmaniasis,tratamientos de leishmania mucosa,2019-08-01,1,0,49,0,50,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2019-08-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2019-08-01,1,0,1,0,2,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2019-08-01,1,0,0,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,1,2,0,0,1,2
CAJUATA,leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,3,0,4,0,7,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,1,0,0,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,0,0,0,1,0,1
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,0,0,3,2,3,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,0,0,1,0,1,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,1,0,1,0,2,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,3,2,1,0,4,2
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,1,1,0,0,1,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,1,0,0,0,1,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,1,0,1,0,2,0
VILLA MONTES,leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,0,0,0,6,0,6
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,0,1,0,0,0,1
YANACACHI,leishmaniasis,tratamientos de leishmania mucosa,2019-09-01,0,0,21,0,21,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,1,0,1,0,2,0
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,1,0,0,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,0,0,0,2,0,2
CAJUATA,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,2,1,2,0,4,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,0,0,1,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,3,0,1,0,4,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,1,0,0,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,1,0,1,1,2,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,0,0,1,1,1,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,1,1,1,1,2,2
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,1,1,1,0,2,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2019-10-01,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,0,1,0,0,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,4,2,1,0,5,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,0,0,5,0,5,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,0,1,1,0,1,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,0,2,0,0,0,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,0,2,0,2,0,4
MONTERO,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,17,0,361,0,378,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,1,1,0,0,1,1
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,0,1,0,0,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,5,2,0,0,5,2
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,0,0,0,1,0,1
YACUIBA,leishmaniasis,tratamientos de leishmania mucosa,2019-11-01,4,0,84,0,88,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,0,1,0,2,0,3
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,1,0,0,0,1,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,2,0,4,1,6,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,1,0,1,0,2,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,0,0,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,1,0,0,0,1,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,0,0,1,1,1,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,7,2,3,2,10,4
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,1,0,0,0,1,0
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,2,0,0,0,2,0
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa,2019-12-01,1,0,0,0,1,0
