,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,0,0,2,0,2,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,22,18,16,12,38,30
LICOMA PAMPA,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,0,1,0,1,0,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,0,1,1,0,1,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,4,1,5,3,9,4
PUERTO SUAREZ,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,1,0,0,0,1,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,1,0,3,0,4,0
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,3,0,0,3,3,3
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,10,1,3,2,13,3
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,1,2,2,1,3,3
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,1,2,2,2,3,4
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,8,2,8,2,16,4
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,0,1,0,0,0,1
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,1,0,11,3,12,3
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,3,1,0,0,3,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,21,14,12,7,33,21
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,3,0,3,0,6,0
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,2,0,1,0,3,0
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,2,0,0,0,2,0
BETANZOS,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,1,0,0,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,1,0,1,1,2,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,4,1,1,0,5,1
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,1,0,5,1,6,1
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,0,2,0,0,0,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,0,1,0,0,0,1
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,5,1,3,1,8,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,3,0,1,0,4,0
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,2,0,0,0,2,0
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,3,1,10,1,13,2
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,3,0,0,0,3,0
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,1,0,1,0,2,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,1,3,1,1,2,4
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,1,0,0,0,1,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,6,6,15,15,21,21
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,1,0,0,0,1,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,0,1,0,1,0,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,3,1,2,1,5,2
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,0,1,0,0,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,2,1,1,0,3,1
REYES,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,4,0,2,0,6,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,5,1,9,1,14,2
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,1,1,0,0,1,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,1,0,0,1,1,1
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,1,1,2,2,3,3
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,2,0,0,0,2,0
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,0,0,0,1,0,1
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,2,1,1,0,3,1
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,2,0,0,0,2,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2019-02-01,10,6,11,11,21,17
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,5,5,5,5,10,10
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,1,0,0,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,2,2,1,1,3,3
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,2,2,0,0,2,2
CAIROMA,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,1,0,1,0,2,0
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,0,1,3,2,3,3
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,0,3,1,3,1,6
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,1,0,0,1,1,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,0,1,0,2,0,3
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,6,2,7,2,13,4
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,1,2,1,2,2,4
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,1,0,0,0,1,0
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,0,0,2,0,2,0
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,4,0,0,0,4,0
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,1,0,2,1,3,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,2,0,0,0,2,0
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,3,0,3,0,6,0
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,1,2,0,0,1,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,0,0,0,1,0,1
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,2,2,2,2,4,4
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,10,7,2,5,12,12
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,0,0,1,0,1,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,5,6,6,4,11,10
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,1,0,0,0,1,0
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,3,0,1,1,4,1
REYES,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,0,0,1,0,1,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,2,0,6,1,8,1
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,1,0,1,1,2,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,1,2,0,0,1,2
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,1,0,2,2,3,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,6,3,7,2,13,5
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,0,0,1,0,1,0
TIQUIPAYA,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2019-03-01,7,6,9,7,16,13
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,7,2,7,2,14,4
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,0,0,1,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,0,1,1,2,1,3
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,0,1,0,1,0,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,9,7,0,0,9,7
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,0,0,1,1,1,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,0,1,0,0,0,1
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,8,3,4,1,12,4
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,0,0,1,0,1,0
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,1,1,1,1,2,2
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,4,2,8,0,12,2
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,2,0,1,0,3,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,1,0,3,0,4,0
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,3,1,2,0,5,1
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,1,1,0,1,1,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,3,1,1,2,4,3
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,4,6,0,1,4,7
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,3,6,8,8,11,14
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,0,1,0,0,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,8,5,1,1,9,6
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,2,0,1,0,3,0
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,1,0,0,0,1,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,1,0,2,0,3,0
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,10,1,10,1,20,2
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,6,1,0,1,6,2
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,6,2,6,2,12,4
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,0,0,2,0,2,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,7,0,7,1,14,1
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,2,2,0,0,2,2
TIPUANI,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,1,2,0,0,1,2
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,2,1,0,0,2,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2019-04-01,9,6,7,6,16,12
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,1,0,2,0,3,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,0,1,0,1,0,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,3,0,1,0,4,0
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,1,2,0,0,1,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,2,3,14,9,16,12
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,2,0,1,0,3,0
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,20,7,18,5,38,12
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,0,1,0,0,0,1
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,1,1,3,2,4,3
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,1,0,0,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,2,1,5,2,7,3
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,3,0,0,0,3,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,1,1,5,5,6,6
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,1,0,3,1,4,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,3,6,4,8,7,14
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,2,1,2,1,4,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,2,5,4,5,6,10
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,5,0,8,0,13,0
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,0,0,1,0,1,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,1,0,1,0,2,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,1,0,0,0,1,0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,2,1,1,1,3,2
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,0,0,1,0,1,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,1,0,5,1,6,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,4,1,2,0,6,1
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,1,3,2,0,3,3
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,5,1,2,0,7,1
SENA,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,1,0,0,0,1,0
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,0,0,1,1,1,1
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,3,1,0,0,3,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,5,1,9,3,14,4
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2019-05-01,1,0,0,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,1,0,0,0,1
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,0,1,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,0,2,0,2,0
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,1,0,2,2,3,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,1,5,1,4,2,9
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,0,2,0,2,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,1,0,3,0,4,0
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,2,3,4,2,6,5
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,1,0,1,0,2,0
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,1,0,1,0,2
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,0,1,1,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,7,1,1,0,8,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,0,1,0,1,0
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,5,2,5,2,10,4
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,3,2,3,1,6,3
HUACARETA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,1,1,0,1,1,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,2,1,0,2,2,3
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,1,0,1,0,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,2,1,3,0,5,1
LICOMA PAMPA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,1,0,1,0,2
MONTERO,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,1,0,1,0,2,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,3,1,3,3,6,4
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,2,0,2,0,4,0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,0,1,0,1,0
REYES,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,7,1,7,1,14,2
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,1,0,0,0,1,0
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,1,1,1,1,2,2
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,3,4,1,4,4
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,0,0,3,0,3
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,1,0,1,0,2,0
SAN LORENZO(TJA),leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,1,0,0,0,1,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,0,1,0,1,0
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,1,0,1,0,2,0
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,1,1,0,0,1,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,2,0,4,0,6,0
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2019-06-01,0,0,1,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,1,1,0,1,1,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,1,0,2,0,3,0
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,0,0,1,1,1,1
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,1,0,0,0,1,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,0,3,0,0,0,3
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,8,1,7,3,15,4
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,0,1,0,1,0,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,1,0,1,0,2,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,0,2,0,0,0,2
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,1,0,0,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,0,1,1,3,1,4
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,2,1,2,0,4,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,1,3,2,2,3,5
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,5,3,3,1,8,4
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,1,1,1,1,2,2
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,0,0,1,0,1,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,0,1,0,1,0,2
REYES,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,3,0,4,0,7,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,1,0,0,2,1,2
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,0,0,0,1,0,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,2,0,0,0,2,0
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,1,1,0,0,1,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,0,1,1,0,1,1
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2019-07-01,1,0,1,0,2,0
AYATA,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,1,0,0,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,2,1,3,1,5,2
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,1,1,0,0,1,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,0,0,1,0,1,0
"CAIZA ""D""",leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,8,7,0,0,8,7
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,1,1,1,0,2,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,1,1,0,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,36,9,3,0,39,9
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,5,2,10,2,15,4
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,0,0,2,2,2,2
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,1,1,0,2,1,3
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,3,2,0,0,3,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,0,0,0,1,0,1
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,1,0,1,0,2,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,2,3,2,4,4,7
MACHARETI,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,0,0,0,20,0,20
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,4,2,3,2,7,4
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,1,1,1,2,2,3
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,8,1,0,0,8,1
REYES,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,1,0,1,0,2,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,0,0,1,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,1,2,2,0,3,2
SENA,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,2,0,0,0,2,0
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,2,0,0,0,2,0
TIQUIPAYA,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,1,0,1,0,2,0
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,1,0,0,0,1,0
YACUIBA,leishmaniasis,tratamientos de leishmania cutanea,2019-08-01,1,0,0,0,1,0
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2019-09-01,0,1,0,1,0,2
