,group,variable,month,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
CORIPATA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,10,10
COROICO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,39,39
CORQUE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,3,3
COTOCA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,212,212
CUATRO CAÑADAS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,79,79
CUEVO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,8,8
CULPINA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,25,25
CURAHUARA DE CARANGAS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,18,18
DESAGUADERO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,6,6
EL ALTO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,1937,1937
EL CHORO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,8,8
EL PUENTE(STC),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,12,12
EL PUENTE(TJA),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,13,13
EL TORNO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,271,271
EL VILLAR,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,4,4
ENTRE RIOS TRJ,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,25,25
ENTRE RIOS CBBA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,90,90
ESCOMA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,8,8
EUCALIPTUS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,7,7
FERNANDEZ ALONSO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,22,22
FILADELFIA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,12,12
GUANAY,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,21,21
GUAQUI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,12,12
GUAYARAMERIN,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,322,322
GUTIERREZ,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,35,35
HUACARETA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,5,5
HUACAYA (VILLA DE HUACAYA),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,6,6
HUACHACALLA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,6,6
HUANUNI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,66,66
HUAYLLAMARCA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,5,5
ICLA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,11,11
INCAHUASI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,16,16
INGAVI (HUMAITA),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,1,1
LA ASUNTA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,72,72
LA GUARDIA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,151,151
LA PAZ,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,2270,2270
LA RIVERA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,1,1
LAJA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,3,3
LAS CARRERAS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,6,6
LLALLAGUA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,186,186
LORETO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,6,6
MACHACAMARCA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,8,8
MACHARETI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,9,9
MAIRANA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,37,37
MAPIRI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,33,33
MINEROS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,7,7
MIZQUE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,65,65
MOJOCOYA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,15,15
MONTEAGUDO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,59,59
MONTERO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,351,351
MOROCHATA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,5,5
NACEBE (SANTA ROSA DEL ABUNA),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,3,3
OCURI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,15,15
OMEREQUE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,9,9
ORURO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,900,900
PADCAYA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,26,26
PADILLA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,6,6
PALOS BLANCOS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,34,34
PAZÑA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,10,10
POCONA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,3,3
PORCO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,7,7
POROMA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,11,11
PORONGO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,2,2
PORTACHUELO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,91,91
PORVENIR,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,9,9
POSTRER VALLE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,2,2
POTOSI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,264,264
PRESTO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,8,8
PUERTO GONZALO MORENO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,7,7
PUERTO QUIJARRO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,15,15
PUERTO RICO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,28,28
PUERTO SUAREZ,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,57,57
PUERTO VILLARROEL,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,343,343
PUNA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,30,30
PUNATA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,147,147
QUILLACOLLO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,489,489
QUIME,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,11,11
RAVELO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,9,9
REYES,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,17,17
RIBERALTA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,529,529
ROBORE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,38,38
RURRENABAQUE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,24,24
SABAYA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,5,5
SACABA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,469,469
SACABAMBA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,1,1
SACACA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,29,29
SAIPINA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,12,12
SALINAS DE GARCI MENDOZA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,16,16
SAMAIPATA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,15,15
SAN BENITO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,15,15
SAN BORJA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,67,67
SAN BUENA VENTURA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,29,29
SAN CARLOS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,57,57
SAN IGNACIO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,35,35
SAN IGNACIO DE VELASCO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,164,164
SAN JAVIER(STC),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,29,29
SAN JOSE DE CHIQUITOS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,58,58
SAN JUAN DE YAPACANI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,18,18
SAN JULIAN,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,74,74
SAN LORENZO(PND),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,13,13
SAN LORENZO(TJA),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,32,32
SAN LUCAS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,48,48
SAN MATIAS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,32,32
SAN MIGUEL DE VELASCO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,19,19
SAN PEDRO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,51,51
SAN PEDRO DE BUENA VISTA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,42,42
SAN PEDRO DE QUEMES,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,4,4
SAN RAFAEL,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,4,4
SAN RAMON BENI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,12,12
SAN RAMON SCZ,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,19,19
SANTA ANA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,41,41
SANTA CRUZ DE LA SIERRA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,2154,2154
SANTA ROSA DEL SARA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,33,33
SANTIAGO DE HUARI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,6,6
SENA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,9,9
SICAYA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,5,5
SIPE SIPE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,104,104
SOPACHUY,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,11,11
SORATA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,19,19
SUCRE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,560,560
TACOPAYA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,3,3
TAPACARI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,11,11
TARABUCO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,22,22
TARATA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,27,27
TARIJA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,1914,1914
TARVITA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,32,32
TEOPONTE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,15,15
TIAWANACU,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,15,15
TINGUIPAYA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,1,1
TIQUIPAYA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,237,237
TIRAQUE (CBBA),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,26,26
TOCO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,20,20
TOLATA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,11,11
TOLEDO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,5,5
TOMAVE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,2,2
TOMINA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,4,4
TORO TORO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,16,16
TOTORA(CBBA),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,71,71
TOTORA(ORR),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,4,4
TRINIDAD,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,85,85
TUPIZA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,40,40
UNCIA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,14,14
URIONDO (A. CONCEPCION),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,35,35
URUBICHA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,22,22
UYUNI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,124,124
VACAS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,1,1
VALLEGRANDE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,68,68
VIACHA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,204,204
VILLA CHARCAS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,26,26
VILLA MONTES,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,138,138
VILLA NUEVA (LOMA ALTA),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,2,2
VILLA RIVERO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,18,18
VILLA SERRANO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,8,8
VILLA TUNARI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,252,252
VILLA VACA GUZMAN (MUYUPAMPA),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,21,21
VILLAZON,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,149,149
VINTO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,156,156
VITICHI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,2,2
WARNES,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,253,253
YACUIBA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,109,109
YAMPARAEZ,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,16,16
YAPACANI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,200,200
YOTALA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,11,11
YUNCHARA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,5,5
ZUDAÑEZ,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,19,19
ACACIO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,1,1
AIQUILE,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,40,40
ALCALA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,3,3
ANCORAIMES,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,3,3
ANDAMARCA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,3,3
ANTEQUERA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,1,1
APOLO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,13,13
ARANI,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,2,2
ARBIETO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,33,33
ASCENCION DE GUARAYOS,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,114,114
ATOCHA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,39,39
AZURDUY,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,22,22
BELLA FLOR,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,3,3
BERMEJO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,106,106
BETANZOS,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,38,38
BOLPEBRA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,2,2
BOYUIBE,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,10,10
BUENA VISTA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,23,23
CABEZAS,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,47,47
"CAIZA ""D""",vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,6,6
CAJUATA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,1,1
CALAMARCA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,7,7
CAMARGO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,18,18
CAMATAQUI (C. VILLA ABECIA),vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,5,5
CAMIRI,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,154,154
CAPINOTA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,56,56
CARACOLLO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,5,5
CARANAVI,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,95,95
CARAPARI,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,25,25
CARMEN RIVERO TORREZ,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,17,17
CHALLAPATA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,118,118
CHAQUI,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,3,3
CHARAGUA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,58,58
CHAYANTA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,7,7
CHIMORE,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,68,68
CHIPAYA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,5,5
CHULUMANI (V. DE LA LIBERTAD),vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,52,52
CHUMA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,3,3
CHUQUIHUTA AYLLU JUCUMANI,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,7,7
CLIZA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,83,83
COBIJA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,208,208
COCAPATA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,28,28
COCHABAMBA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,988,988
COLCAPIRHUA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,163,163
COLOMI,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,1,1
COLPA BELGICA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,7,7
COLQUECHACA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,3,3
COLQUIRI,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,5,5
COMARAPA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,45,45
CONCEPCION,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,34,34
CORIPATA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,13,13
COROICO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,59,59
CORQUE,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,3,3
COTOCA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,176,176
CUATRO CAÑADAS,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,2,2
CUEVO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,7,7
CULPINA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,25,25
CURAHUARA DE CARANGAS,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,5,5
DESAGUADERO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,4,4
EL ALTO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,1776,1776
EL CHORO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,2,2
EL PUENTE(STC),vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,15,15
EL PUENTE(TJA),vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,10,10
EL TORNO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,191,191
ENTRE RIOS TRJ,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,29,29
ENTRE RIOS CBBA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,71,71
ESCOMA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,11,11
EUCALIPTUS,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,15,15
FERNANDEZ ALONSO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,24,24
FILADELFIA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,15,15
GENERAL SAAVEDRA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,37,37
GRAL. J.J. PEREZ (CHARAZANI),vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,1,1
GUAQUI,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,3,3
GUAYARAMERIN,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,285,285
GUTIERREZ,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,25,25
HUACARETA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,18,18
HUACAYA (VILLA DE HUACAYA),vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,8,8
HUACHACALLA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,2,2
HUANUNI,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,48,48
HUAYLLAMARCA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,6,6
ICLA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,6,6
INCAHUASI,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,10,10
IRUPANA (VILLA DE LANZA),vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,23,23
LA ASUNTA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,57,57
LA GUARDIA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,166,166
LA PAZ,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,1923,1923
LAGUNILLAS,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,6,6
LAS CARRERAS,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,9,9
LLALLAGUA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,178,178
MACHACAMARCA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,4,4
MACHARETI,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,16,16
MAIRANA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,52,52
MIZQUE,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,62,62
MOJOCOYA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,16,16
MONTEAGUDO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,57,57
MONTERO,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,597,597
MOROCHATA,vih,no de mujeres embarazadas con prueba rapida,2016-02-01,0,14,14
