,group,variable,month,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
GUAYARAMERIN,vih,no de personas con prueba rapida,2016-01-01,55,124,179
GUTIERREZ,vih,no de personas con prueba rapida,2016-01-01,3,24,27
HUACARETA,vih,no de personas con prueba rapida,2016-01-01,0,2,2
HUACAYA (VILLA DE HUACAYA),vih,no de personas con prueba rapida,2016-01-01,0,4,4
HUANUNI,vih,no de personas con prueba rapida,2016-01-01,26,70,96
HUAYLLAMARCA,vih,no de personas con prueba rapida,2016-01-01,5,1,6
ICLA,vih,no de personas con prueba rapida,2016-01-01,1,0,1
INCAHUASI,vih,no de personas con prueba rapida,2016-01-01,3,3,6
LA ASUNTA,vih,no de personas con prueba rapida,2016-01-01,7,16,23
LA GUARDIA,vih,no de personas con prueba rapida,2016-01-01,27,38,65
LA PAZ,vih,no de personas con prueba rapida,2016-01-01,438,941,1379
LLALLAGUA,vih,no de personas con prueba rapida,2016-01-01,10,10,20
MAIRANA,vih,no de personas con prueba rapida,2016-01-01,1,2,3
MAPIRI,vih,no de personas con prueba rapida,2016-01-01,2,1,3
MINEROS,vih,no de personas con prueba rapida,2016-01-01,1,0,1
MIZQUE,vih,no de personas con prueba rapida,2016-01-01,3,7,10
MOJOCOYA,vih,no de personas con prueba rapida,2016-01-01,2,2,4
MONTEAGUDO,vih,no de personas con prueba rapida,2016-01-01,22,48,70
MONTERO,vih,no de personas con prueba rapida,2016-01-01,111,349,460
NUEVO MANOA (NUEVA ESPERANZA),vih,no de personas con prueba rapida,2016-01-01,0,2,2
OCURI,vih,no de personas con prueba rapida,2016-01-01,0,13,13
OMEREQUE,vih,no de personas con prueba rapida,2016-01-01,2,0,2
ORURO,vih,no de personas con prueba rapida,2016-01-01,68,184,252
PADILLA,vih,no de personas con prueba rapida,2016-01-01,1,3,4
PALOS BLANCOS,vih,no de personas con prueba rapida,2016-01-01,4,2,6
PAZÑA,vih,no de personas con prueba rapida,2016-01-01,3,2,5
POCONA,vih,no de personas con prueba rapida,2016-01-01,1,1,2
POROMA,vih,no de personas con prueba rapida,2016-01-01,0,1,1
PORONGO,vih,no de personas con prueba rapida,2016-01-01,0,1,1
POTOSI,vih,no de personas con prueba rapida,2016-01-01,25,90,115
PUERTO GONZALO MORENO,vih,no de personas con prueba rapida,2016-01-01,1,18,19
PUERTO QUIJARRO,vih,no de personas con prueba rapida,2016-01-01,6,35,41
PUERTO SUAREZ,vih,no de personas con prueba rapida,2016-01-01,1,4,5
PUERTO VILLARROEL,vih,no de personas con prueba rapida,2016-01-01,40,71,111
PUNA,vih,no de personas con prueba rapida,2016-01-01,8,0,8
PUNATA,vih,no de personas con prueba rapida,2016-01-01,11,174,185
QUILLACOLLO,vih,no de personas con prueba rapida,2016-01-01,20,26,46
QUIME,vih,no de personas con prueba rapida,2016-01-01,3,6,9
RIBERALTA,vih,no de personas con prueba rapida,2016-01-01,20,60,80
ROBORE,vih,no de personas con prueba rapida,2016-01-01,4,2,6
RURRENABAQUE,vih,no de personas con prueba rapida,2016-01-01,0,28,28
SABAYA,vih,no de personas con prueba rapida,2016-01-01,13,27,40
SACABA,vih,no de personas con prueba rapida,2016-01-01,13,100,113
SACABAMBA,vih,no de personas con prueba rapida,2016-01-01,0,1,1
SACACA,vih,no de personas con prueba rapida,2016-01-01,1,6,7
SALINAS DE GARCI MENDOZA,vih,no de personas con prueba rapida,2016-01-01,1,0,1
SAMAIPATA,vih,no de personas con prueba rapida,2016-01-01,6,2,8
SAN BENITO,vih,no de personas con prueba rapida,2016-01-01,1,1,2
SAN BORJA,vih,no de personas con prueba rapida,2016-01-01,2,9,11
SAN BUENA VENTURA,vih,no de personas con prueba rapida,2016-01-01,2,2,4
SAN CARLOS,vih,no de personas con prueba rapida,2016-01-01,12,17,29
SAN IGNACIO,vih,no de personas con prueba rapida,2016-01-01,3,1,4
SAN IGNACIO DE VELASCO,vih,no de personas con prueba rapida,2016-01-01,34,46,80
SAN JAVIER(STC),vih,no de personas con prueba rapida,2016-01-01,3,29,32
SAN JOSE DE CHIQUITOS,vih,no de personas con prueba rapida,2016-01-01,16,20,36
SAN JUAN DE YAPACANI,vih,no de personas con prueba rapida,2016-01-01,1,5,6
SAN JULIAN,vih,no de personas con prueba rapida,2016-01-01,6,31,37
SAN LUCAS,vih,no de personas con prueba rapida,2016-01-01,6,6,12
SAN MATIAS,vih,no de personas con prueba rapida,2016-01-01,0,32,32
SAN PEDRO,vih,no de personas con prueba rapida,2016-01-01,63,92,155
SAN RAMON BENI,vih,no de personas con prueba rapida,2016-01-01,0,1,1
SAN RAMON SCZ,vih,no de personas con prueba rapida,2016-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,vih,no de personas con prueba rapida,2016-01-01,762,998,1760
SANTA ROSA DEL SARA,vih,no de personas con prueba rapida,2016-01-01,1,1,2
SICAYA,vih,no de personas con prueba rapida,2016-01-01,1,2,3
SIPE SIPE,vih,no de personas con prueba rapida,2016-01-01,4,22,26
SOPACHUY,vih,no de personas con prueba rapida,2016-01-01,4,26,30
SORATA,vih,no de personas con prueba rapida,2016-01-01,1,2,3
SUCRE,vih,no de personas con prueba rapida,2016-01-01,143,1202,1345
TACOPAYA,vih,no de personas con prueba rapida,2016-01-01,0,3,3
TAPACARI,vih,no de personas con prueba rapida,2016-01-01,3,8,11
TARABUCO,vih,no de personas con prueba rapida,2016-01-01,18,23,41
TARATA,vih,no de personas con prueba rapida,2016-01-01,3,1,4
TARIJA,vih,no de personas con prueba rapida,2016-01-01,155,359,514
TARVITA,vih,no de personas con prueba rapida,2016-01-01,4,26,30
TEOPONTE,vih,no de personas con prueba rapida,2016-01-01,0,11,11
TIAWANACU,vih,no de personas con prueba rapida,2016-01-01,2,6,8
TIQUIPAYA,vih,no de personas con prueba rapida,2016-01-01,32,53,85
TOCO,vih,no de personas con prueba rapida,2016-01-01,5,2,7
TOLATA,vih,no de personas con prueba rapida,2016-01-01,4,3,7
TOMINA,vih,no de personas con prueba rapida,2016-01-01,1,2,3
TORO TORO,vih,no de personas con prueba rapida,2016-01-01,1,0,1
TOTORA(CBBA),vih,no de personas con prueba rapida,2016-01-01,9,9,18
TOTORA(ORR),vih,no de personas con prueba rapida,2016-01-01,1,3,4
TRINIDAD,vih,no de personas con prueba rapida,2016-01-01,22,62,84
TUPIZA,vih,no de personas con prueba rapida,2016-01-01,1,24,25
UNCIA,vih,no de personas con prueba rapida,2016-01-01,0,2,2
URUBICHA,vih,no de personas con prueba rapida,2016-01-01,18,32,50
UYUNI,vih,no de personas con prueba rapida,2016-01-01,3,52,55
VACAS,vih,no de personas con prueba rapida,2016-01-01,0,1,1
VALLEGRANDE,vih,no de personas con prueba rapida,2016-01-01,13,11,24
VIACHA,vih,no de personas con prueba rapida,2016-01-01,22,72,94
VILLA CHARCAS,vih,no de personas con prueba rapida,2016-01-01,1,11,12
VILLA MONTES,vih,no de personas con prueba rapida,2016-01-01,20,16,36
VILLA RIVERO,vih,no de personas con prueba rapida,2016-01-01,2,18,20
VILLA SERRANO,vih,no de personas con prueba rapida,2016-01-01,5,13,18
VILLA TUNARI,vih,no de personas con prueba rapida,2016-01-01,51,89,140
VILLA VACA GUZMAN (MUYUPAMPA),vih,no de personas con prueba rapida,2016-01-01,6,85,91
VILLAZON,vih,no de personas con prueba rapida,2016-01-01,16,32,48
VINTO,vih,no de personas con prueba rapida,2016-01-01,0,40,40
WARNES,vih,no de personas con prueba rapida,2016-01-01,98,29,127
YACUIBA,vih,no de personas con prueba rapida,2016-01-01,121,95,216
YAMPARAEZ,vih,no de personas con prueba rapida,2016-01-01,0,1,1
YAPACANI,vih,no de personas con prueba rapida,2016-01-01,37,37,74
YOTALA,vih,no de personas con prueba rapida,2016-01-01,0,10,10
YUNCHARA,vih,no de personas con prueba rapida,2016-01-01,3,6,9
ZUDAÑEZ,vih,no de personas con prueba rapida,2016-01-01,1,2,3
ACACIO,vih,no de personas con prueba rapida,2016-02-01,0,1,1
AIQUILE,vih,no de personas con prueba rapida,2016-02-01,4,35,39
ALCALA,vih,no de personas con prueba rapida,2016-02-01,3,0,3
ALTO BENI,vih,no de personas con prueba rapida,2016-02-01,1,0,1
ANDAMARCA,vih,no de personas con prueba rapida,2016-02-01,1,0,1
ANTEQUERA,vih,no de personas con prueba rapida,2016-02-01,0,1,1
APOLO,vih,no de personas con prueba rapida,2016-02-01,1,17,18
ARBIETO,vih,no de personas con prueba rapida,2016-02-01,0,2,2
ASCENCION DE GUARAYOS,vih,no de personas con prueba rapida,2016-02-01,102,257,359
AYOPAYA (V. DE INDEPENDENCIA),vih,no de personas con prueba rapida,2016-02-01,2,10,12
AZURDUY,vih,no de personas con prueba rapida,2016-02-01,30,61,91
BERMEJO,vih,no de personas con prueba rapida,2016-02-01,4,14,18
BETANZOS,vih,no de personas con prueba rapida,2016-02-01,1,0,1
BOLPEBRA,vih,no de personas con prueba rapida,2016-02-01,1,3,4
BOYUIBE,vih,no de personas con prueba rapida,2016-02-01,1,0,1
BUENA VISTA,vih,no de personas con prueba rapida,2016-02-01,2,0,2
CABEZAS,vih,no de personas con prueba rapida,2016-02-01,1,1,2
CALAMARCA,vih,no de personas con prueba rapida,2016-02-01,6,5,11
CAMARGO,vih,no de personas con prueba rapida,2016-02-01,14,46,60
CAMATAQUI (C. VILLA ABECIA),vih,no de personas con prueba rapida,2016-02-01,2,2,4
CAMIRI,vih,no de personas con prueba rapida,2016-02-01,18,25,43
CAPINOTA,vih,no de personas con prueba rapida,2016-02-01,6,14,20
CARANAVI,vih,no de personas con prueba rapida,2016-02-01,57,27,84
CARAPARI,vih,no de personas con prueba rapida,2016-02-01,0,2,2
CARMEN RIVERO TORREZ,vih,no de personas con prueba rapida,2016-02-01,29,11,40
CHALLAPATA,vih,no de personas con prueba rapida,2016-02-01,4,121,125
CHARAGUA,vih,no de personas con prueba rapida,2016-02-01,1,3,4
CHIMORE,vih,no de personas con prueba rapida,2016-02-01,44,74,118
CHIPAYA,vih,no de personas con prueba rapida,2016-02-01,0,1,1
CHOQUE COTA,vih,no de personas con prueba rapida,2016-02-01,7,3,10
CHULUMANI (V. DE LA LIBERTAD),vih,no de personas con prueba rapida,2016-02-01,8,13,21
CHUMA,vih,no de personas con prueba rapida,2016-02-01,1,4,5
CHUQUIHUTA AYLLU JUCUMANI,vih,no de personas con prueba rapida,2016-02-01,1,7,8
CLIZA,vih,no de personas con prueba rapida,2016-02-01,7,5,12
COBIJA,vih,no de personas con prueba rapida,2016-02-01,20,6,26
COCHABAMBA,vih,no de personas con prueba rapida,2016-02-01,111,163,274
COLCAPIRHUA,vih,no de personas con prueba rapida,2016-02-01,7,16,23
COLOMI,vih,no de personas con prueba rapida,2016-02-01,0,1,1
COLQUIRI,vih,no de personas con prueba rapida,2016-02-01,3,1,4
COMARAPA,vih,no de personas con prueba rapida,2016-02-01,7,7,14
CONCEPCION,vih,no de personas con prueba rapida,2016-02-01,0,19,19
COROICO,vih,no de personas con prueba rapida,2016-02-01,1,7,8
COTOCA,vih,no de personas con prueba rapida,2016-02-01,7,7,14
CUEVO,vih,no de personas con prueba rapida,2016-02-01,0,1,1
CULPINA,vih,no de personas con prueba rapida,2016-02-01,2,22,24
CURAHUARA DE CARANGAS,vih,no de personas con prueba rapida,2016-02-01,15,13,28
DESAGUADERO,vih,no de personas con prueba rapida,2016-02-01,2,13,15
EL ALTO,vih,no de personas con prueba rapida,2016-02-01,162,1222,1384
EL CHORO,vih,no de personas con prueba rapida,2016-02-01,0,2,2
EL PUENTE(STC),vih,no de personas con prueba rapida,2016-02-01,11,8,19
EL TORNO,vih,no de personas con prueba rapida,2016-02-01,56,130,186
EL VILLAR,vih,no de personas con prueba rapida,2016-02-01,3,0,3
ENTRE RIOS TRJ,vih,no de personas con prueba rapida,2016-02-01,6,18,24
ENTRE RIOS CBBA,vih,no de personas con prueba rapida,2016-02-01,58,64,122
ESCOMA,vih,no de personas con prueba rapida,2016-02-01,1,3,4
EUCALIPTUS,vih,no de personas con prueba rapida,2016-02-01,1,0,1
FERNANDEZ ALONSO,vih,no de personas con prueba rapida,2016-02-01,3,14,17
FILADELFIA,vih,no de personas con prueba rapida,2016-02-01,0,13,13
GENERAL SAAVEDRA,vih,no de personas con prueba rapida,2016-02-01,2,37,39
GRAL. J.J. PEREZ (CHARAZANI),vih,no de personas con prueba rapida,2016-02-01,1,1,2
GUAQUI,vih,no de personas con prueba rapida,2016-02-01,0,4,4
GUAYARAMERIN,vih,no de personas con prueba rapida,2016-02-01,77,144,221
GUTIERREZ,vih,no de personas con prueba rapida,2016-02-01,7,13,20
HUACARETA,vih,no de personas con prueba rapida,2016-02-01,0,8,8
HUACAYA (VILLA DE HUACAYA),vih,no de personas con prueba rapida,2016-02-01,2,4,6
HUANUNI,vih,no de personas con prueba rapida,2016-02-01,14,105,119
HUAYLLAMARCA,vih,no de personas con prueba rapida,2016-02-01,3,1,4
ICLA,vih,no de personas con prueba rapida,2016-02-01,1,2,3
INCAHUASI,vih,no de personas con prueba rapida,2016-02-01,0,1,1
IRUPANA (VILLA DE LANZA),vih,no de personas con prueba rapida,2016-02-01,2,4,6
LA ASUNTA,vih,no de personas con prueba rapida,2016-02-01,12,15,27
LA GUARDIA,vih,no de personas con prueba rapida,2016-02-01,17,26,43
LA PAZ,vih,no de personas con prueba rapida,2016-02-01,572,1100,1672
LLALLAGUA,vih,no de personas con prueba rapida,2016-02-01,11,3,14
MAIRANA,vih,no de personas con prueba rapida,2016-02-01,0,1,1
MAPIRI,vih,no de personas con prueba rapida,2016-02-01,1,0,1
MIZQUE,vih,no de personas con prueba rapida,2016-02-01,13,8,21
MOJOCOYA,vih,no de personas con prueba rapida,2016-02-01,6,9,15
MONTEAGUDO,vih,no de personas con prueba rapida,2016-02-01,28,36,64
MONTERO,vih,no de personas con prueba rapida,2016-02-01,247,231,478
MOROCHATA,vih,no de personas con prueba rapida,2016-02-01,12,64,76
NUEVO MANOA (NUEVA ESPERANZA),vih,no de personas con prueba rapida,2016-02-01,16,2,18
OCURI,vih,no de personas con prueba rapida,2016-02-01,0,12,12
ORURO,vih,no de personas con prueba rapida,2016-02-01,119,231,350
PADCAYA,vih,no de personas con prueba rapida,2016-02-01,0,2,2
PADILLA,vih,no de personas con prueba rapida,2016-02-01,4,18,22
PAILON,vih,no de personas con prueba rapida,2016-02-01,19,70,89
PALCA,vih,no de personas con prueba rapida,2016-02-01,2,0,2
PALOS BLANCOS,vih,no de personas con prueba rapida,2016-02-01,6,2,8
PAMPA GRANDE,vih,no de personas con prueba rapida,2016-02-01,0,29,29
PASORAPA,vih,no de personas con prueba rapida,2016-02-01,20,17,37
PAZÑA,vih,no de personas con prueba rapida,2016-02-01,11,0,11
POCOATA,vih,no de personas con prueba rapida,2016-02-01,8,17,25
POCONA,vih,no de personas con prueba rapida,2016-02-01,29,7,36
PORVENIR,vih,no de personas con prueba rapida,2016-02-01,1,0,1
POTOSI,vih,no de personas con prueba rapida,2016-02-01,35,68,103
PRESTO,vih,no de personas con prueba rapida,2016-02-01,1,0,1
PUERTO GONZALO MORENO,vih,no de personas con prueba rapida,2016-02-01,2,47,49
PUERTO QUIJARRO,vih,no de personas con prueba rapida,2016-02-01,5,7,12
PUERTO RICO,vih,no de personas con prueba rapida,2016-02-01,0,9,9
PUERTO SUAREZ,vih,no de personas con prueba rapida,2016-02-01,6,4,10
PUERTO VILLARROEL,vih,no de personas con prueba rapida,2016-02-01,78,119,197
PUNATA,vih,no de personas con prueba rapida,2016-02-01,6,139,145
QUILLACOLLO,vih,no de personas con prueba rapida,2016-02-01,61,69,130
QUIME,vih,no de personas con prueba rapida,2016-02-01,6,8,14
REYES,vih,no de personas con prueba rapida,2016-02-01,3,9,12
RIBERALTA,vih,no de personas con prueba rapida,2016-02-01,13,53,66
ROBORE,vih,no de personas con prueba rapida,2016-02-01,4,2,6
RURRENABAQUE,vih,no de personas con prueba rapida,2016-02-01,3,43,46
SABAYA,vih,no de personas con prueba rapida,2016-02-01,1,7,8
SACABA,vih,no de personas con prueba rapida,2016-02-01,21,73,94
SACACA,vih,no de personas con prueba rapida,2016-02-01,0,2,2
SAIPINA,vih,no de personas con prueba rapida,2016-02-01,2,1,3
SAMAIPATA,vih,no de personas con prueba rapida,2016-02-01,2,5,7
SAN ANTONIO DE LOMERIO,vih,no de personas con prueba rapida,2016-02-01,1,0,1
SAN BENITO,vih,no de personas con prueba rapida,2016-02-01,0,1,1
SAN BORJA,vih,no de personas con prueba rapida,2016-02-01,1,3,4
SAN CARLOS,vih,no de personas con prueba rapida,2016-02-01,43,57,100
SAN IGNACIO,vih,no de personas con prueba rapida,2016-02-01,2,27,29
SAN IGNACIO DE VELASCO,vih,no de personas con prueba rapida,2016-02-01,34,38,72
SAN JAVIER(STC),vih,no de personas con prueba rapida,2016-02-01,1,44,45
SAN JOSE DE CHIQUITOS,vih,no de personas con prueba rapida,2016-02-01,15,20,35
SAN JULIAN,vih,no de personas con prueba rapida,2016-02-01,7,51,58
SAN LORENZO(TJA),vih,no de personas con prueba rapida,2016-02-01,1,1,2
SAN LUCAS,vih,no de personas con prueba rapida,2016-02-01,3,40,43
SAN MATIAS,vih,no de personas con prueba rapida,2016-02-01,0,28,28
SAN MIGUEL DE VELASCO,vih,no de personas con prueba rapida,2016-02-01,1,0,1
SAN PEDRO,vih,no de personas con prueba rapida,2016-02-01,103,81,184
SAN RAMON BENI,vih,no de personas con prueba rapida,2016-02-01,8,0,8
SAN RAMON SCZ,vih,no de personas con prueba rapida,2016-02-01,3,1,4
SANTA ANA,vih,no de personas con prueba rapida,2016-02-01,2,0,2
SANTA CRUZ DE LA SIERRA,vih,no de personas con prueba rapida,2016-02-01,627,1221,1848
SANTA ROSA,vih,no de personas con prueba rapida,2016-02-01,1,0,1
SANTA ROSA DEL SARA,vih,no de personas con prueba rapida,2016-02-01,0,8,8
SANTIVAÑES,vih,no de personas con prueba rapida,2016-02-01,2,0,2
SICAYA,vih,no de personas con prueba rapida,2016-02-01,1,4,5
SIPE SIPE,vih,no de personas con prueba rapida,2016-02-01,7,27,34
SOPACHUY,vih,no de personas con prueba rapida,2016-02-01,19,50,69
SUCRE,vih,no de personas con prueba rapida,2016-02-01,139,1070,1209
TACOPAYA,vih,no de personas con prueba rapida,2016-02-01,0,6,6
TAPACARI,vih,no de personas con prueba rapida,2016-02-01,7,11,18
TARABUCO,vih,no de personas con prueba rapida,2016-02-01,3,15,18
TARATA,vih,no de personas con prueba rapida,2016-02-01,12,0,12
TARIJA,vih,no de personas con prueba rapida,2016-02-01,144,234,378
TARVITA,vih,no de personas con prueba rapida,2016-02-01,3,22,25
TEOPONTE,vih,no de personas con prueba rapida,2016-02-01,1,0,1
TIAWANACU,vih,no de personas con prueba rapida,2016-02-01,1,5,6
TINGUIPAYA,vih,no de personas con prueba rapida,2016-02-01,0,2,2
TIQUIPAYA,vih,no de personas con prueba rapida,2016-02-01,272,381,653
TOCO,vih,no de personas con prueba rapida,2016-02-01,0,1,1
TOLATA,vih,no de personas con prueba rapida,2016-02-01,0,11,11
TOMINA,vih,no de personas con prueba rapida,2016-02-01,27,13,40
TOTORA(CBBA),vih,no de personas con prueba rapida,2016-02-01,7,80,87
TRINIDAD,vih,no de personas con prueba rapida,2016-02-01,31,59,90
TUPIZA,vih,no de personas con prueba rapida,2016-02-01,0,16,16
UNCIA,vih,no de personas con prueba rapida,2016-02-01,4,3,7
URUBICHA,vih,no de personas con prueba rapida,2016-02-01,1,2,3
UYUNI,vih,no de personas con prueba rapida,2016-02-01,18,69,87
VALLEGRANDE,vih,no de personas con prueba rapida,2016-02-01,28,6,34
VIACHA,vih,no de personas con prueba rapida,2016-02-01,10,26,36
VILLA CHARCAS,vih,no de personas con prueba rapida,2016-02-01,0,2,2
VILLA MONTES,vih,no de personas con prueba rapida,2016-02-01,32,34,66
VILLA RIVERO,vih,no de personas con prueba rapida,2016-02-01,12,31,43
VILLA SERRANO,vih,no de personas con prueba rapida,2016-02-01,16,10,26
VILLA TUNARI,vih,no de personas con prueba rapida,2016-02-01,46,95,141
VILLA VACA GUZMAN (MUYUPAMPA),vih,no de personas con prueba rapida,2016-02-01,78,11,89
VILLAZON,vih,no de personas con prueba rapida,2016-02-01,18,140,158
VINTO,vih,no de personas con prueba rapida,2016-02-01,0,60,60
WARNES,vih,no de personas con prueba rapida,2016-02-01,16,22,38
YACUIBA,vih,no de personas con prueba rapida,2016-02-01,25,43,68
YAMPARAEZ,vih,no de personas con prueba rapida,2016-02-01,0,3,3
YAPACANI,vih,no de personas con prueba rapida,2016-02-01,68,35,103
YOTALA,vih,no de personas con prueba rapida,2016-02-01,1,0,1
YUNCHARA,vih,no de personas con prueba rapida,2016-02-01,1,5,6
ZUDAÑEZ,vih,no de personas con prueba rapida,2016-02-01,14,27,41
ACHACACHI,vih,no de personas con prueba rapida,2016-03-01,1,1,2
AIQUILE,vih,no de personas con prueba rapida,2016-03-01,22,13,35
ALCALA,vih,no de personas con prueba rapida,2016-03-01,1,0,1
ANDAMARCA,vih,no de personas con prueba rapida,2016-03-01,3,1,4
ANTEQUERA,vih,no de personas con prueba rapida,2016-03-01,2,13,15
APOLO,vih,no de personas con prueba rapida,2016-03-01,1,19,20
ARBIETO,vih,no de personas con prueba rapida,2016-03-01,1,17,18
ASCENCION DE GUARAYOS,vih,no de personas con prueba rapida,2016-03-01,15,71,86
AYOPAYA (V. DE INDEPENDENCIA),vih,no de personas con prueba rapida,2016-03-01,22,42,64
AZURDUY,vih,no de personas con prueba rapida,2016-03-01,0,17,17
BELEN DE ANDAMARCA,vih,no de personas con prueba rapida,2016-03-01,111,26,137
BERMEJO,vih,no de personas con prueba rapida,2016-03-01,2,26,28
BETANZOS,vih,no de personas con prueba rapida,2016-03-01,1,6,7
BOLIVAR,vih,no de personas con prueba rapida,2016-03-01,6,6,12
CABEZAS,vih,no de personas con prueba rapida,2016-03-01,3,2,5
CALAMARCA,vih,no de personas con prueba rapida,2016-03-01,8,14,22
CAMARGO,vih,no de personas con prueba rapida,2016-03-01,31,97,128
CAMATAQUI (C. VILLA ABECIA),vih,no de personas con prueba rapida,2016-03-01,1,10,11
CAMIRI,vih,no de personas con prueba rapida,2016-03-01,16,9,25
CAPINOTA,vih,no de personas con prueba rapida,2016-03-01,3,11,14
CARANAVI,vih,no de personas con prueba rapida,2016-03-01,88,27,115
CARAPARI,vih,no de personas con prueba rapida,2016-03-01,1,7,8
CARMEN RIVERO TORREZ,vih,no de personas con prueba rapida,2016-03-01,59,61,120
CHALLAPATA,vih,no de personas con prueba rapida,2016-03-01,2,148,150
CHAQUI,vih,no de personas con prueba rapida,2016-03-01,0,1,1
CHARAGUA,vih,no de personas con prueba rapida,2016-03-01,1,3,4
CHIMORE,vih,no de personas con prueba rapida,2016-03-01,2,0,2
CHIPAYA,vih,no de personas con prueba rapida,2016-03-01,0,1,1
CHOQUE COTA,vih,no de personas con prueba rapida,2016-03-01,15,14,29
CHULUMANI (V. DE LA LIBERTAD),vih,no de personas con prueba rapida,2016-03-01,1,8,9
CHUMA,vih,no de personas con prueba rapida,2016-03-01,1,4,5
CHUQUIHUTA AYLLU JUCUMANI,vih,no de personas con prueba rapida,2016-03-01,0,1,1
CLIZA,vih,no de personas con prueba rapida,2016-03-01,2,4,6
