municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,11,11
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,3,3
SAN JULIAN,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,21,21
SAN LUCAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,0,0
TACOPAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,5,5
TARIJA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,14,14
TINGUIPAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
URUBICHA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
VILLA MONTES,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,2,2
WARNES,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
YAPACANI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
ACHOCALLA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,9,9
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,1,1
BETANZOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,1,1
CAPINOTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,1,1
CHUMA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,1,1
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,2,2
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,4,4
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,29,29
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,1,1
EL PUENTE(TJA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,3,3
HUACARETA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,1,1
PALOS BLANCOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,2,2
PUNA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,1,1
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,3,3
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,45,45
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,2,2
SAN JULIAN,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,27,27
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,0,0
SUCRE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,3,3
TACOPAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,2,2
TARABUCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,2,2
TARATA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,1,1
TOMINA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,2,2
VILLA MONTES,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-05-01,3,3
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
ATOCHA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
AZURDUY,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
BERMEJO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,8,8
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,2,2
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,4,4
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,2,2
ENTRE RIOS TRJ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,2,2
HUACAYA (VILLA DE HUACAYA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
LA GUARDIA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,19,19
LA PAZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
MONTEAGUDO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
PORTACHUELO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
POSTRER VALLE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,10,10
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,24,24
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
SAN JOSE DE CHIQUITOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
SAN JULIAN,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,20,20
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,0,0
SUCRE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
TARATA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
TARVITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
TUPIZA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-06-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
BERMEJO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,10,10
"CAIZA ""D""",referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,2,2
CHARAGUA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
CKOCHAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,5,5
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,3,3
COMARAPA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,3,3
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,19,19
CUEVO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,3,3
EL TORNO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
EL VILLAR,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
LA GUARDIA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,27,27
PAMPA GRANDE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
PORTACHUELO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
PUNA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
QUILLACOLLO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,2,2
RIBERALTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
SACABA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,4,4
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,4,4
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
SAN JAVIER(BNI),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,2,2
SAN JULIAN,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,10,10
SAN LORENZO(TJA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,2,2
SAN PABLO DE LIPEZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,21,21
SUCRE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,2,2
TARABUCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
TRINIDAD,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,2,2
TUPIZA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
URUBICHA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-07-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,1,1
BERMEJO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,14,14
CABEZAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,2,2
"CAIZA ""D""",referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,1,1
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,1,1
COMARAPA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,2,2
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,4,4
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,21,21
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,2,2
EL PUENTE(TJA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,5,5
LA GUARDIA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,32,32
OCURI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,2,2
PUNA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,1,1
RAVELO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,7,7
RIBERALTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,1,1
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,2,2
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,13,13
SAN JULIAN,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,20,20
SAN LORENZO(TJA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,4,4
SAN MATIAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,1,1
SUCRE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,2,2
TAPACARI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,3,3
TARATA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,2,2
TRINIDAD,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,3,3
URUBICHA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,1,1
VILLA MONTES,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-08-01,2,2
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,2,2
AZURDUY,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,2,2
BERMEJO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,12,12
BETANZOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,1,1
"CAIZA ""D""",referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,1,1
CAPINOTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,3,3
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,1,1
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,9,9
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,12,12
EL PUENTE(TJA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,9,9
ENTRE RIOS TRJ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,1,1
LA GUARDIA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,24,24
MACHARETI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,4,4
OCURI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,1,1
POTOSI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,2,2
PUNA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,1,1
QUILLACOLLO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,1,1
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,2,2
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,9,9
SAN BORJA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,1,1
SAN IGNACIO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,4,4
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,1,1
SAN JULIAN,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,32,32
SAN LORENZO(TJA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,9,9
SAN LUCAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,30,30
SUCRE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,2,2
VILLA MONTES,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-09-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,2,2
BERMEJO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,7,7
BOYUIBE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,1,1
"CAIZA ""D""",referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,1,1
CALACOTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,1,1
CAPINOTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,1,1
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,2,2
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,4,4
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,3,3
LA GUARDIA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,23,23
LA PAZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,1,1
PORTACHUELO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,1,1
POTOSI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,3,3
PRESTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,1,1
PUNA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,1,1
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,4,4
SACABA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,2,2
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,7,7
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,1,1
SAN JULIAN,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,27,27
SAN LUCAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,4,4
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,0,0
SENA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-10-01,1,1
