municipality,group,variable,month,Pacientes retornados al establecimiento de origen,TOTAL
CURAHUARA DE CARANGAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
DESAGUADERO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
EL ALTO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,4,4
EL PUENTE(STC),referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,3,3
EL TORNO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,7,7
GENERAL SAAVEDRA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
GUAYARAMERIN,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,6,6
GUTIERREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
HUACARETA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,4,4
HUACAYA (VILLA DE HUACAYA),referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
ICLA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,5,5
INCAHUASI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
JESUS DE MACHACA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
LA PAZ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,347,347
LAGUNILLAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
LORETO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
MAIRANA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,4,4
MAPIRI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
MECAPACA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
MONTEAGUDO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,8,8
MONTERO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,3,3
ORURO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,72,72
PADCAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,4,4
PAPEL PAMPA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
PATACAMAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
PORONGO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
PORTACHUELO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
POTOSI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,54,54
PUERTO SUAREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,8,8
PUERTO VILLARROEL,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,3,3
PUNA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,6,6
RIBERALTA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,14,14
ROBORE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,14,14
RURRENABAQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
SACABA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,10,10
SAIPINA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
SAN ANDRES,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
SAN BORJA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
SAN CARLOS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,4,4
SAN JAVIER(STC),referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
SAN JULIAN,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
SAN LORENZO(PND),referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,3,3
SAN LORENZO(TJA),referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,4,4
SAN LUCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,4,4
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,5,5
SAN PEDRO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,4,4
SAN PEDRO DE BUENA VISTA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,55,55
SANTA ROSA DEL SARA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
SENA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
SOPACHUY,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
SUCRE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,117,117
TACACOMA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
TARABUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,5,5
TARIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,8,8
TARVITA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,6,6
TINGUIPAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
TIQUIPAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
TOMAVE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
TOMINA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,5,5
TRINIDAD,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,135,135
TUPIZA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,19,19
TURCO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
URIONDO (A. CONCEPCION),referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
VILLA MONTES,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,3,3
VILLA SERRANO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,6,6
VILLA TUNARI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,7,7
VILLAZON,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,38,38
VINTO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
WARNES,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
YACUIBA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,64,64
YAPACANI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
ALTO BENI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
ANCORAIMES,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,2,2
AYO AYO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,2,2
AZURDUY,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
BETANZOS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,4,4
BOYUIBE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,3,3
BUENA VISTA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,4,4
CABEZAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,6,6
CHALLAPATA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,4,4
CHARAGUA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,5,5
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,70,70
COCAPATA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
COCHABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,3,3
COLPA BELGICA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,42,42
COLQUECHACA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
COMARAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,2,2
COTAGAITA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,12,12
COTOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,17,17
CUATRO CAÑADAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,8,8
EL ALTO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,3,3
EL PUENTE(STC),referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,2,2
EL TORNO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,12,12
ENTRE RIOS TRJ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,3,3
ENTRE RIOS CBBA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
FERNANDEZ ALONSO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
GUAYARAMERIN,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,6,6
GUTIERREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,3,3
INCAHUASI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
IXIAMAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
JESUS DE MACHACA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,3,3
LA GUARDIA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
LA PAZ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,305,305
MACHARETI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,4,4
MAIRANA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,4,4
MOJOCOYA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
MONTEAGUDO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,11,11
MORO MORO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
OMEREQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
ORURO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,110,110
PADCAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,6,6
POOPO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,6,6
POROMA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
PORONGO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
POTOSI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,73,73
PRESTO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
PUERTO SUAREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,8,8
PUERTO VILLARROEL,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,2,2
PUNA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
QUILLACOLLO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,2,2
RIBERALTA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,3,3
ROBORE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,16,16
RURRENABAQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,2,2
SACABA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,3,3
SAIPINA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,2,2
SAN ANTONIO DE LOMERIO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
SAN BORJA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,3,3
SAN IGNACIO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,3,3
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,2,2
SAN JOSE DE CHIQUITOS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
SAN LORENZO(PND),referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
SAN LORENZO(TJA),referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
SAN LUCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,2,2
SAN PEDRO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,5,5
SAN RAFAEL,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,58,58
SENA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,4,4
SICA SICA (VILLA AROMA),referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
SOPACHUY,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
SUCRE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,110,110
TACOPAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
TARABUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,2,2
TARIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,47,47
TARVITA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,2,2
TOTORA(ORR),referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
TRINIDAD,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,109,109
TUPIZA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,80,80
TURCO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,3,3
VILLA TUNARI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,6,6
VILLAZON,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,30,30
VINTO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
VITICHI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,2,2
WARNES,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,3,3
YACUIBA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,40,40
YAPACANI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
ZUDAÑEZ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-02-01,1,1
ANZALDO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
AYO AYO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
AZURDUY,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
BETANZOS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
BOLIVAR,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
CABEZAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,6,6
"CAIZA ""D""",referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
CAJUATA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
CAMARGO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
CHALLAPATA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
CHARAGUA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,78,78
COCHABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,4,4
COLQUECHACA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
COMARAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,5,5
CONCEPCION,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
COTOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,17,17
CUATRO CAÑADAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,7,7
DESAGUADERO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
EL ALTO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,18,18
EL CHORO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,6,6
EL PUENTE(STC),referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
EL TORNO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,24,24
EL VILLAR,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
ENTRE RIOS TRJ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
ENTRE RIOS CBBA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
GUTIERREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,7,7
INCAHUASI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
IXIAMAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
JESUS DE MACHACA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
LA PAZ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,290,290
MACHARETI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,4,4
MAIRANA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,7,7
MECAPACA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
MOJOCOYA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
MONTEAGUDO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,10,10
MONTERO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,47,47
MORO MORO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
OCURI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
ORURO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,165,165
PASORAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
POCONA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
PORTACHUELO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
POTOSI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,71,71
PRESTO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
PUCARA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
PUCARANI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
PUERTO SUAREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,17,17
PUERTO VILLARROEL,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
PUNA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
QUILLACOLLO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
QUIRUSILLAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
RIBERALTA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,26,26
RURRENABAQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
SABAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
SAMAIPATA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
SAN CARLOS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,15,15
SAN JOSE DE CHIQUITOS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
SAN JUAN DE YAPACANI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
SAN LORENZO(PND),referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
SAN LUCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
SAN PABLO DE LIPEZ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
SAN PEDRO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,5,5
SAN PEDRO(PND),referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,20,20
SANTIVAÑES,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
SENA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
SOPACHUY,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
SUCRE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,137,137
TAPACARI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
TARABUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
TARATA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
TARIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,43,43
TARVITA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
TOCO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
TOLEDO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
TOMAVE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
TORO TORO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
TRINIDAD,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,102,102
TUPIZA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,24,24
URUBICHA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,5,5
VALLEGRANDE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,4,4
VILA VILA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
VILLA MONTES,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
VILLA SERRANO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
VILLA TUNARI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
VILLAZON,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,41,41
VINTO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
VITICHI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
WARNES,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
YACO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,4,4
YACUIBA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,33,33
YANACACHI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
YOCALLA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,2,2
YUNCHARA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,3,3
ZUDAÑEZ,referencias y retornos,pacientes retornados al establecimiento de origen,2011-03-01,1,1
ACHACACHI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,1,1
ARBIETO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,1,1
AYO AYO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,1,1
BELEN DE ANDAMARCA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,1,1
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,2,2
BETANZOS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,1,1
CABEZAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,2,2
"CAIZA ""D""",referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,2,2
CAJUATA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,2,2
CARAPARI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,1,1
CATACORA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,1,1
CHALLAPATA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,2,2
CHARAGUA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,3,3
CHIMORE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,4,4
CHUMA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,2,2
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,56,56
COCHABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,1,1
COLPA BELGICA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,26,26
COLQUENCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,1,1
COMARAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,5,5
CONCEPCION,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,1,1
CORQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,2,2
COTAGAITA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-04-01,4,4
