municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
OKINAWA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,28,28
OMEREQUE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,4,4
ORURO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,456,456
PADCAYA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,42,42
PADILLA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,10,10
PAILON,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,19,19
PALCA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
PALOS BLANCOS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,10,10
PAMPA GRANDE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,10,10
PAPEL PAMPA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
PASORAPA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
PATACAMAYA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,43,43
PAZÑA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,4,4
POCOATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
POCONA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
POJO (CBBA),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
POOPO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
PORCO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,10,10
POROMA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
PORONGO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,9,9
PORTACHUELO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,19,19
PORVENIR,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,17,17
POSTRER VALLE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,7,7
POTOSI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,324,324
PRESTO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
PUCARA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
PUCARANI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,9,9
PUERTO ACOSTA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
PUERTO CARABUCO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
PUERTO GONZALO MORENO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,8,8
PUERTO PEREZ,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
PUERTO QUIJARRO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,9,9
PUERTO RICO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,15,15
PUERTO SUAREZ,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,9,9
PUERTO VILLARROEL,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,44,44
PUNA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,25,25
PUNATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,16,16
QUIABAYA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
QUILLACOLLO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,36,36
QUIME,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
QUIRUSILLAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
RAVELO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
REYES,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
RIBERALTA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,130,130
ROBORE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,36,36
RURRENABAQUE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,11,11
SABAYA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
SACABA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,230,230
SACABAMBA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
SACACA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,18,18
SAIPINA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,10,10
SALINAS DE GARCI MENDOZA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
SAMAIPATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
SAN ANDRES,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,13,13
SAN ANDRES DE MACHACA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
SAN ANTONIO DE LOMERIO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
SAN BENITO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,26,26
SAN BORJA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,42,42
SAN BUENA VENTURA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,10,10
SAN CARLOS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,14,14
SAN IGNACIO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,18,18
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,37,37
SAN JAVIER(BNI),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
SAN JAVIER(STC),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
SAN JOSE DE CHIQUITOS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,9,9
SAN JUAN DE YAPACANI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,18,18
SAN JULIAN,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,58,58
SAN LORENZO(PND),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,8,8
SAN LORENZO(TJA),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,64,64
SAN LUCAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,15,15
SAN MATIAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,12,12
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,12,12
SAN PEDRO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,41,41
SAN PEDRO DE BUENA VISTA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
SAN PEDRO DE QUEMES,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
SAN PEDRO DE TIQUINA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,11,11
SAN RAFAEL,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
SAN RAMON BENI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
SAN RAMON SCZ,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
SANTA ANA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,14,14
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2083,2083
SANTA ROSA DEL SARA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,46,46
SANTIAGO DE CALLAPA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
SANTIAGO DE HUATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,4,4
SANTIVAÑES,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,9,9
SANTUARIO DE QUILLACAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
SENA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
SHINAOTA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,14,14
SICA SICA (VILLA AROMA),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,7,7
SICAYA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
SIPE SIPE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,21,21
SOPACHUY,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
SORACACHI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
SORATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
SUCRE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1023,1023
TACACOMA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
TACOBAMBA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
TACOPAYA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
TAPACARI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,9,9
TARABUCO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,25,25
TARATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,13,13
TARIJA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,354,354
TARVITA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,17,17
TEOPONTE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
TIAWANACU,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,37,37
TINGUIPAYA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,7,7
TIPUANI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,8,8
TIQUIPAYA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,35,35
TIRAQUE (CBBA),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
TOCO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
TODOS SANTOS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
TOLATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,4,4
TOLEDO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
TOMAVE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,8,8
TOMINA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,16,16
TORO TORO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
TOTORA(CBBA),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
TOTORA(ORR),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
TRIGAL,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
TRINIDAD,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,911,911
TUPIZA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,171,171
TURCO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,7,7
UNCIA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
URIONDO (A. CONCEPCION),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,19,19
URUBICHA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,14,14
UYUNI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,15,15
VACAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
VALLEGRANDE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,84,84
VIACHA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,138,138
VILA VILA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
VILLA CHARCAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
VILLA MONTES,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,28,28
VILLA NUEVA (LOMA ALTA),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
VILLA RIVERO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,4,4
VILLA SERRANO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,37,37
VILLA TUNARI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,65,65
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,38,38
VILLAZON,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,146,146
VINTO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,42,42
VITICHI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
WALDO BALLIVIAN,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
WARNES,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,108,108
YACO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,8,8
YACUIBA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,138,138
YAMPARAEZ,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,12,12
YANACACHI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
YAPACANI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,46,46
YOCALLA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,8,8
YOTALA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,31,31
YUNCHARA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
ZUDAÑEZ,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,11,11
ACHACACHI,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,24,24
ACHOCALLA,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,3,3
AIQUILE,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,15,15
ALALAY,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,2,2
ALCALA,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,5,5
ALTO BENI,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,3,3
ANCORAIMES,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,4,4
ANTEQUERA,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,2,2
ANZALDO,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,3,3
ARAMPAMPA,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,2,2
ARANI,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,5,5
ARBIETO,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,4,4
ARQUE,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,7,7
ASCENCION DE GUARAYOS,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,23,23
ATOCHA,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,15,15
AYATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,3,3
AYO AYO,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,14,14
AZURDUY,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,5,5
BATALLAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,1,1
BAURES,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,2,2
BELEN DE URMIRI,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,1,1
BELLA FLOR,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,3,3
BERMEJO,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,78,78
BETANZOS,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,27,27
BOLIVAR,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,2,2
BOLPEBRA,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,3,3
BOYUIBE,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,9,9
BUENA VISTA,referencias y retornos,pacientes referidos a otros establecimientos,2011-02-01,5,5
