,group,variable,month,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS FUERA,ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,4,3,1,9
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,0,1,1,3
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,4,0,0,11
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,17,10,0,0,27
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,24,26,8,8,66
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,9,4,1,5,19
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,8,4,1,0,13
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,6,14,2,0,22
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,3,0,1,1,5
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,15,6,3,0,24
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,19,2,0,28
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,2,0,0,2
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,45,34,3,1,83
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,23,16,0,3,42
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,7,1,1,13
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,8,8,12,1,29
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,38,30,1,2,71
CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,2,0,0,2
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,16,10,3,3,32
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,5,1,2,12
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,6,3,1,2,12
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,0,0,3,3
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,18,19,5,5,47
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,3,2,2,3,10
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,11,2,3,4,20
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,0,0,0,1
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,8,8,3,7,26
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,26,28,2,1,57
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,3,2,0,1,6
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,0,0,0,2
CHUA COCANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,6,0,0,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,18,16,0,0,34
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,5,3,0,0,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,6,6,4,2,18
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,6,4,2,16
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,16,14,3,4,37
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,79,61,1,9,150
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,5,6,8,9,28
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,712,680,5,1,1398
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,38,39,0,1,78
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,8,0,1,16
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,0,0,0,1
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,13,12,0,2,27
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,9,2,2,15
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,19,16,6,8,49
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,9,4,0,0,13
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,12,16,2,3,33
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,14,17,1,3,35
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,36,24,9,9,78
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,6,4,3,2,15
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,14,15,0,0,29
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,3,1,5,13
COROICO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,6,1,2,16
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,3,1,2,1,7
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,15,9,1,8,33
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,79,72,0,2,153
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,0,1,1,2
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,18,11,1,1,31
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,0,0,1,2
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,4,0,0,6
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,6,9,0,1,16
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,1,0,1,4
CURVA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,2,0,0,2
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,3,0,0,5
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,725,694,151,147,1717
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,1,0,1,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,13,8,0,2,23
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,8,8,3,0,19
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,43,41,9,8,101
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,0,0,1,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,12,11,7,4,34
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,48,56,7,5,116
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,3,0,2,0,5
ESMERALDA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,0,1,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,7,0,0,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,0,0,1,1
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,1,0,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,7,3,4,21
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,3,2,1,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,8,5,1,21
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,3,7,2,3,15
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,9,7,2,2,20
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,3,3,0,0,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,44,40,2,0,86
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,7,9,7,27
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,10,2,1,20
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,0,0,0,2
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,0,0,0,2
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,13,15,3,3,34
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,3,0,0,3
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,1,1,0,4
HUATAJATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,1,0,1,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,1,0,0,2
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,0,1,6,8
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,3,1,2,1,7
ICLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,5,4,1,3,13
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,3,4,0,3,10
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,2,0,0,2
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,4,2,2,10
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,14,7,2,3,26
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,6,1,1,10
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,6,7,0,2,15
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,39,37,0,0,76
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,131,123,3,1,258
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,638,647,8,13,1306
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,4,3,0,14
LAJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,10,9,1,1,21
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,0,0,0,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,1,0,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,23,21,24,10,78
LLICA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,4,0,0,6
LORETO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,0,10,7,18
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,1,0,2,10
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,3,0,0,5
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,3,0,1,6
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,6,9,1,0,16
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,6,13,0,0,19
MALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,1,1,0,2
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,15,22,0,2,39
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,11,9,1,2,23
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,17,11,2,1,31
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,17,21,0,2,40
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,5,3,4,6,18
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,6,0,2,9
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,16,22,0,0,38
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,141,117,5,4,267
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,5,0,1,1,7
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,3,4,4,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,1,3,3,9
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,3,0,0,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,0,2,1,3
OCURI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,6,8,5,6,25
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,16,20,0,4,40
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,3,7,4,16
ORURO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,263,314,12,10,599
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,10,15,1,0,26
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,3,0,0,10
PAILON,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,19,13,11,10,53
PALCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,17,11,3,0,31
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,19,20,4,11,54
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,2,0,0,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,6,1,3,17
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,2,0,1,7
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,1,1,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,17,24,1,1,43
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,3,0,1,6
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,1,1,2,11
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,9,5,7,8,29
POCONA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,6,3,0,13
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,13,13,0,1,27
POOPO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,7,0,0,11
PORCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,8,13,0,2,23
POROMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,3,6,4,20
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,8,9,1,3,21
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,24,14,0,0,38
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,8,3,2,7,20
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,1,0,0,1
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,217,184,34,31,466
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,1,2,1,8
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,0,1,0,2
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,16,12,5,13,46
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,0,1,1,4
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,4,2,1,11
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,7,2,2,12
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,3,2,0,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,8,14,0,0,22
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,4,2,1,11
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,16,11,0,1,28
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,49,49,5,5,108
PUNA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,6,9,6,8,29
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,24,39,4,5,72
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,1,1,0,3
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,95,112,45,37,289
QUIME,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,10,6,0,0,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,0,0,0,2
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,9,9,3,5,26
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,5,3,3,2,13
REYES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,16,8,0,0,24
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,93,112,5,5,215
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,12,20,0,0,32
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,18,11,0,0,29
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,0,1,0,1
SACABA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,112,133,7,2,254
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,0,1,1,4
SACACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,9,6,5,27
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,5,2,0,0,7
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,3,7,0,3,13
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,8,4,0,0,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,0,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,10,5,1,2,18
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,0,0,0,2
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,1,0,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,5,1,2,9
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,9,5,0,1,15
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,44,41,2,0,87
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,12,6,0,0,18
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,23,19,0,1,43
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,18,27,1,2,48
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,70,56,11,11,148
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,0,0,0,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,15,19,0,0,34
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,3,1,1,0,5
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,18,11,20,21,70
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,11,7,2,1,21
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,51,45,11,9,116
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,2,4,5,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,17,15,0,1,33
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,13,9,11,4,37
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,18,24,1,2,45
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,10,11,2,1,24
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,3,2,1,7
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,15,0,0,19
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,14,17,3,6,40
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,3,2,1,1,7
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,0,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,4,0,3,9
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,5,1,2,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,3,2,1,3,9
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,9,10,0,0,19
