,group,variable,month,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS FUERA,ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
BOLIVAR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,3,1,2,8
BOYUIBE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,5,2,0,0,7
BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,10,11,0,0,21
CABEZAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,47,19,9,8,83
CAIROMA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,3,1,2,9
"CAIZA ""D""",vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,9,6,0,1,16
CAJUATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,8,6,1,1,16
CALACOTO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,0,1,3,6
CALAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,5,10,2,2,19
CAMARGO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,8,7,0,1,16
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,1,0,0,3
CAMIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,28,35,2,3,68
CAPINOTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,17,18,0,2,37
CAQUIAVIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,4,0,0,4
CARACOLLO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,12,8,3,4,27
CARANAVI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,35,52,2,2,91
CARAPARI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,10,15,0,3,28
CARIPUYO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,1,0,1,5
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,6,1,2,15
CATACORA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,1,0,0,1
CHACARILLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,1,1,0,3
CHALLAPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,20,16,4,4,44
CHAQUI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,7,1,0,11
CHARAGUA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,4,7,7,2,20
CHARAÑA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,2,0,0,5
CHAYANTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,8,8,4,1,21
CHIMORE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,22,14,5,2,43
CHIPAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,2,1,0,4
CHUA COCANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,3,0,0,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,17,15,2,0,34
CHUMA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,3,2,2,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,1,1,2,10
CKOCHAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,2,3,2,8
CLIZA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,18,20,2,4,44
COBIJA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,39,38,9,5,91
COCAPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,5,7,6,19
COCHABAMBA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,659,629,4,3,1295
COLCAPIRHUA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,44,54,0,1,99
"COLCHA ""K""",vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,4,5,0,1,10
COLOMI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,14,11,0,1,26
COLPA BELGICA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,7,3,2,18
COLQUECHACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,27,19,6,5,57
COLQUENCHA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,5,0,0,8
COLQUIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,19,11,3,3,36
COMARAPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,14,16,2,0,32
COMBAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,0,1,2,3
CONCEPCION,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,23,24,4,4,55
COPACABANA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,5,2,2,3,12
CORIPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,15,12,0,0,27
CORO CORO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,2,0,0,5
COROICO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,7,5,1,2,15
CORQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,3,0,0,6
COTAGAITA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,9,11,0,0,20
COTOCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,60,55,2,0,117
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,18,21,2,1,42
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,0,2,1,4
CUEVO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,2,0,0,3
CULPINA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,12,11,3,5,31
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,2,1,0,5
CURVA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,1,0,0,1
DESAGUADERO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,2,2,0,7
EL ALTO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,673,663,154,143,1633
EL CHORO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,0,0,0,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,11,16,0,0,27
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,5,3,3,17
EL TORNO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,41,44,4,6,95
EL VILLAR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,1,0,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,13,5,5,8,31
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,43,28,6,1,78
ESCOMA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,2,2,2,8
EUCALIPTUS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,3,0,0,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,0,2,1,3
EXALTACION,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,3,0,1,6
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,9,8,1,3,21
FILADELFIA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,7,5,3,3,18
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,13,13,0,0,26
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,3,3,1,9
GUANAY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,8,13,7,6,34
GUAQUI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,6,0,1,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,46,58,0,1,105
GUTIERREZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,5,7,1,16
HUACARETA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,4,2,3,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,1,2,1,5
HUACHACALLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,1,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,19,13,1,0,33
HUARACAJE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,1,0,1,3
HUARINA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,0,1,0,2
HUATAJATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,1,0,1,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,0,0,1,4
HUMANATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,4,4,1,0,9
ICHOCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,3,0,0,6
ICLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,4,3,0,0,7
INCAHUASI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,7,7,0,3,17
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,1,0,0,3
INQUISIVI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,8,5,6,25
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,9,3,4,1,17
IXIAMAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,7,1,2,16
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,5,8,0,1,14
LA ASUNTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,37,25,4,6,72
LA GUARDIA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,102,122,1,1,226
LA PAZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,606,594,11,12,1223
LAGUNILLAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,7,1,2,13
LAJA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,13,20,2,3,38
LAS CARRERAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,0,0,0,1
LICOMA PAMPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,0,1,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,20,19,21,18,78
LLICA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,1,0,1,3
LORETO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,0,9,11,20
LURIBAY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,4,1,0,8
MACHACAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,5,0,0,7
MACHARETI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,4,1,1,12
MAGDALENA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,4,1,0,8
MAIRANA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,9,9,0,0,18
MALLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,1,1,4,7
MAPIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,15,21,0,0,36
MECAPACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,9,2,6,2,19
MINEROS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,24,19,2,1,46
MIZQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,16,16,8,3,43
MOCOMOCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,2,4,2,11
MOJINETE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,0,0,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,4,5,3,1,13
MONTEAGUDO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,28,23,3,0,54
MONTERO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,133,140,7,2,282
MORO MORO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,0,1,0,4
MOROCHATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,0,9,4,14
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,2,1,0,4
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,2,0,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,1,0,0,1
OCURI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,3,3,5,17
OKINAWA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,12,19,3,1,35
OMEREQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,5,1,5,5,16
ORURO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,270,248,9,10,537
PADCAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,13,8,3,4,28
PADILLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,5,0,0,11
PAILON,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,15,19,9,4,47
PALCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,11,12,4,3,30
PALOS BLANCOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,21,22,4,4,51
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,2,0,0,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,12,2,0,20
PAPEL PAMPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,1,2,0,4
PASORAPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,2,0,0,3
PATACAMAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,11,14,0,0,25
PAZÑA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,4,0,1,6
PELECHUCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,5,1,0,9
POCOATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,10,9,4,26
POCONA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,8,3,0,1,12
POJO (CBBA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,12,12,1,0,25
POOPO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,0,0,0,1
PORCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,12,13,0,3,28
POROMA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,9,2,2,4,17
PORONGO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,9,7,3,3,22
PORTACHUELO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,20,9,0,0,29
PORVENIR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,9,8,6,29
POSTRER VALLE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,0,0,0,2
POTOSI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,176,163,10,37,386
PRESTO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,1,1,3,5
PUCARA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,1,0,0,1
PUCARANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,13,12,10,1,36
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,3,0,3,7
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,11,3,3,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,5,1,3,1,10
PUERTO PEREZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,0,1,0,4
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,11,15,0,0,26
PUERTO RICO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,13,6,1,1,21
PUERTO SILES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,0,1,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,19,16,0,2,37
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,50,42,6,0,98
PUNA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,1,4,4,15
PUNATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,27,27,1,6,61
QUIABAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,3,0,1,6
QUILLACOLLO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,96,76,50,50,272
QUIME,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,5,6,0,0,11
QUIRUSILLAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,3,0,0,3
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,8,2,2,18
RAVELO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,1,5,2,8
REYES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,9,7,0,0,16
RIBERALTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,88,91,7,10,196
ROBORE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,13,10,0,0,23
RURRENABAQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,20,17,0,0,37
SABAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,2,1,0,6
SACABA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,119,108,6,3,236
SACABAMBA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,3,1,1,6
SACACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,5,3,2,8,18
SAIPINA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,4,6,0,1,11
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,7,6,1,15
SAMAIPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,8,9,0,0,17
SAN AGUSTIN,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,1,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,8,5,0,1,14
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,0,2,2,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,0,2,1,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,3,1,1,8
SAN BENITO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,9,10,0,0,19
SAN BORJA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,35,43,2,1,81
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,9,4,4,3,20
SAN CARLOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,14,17,2,3,36
SAN IGNACIO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,18,15,1,4,38
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,48,46,10,7,111
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,2,0,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,10,8,0,0,18
SAN JOAQUIN,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,7,8,3,1,19
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,13,14,18,24,69
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,9,0,0,12
SAN JULIAN,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,49,41,9,8,107
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,2,4,5,17
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,16,12,1,1,30
SAN LUCAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,14,16,11,10,51
SAN MATIAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,16,19,0,4,39
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,15,10,6,1,32
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,1,0,2,5
SAN PEDRO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,16,16,0,0,32
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,10,19,6,6,41
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,4,1,1,2,8
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,1,0,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,1,0,1,4
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,0,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,6,1,1,11
SAN RAMON BENI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,7,3,2,1,13
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,16,10,0,2,28
SANTA ANA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,14,23,6,3,46
