,group,variable,month,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS FUERA,ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,42,31,2,0,75
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,19,13,4,8,44
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,3,2,5,12
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,0,0,1,2
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,5,1,0,9
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,12,7,1,0,20
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,20,23,9,2,54
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,8,6,0,1,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,6,2,2,1,11
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,11,1,0,19
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,0,3,4,7
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,9,6,3,3,21
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,11,8,1,0,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,3,0,0,3
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,30,26,4,2,62
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,11,22,2,1,36
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,8,1,0,14
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,11,10,2,2,25
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,42,38,2,2,84
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,13,13,3,1,30
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,4,4,1,1,10
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,4,0,2,9
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,0,2,0,2
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,0,0,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,25,22,7,10,64
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,3,0,0,5
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,12,7,5,11,35
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,1,0,0,2
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,10,2,2,21
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,14,24,0,1,39
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,0,0,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,1,1,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,26,16,2,0,44
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,2,2,2,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,4,6,1,0,11
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,6,5,4,4,19
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,12,13,2,2,29
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,54,57,4,7,122
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,6,7,5,25
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,747,689,5,5,1446
COIPASA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,0,0,1,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,49,46,0,0,95
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,12,13,1,3,29
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,4,2,0,0,6
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,14,17,0,2,33
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,5,2,2,12
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,26,18,8,8,60
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,10,4,0,0,14
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,9,12,7,5,33
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,2,0,0,3
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,13,11,1,5,30
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,1,1,3,5
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,25,33,4,2,64
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,10,6,3,4,23
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,12,17,0,1,30
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,1,2,1,9
COROICO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,11,14,1,0,26
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,4,0,1,0,5
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,11,12,2,1,26
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,62,70,1,3,136
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,14,18,5,1,38
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,1,1,1,5
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,3,2,2,8
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,6,6,2,19
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,1,0,0,2
CURVA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,1,1,3,5
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,5,2,2,12
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,867,757,149,142,1915
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,6,0,1,12
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,5,2,4,18
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,43,40,13,6,102
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,4,0,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,13,13,8,2,36
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,39,32,3,3,77
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,2,0,1,5
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,1,0,0,3
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,0,0,1,1
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,2,0,2,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,13,5,3,0,21
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,1,2,3,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,18,10,0,1,29
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,2,3,5,17
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,8,9,3,7,27
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,4,0,2,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,47,44,2,0,93
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,9,8,5,5,27
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,7,0,0,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,0,0,2,3
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,1,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,11,13,1,5,30
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,4,1,0,0,5
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,2,0,1,5
HUATAJATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,1,0,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,1,0,0,1
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,2,6,3,11
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,4,3,3,2,12
ICLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,4,4,3,1,12
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,11,3,2,5,21
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,1,0,0,4
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,8,10,0,2,20
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,6,13,1,0,20
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,4,4,1,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,8,6,2,0,16
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,46,49,0,2,97
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,120,101,3,2,226
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,640,666,5,6,1317
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,6,4,3,0,13
LAJA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,19,17,3,3,42
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,4,0,0,0,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,1,1,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,27,25,17,26,95
LLICA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,2,0,0,4
LORETO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,0,7,10,17
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,5,1,3,16
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,3,0,2,10
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,4,0,0,7
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,6,1,2,16
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,15,17,0,0,32
MALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,0,3,2,5
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,14,13,0,0,27
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,10,5,3,2,20
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,21,19,3,3,46
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,17,19,7,3,46
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,10,3,3,6,22
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,4,0,1,5
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,20,11,2,1,34
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,104,112,0,0,216
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,1,1,0,4
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,3,3,5,14
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,2,3,3,8
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,2,0,0,2
OCURI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,4,14,4,8,30
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,9,15,1,3,28
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,2,5,3,12
ORURO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,289,269,8,11,577
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,12,11,1,1,25
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,6,6,1,0,13
PAILON,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,19,19,9,10,57
PALCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,14,10,5,5,34
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,27,21,6,2,56
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,0,1,2,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,6,12,1,2,21
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,4,0,1,2,7
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,2,0,2,4
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,15,18,2,2,37
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,3,0,0,3
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,7,2,3,15
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,2,12,12,31
POCONA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,1,2,4,12
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,10,0,0,17
POOPO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,2,0,0,5
PORCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,8,12,1,5,26
POROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,6,5,4,5,20
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,14,9,3,5,31
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,13,18,0,0,31
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,5,6,6,17
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,181,196,16,28,421
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,2,5,1,11
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,0,0,0,1
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,14,17,16,11,58
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,2,3,4,14
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,3,5,2,13
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,4,4,4,2,14
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,2,0,0,4
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,17,12,0,0,29
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,10,6,1,0,17
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,1,0,0,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,14,17,4,1,36
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,52,38,3,1,94
PUNA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,6,2,6,21
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,28,30,2,0,60
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,4,1,0,7
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,124,106,40,35,305
QUIME,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,5,1,0,8
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,3,7,2,17
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,3,6,4,18
REYES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,4,3,2,14
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,108,114,4,2,228
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,19,15,0,0,34
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,13,17,0,0,30
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,3,0,0,4
SACABA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,152,135,4,2,293
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,5,2,3,10
SACACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,13,14,4,6,37
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,0,2,2,11
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,6,5,3,2,16
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,13,6,0,0,19
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,1,0,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,8,11,1,1,21
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,4,4,5,7,20
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,0,2,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,5,2,1,9
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,6,4,1,1,12
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,55,45,0,2,102
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,6,7,1,1,15
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,13,14,1,2,30
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,19,14,2,2,37
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,71,49,8,6,134
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,18,25,0,0,43
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,3,0,0,6
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,14,16,20,25,75
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,6,5,0,16
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,45,34,4,4,87
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,2,8,11,24
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,15,15,1,0,31
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,8,23,6,16,53
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,14,17,1,0,32
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,13,10,3,3,29
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,0,1,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,16,12,0,0,28
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,13,12,6,4,35
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,1,1,0,5
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,8,5,2,0,15
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,0,1,1,2
