municipality,group,variable,month,Pulpotomías,TOTAL
HUANUNI,consultas odontologicas,pulpotomias,2005-01-01,167,167
HUARACAJE,consultas odontologicas,pulpotomias,2005-01-01,43,43
HUAYLLAMARCA,consultas odontologicas,pulpotomias,2005-01-01,16,16
ICHOCA,consultas odontologicas,pulpotomias,2005-01-01,33,33
ICLA,consultas odontologicas,pulpotomias,2005-01-01,24,24
INCAHUASI,consultas odontologicas,pulpotomias,2005-01-01,33,33
INQUISIVI,consultas odontologicas,pulpotomias,2005-01-01,162,162
IRUPANA (VILLA DE LANZA),consultas odontologicas,pulpotomias,2005-01-01,156,156
IXIAMAS,consultas odontologicas,pulpotomias,2005-01-01,128,128
JESUS DE MACHACA,consultas odontologicas,pulpotomias,2005-01-01,113,113
LA ASUNTA,consultas odontologicas,pulpotomias,2005-01-01,59,59
LA GUARDIA,consultas odontologicas,pulpotomias,2005-01-01,80,80
LA PAZ,consultas odontologicas,pulpotomias,2005-01-01,3684,3684
LAGUNILLAS,consultas odontologicas,pulpotomias,2005-01-01,12,12
LAJA,consultas odontologicas,pulpotomias,2005-01-01,52,52
LICOMA PAMPA,consultas odontologicas,pulpotomias,2005-01-01,20,20
LLALLAGUA,consultas odontologicas,pulpotomias,2005-01-01,121,121
LLICA,consultas odontologicas,pulpotomias,2005-01-01,16,16
LORETO,consultas odontologicas,pulpotomias,2005-01-01,8,8
LURIBAY,consultas odontologicas,pulpotomias,2005-01-01,12,12
MACHACAMARCA,consultas odontologicas,pulpotomias,2005-01-01,52,52
MACHARETI,consultas odontologicas,pulpotomias,2005-01-01,8,8
MAGDALENA,consultas odontologicas,pulpotomias,2005-01-01,25,25
MAIRANA,consultas odontologicas,pulpotomias,2005-01-01,4,4
MAPIRI,consultas odontologicas,pulpotomias,2005-01-01,106,106
MECAPACA,consultas odontologicas,pulpotomias,2005-01-01,82,82
MIZQUE,consultas odontologicas,pulpotomias,2005-01-01,4,4
MOCOMOCO,consultas odontologicas,pulpotomias,2005-01-01,86,86
MOJOCOYA,consultas odontologicas,pulpotomias,2005-01-01,26,26
MONTEAGUDO,consultas odontologicas,pulpotomias,2005-01-01,66,66
MONTERO,consultas odontologicas,pulpotomias,2005-01-01,194,194
MORO MORO,consultas odontologicas,pulpotomias,2005-01-01,29,29
MOROCHATA,consultas odontologicas,pulpotomias,2005-01-01,59,59
NUEVO MANOA (NUEVA ESPERANZA),consultas odontologicas,pulpotomias,2005-01-01,10,10
OKINAWA,consultas odontologicas,pulpotomias,2005-01-01,22,22
ORURO,consultas odontologicas,pulpotomias,2005-01-01,2165,2165
PADCAYA,consultas odontologicas,pulpotomias,2005-01-01,46,46
PADILLA,consultas odontologicas,pulpotomias,2005-01-01,16,16
PAILON,consultas odontologicas,pulpotomias,2005-01-01,45,45
PALCA,consultas odontologicas,pulpotomias,2005-01-01,73,73
PALOS BLANCOS,consultas odontologicas,pulpotomias,2005-01-01,102,102
PAMPA GRANDE,consultas odontologicas,pulpotomias,2005-01-01,10,10
PAPEL PAMPA,consultas odontologicas,pulpotomias,2005-01-01,38,38
PATACAMAYA,consultas odontologicas,pulpotomias,2005-01-01,64,64
PAZÑA,consultas odontologicas,pulpotomias,2005-01-01,22,22
POCOATA,consultas odontologicas,pulpotomias,2005-01-01,56,56
POJO (CBBA),consultas odontologicas,pulpotomias,2005-01-01,44,44
POOPO,consultas odontologicas,pulpotomias,2005-01-01,42,42
POROMA,consultas odontologicas,pulpotomias,2005-01-01,18,18
PORONGO,consultas odontologicas,pulpotomias,2005-01-01,76,76
PORTACHUELO,consultas odontologicas,pulpotomias,2005-01-01,70,70
PORVENIR,consultas odontologicas,pulpotomias,2005-01-01,27,27
POSTRER VALLE,consultas odontologicas,pulpotomias,2005-01-01,24,24
POTOSI,consultas odontologicas,pulpotomias,2005-01-01,716,716
PRESTO,consultas odontologicas,pulpotomias,2005-01-01,33,33
PUCARA,consultas odontologicas,pulpotomias,2005-01-01,17,17
PUCARANI,consultas odontologicas,pulpotomias,2005-01-01,90,90
PUERTO ACOSTA,consultas odontologicas,pulpotomias,2005-01-01,241,241
PUERTO CARABUCO,consultas odontologicas,pulpotomias,2005-01-01,163,163
PUERTO GONZALO MORENO,consultas odontologicas,pulpotomias,2005-01-01,12,12
PUERTO PEREZ,consultas odontologicas,pulpotomias,2005-01-01,5,5
PUERTO QUIJARRO,consultas odontologicas,pulpotomias,2005-01-01,46,46
PUERTO RICO,consultas odontologicas,pulpotomias,2005-01-01,77,77
PUERTO SUAREZ,consultas odontologicas,pulpotomias,2005-01-01,25,25
PUERTO VILLARROEL,consultas odontologicas,pulpotomias,2005-01-01,63,63
PUNA,consultas odontologicas,pulpotomias,2005-01-01,82,82
PUNATA,consultas odontologicas,pulpotomias,2005-01-01,68,68
QUIABAYA,consultas odontologicas,pulpotomias,2005-01-01,2,2
QUILLACOLLO,consultas odontologicas,pulpotomias,2005-01-01,241,241
QUIME,consultas odontologicas,pulpotomias,2005-01-01,100,100
RAVELO,consultas odontologicas,pulpotomias,2005-01-01,24,24
REYES,consultas odontologicas,pulpotomias,2005-01-01,58,58
RIBERALTA,consultas odontologicas,pulpotomias,2005-01-01,499,499
ROBORE,consultas odontologicas,pulpotomias,2005-01-01,101,101
RURRENABAQUE,consultas odontologicas,pulpotomias,2005-01-01,35,35
SACABA,consultas odontologicas,pulpotomias,2005-01-01,188,188
SACABAMBA,consultas odontologicas,pulpotomias,2005-01-01,14,14
SACACA,consultas odontologicas,pulpotomias,2005-01-01,30,30
SAIPINA,consultas odontologicas,pulpotomias,2005-01-01,12,12
SALINAS DE GARCI MENDOZA,consultas odontologicas,pulpotomias,2005-01-01,9,9
SAMAIPATA,consultas odontologicas,pulpotomias,2005-01-01,37,37
SAN AGUSTIN,consultas odontologicas,pulpotomias,2005-01-01,30,30
SAN ANDRES,consultas odontologicas,pulpotomias,2005-01-01,36,36
SAN BENITO,consultas odontologicas,pulpotomias,2005-01-01,18,18
SAN BORJA,consultas odontologicas,pulpotomias,2005-01-01,53,53
SAN BUENA VENTURA,consultas odontologicas,pulpotomias,2005-01-01,84,84
SAN CARLOS,consultas odontologicas,pulpotomias,2005-01-01,25,25
SAN IGNACIO,consultas odontologicas,pulpotomias,2005-01-01,96,96
SAN IGNACIO DE VELASCO,consultas odontologicas,pulpotomias,2005-01-01,76,76
SAN JOSE DE CHIQUITOS,consultas odontologicas,pulpotomias,2005-01-01,51,51
SAN JULIAN,consultas odontologicas,pulpotomias,2005-01-01,67,67
SAN LORENZO(PND),consultas odontologicas,pulpotomias,2005-01-01,50,50
SAN LORENZO(TJA),consultas odontologicas,pulpotomias,2005-01-01,65,65
SAN LUCAS,consultas odontologicas,pulpotomias,2005-01-01,16,16
SAN MATIAS,consultas odontologicas,pulpotomias,2005-01-01,88,88
SAN MIGUEL DE VELASCO,consultas odontologicas,pulpotomias,2005-01-01,184,184
SAN PEDRO,consultas odontologicas,pulpotomias,2005-01-01,17,17
SAN PEDRO DE BUENA VISTA,consultas odontologicas,pulpotomias,2005-01-01,64,64
SAN PEDRO DE TIQUINA,consultas odontologicas,pulpotomias,2005-01-01,41,41
SAN PEDRO(PND),consultas odontologicas,pulpotomias,2005-01-01,17,17
SAN RAFAEL,consultas odontologicas,pulpotomias,2005-01-01,45,45
SAN RAMON,consultas odontologicas,pulpotomias,2005-01-01,42,42
SANTA ANA,consultas odontologicas,pulpotomias,2005-01-01,29,29
SANTA CRUZ DE LA SIERRA,consultas odontologicas,pulpotomias,2005-01-01,1808,1808
SANTA ROSA,consultas odontologicas,pulpotomias,2005-01-01,54,54
SANTA ROSA DEL SARA,consultas odontologicas,pulpotomias,2005-01-01,133,133
SANTIAGO DE CALLAPA,consultas odontologicas,pulpotomias,2005-01-01,9,9
SANTIAGO DE HUARI,consultas odontologicas,pulpotomias,2005-01-01,57,57
SANTIVAÑES,consultas odontologicas,pulpotomias,2005-01-01,7,7
SANTUARIO DE QUILLACAS,consultas odontologicas,pulpotomias,2005-01-01,6,6
SAPAHAQUI,consultas odontologicas,pulpotomias,2005-01-01,77,77
SENA,consultas odontologicas,pulpotomias,2005-01-01,31,31
SICA SICA (VILLA AROMA),consultas odontologicas,pulpotomias,2005-01-01,53,53
SIPE SIPE,consultas odontologicas,pulpotomias,2005-01-01,138,138
SOPACHUY,consultas odontologicas,pulpotomias,2005-01-01,66,66
SORACACHI,consultas odontologicas,pulpotomias,2005-01-01,10,10
SORATA,consultas odontologicas,pulpotomias,2005-01-01,91,91
SUCRE,consultas odontologicas,pulpotomias,2005-01-01,1118,1118
TACOPAYA,consultas odontologicas,pulpotomias,2005-01-01,13,13
TAPACARI,consultas odontologicas,pulpotomias,2005-01-01,16,16
TARABUCO,consultas odontologicas,pulpotomias,2005-01-01,41,41
TARACO,consultas odontologicas,pulpotomias,2005-01-01,11,11
TARATA,consultas odontologicas,pulpotomias,2005-01-01,17,17
TARIJA,consultas odontologicas,pulpotomias,2005-01-01,338,338
TARVITA,consultas odontologicas,pulpotomias,2005-01-01,27,27
TEOPONTE,consultas odontologicas,pulpotomias,2005-01-01,24,24
TIAWANACU,consultas odontologicas,pulpotomias,2005-01-01,119,119
TINGUIPAYA,consultas odontologicas,pulpotomias,2005-01-01,34,34
TIPUANI,consultas odontologicas,pulpotomias,2005-01-01,26,26
TIQUIPAYA,consultas odontologicas,pulpotomias,2005-01-01,94,94
TIRAQUE (CBBA),consultas odontologicas,pulpotomias,2005-01-01,115,115
TITO YUPANQUI (PARQUIPUJIO),consultas odontologicas,pulpotomias,2005-01-01,23,23
TOLATA,consultas odontologicas,pulpotomias,2005-01-01,3,3
TOLEDO,consultas odontologicas,pulpotomias,2005-01-01,60,60
TOMAVE,consultas odontologicas,pulpotomias,2005-01-01,40,40
TOMINA,consultas odontologicas,pulpotomias,2005-01-01,37,37
TORO TORO,consultas odontologicas,pulpotomias,2005-01-01,49,49
TOTORA(CBBA),consultas odontologicas,pulpotomias,2005-01-01,22,22
TOTORA(ORR),consultas odontologicas,pulpotomias,2005-01-01,6,6
TRIGAL,consultas odontologicas,pulpotomias,2005-01-01,20,20
TRINIDAD,consultas odontologicas,pulpotomias,2005-01-01,317,317
TUPIZA,consultas odontologicas,pulpotomias,2005-01-01,168,168
TURCO,consultas odontologicas,pulpotomias,2005-01-01,62,62
UNCIA,consultas odontologicas,pulpotomias,2005-01-01,136,136
URIONDO (A. CONCEPCION),consultas odontologicas,pulpotomias,2005-01-01,55,55
UYUNI,consultas odontologicas,pulpotomias,2005-01-01,164,164
VACAS,consultas odontologicas,pulpotomias,2005-01-01,9,9
VALLEGRANDE,consultas odontologicas,pulpotomias,2005-01-01,99,99
VIACHA,consultas odontologicas,pulpotomias,2005-01-01,141,141
VILA VILA,consultas odontologicas,pulpotomias,2005-01-01,5,5
VILLA MONTES,consultas odontologicas,pulpotomias,2005-01-01,138,138
VILLA NUEVA (LOMA ALTA),consultas odontologicas,pulpotomias,2005-01-01,22,22
VILLA RIVERO,consultas odontologicas,pulpotomias,2005-01-01,14,14
VILLA SERRANO,consultas odontologicas,pulpotomias,2005-01-01,50,50
VILLA TUNARI,consultas odontologicas,pulpotomias,2005-01-01,235,235
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,pulpotomias,2005-01-01,5,5
VILLAZON,consultas odontologicas,pulpotomias,2005-01-01,274,274
VINTO,consultas odontologicas,pulpotomias,2005-01-01,10,10
VITICHI,consultas odontologicas,pulpotomias,2005-01-01,20,20
WARNES,consultas odontologicas,pulpotomias,2005-01-01,28,28
YACUIBA,consultas odontologicas,pulpotomias,2005-01-01,254,254
YAMPARAEZ,consultas odontologicas,pulpotomias,2005-01-01,3,3
YANACACHI,consultas odontologicas,pulpotomias,2005-01-01,17,17
YAPACANI,consultas odontologicas,pulpotomias,2005-01-01,56,56
YOCALLA,consultas odontologicas,pulpotomias,2005-01-01,18,18
YOTALA,consultas odontologicas,pulpotomias,2005-01-01,20,20
ZUDAÑEZ,consultas odontologicas,pulpotomias,2005-01-01,26,26
ACACIO,consultas odontologicas,pulpotomias,2005-02-01,1,1
ACHACACHI,consultas odontologicas,pulpotomias,2005-02-01,99,99
ACHOCALLA,consultas odontologicas,pulpotomias,2005-02-01,47,47
AIQUILE,consultas odontologicas,pulpotomias,2005-02-01,28,28
ALCALA,consultas odontologicas,pulpotomias,2005-02-01,16,16
ANDAMARCA,consultas odontologicas,pulpotomias,2005-02-01,30,30
APOLO,consultas odontologicas,pulpotomias,2005-02-01,100,100
ARANI,consultas odontologicas,pulpotomias,2005-02-01,30,30
ARBIETO,consultas odontologicas,pulpotomias,2005-02-01,2,2
ARQUE,consultas odontologicas,pulpotomias,2005-02-01,18,18
ASCENCION DE GUARAYOS,consultas odontologicas,pulpotomias,2005-02-01,20,20
ATOCHA,consultas odontologicas,pulpotomias,2005-02-01,99,99
AUCAPATA,consultas odontologicas,pulpotomias,2005-02-01,67,67
AYATA,consultas odontologicas,pulpotomias,2005-02-01,22,22
AYO AYO,consultas odontologicas,pulpotomias,2005-02-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,pulpotomias,2005-02-01,59,59
AZURDUY,consultas odontologicas,pulpotomias,2005-02-01,119,119
BATALLAS,consultas odontologicas,pulpotomias,2005-02-01,120,120
BAURES,consultas odontologicas,pulpotomias,2005-02-01,47,47
BELEN DE URMIRI,consultas odontologicas,pulpotomias,2005-02-01,3,3
BERMEJO,consultas odontologicas,pulpotomias,2005-02-01,105,105
BETANZOS,consultas odontologicas,pulpotomias,2005-02-01,41,41
BOLIVAR,consultas odontologicas,pulpotomias,2005-02-01,30,30
BOYUIBE,consultas odontologicas,pulpotomias,2005-02-01,14,14
BUENA VISTA,consultas odontologicas,pulpotomias,2005-02-01,32,32
CABEZAS,consultas odontologicas,pulpotomias,2005-02-01,4,4
CAIROMA,consultas odontologicas,pulpotomias,2005-02-01,20,20
"CAIZA ""D""",consultas odontologicas,pulpotomias,2005-02-01,8,8
CAJUATA,consultas odontologicas,pulpotomias,2005-02-01,73,73
CALACOTO,consultas odontologicas,pulpotomias,2005-02-01,7,7
CALAMARCA,consultas odontologicas,pulpotomias,2005-02-01,11,11
CAMARGO,consultas odontologicas,pulpotomias,2005-02-01,66,66
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,pulpotomias,2005-02-01,11,11
CAMIRI,consultas odontologicas,pulpotomias,2005-02-01,135,135
CAPINOTA,consultas odontologicas,pulpotomias,2005-02-01,11,11
CAQUIAVIRI,consultas odontologicas,pulpotomias,2005-02-01,58,58
CARACOLLO,consultas odontologicas,pulpotomias,2005-02-01,54,54
CARANAVI,consultas odontologicas,pulpotomias,2005-02-01,97,97
CARAPARI,consultas odontologicas,pulpotomias,2005-02-01,22,22
CARMEN RIVERO TORREZ,consultas odontologicas,pulpotomias,2005-02-01,18,18
CHALLAPATA,consultas odontologicas,pulpotomias,2005-02-01,86,86
CHAQUI,consultas odontologicas,pulpotomias,2005-02-01,23,23
CHARAGUA,consultas odontologicas,pulpotomias,2005-02-01,104,104
CHARAÑA,consultas odontologicas,pulpotomias,2005-02-01,10,10
CHAYANTA,consultas odontologicas,pulpotomias,2005-02-01,42,42
CHIMORE,consultas odontologicas,pulpotomias,2005-02-01,77,77
CHUMA,consultas odontologicas,pulpotomias,2005-02-01,65,65
CLIZA,consultas odontologicas,pulpotomias,2005-02-01,3,3
COBIJA,consultas odontologicas,pulpotomias,2005-02-01,184,184
COCHABAMBA,consultas odontologicas,pulpotomias,2005-02-01,942,942
COLCAPIRHUA,consultas odontologicas,pulpotomias,2005-02-01,12,12
"COLCHA ""K""",consultas odontologicas,pulpotomias,2005-02-01,10,10
COLOMI,consultas odontologicas,pulpotomias,2005-02-01,15,15
COLQUECHACA,consultas odontologicas,pulpotomias,2005-02-01,41,41
COLQUIRI,consultas odontologicas,pulpotomias,2005-02-01,44,44
COMARAPA,consultas odontologicas,pulpotomias,2005-02-01,57,57
CONCEPCION,consultas odontologicas,pulpotomias,2005-02-01,3,3
COPACABANA,consultas odontologicas,pulpotomias,2005-02-01,44,44
CORO CORO,consultas odontologicas,pulpotomias,2005-02-01,25,25
COROICO,consultas odontologicas,pulpotomias,2005-02-01,158,158
CORQUE,consultas odontologicas,pulpotomias,2005-02-01,11,11
COTAGAITA,consultas odontologicas,pulpotomias,2005-02-01,102,102
COTOCA,consultas odontologicas,pulpotomias,2005-02-01,29,29
CUEVO,consultas odontologicas,pulpotomias,2005-02-01,13,13
CULPINA,consultas odontologicas,pulpotomias,2005-02-01,63,63
CURAHUARA DE CARANGAS,consultas odontologicas,pulpotomias,2005-02-01,39,39
DESAGUADERO,consultas odontologicas,pulpotomias,2005-02-01,82,82
EL ALTO,consultas odontologicas,pulpotomias,2005-02-01,3955,3955
EL PUENTE(TJA),consultas odontologicas,pulpotomias,2005-02-01,39,39
EL TORNO,consultas odontologicas,pulpotomias,2005-02-01,38,38
EL VILLAR,consultas odontologicas,pulpotomias,2005-02-01,65,65
ENTRE RIOS,consultas odontologicas,pulpotomias,2005-02-01,18,18
ENTRE RIOS,consultas odontologicas,pulpotomias,2005-02-01,59,59
EUCALIPTUS,consultas odontologicas,pulpotomias,2005-02-01,18,18
EXALTACION,consultas odontologicas,pulpotomias,2005-02-01,47,47
FERNANDEZ ALONSO,consultas odontologicas,pulpotomias,2005-02-01,48,48
FILADELFIA,consultas odontologicas,pulpotomias,2005-02-01,89,89
GENERAL SAAVEDRA,consultas odontologicas,pulpotomias,2005-02-01,20,20
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,pulpotomias,2005-02-01,11,11
GUANAY,consultas odontologicas,pulpotomias,2005-02-01,97,97
GUAQUI,consultas odontologicas,pulpotomias,2005-02-01,45,45
GUAYARAMERIN,consultas odontologicas,pulpotomias,2005-02-01,230,230
GUTIERREZ,consultas odontologicas,pulpotomias,2005-02-01,31,31
HUACARETA,consultas odontologicas,pulpotomias,2005-02-01,37,37
HUACHACALLA,consultas odontologicas,pulpotomias,2005-02-01,6,6
HUANUNI,consultas odontologicas,pulpotomias,2005-02-01,128,128
HUAYLLAMARCA,consultas odontologicas,pulpotomias,2005-02-01,11,11
ICHOCA,consultas odontologicas,pulpotomias,2005-02-01,16,16
ICLA,consultas odontologicas,pulpotomias,2005-02-01,56,56
INCAHUASI,consultas odontologicas,pulpotomias,2005-02-01,13,13
INGAVI (HUMAITA),consultas odontologicas,pulpotomias,2005-02-01,18,18
INQUISIVI,consultas odontologicas,pulpotomias,2005-02-01,39,39
IRUPANA (VILLA DE LANZA),consultas odontologicas,pulpotomias,2005-02-01,102,102
IXIAMAS,consultas odontologicas,pulpotomias,2005-02-01,74,74
JESUS DE MACHACA,consultas odontologicas,pulpotomias,2005-02-01,140,140
LA ASUNTA,consultas odontologicas,pulpotomias,2005-02-01,92,92
LA GUARDIA,consultas odontologicas,pulpotomias,2005-02-01,38,38
LA PAZ,consultas odontologicas,pulpotomias,2005-02-01,3238,3238
LAGUNILLAS,consultas odontologicas,pulpotomias,2005-02-01,52,52
LAJA,consultas odontologicas,pulpotomias,2005-02-01,59,59
LICOMA PAMPA,consultas odontologicas,pulpotomias,2005-02-01,21,21
LLALLAGUA,consultas odontologicas,pulpotomias,2005-02-01,151,151
LLICA,consultas odontologicas,pulpotomias,2005-02-01,21,21
LORETO,consultas odontologicas,pulpotomias,2005-02-01,2,2
LURIBAY,consultas odontologicas,pulpotomias,2005-02-01,22,22
MACHACAMARCA,consultas odontologicas,pulpotomias,2005-02-01,46,46
MAGDALENA,consultas odontologicas,pulpotomias,2005-02-01,8,8
MAIRANA,consultas odontologicas,pulpotomias,2005-02-01,14,14
MAPIRI,consultas odontologicas,pulpotomias,2005-02-01,98,98
MECAPACA,consultas odontologicas,pulpotomias,2005-02-01,37,37
MINEROS,consultas odontologicas,pulpotomias,2005-02-01,13,13
MIZQUE,consultas odontologicas,pulpotomias,2005-02-01,21,21
MOCOMOCO,consultas odontologicas,pulpotomias,2005-02-01,102,102
MOJOCOYA,consultas odontologicas,pulpotomias,2005-02-01,28,28
MONTEAGUDO,consultas odontologicas,pulpotomias,2005-02-01,19,19
MONTERO,consultas odontologicas,pulpotomias,2005-02-01,170,170
MOROCHATA,consultas odontologicas,pulpotomias,2005-02-01,31,31
OCURI,consultas odontologicas,pulpotomias,2005-02-01,37,37
OKINAWA,consultas odontologicas,pulpotomias,2005-02-01,31,31
OMEREQUE,consultas odontologicas,pulpotomias,2005-02-01,7,7
ORURO,consultas odontologicas,pulpotomias,2005-02-01,1595,1595
PADCAYA,consultas odontologicas,pulpotomias,2005-02-01,8,8
PADILLA,consultas odontologicas,pulpotomias,2005-02-01,19,19
PAILON,consultas odontologicas,pulpotomias,2005-02-01,78,78
PALCA,consultas odontologicas,pulpotomias,2005-02-01,63,63
PALOS BLANCOS,consultas odontologicas,pulpotomias,2005-02-01,78,78
PAMPA AULLAGAS,consultas odontologicas,pulpotomias,2005-02-01,7,7
PAMPA GRANDE,consultas odontologicas,pulpotomias,2005-02-01,2,2
PAPEL PAMPA,consultas odontologicas,pulpotomias,2005-02-01,43,43
PATACAMAYA,consultas odontologicas,pulpotomias,2005-02-01,85,85
PAZÑA,consultas odontologicas,pulpotomias,2005-02-01,15,15
