municipality,group,variable,month,Cirugia maxilo Faciales,TOTAL
BAURES,consultas odontologicas,cirugia maxilo faciales,2005-07-01,1,1
BETANZOS,consultas odontologicas,cirugia maxilo faciales,2005-07-01,2,2
COBIJA,consultas odontologicas,cirugia maxilo faciales,2005-07-01,19,19
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2005-07-01,28,28
COROICO,consultas odontologicas,cirugia maxilo faciales,2005-07-01,1,1
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2005-07-01,14,14
IRUPANA (VILLA DE LANZA),consultas odontologicas,cirugia maxilo faciales,2005-07-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2005-07-01,16,16
POTOSI,consultas odontologicas,cirugia maxilo faciales,2005-07-01,1,1
PUCARANI,consultas odontologicas,cirugia maxilo faciales,2005-07-01,8,8
SACABA,consultas odontologicas,cirugia maxilo faciales,2005-07-01,2,2
SAN BORJA,consultas odontologicas,cirugia maxilo faciales,2005-07-01,18,18
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2005-07-01,23,23
SANTIAGO DE HUARI,consultas odontologicas,cirugia maxilo faciales,2005-07-01,2,2
SOPACHUY,consultas odontologicas,cirugia maxilo faciales,2005-07-01,1,1
SUCRE,consultas odontologicas,cirugia maxilo faciales,2005-07-01,21,21
UYUNI,consultas odontologicas,cirugia maxilo faciales,2005-07-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2005-08-01,2,2
CAMARGO,consultas odontologicas,cirugia maxilo faciales,2005-08-01,5,5
CHALLAPATA,consultas odontologicas,cirugia maxilo faciales,2005-08-01,1,1
COBIJA,consultas odontologicas,cirugia maxilo faciales,2005-08-01,4,4
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2005-08-01,32,32
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2005-08-01,10,10
INCAHUASI,consultas odontologicas,cirugia maxilo faciales,2005-08-01,1,1
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2005-08-01,21,21
ORURO,consultas odontologicas,cirugia maxilo faciales,2005-08-01,15,15
POTOSI,consultas odontologicas,cirugia maxilo faciales,2005-08-01,4,4
PUCARANI,consultas odontologicas,cirugia maxilo faciales,2005-08-01,15,15
SACABA,consultas odontologicas,cirugia maxilo faciales,2005-08-01,2,2
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2005-08-01,3,3
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2005-08-01,201,201
SUCRE,consultas odontologicas,cirugia maxilo faciales,2005-08-01,13,13
UYUNI,consultas odontologicas,cirugia maxilo faciales,2005-08-01,1,1
VILLA TUNARI,consultas odontologicas,cirugia maxilo faciales,2005-08-01,1,1
VILLAZON,consultas odontologicas,cirugia maxilo faciales,2005-08-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2005-09-01,3,3
CHALLAPATA,consultas odontologicas,cirugia maxilo faciales,2005-09-01,1,1
COBIJA,consultas odontologicas,cirugia maxilo faciales,2005-09-01,17,17
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2005-09-01,43,43
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2005-09-01,28,28
ORURO,consultas odontologicas,cirugia maxilo faciales,2005-09-01,18,18
POTOSI,consultas odontologicas,cirugia maxilo faciales,2005-09-01,1,1
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2005-09-01,180,180
SANTIAGO DE HUARI,consultas odontologicas,cirugia maxilo faciales,2005-09-01,3,3
SUCRE,consultas odontologicas,cirugia maxilo faciales,2005-09-01,12,12
TARIJA,consultas odontologicas,cirugia maxilo faciales,2005-09-01,6,6
TRINIDAD,consultas odontologicas,cirugia maxilo faciales,2005-09-01,3,3
VILLAZON,consultas odontologicas,cirugia maxilo faciales,2005-09-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2005-10-01,2,2
CHALLAPATA,consultas odontologicas,cirugia maxilo faciales,2005-10-01,1,1
COBIJA,consultas odontologicas,cirugia maxilo faciales,2005-10-01,17,17
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2005-10-01,45,45
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2005-10-01,14,14
MONTEAGUDO,consultas odontologicas,cirugia maxilo faciales,2005-10-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2005-10-01,19,19
POTOSI,consultas odontologicas,cirugia maxilo faciales,2005-10-01,9,9
SACABA,consultas odontologicas,cirugia maxilo faciales,2005-10-01,2,2
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2005-10-01,231,231
SANTIAGO DE HUARI,consultas odontologicas,cirugia maxilo faciales,2005-10-01,2,2
SANTUARIO DE QUILLACAS,consultas odontologicas,cirugia maxilo faciales,2005-10-01,11,11
SUCRE,consultas odontologicas,cirugia maxilo faciales,2005-10-01,48,48
ZUDAÑEZ,consultas odontologicas,cirugia maxilo faciales,2005-10-01,2,2
ASCENCION DE GUARAYOS,consultas odontologicas,cirugia maxilo faciales,2005-11-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2005-11-01,2,2
CHALLAPATA,consultas odontologicas,cirugia maxilo faciales,2005-11-01,2,2
CHARAGUA,consultas odontologicas,cirugia maxilo faciales,2005-11-01,1,1
COBIJA,consultas odontologicas,cirugia maxilo faciales,2005-11-01,15,15
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2005-11-01,81,81
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2005-11-01,8,8
GUAYARAMERIN,consultas odontologicas,cirugia maxilo faciales,2005-11-01,1,1
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2005-11-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2005-11-01,15,15
POTOSI,consultas odontologicas,cirugia maxilo faciales,2005-11-01,21,21
RIBERALTA,consultas odontologicas,cirugia maxilo faciales,2005-11-01,5,5
SACABA,consultas odontologicas,cirugia maxilo faciales,2005-11-01,3,3
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2005-11-01,2,2
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2005-11-01,47,47
SANTIAGO DE HUARI,consultas odontologicas,cirugia maxilo faciales,2005-11-01,2,2
SUCRE,consultas odontologicas,cirugia maxilo faciales,2005-11-01,14,14
TRINIDAD,consultas odontologicas,cirugia maxilo faciales,2005-11-01,6,6
BERMEJO,consultas odontologicas,cirugia maxilo faciales,2005-12-01,1,1
CHALLAPATA,consultas odontologicas,cirugia maxilo faciales,2005-12-01,1,1
COBIJA,consultas odontologicas,cirugia maxilo faciales,2005-12-01,13,13
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2005-12-01,50,50
CULPINA,consultas odontologicas,cirugia maxilo faciales,2005-12-01,1,1
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2005-12-01,3,3
MONTEAGUDO,consultas odontologicas,cirugia maxilo faciales,2005-12-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2005-12-01,25,25
PAZÑA,consultas odontologicas,cirugia maxilo faciales,2005-12-01,2,2
POTOSI,consultas odontologicas,cirugia maxilo faciales,2005-12-01,1,1
SACABA,consultas odontologicas,cirugia maxilo faciales,2005-12-01,3,3
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2005-12-01,272,272
SANTUARIO DE QUILLACAS,consultas odontologicas,cirugia maxilo faciales,2005-12-01,7,7
SOPACHUY,consultas odontologicas,cirugia maxilo faciales,2005-12-01,1,1
SUCRE,consultas odontologicas,cirugia maxilo faciales,2005-12-01,23,23
TARIJA,consultas odontologicas,cirugia maxilo faciales,2005-12-01,3,3
YACUIBA,consultas odontologicas,cirugia maxilo faciales,2005-12-01,3,3
