municipality,group,variable,month,N° de autoevaluciones para acreditación del establecimiento,TOTAL
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,5,5
MOJINETE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,2,2
PAMPA GRANDE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,1,1
PELECHUCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,4,4
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,1,1
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,1,1
SAN MATIAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,3,3
TOMAVE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-02-01,3,3
ACACIO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
ACHOCALLA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,3,3
ANCORAIMES,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
APOLO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,3,3
AUCAPATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,3,3
BATALLAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
BAURES,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,3,3
"CAIZA ""D""",actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
CAJUATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
CALACOTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
CALAMARCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
CHACARILLA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
CHUMA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,7,7
CKOCHAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
COLQUENCHA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
CORIPATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,4,4
COROICO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,4,4
COTAGAITA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
CURVA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,9,9
GUAQUI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
INQUISIVI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
LA ASUNTA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,8,8
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,19,19
LORETO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,8,8
PALCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,3,3
PAPEL PAMPA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,5,5
PATACAMAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,4,4
PELECHUCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,6,6
POOPO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
POROMA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
PUCARANI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,10,10
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
PUERTO PEREZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,3,3
QUIME,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
SACACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,4,4
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
SAN ANDRES,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,4,4
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,5,5
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,3,3
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
SAPAHAQUI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,3,3
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,8,8
SUCRE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
TARACO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,4,4
TARIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,4,4
TOMAVE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
TOTORA(ORR),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
UMALA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,5,5
VIACHA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,1,1
WARNES,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,2,2
YACUIBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,4,4
YANACACHI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-03-01,5,5
ALCALA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
APOLO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,2,2
CHAQUI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,10,10
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
GUAQUI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,3,3
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,8,8
LAJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,3,3
PELECHUCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,2,2
PORCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
POROMA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,20,20
SAPAHAQUI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,2,2
SOPACHUY,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,7,7
TARACO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
TARATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,5,5
TOTORA(ORR),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
VILLA SERRANO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-04-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,2,2
CAJUATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,2,2
CARIPUYO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,5,5
CHIPAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,6,6
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,2,2
CULPINA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
ESCOMA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
ICLA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,4,4
MONTEAGUDO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
PALOS BLANCOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
PAPEL PAMPA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
POROMA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,4,4
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,10,10
TARIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,5,5
TINGUIPAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
TORO TORO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
TURCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,2,2
UMALA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
UYUNI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,5,5
VIACHA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
VILLAZON,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,3,3
YOTALA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-05-01,1,1
ACACIO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,2,2
ACHACACHI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,6,6
ACHOCALLA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
APOLO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,4,4
AUCAPATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,6,6
AYATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,5,5
AYO AYO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,3,3
BETANZOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,3,3
CAJUATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
CALACOTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,5,5
CALAMARCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,5,5
CAQUIAVIRI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
CATACORA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,2,2
CHACARILLA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,2,2
CHAQUI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
CHARAÑA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
COLLANA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,2,2
COLQUENCHA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,5,5
CORIPATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,6,6
CORO CORO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,3,3
COROICO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,5,5
COTAGAITA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,2,2
CURVA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,3,3
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,4,4
FILADELFIA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
INQUISIVI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,7,7
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,11,11
IXIAMAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,2,2
LA ASUNTA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,10,10
LA GUARDIA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,5,5
LORETO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
LURIBAY,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,6,6
PADCAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
PADILLA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
PALCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,7,7
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
PAPEL PAMPA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,6,6
PATACAMAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,5,5
PELECHUCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,7,7
POROMA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
PUCARANI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,2,2
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
PUERTO PEREZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2019-06-01,1,1
