,group,variable,month,ANTIROTAVIRICA 2RA. DOSIS,ANTIROTAVIRICA 2RA. DOSIS,TOTALES
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,9,0,9
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1482,25,1507
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,4,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,17,1,18
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,21,2,23
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,111,1,112
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,2,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,21,2,23
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,56,6,62
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,3,7
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,9,0,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,0,4
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,7,0,7
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,24,4,28
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,3,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,26,4,30
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,8,8,16
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,20,5,25
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,3,5
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,74,10,84
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,22,8,30
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,9,7,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,0,3,3
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,51,0,51
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,6,0,6
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,5,8,13
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,0,2,2
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,5,5,10
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,7,9
ICLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,10,7,17
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,16,8,24
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,6,16,22
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,8,9,17
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,18,0,18
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,24,1,25
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,71,14,85
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,136,5,141
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1370,12,1382
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,9,2,11
LAJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,14,10,24
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,6,8
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,6,0,6
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,48,21,69
LLICA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,5,3,8
LORETO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,0,6,6
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,9,6,15
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,9,0,9
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,8,6,14
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,28,4,32
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,20,0,20
MALLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,18,0,18
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,14,11,25
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,51,13,64
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,50,25,75
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,16,2,18
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,8,6,14
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,51,4,55
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,214,5,219
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,1,2
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,7,16,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,1,2
OCURI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,13,18,31
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,19,3,22
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,6,9,15
ORURO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,547,0,547
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,11,4,15
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,14,6,20
PAILON,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,12,5,17
PALCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,12,17,29
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,38,2,40
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,5,1,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,16,0,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,1,2
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,2,3
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,25,1,26
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,3,2,5
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,7,11
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,10,22,32
POCONA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,18,12,30
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,19,1,20
POOPO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,14,0,14
PORCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,33,1,34
POROMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,15,20,35
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,10,11,21
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,24,2,26
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,5,1,6
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,0,2
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,383,2,385
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,5,12,17
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,2,4
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,42,1,43
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,3,9,12
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,11,8,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,3,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,9,3,12
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,20,8,28
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,3,3,6
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,0,1,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,23,8,31
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,102,11,113
PUNA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,14,17,31
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,57,3,60
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,0,3,3
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,205,1,206
QUIME,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,3,12,15
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,13,21,34
REYES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,13,5,18
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,13,5,18
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,20,1,21
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,26,3,29
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,3,1,4
SACABA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,227,46,273
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,3,7
SACACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,19,15,34
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,2,4
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,7,5,12
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,13,2,15
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,17,7,24
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,6,2,8
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,13,5,18
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,65,5,70
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,19,6,25
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,35,8,43
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,41,1,42
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,94,20,114
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,28,0,28
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,14,2,16
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,27,1,28
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,15,1,16
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,83,16,99
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,5,10,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,20,3,23
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,19,28,47
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,14,4,18
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,33,5,38
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,18,0,18
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,24,20,44
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,2,6
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,3,4
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,12,0,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,7,5,12
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,19,0,19
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,15,0,15
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2154,33,2187
SANTA ROSA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,24,4,28
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,17,5,22
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,0,3,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,12,16
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,3,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,0,2
SANTIVAÑES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,10,2,12
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,9,3,12
SAPAHAQUI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,5,9
SENA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,5,4,9
SHINAOTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,38,1,39
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,7,9
SICAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,2,6
