,group,variable,month,ANTIROTAVIRICA 1RA. DOSIS,ANTIROTAVIRICA 1RA. DOSIS,TOTALES
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,27,9,36
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,2,4
CURVA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,2,5
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,6,2,8
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1788,25,1813
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,6,3,9
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,12,2,14
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,14,1,15
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,74,1,75
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1,1,2
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,30,4,34
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,75,8,83
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,7,4,11
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,13,1,14
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,2,4
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,12,9,21
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,10,14
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,23,10,33
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,9,10,19
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,19,6,25
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,4,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,81,13,94
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,35,6,41
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,12,4,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1,2,3
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,58,0,58
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,0,3
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,6,9
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1,4,5
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,7,10,17
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,0,10,10
ICLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,8,7,15
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,14,11,25
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,5,18,23
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,13,13,26
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,5,0,5
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,10,5,15
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,89,9,98
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,137,3,140
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1520,10,1530
LA RIVERA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,11,1,12
LAJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,30,13,43
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,8,1,9
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,79,18,97
LLICA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,0,2
LORETO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,12,15
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,13,1,14
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,7,3,10
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,13,5,18
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,17,1,18
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,19,0,19
MALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1,2,3
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,13,1,14
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,12,13,25
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,46,13,59
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,51,31,82
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,17,6,23
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,3,7
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,43,3,46
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,225,1,226
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,3,6
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,10,21,31
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,0,2
OCURI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,15,20,35
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,23,5,28
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,5,3,8
ORURO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,588,3,591
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,15,11,26
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,13,6,19
PAILON,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,37,1,38
PALCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,9,11,20
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,54,7,61
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,3,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,13,2,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,10,13
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,20,7,27
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,8,2,10
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,9,11
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,15,35,50
POCONA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,16,8,24
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,18,4,22
POOPO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,11,2,13
PORCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,29,3,32
POROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,20,14,34
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,11,4,15
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,35,1,36
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,2,6
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,2,4
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,409,4,413
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,12,16
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,1,3
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,53,6,59
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,9,16,25
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,11,6,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,1,4
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,3,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,16,8,24
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,7,2,9
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,21,5,26
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,103,7,110
PUNA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,26,15,41
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,52,0,52
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,6,4,10
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,215,2,217
QUIME,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,5,9,14
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,1,3
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,12,14,26
REYES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,17,3,20
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,19,2,21
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,18,3,21
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,28,2,30
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,0,3
SACABA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,245,32,277
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,7,1,8
SACACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,42,13,55
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,8,1,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,8,6,14
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,13,1,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,17,5,22
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,3,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,5,7,12
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,10,4,14
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,73,1,74
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,14,2,16
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,42,0,42
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,48,3,51
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,139,32,171
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,34,1,35
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,10,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,44,2,46
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,12,1,13
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,76,14,90
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,14,16
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,22,6,28
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,32,28,60
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,18,5,23
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,23,1,24
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,1,4
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,22,0,22
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,27,32,59
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,2,6
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,2,6
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,12,1,13
SAN RAMON BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,11,4,15
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,23,0,23
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,21,0,21
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2223,42,2265
SANTA ROSA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,15,2,17
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,23,4,27
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,4,6
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,7,10
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,10,14
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,5,2,7
SANTIVAÑES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,7,3,10
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,2,6
SAPAHAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,8,2,10
SENA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,5,0,5
SHINAOTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,48,2,50
