,group,variable,month,BCG,BCG,TOTALES
INQUISIVI,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,19,22
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,bcg,2011-01-01,8,10,18
IXIAMAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,12,0,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,bcg,2011-01-01,10,2,12
LA ASUNTA,vacunaciones en menores de 1 ano,bcg,2011-01-01,82,2,84
LA GUARDIA,vacunaciones en menores de 1 ano,bcg,2011-01-01,84,0,84
LA PAZ,vacunaciones en menores de 1 ano,bcg,2011-01-01,1708,4,1712
LAGUNILLAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,5,9,14
LAJA,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,27,33
LAS CARRERAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,1,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,bcg,2011-01-01,5,3,8
LLALLAGUA,vacunaciones en menores de 1 ano,bcg,2011-01-01,43,44,87
LLICA,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,0,4
LORETO,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,2,2
LURIBAY,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,2,6
MACHACAMARCA,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,5,11
MACHARETI,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,7,10
MAGDALENA,vacunaciones en menores de 1 ano,bcg,2011-01-01,12,11,23
MAIRANA,vacunaciones en menores de 1 ano,bcg,2011-01-01,35,0,35
MALLA,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,8,8
MAPIRI,vacunaciones en menores de 1 ano,bcg,2011-01-01,19,0,19
MECAPACA,vacunaciones en menores de 1 ano,bcg,2011-01-01,10,5,15
MINEROS,vacunaciones en menores de 1 ano,bcg,2011-01-01,34,3,37
MIZQUE,vacunaciones en menores de 1 ano,bcg,2011-01-01,46,13,59
MOCOMOCO,vacunaciones en menores de 1 ano,bcg,2011-01-01,14,13,27
MOJOCOYA,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,8,10
MONTEAGUDO,vacunaciones en menores de 1 ano,bcg,2011-01-01,44,6,50
MONTERO,vacunaciones en menores de 1 ano,bcg,2011-01-01,361,3,364
MORO MORO,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,0,4
MOROCHATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,9,12
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,bcg,2011-01-01,2,2,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,bcg,2011-01-01,3,0,3
OCURI,vacunaciones en menores de 1 ano,bcg,2011-01-01,12,20,32
OKINAWA,vacunaciones en menores de 1 ano,bcg,2011-01-01,10,0,10
OMEREQUE,vacunaciones en menores de 1 ano,bcg,2011-01-01,8,2,10
ORURO,vacunaciones en menores de 1 ano,bcg,2011-01-01,527,0,527
PADCAYA,vacunaciones en menores de 1 ano,bcg,2011-01-01,10,6,16
PADILLA,vacunaciones en menores de 1 ano,bcg,2011-01-01,44,1,45
PAILON,vacunaciones en menores de 1 ano,bcg,2011-01-01,49,2,51
PALCA,vacunaciones en menores de 1 ano,bcg,2011-01-01,9,27,36
PALOS BLANCOS,vacunaciones en menores de 1 ano,bcg,2011-01-01,31,19,50
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,6,9
PAMPA GRANDE,vacunaciones en menores de 1 ano,bcg,2011-01-01,17,0,17
PAPEL PAMPA,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,7,7
PASORAPA,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,1,5
PATACAMAYA,vacunaciones en menores de 1 ano,bcg,2011-01-01,39,11,50
PAZÑA,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,2,8
PELECHUCO,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,7,7
POCOATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,38,40
POCONA,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,9,13
POJO (CBBA),vacunaciones en menores de 1 ano,bcg,2011-01-01,16,5,21
POOPO,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,1,2
PORCO,vacunaciones en menores de 1 ano,bcg,2011-01-01,17,1,18
POROMA,vacunaciones en menores de 1 ano,bcg,2011-01-01,9,9,18
PORONGO,vacunaciones en menores de 1 ano,bcg,2011-01-01,8,11,19
PORTACHUELO,vacunaciones en menores de 1 ano,bcg,2011-01-01,51,0,51
PORVENIR,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,0,2
POSTRER VALLE,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,2,4
POTOSI,vacunaciones en menores de 1 ano,bcg,2011-01-01,472,3,475
PRESTO,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,9,9
PUCARA,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,0,2
PUCARANI,vacunaciones en menores de 1 ano,bcg,2011-01-01,50,21,71
PUERTO ACOSTA,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,14,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,11,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,8,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,bcg,2011-01-01,5,2,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,bcg,2011-01-01,19,7,26
PUERTO RICO,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,9,10
PUERTO SILES,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,bcg,2011-01-01,43,0,43
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,bcg,2011-01-01,101,2,103
PUNA,vacunaciones en menores de 1 ano,bcg,2011-01-01,23,13,36
PUNATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,89,0,89
QUIABAYA,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,6,6
QUILLACOLLO,vacunaciones en menores de 1 ano,bcg,2011-01-01,185,0,185
QUIME,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,11,11
RAVELO,vacunaciones en menores de 1 ano,bcg,2011-01-01,7,11,18
REYES,vacunaciones en menores de 1 ano,bcg,2011-01-01,27,0,27
RIBERALTA,vacunaciones en menores de 1 ano,bcg,2011-01-01,274,3,277
ROBORE,vacunaciones en menores de 1 ano,bcg,2011-01-01,39,1,40
RURRENABAQUE,vacunaciones en menores de 1 ano,bcg,2011-01-01,36,8,44
SABAYA,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,3,4
SACABA,vacunaciones en menores de 1 ano,bcg,2011-01-01,234,16,250
SACABAMBA,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,3,6
SACACA,vacunaciones en menores de 1 ano,bcg,2011-01-01,34,22,56
SAIPINA,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,3,3
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,bcg,2011-01-01,5,6,11
SAMAIPATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,10,3,13
SAN ANDRES,vacunaciones en menores de 1 ano,bcg,2011-01-01,7,0,7
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,1,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,bcg,2011-01-01,5,0,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,11,17
SAN BENITO,vacunaciones en menores de 1 ano,bcg,2011-01-01,7,11,18
SAN BORJA,vacunaciones en menores de 1 ano,bcg,2011-01-01,73,7,80
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,bcg,2011-01-01,14,9,23
SAN CARLOS,vacunaciones en menores de 1 ano,bcg,2011-01-01,49,10,59
SAN IGNACIO,vacunaciones en menores de 1 ano,bcg,2011-01-01,19,14,33
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,bcg,2011-01-01,174,24,198
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,bcg,2011-01-01,1,2,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,bcg,2011-01-01,26,0,26
SAN JOAQUIN,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,6,9
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,bcg,2011-01-01,53,0,53
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,bcg,2011-01-01,10,1,11
SAN JULIAN,vacunaciones en menores de 1 ano,bcg,2011-01-01,76,3,79
SAN LORENZO(PND),vacunaciones en menores de 1 ano,bcg,2011-01-01,1,9,10
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,bcg,2011-01-01,4,1,5
SAN LUCAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,32,25,57
SAN MATIAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,12,5,17
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,4,10
SAN PEDRO,vacunaciones en menores de 1 ano,bcg,2011-01-01,12,0,12
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2011-01-01,22,19,41
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,2,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,3,6
SAN RAFAEL,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,3,6
SAN RAMON BENI,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,4,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,bcg,2011-01-01,19,0,19
SANTA ANA,vacunaciones en menores de 1 ano,bcg,2011-01-01,31,0,31
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,bcg,2011-01-01,3563,46,3609
SANTA ROSA,vacunaciones en menores de 1 ano,bcg,2011-01-01,29,3,32
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,bcg,2011-01-01,15,3,18
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,4,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,7,9
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,9,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,5,6
SANTIVAÑES,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,3,5
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,1,2
SAPAHAQUI,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,3,5
SENA,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,3,9
SHINAOTA,vacunaciones en menores de 1 ano,bcg,2011-01-01,60,1,61
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,bcg,2011-01-01,17,16,33
SICAYA,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,5,5
SIPE SIPE,vacunaciones en menores de 1 ano,bcg,2011-01-01,46,9,55
SOPACHUY,vacunaciones en menores de 1 ano,bcg,2011-01-01,10,4,14
SORACACHI,vacunaciones en menores de 1 ano,bcg,2011-01-01,5,10,15
SORATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,31,20,51
SUCRE,vacunaciones en menores de 1 ano,bcg,2011-01-01,567,10,577
TACACHI,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,bcg,2011-01-01,8,6,14
TACOBAMBA,vacunaciones en menores de 1 ano,bcg,2011-01-01,11,9,20
TACOPAYA,vacunaciones en menores de 1 ano,bcg,2011-01-01,16,2,18
TAPACARI,vacunaciones en menores de 1 ano,bcg,2011-01-01,18,15,33
TARABUCO,vacunaciones en menores de 1 ano,bcg,2011-01-01,32,9,41
TARACO,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,2,2
TARATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,11,4,15
TARIJA,vacunaciones en menores de 1 ano,bcg,2011-01-01,417,0,417
TARVITA,vacunaciones en menores de 1 ano,bcg,2011-01-01,14,5,19
TEOPONTE,vacunaciones en menores de 1 ano,bcg,2011-01-01,7,3,10
TIAWANACU,vacunaciones en menores de 1 ano,bcg,2011-01-01,7,12,19
TINGUIPAYA,vacunaciones en menores de 1 ano,bcg,2011-01-01,28,7,35
TIPUANI,vacunaciones en menores de 1 ano,bcg,2011-01-01,10,0,10
TIQUIPAYA,vacunaciones en menores de 1 ano,bcg,2011-01-01,97,11,108
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,bcg,2011-01-01,29,9,38
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,bcg,2011-01-01,0,2,2
TOCO,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,4,10
TOLATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,0,6
TOLEDO,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,2,6
TOMAVE,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,20,21
TOMINA,vacunaciones en menores de 1 ano,bcg,2011-01-01,8,3,11
TORO TORO,vacunaciones en menores de 1 ano,bcg,2011-01-01,7,6,13
TOTORA(CBBA),vacunaciones en menores de 1 ano,bcg,2011-01-01,27,13,40
TOTORA(ORR),vacunaciones en menores de 1 ano,bcg,2011-01-01,6,2,8
TRIGAL,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,0,4
TRINIDAD,vacunaciones en menores de 1 ano,bcg,2011-01-01,290,2,292
TUPIZA,vacunaciones en menores de 1 ano,bcg,2011-01-01,59,11,70
TURCO,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,0,3
UMALA,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,19,19
UNCIA,vacunaciones en menores de 1 ano,bcg,2011-01-01,19,5,24
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,bcg,2011-01-01,12,0,12
URUBICHA,vacunaciones en menores de 1 ano,bcg,2011-01-01,19,0,19
UYUNI,vacunaciones en menores de 1 ano,bcg,2011-01-01,61,1,62
VACAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,13,14
VALLEGRANDE,vacunaciones en menores de 1 ano,bcg,2011-01-01,42,0,42
VIACHA,vacunaciones en menores de 1 ano,bcg,2011-01-01,74,10,84
VILA VILA,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,16,18
VILLA CHARCAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,7,0,7
VILLA MONTES,vacunaciones en menores de 1 ano,bcg,2011-01-01,87,0,87
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,bcg,2011-01-01,1,10,11
VILLA RIVERO,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,6,10
VILLA SERRANO,vacunaciones en menores de 1 ano,bcg,2011-01-01,14,8,22
VILLA TUNARI,vacunaciones en menores de 1 ano,bcg,2011-01-01,123,27,150
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,bcg,2011-01-01,8,3,11
VILLAZON,vacunaciones en menores de 1 ano,bcg,2011-01-01,64,1,65
VINTO,vacunaciones en menores de 1 ano,bcg,2011-01-01,75,0,75
VITICHI,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,11,11
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,1,1
WARNES,vacunaciones en menores de 1 ano,bcg,2011-01-01,119,11,130
YACO,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,15,19
YACUIBA,vacunaciones en menores de 1 ano,bcg,2011-01-01,164,11,175
YAMPARAEZ,vacunaciones en menores de 1 ano,bcg,2011-01-01,10,0,10
YANACACHI,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,0,2
YAPACANI,vacunaciones en menores de 1 ano,bcg,2011-01-01,85,1,86
YOCALLA,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,11,12
YOTALA,vacunaciones en menores de 1 ano,bcg,2011-01-01,15,1,16
YUNCHARA,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,7,7
ZUDAÑEZ,vacunaciones en menores de 1 ano,bcg,2011-01-01,5,7,12
ACACIO,vacunaciones en menores de 1 ano,bcg,2011-02-01,0,12,12
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2011-02-01,37,30,67
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2011-02-01,5,1,6
AIQUILE,vacunaciones en menores de 1 ano,bcg,2011-02-01,43,1,44
ALALAY,vacunaciones en menores de 1 ano,bcg,2011-02-01,1,6,7
ALCALA,vacunaciones en menores de 1 ano,bcg,2011-02-01,2,2,4
ALTO BENI,vacunaciones en menores de 1 ano,bcg,2011-02-01,13,2,15
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2011-02-01,17,24,41
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2011-02-01,3,3,6
ANTEQUERA,vacunaciones en menores de 1 ano,bcg,2011-02-01,0,3,3
ANZALDO,vacunaciones en menores de 1 ano,bcg,2011-02-01,6,11,17
APOLO,vacunaciones en menores de 1 ano,bcg,2011-02-01,20,7,27
ARANI,vacunaciones en menores de 1 ano,bcg,2011-02-01,19,3,22
ARBIETO,vacunaciones en menores de 1 ano,bcg,2011-02-01,10,13,23
ARQUE,vacunaciones en menores de 1 ano,bcg,2011-02-01,37,1,38
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2011-02-01,96,5,101
ATOCHA,vacunaciones en menores de 1 ano,bcg,2011-02-01,11,9,20
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2011-02-01,2,3,5
