,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,18,1,19
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,20,2,22
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,91,1,92
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2,2,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,21,2,23
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,59,6,65
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,4,8
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,9,0,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,5,0,5
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,7,0,7
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,24,4,28
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,3,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,26,10,36
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,9,9,18
GUANAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,24,6,30
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2,2,4
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,76,11,87
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,22,10,32
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,11,10,21
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,0,3,3
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,53,0,53
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,6,0,6
HUARINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,5,10,15
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,0,2,2
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,5,6,11
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,3,5,8
ICLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,9,8,17
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,16,8,24
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,5,16,21
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,8,13,21
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,18,1,19
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,23,1,24
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,70,12,82
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,154,4,158
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1456,12,1468
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,9,2,11
LAJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,14,11,25
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2,6,8
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,6,0,6
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,60,26,86
LLICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,5,2,7
LORETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,8,9
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,9,6,15
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,10,0,10
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,8,6,14
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,27,4,31
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,21,0,21
MALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,18,0,18
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,13,10,23
MINEROS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,43,12,55
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,50,24,74
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,18,2,20
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,8,6,14
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,53,5,58
MONTERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,206,5,211
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,1,2
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,8,15,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,1,2
OCURI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,13,18,31
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,17,5,22
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,8,9,17
ORURO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,576,0,576
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,12,6,18
PADILLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,14,6,20
PAILON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,47,6,53
PALCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,11,21,32
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,40,3,43
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,1,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,16,0,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,3,9,12
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,2,3
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,38,1,39
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,3,2,5
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,6,10
POCOATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,10,24,34
POCONA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,18,12,30
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,20,1,21
POOPO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,14,0,14
PORCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,30,8,38
POROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,18,16,34
PORONGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,10,10,20
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,26,1,27
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,9,1,10
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,3,0,3
POTOSI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,403,6,409
PRESTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,7,9,16
PUCARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2,2,4
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,42,1,43
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,3,9,12
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,11,8,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,6,2,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,6,3,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,20,8,28
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,4,8
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,0,1,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,23,8,31
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,106,10,116
PUNA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,14,17,31
PUNATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,58,1,59
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,1,2
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,221,1,222
QUIME,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,12,16
RAVELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,9,25,34
REYES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,15,5,20
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,171,23,194
ROBORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,23,2,25
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,28,6,34
SABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,3,1,4
SACABA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,200,37,237
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,3,7
SACACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,19,14,33
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,3,2,5
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,7,6,13
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,13,2,15
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,18,8,26
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,6,2,8
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,12,10,22
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,69,6,75
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,21,4,25
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,37,0,37
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,46,1,47
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,99,21,120
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2,0,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,28,0,28
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,12,2,14
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,33,1,34
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,16,1,17
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,79,22,101
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,5,10,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,20,4,24
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,21,28,49
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,14,3,17
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,31,4,35
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,22,0,22
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,22,18,40
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,3,7
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,3,4
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,12,1,13
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,7,6,13
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,20,0,20
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,14,0,14
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2499,44,2543
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,26,4,30
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,19,6,25
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,0,4,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,13,17
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,3,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2,0,2
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,10,2,12
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,9,3,12
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,5,9
SENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,5,5,10
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,40,1,41
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,20,21,41
SICAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,3,7
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,83,7,90
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,11,15
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,5,12,17
SORATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,14,17,31
SUCRE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,457,15,472
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,5,7,12
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,6,1,7
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,16,4,20
TAHUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,0,1,1
TAPACARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,30,26,56
TARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,22,18,40
