,group,variable,month,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,TOTALES
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,16,2,18
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,19,1,20
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,82,3,85
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,1,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,22,1,23
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,50,13,63
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,4,7
ESMERALDA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,8,2,10
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,4,8
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,7,2,9
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,15,3,18
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,3,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,23,11,34
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,7,11
GUANAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,23,5,28
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,4,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,56,15,71
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,15,5,20
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,11,3,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,4,7
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,49,0,49
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,0,3
HUARINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,4,9
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,5,9
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,2,7
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,2,9,11
ICLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,2,6,8
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,10,19,29
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,8,18,26
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,7,16,23
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,11,2,13
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,13,2,15
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,67,8,75
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,144,3,147
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1329,30,1359
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,4,9
LAJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,22,2,24
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,2,1,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,1,6
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,53,29,82
LLICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,1,5
LORETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,9,13
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,7,12
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,6,0,6
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,11,5,16
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,16,4,20
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,15,0,15
MALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,2,3
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,17,2,19
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,7,8,15
MINEROS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,45,11,56
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,43,28,71
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,9,3,12
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,8,3,11
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,36,4,40
MONTERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,215,6,221
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,2,5
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,8,12,20
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,0,1,1
OCURI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,12,18,30
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,23,4,27
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,1,4
ORURO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,534,1,535
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,16,9,25
PADILLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,11,2,13
PAILON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,29,3,32
PALCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,8,14,22
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,41,6,47
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,2,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,12,0,12
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,3,8
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,1,5
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,28,8,36
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,7,1,8
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,4,7
POCOATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,6,26,32
POCONA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,7,8,15
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,13,8,21
POOPO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,6,0,6
PORCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,25,8,33
POROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,18,13,31
PORONGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,8,7,15
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,34,2,36
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,7,4,11
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,2,3
POTOSI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,361,3,364
PRESTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,12,13
PUCARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,1,4
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,29,3,32
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,13,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,13,6,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,2,5
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,6,11
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,34,6,40
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,6,4,10
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,16,8,24
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,87,8,95
PUNA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,12,19,31
PUNATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,50,4,54
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,0,2,2
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,208,3,211
QUIME,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,11,14
RAVELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,10,24,34
REYES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,18,5,23
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,121,37,158
ROBORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,20,1,21
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,31,2,33
SABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,0,5
SACABA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,208,44,252
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,1,4
SACACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,23,13,36
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,3,4
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,11,3,14
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,10,0,10
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,8,3,11
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,6,1,7
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,8,9,17
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,16,4,20
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,79,8,87
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,11,3,14
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,39,5,44
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,49,1,50
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,89,21,110
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,32,0,32
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,13,2,15
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,37,0,37
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,13,2,15
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,62,22,84
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,2,7,9
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,29,7,36
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,21,15,36
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,19,6,25
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,16,5,21
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,1,2
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,22,0,22
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,28,31,59
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,1,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,3,6
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,8,0,8
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,7,10
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,21,0,21
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,19,0,19
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,2374,57,2431
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,17,6,23
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,22,2,24
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,2,3,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,3,7
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,0,4,4
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,9,2,11
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,8,1,9
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,7,3,10
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,7,13,20
SENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,2,0,2
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,38,3,41
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,15,20,35
SICAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,8,11
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,84,8,92
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,0,6,6
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,12,11,23
SORATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,10,17,27
SUCRE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,433,11,444
TACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,2,5
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,2,0,2
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,13,3,16
TAPACARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,21,29,50
TARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,21,11,32
