,group,variable,month,DIU: USUARIAS CONTINUAS 10 A 14,DIU: USUARIAS CONTINUAS 15 A 19,DIU: USUARIAS CONTINUAS 20 A 34,DIU: USUARIAS CONTINUAS 35 A 49,DIU: USUARIAS CONTINUAS 50 Y +,DIU: USUARIAS CONTINUAS < A 10,TOTALES
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,9,7,0,0,16
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,2,0,0,0,0,2
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,1,1,0,0,2
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,2,2,0,0,0,4
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,1,1,0,0,0,2
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,2,0,0,0,2
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,1,29,66,21,1,118
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,29,16,1,0,46
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,1,9,5,1,0,16
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,6,0,0,0,6
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,15,3,0,0,18
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,8,18,9,0,35
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,0,2,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,10,29,16,4,0,59
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,2,0,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,15,5,0,0,20
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,2,2,0,0,4
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,1,1,1,0,3
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,10,38,35,5,0,88
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,1,1,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,3,15,4,0,0,22
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,2,0,0,0,2
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,9,13,0,0,22
PUERTO SILES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,1,0,3,0,0,4
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,3,1,0,0,4
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,1,1,1,0,3
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,3,0,0,0,3
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,1,2,0,0,0,3
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,2,1,0,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,8,0,0,0,8
SAN JOAQUIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,2,0,0,0,2
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,1,1,1,0,3
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,4,1,0,0,0,5
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,1,27,42,13,0,83
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,1,39,18,0,0,58
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,1,6,8,0,0,15
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,0,1,0,1,2
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,2,0,1,0,3
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,2,0,0,0,2
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-03-01,0,1,20,10,2,0,33
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,3,0,0,0,3
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,14,8,0,0,22
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,7,1,0,0,8
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,16,33,24,0,0,73
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,0,2,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,11,5,0,0,16
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,4,0,0,0,4
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,4,55,12,2,0,73
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,3,0,0,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,4,10,8,0,0,22
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,4,11,1,0,16
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,14,11,0,0,25
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,4,12,0,0,0,16
PUERTO SILES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,2,0,0,0,0,2
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,0,2,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,3,0,0,4
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,1,3,4,1,0,9
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,4,0,0,0,4
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
SAN JOAQUIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,7,0,0,0,7
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,13,29,36,16,0,94
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,7,36,7,0,0,50
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,7,17,13,0,0,37
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,0,3,1,0,4
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,3,0,0,0,3
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-04-01,0,0,11,4,0,0,15
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,0,1,0,0,1
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,1,0,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,1,1,1,0,0,3
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,2,1,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,13,27,7,0,0,47
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,5,10,0,0,15
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,1,1,0,0,2
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,1,0,0,0,1
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,1,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,1,0,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,10,65,5,1,0,81
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,4,0,0,0,4
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,9,13,10,0,0,32
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,2,5,3,0,0,10
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,2,0,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,0,1,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,1,1,0,0,2
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,1,3,2,2,0,8
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,2,4,1,0,0,7
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,1,0,0,0,1
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,1,0,0,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,3,50,21,3,0,77
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,2,0,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,2,25,3,0,0,30
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,7,13,0,0,20
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,0,7,0,0,7
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,1,1,0,0,2
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,1,0,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,2,0,0,0,2
