,group,variable,month,NÚMERO DE DIU'S RETIRADOS 10 A 14,NÚMERO DE DIU'S RETIRADOS 15 A 19,NÚMERO DE DIU'S RETIRADOS 20 A 34,NÚMERO DE DIU'S RETIRADOS 35 A 49,NÚMERO DE DIU'S RETIRADOS 50 Y +,NÚMERO DE DIU'S RETIRADOS < A 10,TOTALES
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,2,0,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,10,5,5,0,20
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,15,10,2,0,27
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,6,4,0,11
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,2,0,0,2
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,1,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,2,1,0,0,3
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,3,1,1,0,5
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,2,0,0,3
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,1,0,0,2
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,2,0,0,2
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,1,1,0,0,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,3,3,0,0,6
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,0,0,0,1
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,3,2,0,0,5
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,4,1,1,0,6
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,1,0,0,0,0,1
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,4,8,0,12
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,0,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,2,0,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,1,8,58,8,0,75
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,1,4,3,0,0,8
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,0,1,0,1
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,1,11,7,0,0,19
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,0,1,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,1,0,0,2
HUMANATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,3,0,0,4
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,1,2,0,0,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,1,6,14,8,0,29
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,2,0,0,0,2
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,1,1,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,1,25,10,0,0,36
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,1,0,0,1
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,1,0,0,1
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,3,0,0,3
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,2,1,0,0,3
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,2,1,0,3
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,0,0,0,1
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,0,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,4,2,0,6
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,4,3,0,0,7
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,0,1,0,1
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,1,3,0,4
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,3,1,0,0,4
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,12,27,11,1,51
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,0,0,0,1
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,1,0,0,2
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,2,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,13,3,0,0,16
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,14,7,1,0,22
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,1,0,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,1,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,0,1,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,1,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,3,1,0,0,4
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,1,0,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,1,0,0,1
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,2,3,0,0,5
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,1,1,0,0,2
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,3,0,0,0,3
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,1,9,1,0,0,11
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-02-01,0,0,0,1,0,0,1
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,9,19,9,0,37
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,4,0,0,0,4
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,4,1,0,0,5
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,2,0,0,0,2
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,3,0,0,0,3
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,3,31,16,1,0,51
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,4,1,0,0,5
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,6,15,0,0,21
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,0,1,0,0,1
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,3,0,0,0,3
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,0,0,1,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,2,0,0,0,2
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,11,22,4,0,37
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,2,1,0,0,3
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,2,1,4,1,0,8
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,2,24,5,0,0,31
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,3,1,0,0,4
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,1,0,0,0,0,1
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,0,1,0,0,1
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,4,0,0,5
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,9,2,0,0,11
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,2,1,0,0,3
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,14,2,0,0,16
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,4,8,4,0,16
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,3,3,2,0,8
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,1,4,0,0,0,5
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,1,1,2,0,0,4
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,0,1,0,0,1
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,0,1,0,0,1
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,5,2,0,0,0,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,2,27,45,8,0,82
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,2,0,0,3
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,2,24,8,0,0,34
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,19,13,1,0,33
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,1,0,0,2
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,0,1,0,0,1
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,2,0,0,3
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,0,2,0,1,3
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,5,0,0,0,5
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,3,0,0,0,3
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,2,0,0,0,2
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,3,2,0,0,5
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,1,0,2
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,1,0,0,0,1
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,0,1,1,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-03-01,0,0,6,3,1,0,10
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-04-01,0,0,0,2,0,0,2
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-04-01,0,0,15,4,0,0,19
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-04-01,0,0,14,9,0,0,23
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-04-01,0,0,1,1,0,0,2
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-04-01,0,0,1,0,0,0,1
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-04-01,0,0,0,1,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-04-01,0,0,0,2,0,0,2
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-04-01,0,0,1,0,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-04-01,0,0,1,0,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-04-01,0,0,1,0,0,0,1
