,group,variable,month,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 10 A 14,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 15 A 19,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 20 A 34,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 35 A 49,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 50 Y +,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS < A 10,TOTALES
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,5,4,0,10
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,36,34,12,0,84
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,15,5,0,0,22
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,3,8,2,0,15
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,5,0,1,0,7
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,3,17,1,1,0,22
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,8,26,23,3,0,60
CHOQUE COTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,1,0,0,1
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,1,1,0,5
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,24,43,11,0,79
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,6,5,0,11
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,2,0,0,5
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,10,11,7,0,30
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,7,29,7,4,0,47
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,1,3,30,33,15,0,82
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,19,10,2,0,32
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,182,925,1601,1083,216,4007
COIPASA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,0,0,0,1
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,5,23,17,12,0,57
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,4,1,3,0,8
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,8,5,2,18
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,4,19,7,4,0,34
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,11,3,0,0,16
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,11,7,1,0,21
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,3,18,8,1,0,30
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,3,2,0,8
COMANCHE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,0,0,0,0,1
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,5,9,1,0,17
COMBAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,8,6,1,0,15
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,1,1,0,0,3
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,2,8,0,0,10
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,12,12,1,0,25
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,4,4,4,0,13
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,23,8,3,0,35
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,0,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,25,22,11,0,59
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,1,15,106,86,30,3,241
CRUZ DE MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,3,2,0,6
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,13,6,20,0,39
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,0,0,0,1
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,0,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,1,6,37,28,8,0,80
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,3,1,0,4
CURVA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,2,0,0,2
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,2,2,1,0,5
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,49,897,786,293,1,2026
EL CHORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,3,6,1,10
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,10,7,1,0,19
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,7,1,0,0,9
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,1,19,90,56,30,0,196
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,5,4,4,0,14
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,2,10,6,0,20
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,4,18,12,5,1,40
ESCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,0,0,0,1
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,3,1,0,4
EUCALIPTUS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,6,4,1,0,11
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,4,9,5,1,20
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,5,1,0,9
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,8,1,0,9
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,10,7,1,0,18
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,1,6,2,0,10
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,4,18,12,6,0,40
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,1,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,9,24,31,13,2,79
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,7,6,0,0,15
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,4,10,11,8,0,33
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,2,0,0,6,1,0,9
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,20,24,10,2,58
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,10,11,2,0,25
HUATAJATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,1,2,0,6
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,0,2,0,2
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,4,6,5,5,0,20
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,11,13,6,0,31
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,2,2,1,0,5
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,5,7,4,0,18
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,3,0,0,6
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,8,3,0,0,13
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,35,5,3,0,45
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,28,254,128,42,0,452
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,2,78,955,1650,1567,0,4252
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,2,2,0,4
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,11,12,3,0,26
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,4,6,1,0,11
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,1,0,0,1
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,6,72,38,19,0,135
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,3,0,0,3
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,6,7,11,5,0,29
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,3,0,0,6
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,6,6,2,0,14
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,3,1,0,5
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,3,1,5,2,0,11
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,19,5,3,0,29
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,2,9,6,1,18
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,6,25,9,0,0,40
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,3,22,7,4,0,36
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,30,22,8,0,62
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,14,15,13,0,43
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,6,28,38,22,0,94
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,7,71,112,75,36,301
MORO MORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,2,0,0,5
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,1,0,0,2
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,0,0,0,1
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,4,16,13,3,0,36
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,2,0,0,3
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,2,2,1,0,5
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,1,29,489,552,213,0,1284
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,3,18,8,4,0,33
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,16,12,7,0,37
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,5,18,11,1,0,35
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,4,37,25,0,66
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,1,0,16,6,3,0,26
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,2,0,0,0,2
PAPEL PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,2,1,0,0,3
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,21,8,4,0,35
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,1,0,0,1
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,0,0,0,1
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,11,19,11,4,0,45
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,3,10,7,8,0,28
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,0,1,1,0,3
POOPO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,3,0,2,0,6
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,16,24,2,0,42
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,5,13,9,8,0,35
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,14,3,1,0,20
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,1,3,19,5,3,0,31
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,8,7,5,0,21
POSTRER VALLE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,3,275,1592,1321,491,0,3682
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,2,5,3,0,11
