,group,variable,month,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 10 A 14,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 15 A 19,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 20 A 34,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 35 A 49,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 50 Y +,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN < A 10,TOTALES
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,11,55,8,0,74
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,5,5,26,5,0,41
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,6,6,3,0,17
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,4,24,4,0,0,32
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,4,54,14,2,0,74
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,29,12,1,0,44
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,9,16,16,2,0,43
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,5,19,2,0,26
CATACORA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,1,4,1,0,0,6
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,1,9,1,0,11
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,6,44,12,0,0,62
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,4,4,1,1,0,10
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,11,29,13,0,0,53
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,9,1,0,0,10
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,31,3,1,0,37
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,1,23,107,34,4,0,169
CHIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,3,0,0,0,5
CHOQUE COTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,3,3,0,0,6
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,3,0,0,0,3
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,4,19,9,3,0,35
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,3,12,13,7,0,35
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,9,5,2,0,18
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,1,8,24,14,0,0,47
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,1,6,46,17,6,0,76
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,4,36,34,37,0,0,111
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,18,12,0,0,32
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,8,137,672,431,119,4,1371
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,20,116,106,3,0,245
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,18,10,4,0,34
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,10,5,3,0,18
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,16,53,25,4,0,98
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,15,4,0,0,21
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,9,17,10,0,0,36
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,15,3,0,0,20
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,1,5,19,20,0,0,45
COMANCHE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,0,1,0,0,1
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,2,21,58,35,1,0,117
COMBAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,9,6,1,0,16
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,17,5,1,0,25
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,3,8,0,0,13
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,1,18,5,0,0,24
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,7,1,0,0,8
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,8,26,6,0,0,40
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,1,1,7,1,0,10
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,3,12,65,57,9,0,146
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,5,28,30,3,0,66
CRUZ DE MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,0,1,0,0,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,3,12,3,0,0,18
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,7,2,0,0,11
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,19,5,2,0,26
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,54,63,40,27,2,0,186
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,1,9,6,0,0,16
CURVA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,0,2,0,0,2
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,3,2,1,0,6
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,3,103,878,433,56,0,1473
EL CHORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,2,1,3,0,6
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,2,3,42,18,1,0,66
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,11,30,18,3,0,62
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,1,12,69,21,8,0,111
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,2,9,18,7,2,0,38
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,1,7,14,16,4,0,42
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,1,16,79,40,10,1,147
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,0,11,1,0,12
ESMERALDA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,2,0,0,0,2
EUCALIPTUS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,6,0,0,0,8
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,1,4,0,0,5
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,10,3,0,0,15
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,4,22,18,2,0,46
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,1,14,28,5,0,48
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,4,9,3,0,16
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,9,67,28,1,0,105
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,1,10,5,0,16
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,7,41,22,2,0,72
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,5,28,13,1,0,47
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,6,2,0,0,8
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,25,86,218,164,49,7,549
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,5,17,10,0,0,32
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,9,46,9,0,64
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,2,4,31,28,14,0,79
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,8,12,12,6,0,38
HUACHACALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,4,1,0,0,5
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,5,23,3,13,2,46
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,3,2,0,0,5
HUATAJATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,2,0,0,0,2
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,6,1,0,0,7
HUMANATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,1,4,4,2,0,0,11
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,3,8,1,0,14
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,37,46,10,10,3,0,106
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,33,50,21,12,5,0,121
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,5,19,12,3,0,39
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,35,17,1,0,55
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,2,4,20,6,0,0,32
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,5,6,3,1,0,15
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,11,79,16,0,0,106
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,2,59,297,137,37,0,532
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,147,683,734,123,0,1687
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,2,6,4,0,12
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,3,24,27,0,0,54
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,16,31,10,7,0,0,64
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,2,8,2,0,12
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,3,67,365,202,51,0,688
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,4,16,2,0,24
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,3,10,5,0,0,18
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,1,11,8,3,1,24
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,2,3,1,0,0,6
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,16,20,27,22,6,0,91
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,7,27,33,13,0,80
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,4,33,7,0,0,44
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,1,6,0,0,7
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,7,15,3,0,0,25
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,7,20,8,4,0,39
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,11,58,23,0,0,92
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,26,89,39,0,0,154
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,1,4,37,25,8,0,75
MOJINETE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,0,0,0,2,0,0,2
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,10,24,41,34,15,2,126
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-01-01,7,10,25,17,8,1,68
