,group,variable,month,CONDÓN MASCULINO: USUARIAS (OS) CONTINUAS (OS) 10 A 14,CONDÓN MASCULINO: USUARIAS (OS) CONTINUAS (OS) 15 A 19,CONDÓN MASCULINO: USUARIAS (OS) CONTINUAS (OS) 20 A 34,CONDÓN MASCULINO: USUARIAS (OS) CONTINUAS (OS) 35 A 49,CONDÓN MASCULINO: USUARIAS (OS) CONTINUAS (OS) 50 Y +,CONDÓN MASCULINO: USUARIAS (OS) CONTINUAS (OS) < A 10,TOTALES
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,3,1,0,0,4
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,6,3,2,0,12
CHOQUE COTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,1,0,0,1
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,0,0,0,1
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,1,1,1,0,4
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,1,1,0,3
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,4,0,0,0,4
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,1,0,0,2
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,6,109,25,12,0,152
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,3,0,0,0,4
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,7,13,109,1,1,131
COIPASA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,1,0,0,0,0,0,1
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,1,0,0,1
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,4,2,2,0,8
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,0,1,0,2
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,6,5,0,0,12
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,0,0,0,1
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,3,10,10,0,0,23
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,1,0,0,3
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,3,4,0,0,7
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,3,1,0,0,4
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,1,0,0,3
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,1,0,0,3
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,0,0,0,1
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,2,0,0,2
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,4,8,1,1,15
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,7,2,0,9
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,1,0,0,1
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,1,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,5,4,0,0,9
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,2,0,0,4
CURVA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,1,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,32,317,276,0,0,625
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,0,0,0,1
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,5,5,2,0,13
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,3,41,14,6,0,64
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,5,8,5,1,0,19
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,2,11,8,2,0,23
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,6,1,0,7
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,1,1,0,3
ESMERALDA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,3,0,0,3
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,0,0,0,1
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,1,0,0,2
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,2,1,0,3
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,1,0,0,0,2
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,0,0,0,0,1
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,1,0,0,1
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,1,0,0,1
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,3,0,0,3
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,1,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,2,4,0,0,0,6
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,1,0,0,2
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,4,4,0,0,8
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,4,3,0,8
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,5,5,0,0,10
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,4,1,1,0,6
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,2,0,0,2
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,5,2,0,0,7
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,2,0,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,6,489,320,7,0,822
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,1,0,0,2
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,0,1,0,1
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,1,0,0,2
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,2,1,0,3
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,17,32,18,2,0,69
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,2,1,0,3
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,1,0,0,1
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,2,1,0,5
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,0,0,0,1
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,0,0,0,1
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,0,0,0,1
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,0,0,0,1
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,7,2,0,0,9
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,3,1,0,5
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,3,0,0,5
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,3,4,0,0,7
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,5,1,0,0,7
MOJINETE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,0,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,3,5,6,1,0,15
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,4,2,0,0,6
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,2,2,0,5
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,1,0,0,3
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,4,0,0,1,5
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,2,2,2,0,0,6
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,85,355,139,8,0,587
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,10,8,1,0,20
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,1,1,0,4
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,3,2,0,0,6
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,3,1,0,4
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,3,1,0,0,4
PAMPA AULLAGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,0,0,0,2
PAPEL PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,4,1,0,0,5
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,16,1,0,0,17
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,4,1,0,0,5
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,3,0,0,3
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,3,1,0,0,4
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,6,3,0,0,9
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,5,4,0,10
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,7,5,0,0,12
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,1,0,0,2
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,2,2,0,0,0,4
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,3,0,0,5
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,0,0,0,0,1
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,6,1,0,0,8
POSTRER VALLE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,1,0,0,3
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,10,26,26,14,0,76
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,0,1,0,1
PUCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,2,0,0,2
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,3,1,0,6
PUERTO ACOSTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,0,1,0,1
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,0,0,0,2
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,4,2,0,0,7
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,1,0,0,2
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,0,1,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,1,27,238,39,22,0,327
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,8,2,1,0,12
QUIABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,1,4,0,0,0,5
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,13,3,0,0,16
QUIME,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,0,0,0,1
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,4,0,1,0,5
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,1,0,0,2
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,1,0,0,3
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,8,12,11,1,0,32
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,1,0,0,0,1
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,1,0,0,3
SABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,4,7,1,0,0,12
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,2,48,30,1,0,81
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) continuas (os),2024-01-01,0,0,2,4,0,0,6
